,Rank,Name,Name.1,Nation,Points,47,48,50,49,1995,event,gender,athlete_id
0,1,Petit,François,FRA,316.00,5. 51.00,1. 100.00,3. 65.00,1. 100.00,1995,lead,MEN,275
1,2,Legrand,François,FRA,296.00,1. 100.00,3. 65.00,5. 51.00,2. 80.00,1995,lead,MEN,266
2,3,Petit,Arnaud,FRA,262.00,2. 80.00,9. 37.00,2. 80.00,3. 65.00,1995,lead,MEN,50
3,4,Chevieux,Elie,SUI,245.00,4. 55.00,6. 47.00,1. 100.00,7. 43.00,1995,lead,MEN,219
4,5,Lombard,François,FRA,227.00,3. 65.00,2. 80.00,11. 31.00,5. 51.00,1995,lead,MEN,268
5,6,Tribout,Jean-Baptiste,FRA,172.00,8. 40.00,10. 34.00,7. 43.00,4. 55.00,1995,lead,MEN,461
6,7,Hirayama,Yuji,JPN,162.00,6. 47.00,4. 55.00,16. 20.00,8. 40.00,1995,lead,MEN,973
7,8,Coffy,François,FRA,142.00,7. 43.00,10. 34.00,10. 34.00,11. 31.00,1995,lead,MEN,250
8,9,Brenna,Cristian,ITA,128.00,,13. 26.00,4. 55.00,6. 47.00,1995,lead,MEN,109
9,10,Core,Christian,ITA,97.00,10. 34.00,13. 26.00,9. 37.00,,1995,lead,MEN,122
10,11,Bindhammer,Andreas,GER,83.00,13. 26.00,8. 40.00,28. 3.00,19. 14.00,1995,lead,MEN,8
11,12,Rakhmetov,Salavat,RUS,81.00,10. 34.00,,6. 47.00,,1995,lead,MEN,845
12,13,Zardini,Luca,ITA,74.00,25. 6.00,13. 26.00,23. 8.00,10. 34.00,1995,lead,MEN,542
13,14,Bucher,Christoph,GER,73.00,,5. 51.00,,15. 22.00,1995,lead,MEN,116
14,15,Alippi,Stefano,ITA,72.00,20. 12.00,,8. 40.00,16. 20.00,1995,lead,MEN,789
15,16,Arocena,Patxi,ESP,71.00,22. 9.00,13. 26.00,20. 12.00,14. 24.00,1995,lead,MEN,678
16,16,Mussatto,Phillipe,FRA,71.00,15. 22.00,,20. 12.00,9. 37.00,1995,lead,MEN,722
17,18,Vickers,Ian,GBR,69.00,13. 26.00,7. 43.00,,,1995,lead,MEN,375
18,19,Dewilde,Paul,FRA,60.00,29. 2.00,10. 34.00,14. 24.00,,1995,lead,MEN,696
19,20,Kazbekov,Serik,UKR,58.00,29. 2.00,,12. 28.00,12. 28.00,1995,lead,MEN,829
20,21,Giupponi,Luca,ITA,52.00,15. 22.00,27. 4.00,13. 26.00,,1995,lead,MEN,514
