,Rank,Name,Name.1,Nation,Points,373,2001,event,gender,athlete_id
0,1,Styenkovyy,Maksym,UKR,100.00,1. 100.00,2001,speed,MEN,2586
1,2,Chaoulsky,Alexandre,RUS,80.00,2. 80.00,2001,speed,MEN,2567
2,3,Peshekhonov,Alexander,RUS,65.00,3. 65.00,2001,speed,MEN,5464
3,4,Netsvetaev-Dolgalev,Vladimir,RUS,55.00,4. 55.00,2001,speed,MEN,944
4,5,Gadeev,Alexei,RUS,51.00,5. 51.00,2001,speed,MEN,3108
5,6,Baranov,Vladislav,RUS,47.00,6. 47.00,2001,speed,MEN,2849
6,7,Toni,Firmansyah,INA,43.00,7. 43.00,2001,speed,MEN,4977
7,8,Soubbotine,Iakov,RUS,40.00,8. 40.00,2001,speed,MEN,2514
8,9,Kozmine,Daniil,RUS,37.00,9. 37.00,2001,speed,MEN,2585
9,10,Sergeyev (Liachenko),Alexandre,RUS,34.00,10. 34.00,2001,speed,MEN,3109
10,11,Khaidarchine,Dmitri,RUS,31.00,11. 31.00,2001,speed,MEN,2648
11,12,Komondi,Csaba,HUN,28.00,12. 28.00,2001,speed,MEN,135
12,13,Rosyid,Nurrahman,INA,26.00,13. 26.00,2001,speed,MEN,5465
13,14,Kim,Dong-Sik,KOR,24.00,14. 24.00,2001,speed,MEN,187
14,15,Gozum,Erwin,PHI,22.00,15. 22.00,2001,speed,MEN,5460
15,16,Abdullah,Daniel,MAS,20.00,16. 20.00,2001,speed,MEN,5006
16,17,Cho,Kyu-Bog,KOR,18.00,17. 18.00,2001,speed,MEN,473
17,18,Lai,Chi-Wai,HKG,16.00,18. 16.00,2001,speed,MEN,5005
18,19,Mohd Yazid,Bin Mohd Yusof,SGP,14.00,19. 14.00,2001,speed,MEN,4918
19,20,Cao,Rongwu,CHN,12.00,20. 12.00,2001,speed,MEN,5398
20,21,Charafoutdinov,Denis,RUS,10.00,21. 10.00,2001,speed,MEN,2495
21,22,Muhd,Hatta,SGP,9.00,22. 9.00,2001,speed,MEN,5466
22,23,Rozihan,Bin Anwar,SGP,8.00,23. 8.00,2001,speed,MEN,5010
23,24,Huang,Zhifeng,CHN,7.00,24. 7.00,2001,speed,MEN,5399
24,25,ZHAO,Lei,CHN,6.00,25. 6.00,2001,speed,MEN,4994
25,26,Chao,Tzu-Kai,TPE,5.00,26. 5.00,2001,speed,MEN,4986
26,27,Bin Affandi,Azizul,MAS,4.00,27. 4.00,2001,speed,MEN,5467
