,Rank,Name,Name.1,Nation,Points,455,453,450,446,444,441,439,2002,event,gender,athlete_id
0,1,Chabot,Alexandre,FRA,680.00,2. 80.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,2002,lead,MEN,2825
1,2,Mrázek,Tomás,CZE,436.00,9. 37.00,2. 80.00,5. 51.00,7. 43.00,2. 80.00,2. 80.00,3. 65.00,2002,lead,MEN,3377
2,3,Pouvreau,Gérome,FRA,410.00,6. 47.00,6. 47.00,3. 65.00,4. 55.00,5. 51.00,3. 65.00,2. 80.00,2002,lead,MEN,2833
3,4,Crespi,Flavio,ITA,361.00,15. 22.00,3. 65.00,2. 80.00,3. 65.00,4. 55.00,9. 37.00,9. 37.00,2002,lead,MEN,251
4,5,Petit,François,FRA,329.00,4. 55.00,15. 22.00,4. 55.00,2. 80.00,13. 26.00,5. 51.00,8. 40.00,2002,lead,MEN,275
5,6,Bindhammer,Christian,GER,260.00,5. 51.00,11. 31.00,8. 40.00,27. 4.00,7. 43.00,8. 40.00,5. 51.00,2002,lead,MEN,112
6,7,Lachat,Cédric,SUI,252.00,10. 34.00,9. 37.00,7. 43.00,6. 47.00,3. 65.00,,13. 26.00,2002,lead,MEN,2583
7,8,Auclair,François,FRA,249.00,27. 4.00,5. 51.00,14. 24.00,8. 40.00,6. 47.00,12. 28.00,4. 55.00,2002,lead,MEN,245
8,9,Brenna,Cristian,ITA,211.00,19. 14.00,17. 18.00,13. 26.00,5. 51.00,18. 16.00,4. 55.00,11. 31.00,2002,lead,MEN,109
9,10,Julian Puigblanque,Ramón,ESP,196.00,1. 100.00,7. 43.00,,11. 31.00,25. 6.00,,18. 16.00,2002,lead,MEN,3521
10,10,Petrenko,Maksym,UKR,196.00,10. 34.00,16. 20.00,,11. 31.00,8. 40.00,9. 37.00,10. 34.00,2002,lead,MEN,609
11,12,Kazbekov,Serik,UKR,194.00,3. 65.00,23. 8.00,,10. 34.00,18. 16.00,6. 47.00,14. 24.00,2002,lead,MEN,829
12,13,Vinokur,Vadim,USA,121.00,,20. 12.00,6. 47.00,17. 18.00,29. 2.00,16. 20.00,15. 22.00,2002,lead,MEN,950
13,14,Millet,Sylvain,FRA,117.00,15. 22.00,27. 4.00,,19. 14.00,10. 34.00,,7. 43.00,2002,lead,MEN,838
14,15,Sova,Matej,SLO,115.00,17. 18.00,18. 16.00,11. 31.00,29. 2.00,11. 31.00,20. 12.00,26. 5.00,2002,lead,MEN,629
15,16,Bindhammer,Andreas,GER,101.00,26. 5.00,22. 9.00,12. 28.00,,21. 10.00,29. 2.00,6. 47.00,2002,lead,MEN,8
16,17,Bosma,Peter,SWE,93.00,22. 9.00,23. 8.00,,23. 8.00,14. 24.00,13. 26.00,17. 18.00,2002,lead,MEN,683
17,18,Lagni,Bernardino,ITA,89.00,25. 6.00,4. 55.00,,,,,12. 28.00,2002,lead,MEN,87
18,19,Caude,David,FRA,83.00,21. 10.00,13. 26.00,,11. 31.00,18. 16.00,,,2002,lead,MEN,172
19,20,Ten Sijthoff,Casper,NED,81.00,17. 18.00,23. 8.00,,11. 31.00,15. 22.00,,29. 2.00,2002,lead,MEN,2560
20,21,Douloub,Iouri,RUS,79.00,13. 26.00,,,,21. 10.00,7. 43.00,,2002,lead,MEN,351
21,22,Lella,Donato,ITA,77.00,7. 43.00,10. 34.00,,,,,,2002,lead,MEN,193
22,23,Barbero Alfonso,Pablo,ESP,69.00,30. 1.00,8. 40.00,,,12. 28.00,,,2002,lead,MEN,2826
23,24,Ovchinnikov,Evgeny,RUS,68.00,,,,11. 31.00,,9. 37.00,,2002,lead,MEN,232
24,24,Reis,Jürgen,AUT,68.00,27. 4.00,,10. 34.00,,17. 18.00,20. 12.00,,2002,lead,MEN,447
25,26,Gusak,Igor,UKR,67.00,29. 2.00,23. 8.00,,11. 31.00,27. 4.00,,15. 22.00,2002,lead,MEN,354
26,27,Fischhuber,Kilian,AUT,65.00,12. 28.00,,,,9. 37.00,,,2002,lead,MEN,2602
27,28,Felix,Roman,SUI,59.00,,,15. 22.00,9. 37.00,,,,2002,lead,MEN,2623
28,28,Kryvosheytsev,Yevgen,UKR,59.00,14. 24.00,20. 12.00,,19. 14.00,,,22. 9.00,2002,lead,MEN,227
29,30,Felix,Martin,SUI,44.00,,27. 4.00,17. 18.00,,,20. 12.00,21. 10.00,2002,lead,MEN,566
30,31,Marin Garcia,Eduard,ESP,40.00,8. 40.00,,,,,,,2002,lead,MEN,5185
31,32,Tsuiki,Takaaki,JPN,37.00,,,9. 37.00,,,,,2002,lead,MEN,923
32,33,Huber,Christoph,AUT,36.00,,,,,15. 22.00,,19. 14.00,2002,lead,MEN,3123
33,34,Sharma,Chris,USA,28.00,,12. 28.00,,,,,,2002,lead,MEN,151
34,35,Fuselier,Michaël,FRA,26.00,,13. 26.00,,,,,,2002,lead,MEN,567
35,36,Kovalevskj,Alexandre,RUS,24.00,,,,,,14. 24.00,,2002,lead,MEN,2570
36,36,Valjavec,Tomaz,SLO,24.00,30. 1.00,,,,21. 10.00,20. 12.00,30. 1.00,2002,lead,MEN,926
37,38,Hoppe,Markus,GER,23.00,20. 12.00,,,22. 9.00,29. 2.00,,,2002,lead,MEN,3706
38,39,Shalagin,Mykhaylo,UKR,22.00,,,,,,15. 22.00,,2002,lead,MEN,3205
39,40,Ito,Hidekazu,JPN,20.00,,,16. 20.00,,,,,2002,lead,MEN,5556
40,40,Masleonkin,Evgeny,RUS,20.00,,,,,,16. 20.00,,2002,lead,MEN,5598
41,42,Gnerro,Alberto,ITA,19.00,,,,26. 5.00,,,19. 14.00,2002,lead,MEN,29
42,43,Dugit,Stephane,FRA,18.00,,29. 2.00,,21. 10.00,,,25. 6.00,2002,lead,MEN,809
43,43,Manzanedo,César Ciudad,ESP,18.00,,,,17. 18.00,,,,2002,lead,MEN,121
44,45,Khakimianov,Ilfir,RUS,16.00,,,,,,18. 16.00,,2002,lead,MEN,358
45,45,Lee,Jae-Yong,KOR,16.00,,,18. 16.00,,,,,2002,lead,MEN,432
46,47,Zardini,Luca,ITA,15.00,,,,25. 6.00,25. 6.00,,28. 3.00,2002,lead,MEN,542
