,Rank,Name,Name.1,Nation,Points,533,532,531,586,527,551,528,550,524,521,2003,event,gender,athlete_id
0,1,Chabot,Alexandre,FRA,660.00,4. (55.00),11. (31.00),2. 80.00,1. 100.00,15. (22.00),2. 80.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,2003,lead,MEN,2825
1,2,Julian Puigblanque,Ramón,ESP,590.00,26. (5.00),9. (37.00),1. 100.00,3. 65.00,1. 100.00,1. 100.00,3. 65.00,2. 80.00,7. (43.00),2. 80.00,2003,lead,MEN,3521
2,3,Auclair,François,FRA,431.00,6. 47.00,1. 100.00,5. 51.00,14. (24.00),2. 80.00,3. 65.00,10. (34.00),5. 51.00,9. 37.00,18. (16.00),2003,lead,MEN,245
3,4,Usobiaga Lakunza,Patxi,ESP,395.00,1. 100.00,5. 51.00,4. 55.00,14. (24.00),10. 34.00,6. 47.00,2. 80.00,12. 28.00,,,2003,lead,MEN,2550
4,5,Ovchinnikov,Evgeny,RUS,348.00,12. 28.00,14. 24.00,20. (12.00),2. 80.00,3. 65.00,11. 31.00,,3. 65.00,4. 55.00,,2003,lead,MEN,232
5,6,Mrázek,Tomás,CZE,309.00,25. 6.00,2. 80.00,,,6. 47.00,25. 6.00,6. 47.00,7. 43.00,2. 80.00,26. (5.00),2003,lead,MEN,3377
6,7,Pouvreau,Gérome,FRA,302.00,10. 34.00,9. 37.00,6. 47.00,25. (6.00),18. (16.00),8. 40.00,14. 24.00,20. (12.00),3. 65.00,4. 55.00,2003,lead,MEN,2833
7,8,Millet,Sylvain,FRA,277.00,3. 65.00,11. 31.00,9. 37.00,13. (26.00),5. 51.00,12. 28.00,9. 37.00,15. (22.00),16. (20.00),12. 28.00,2003,lead,MEN,838
8,9,Lachat,Cédric,SUI,273.00,,,3. 65.00,4. 55.00,,,4. 55.00,6. 47.00,,5. 51.00,2003,lead,MEN,2583
9,10,Fuselier,Michaël,FRA,248.00,2. 80.00,,13. 26.00,12. 28.00,7. 43.00,4. 55.00,,,,18. 16.00,2003,lead,MEN,567
10,11,Crespi,Flavio,ITA,244.00,9. 37.00,19. 14.00,19. (14.00),19. (14.00),4. 55.00,12. 28.00,13. 26.00,9. 37.00,6. 47.00,23. (8.00),2003,lead,MEN,251
11,12,Preußler,Timo,GER,223.00,21. 10.00,4. 55.00,26. 5.00,,9. 37.00,12. 28.00,5. 51.00,,,9. 37.00,2003,lead,MEN,2438
