,Rank,Name,Name.1,Nation,Points,533,532,531,586,527,551,528,550,524,521,2003,event,gender,athlete_id
0,1,Sarkany,Muriel,BEL,645.00,4. (55.00),1. 100.00,1. 100.00,2. 80.00,5. (51.00),3. 65.00,1. 100.00,1. 100.00,4. (55.00),1. 100.00,2003,lead,WOMEN,1272
1,2,Levet,Sandrine,FRA,570.00,1. 100.00,3. 65.00,3. 65.00,3. (65.00),1. 100.00,2. 80.00,2. 80.00,15. (22.00),,2. 80.00,2003,lead,WOMEN,1350
2,3,Eiter,Angela,AUT,546.00,5. 51.00,2. 80.00,2. 80.00,1. 100.00,2. 80.00,1. 100.00,,7. (43.00),,4. 55.00,2003,lead,WOMEN,3487
3,4,Minoret,Chloé,FRA,425.00,2. 80.00,7. 43.00,13. (26.00),5. 51.00,,4. 55.00,12. (28.00),11. 31.00,1. 100.00,3. 65.00,2003,lead,WOMEN,1063
4,5,Bacher,Barbara,AUT,329.00,,5. 51.00,4. 55.00,5. 51.00,4. 55.00,7. 43.00,10. 34.00,12. (28.00),,8. 40.00,2003,lead,WOMEN,1030
5,6,Ciavaldini,Caroline,FRA,327.00,11. 31.00,12. (28.00),5. 51.00,4. 55.00,3. 65.00,5. 51.00,9. 37.00,13. (26.00),,9. 37.00,2003,lead,WOMEN,5183
6,7,Cufar,Martina,SLO,319.00,7. 43.00,,11. 31.00,17. 18.00,,11. 31.00,3. 65.00,2. 80.00,,5. 51.00,2003,lead,WOMEN,1236
7,8,Knorr,Damaris,GER,297.00,8. 40.00,4. 55.00,10. 34.00,14. (24.00),6. 47.00,8. 40.00,4. 55.00,24. (7.00),,13. 26.00,2003,lead,WOMEN,1084
8,9,Lavarda,Jenny,ITA,291.00,18. (16.00),11. 31.00,17. (18.00),7. 43.00,11. 31.00,15. (22.00),4. 55.00,6. 47.00,9. 37.00,6. 47.00,2003,lead,WOMEN,1179
9,10,Eyer,Alexandra,SUI,290.00,12. 28.00,6. 47.00,8. 40.00,,,6. 47.00,4. 55.00,5. 51.00,,15. 22.00,2003,lead,WOMEN,991
10,11,schöpf,Bettina,AUT,237.00,,,,,8. 40.00,10. 34.00,4. 55.00,3. 65.00,,7. 43.00,2003,lead,WOMEN,1042
11,12,Vidmar,Maja,SLO,235.00,3. 65.00,,7. 43.00,13. 26.00,19. 14.00,20. (12.00),,18. 16.00,10. 34.00,9. 37.00,2003,lead,WOMEN,3482
