,Rank,Name,Name.1,Nation,Points,651,652,649,648,647,646,642,637,669,2004,event,gender,athlete_id
0,1,Eiter,Angela,AUT,535.00,1. 100.00,4. 55.00,5. (51.00),1. 100.00,1. 100.00,7. (43.00),2. 80.00,1. 100.00,8. (40.00),2004,lead,WOMEN,3487
1,2,Sarkany,Muriel,BEL,525.00,5. (51.00),5. (51.00),1. 100.00,11. (31.00),2. 80.00,1. 100.00,1. 100.00,3. 65.00,2. 80.00,2004,lead,WOMEN,1272
2,3,Eyer,Alexandra,SUI,364.00,7. 43.00,1. 100.00,8. 40.00,3. 65.00,9. (37.00),5. 51.00,3. 65.00,12. (28.00),19. (14.00),2004,lead,WOMEN,991
3,3,Gros,Natalija,SLO,364.00,2. 80.00,,6. 47.00,7. 43.00,6. 47.00,13. (26.00),6. 47.00,,1. 100.00,2004,lead,WOMEN,2755
4,5,Ciavaldini,Caroline,FRA,356.00,15. (22.00),7. 43.00,2. 80.00,4. 55.00,2. 80.00,4. 55.00,,,7. 43.00,2004,lead,WOMEN,5183
5,6,schöpf,Bettina,AUT,345.00,,,7. 43.00,2. 80.00,4. 55.00,8. 40.00,10. (34.00),2. 80.00,6. 47.00,2004,lead,WOMEN,1042
6,7,Lavarda,Jenny,ITA,299.00,10. (34.00),14. (24.00),4. 55.00,9. 37.00,8. 40.00,5. 51.00,5. 51.00,10. (34.00),3. 65.00,2004,lead,WOMEN,1179
7,8,Vidmar,Maja,SLO,287.00,3. 65.00,3. 65.00,12. (28.00),10. 34.00,,9. 37.00,11. 31.00,,4. 55.00,2004,lead,WOMEN,3482
8,9,Cufar,Martina,SLO,286.00,11. 31.00,,2. 80.00,8. 40.00,,2. 80.00,4. 55.00,,,2004,lead,WOMEN,1236
9,10,Shalagina,Olga,UKR,245.00,6. 47.00,2. 80.00,16. 20.00,6. 47.00,11. 31.00,,16. 20.00,,,2004,lead,WOMEN,3268
10,11,Franko,Lucka,SLO,228.00,9. 37.00,,13. 26.00,5. 51.00,,11. 31.00,8. 40.00,7. 43.00,24. (7.00),2004,lead,WOMEN,2745
11,12,Bacher,Barbara,AUT,223.00,12. 28.00,11. 31.00,10. 34.00,17. (18.00),14. (24.00),3. 65.00,21. (10.00),10. 34.00,11. 31.00,2004,lead,WOMEN,1030
12,13,Levet,Sandrine,FRA,219.00,3. 65.00,13. 26.00,15. 22.00,,,,,4. 55.00,5. 51.00,2004,lead,WOMEN,1350
13,14,Kobayashi,Yuka,JPN,169.00,12. 28.00,6. 47.00,,,5. 51.00,,7. 43.00,,,2004,lead,WOMEN,5254
