,Rank,Name,Name.1,Nation,Points,898,889,888,886,884,878,877,2006,event,gender,athlete_id
0,1,Bibik,Olga,RUS,472.00,4. 55.00,1. 100.00,9. 37.00,13. (26.00),2. 80.00,1. 100.00,1. 100.00,2006,boulder,WOMEN,1308
1,2,Danion,Juliette,FRA,409.00,26. (5.00),3. 65.00,1. 100.00,14. 24.00,1. 100.00,4. 55.00,3. 65.00,2006,boulder,WOMEN,2803
2,3,Stöhr,Anna,AUT,386.00,11. 31.00,4. 55.00,2. 80.00,1. 100.00,,3. 65.00,4. 55.00,2006,boulder,WOMEN,5630
3,4,Abramchuk,Yulia,RUS,381.00,1. 100.00,2. 80.00,3. 65.00,4. 55.00,,6. 47.00,10. 34.00,2006,boulder,WOMEN,2736
4,5,Abgrall,Emilie,FRA,281.00,27. 4.00,12. 28.00,4. 55.00,2. 80.00,10. 34.00,,2. 80.00,2006,boulder,WOMEN,5317
5,6,Graftiaux,Chloé,BEL,255.00,14. 24.00,5. 51.00,5. 51.00,11. 31.00,6. 47.00,16. (20.00),5. 51.00,2006,boulder,WOMEN,5259
6,7,Son,Mélanie,FRA,239.00,22. (9.00),8. 40.00,7. 43.00,9. 37.00,4. 55.00,14. 24.00,8. 40.00,2006,boulder,WOMEN,1275
7,8,Hodann,Anja,SWE,214.00,23. (8.00),7. 43.00,19. 14.00,3. 65.00,17. 18.00,9. 37.00,9. 37.00,2006,boulder,WOMEN,6455
8,9,Bacher,Barbara,AUT,206.00,13. 26.00,13. 26.00,15. (22.00),8. 40.00,11. 31.00,8. 40.00,7. 43.00,2006,boulder,WOMEN,1030
9,10,Shalagina,Olga,UKR,160.00,2. 80.00,,,,,2. 80.00,,2006,boulder,WOMEN,3268
10,11,Lipenska,Helena,CZE,158.00,17. 18.00,17. 18.00,10. 34.00,5. 51.00,9. 37.00,,,2006,boulder,WOMEN,5335
11,12,Harmand,Ludivine,FRA,157.00,,9. 37.00,26. 5.00,12. 28.00,16. 20.00,7. 43.00,14. 24.00,2006,boulder,WOMEN,7338
12,13,Seguy,Audrey,GBR,153.00,24. 7.00,6. 47.00,6. 47.00,19. 14.00,18. 16.00,,15. 22.00,2006,boulder,WOMEN,6127
13,14,Ansade,Maud,FRA,151.00,5. 51.00,21. 10.00,,16. 20.00,21. 10.00,10. 34.00,13. 26.00,2006,boulder,WOMEN,6082
14,15,Eiter,Angela,AUT,147.00,,14. 24.00,24. 7.00,,3. 65.00,5. 51.00,,2006,boulder,WOMEN,3487
15,16,Gros,Natalija,SLO,145.00,3. 65.00,,8. 40.00,,8. 40.00,,,2006,boulder,WOMEN,2755
16,17,Combaz,Celine,FRA,132.00,,25. 6.00,14. 24.00,21. 10.00,19. 14.00,11. 31.00,6. 47.00,2006,boulder,WOMEN,5732
17,18,Bezhko,Olga,UKR,117.00,8. 40.00,,,,5. 51.00,13. 26.00,,2006,boulder,WOMEN,5255
18,19,Bacher,Sabine,AUT,116.00,,19. 14.00,11. 31.00,7. 43.00,,,12. 28.00,2006,boulder,WOMEN,2821
19,20,Rajfova,Silvie,CZE,103.00,15. 22.00,15. 22.00,18. 16.00,,7. 43.00,,,2006,boulder,WOMEN,6075
20,21,Vidmar,Katja,SLO,92.00,10. 34.00,18. 16.00,16. 20.00,,15. 22.00,,,2006,boulder,WOMEN,3137
21,22,Alekseeva,Kseniia,RUS,83.00,9. 37.00,,20. 12.00,10. 34.00,,,,2006,boulder,WOMEN,5149
22,23,Berry,Samantha,AUS,72.00,,16. 20.00,21. 10.00,15. 22.00,,,16. 20.00,2006,boulder,WOMEN,6169
23,24,Tuzhylina,Svitlana,UKR,71.00,7. 43.00,,,,,12. 28.00,,2006,boulder,WOMEN,6609
24,25,De Grandi,Stefania,ITA,65.00,,11. 31.00,23. 8.00,17. 18.00,23. 8.00,,,2006,boulder,WOMEN,5628
25,26,Lind,Angelica,SWE,54.00,21. 10.00,,22. 9.00,20. 12.00,27. 4.00,22. 9.00,21. 10.00,2006,boulder,WOMEN,5365
26,27,Shemulinkina,Tatiana,RUS,50.00,12. 28.00,,,,,15. 22.00,,2006,boulder,WOMEN,5155
27,28,Arch,Nina,AUT,48.00,,,,23. 8.00,25. 6.00,18. 16.00,17. 18.00,2006,boulder,WOMEN,6081
28,28,Perlova,Nataliya,UKR,48.00,16. 20.00,,,,12. 28.00,,,2006,boulder,WOMEN,1299
29,30,Chereshneva,Yana,RUS,47.00,6. 47.00,,,,,,,2006,boulder,WOMEN,6324
30,30,Sarkany,Muriel,BEL,47.00,,,,6. 47.00,,,,2006,boulder,WOMEN,1272
31,32,Ciret,Colette,FRA,46.00,,10. 34.00,,,20. 12.00,,,2006,boulder,WOMEN,7551
32,33,Bedard,Christina,AUS,31.00,,,,,,,11. 31.00,2006,boulder,WOMEN,7086
33,33,Cufar,Martina,SLO,31.00,,,11. 31.00,,,,,2006,boulder,WOMEN,1236
34,35,Aguirre,Leire,ESP,29.00,,30. 1.00,,27. 4.00,14. 24.00,,,2006,boulder,WOMEN,1202
35,36,KIM,Jain,KOR,27.00,,22. 9.00,17. 18.00,,,,,2006,boulder,WOMEN,5983
36,37,Lavarda,Jenny,ITA,26.00,,,,,13. 26.00,,,2006,boulder,WOMEN,1179
37,37,Vidmar,Maja,SLO,26.00,,,13. 26.00,,,,,2006,boulder,WOMEN,3482
38,39,Mills,Katherine,GBR,19.00,,,,28. 3.00,29. 2.00,,19. 14.00,2006,boulder,WOMEN,5491
39,40,Saulevich,Olesya,RUS,18.00,,,,,,17. 18.00,,2006,boulder,WOMEN,2712
40,41,Smith-Gobat,Mayan,NZL,17.00,,26. 5.00,28. 3.00,22. 9.00,,,,2006,boulder,WOMEN,7532
41,42,Caprez,Nina,SUI,16.00,,,,18. 16.00,,,,2006,boulder,WOMEN,6376
42,42,Gallyamova,Anna,RUS,16.00,18. 16.00,,,,,,,2006,boulder,WOMEN,5146
43,42,Januel,Caroline,FRA,16.00,,,,,,,18. 16.00,2006,boulder,WOMEN,5632
44,42,Verdier,Emilie,FRA,16.00,,,,25. 6.00,21. 10.00,,,2006,boulder,WOMEN,3199
45,46,Agafonova,Maria,RUS,14.00,19. 14.00,,,,,,,2006,boulder,WOMEN,8071
46,46,Nedyalkova,Spasina,BUL,14.00,,,,,,19. 14.00,,2006,boulder,WOMEN,6544
47,46,Zijlstra,Vera,NED,14.00,25. 6.00,,,23. 8.00,,,,2006,boulder,WOMEN,5641
48,49,Balakireva,Alexandra,RUS,12.00,20. 12.00,,,,,,,2006,boulder,WOMEN,3315
49,49,Cintalova,Zuzana,SVK,12.00,,20. 12.00,,,,,,2006,boulder,WOMEN,2770
50,49,Garbova,Petya,BUL,12.00,,,,,,20. 12.00,,2006,boulder,WOMEN,6968
51,49,Marchisio,Stella,ITA,12.00,,,,,,,20. 12.00,2006,boulder,WOMEN,1353
52,53,Ropek,Edyta,POL,10.00,,,,,,21. 10.00,,2006,boulder,WOMEN,3547
53,53,Seymour,Rachel,GBR,10.00,,,29. 2.00,,,,23. 8.00,2006,boulder,WOMEN,5479
54,55,Twyford,Emma,GBR,9.00,,,,,,,22. 9.00,2006,boulder,WOMEN,3494
55,56,Dzhambazova,Ina,BUL,8.00,,,,,,23. 8.00,,2006,boulder,WOMEN,2737
56,56,Saurwein,Katharina,AUT,8.00,,23. 8.00,,,,,,2006,boulder,WOMEN,5244
57,58,Bariani,Irene,ITA,7.00,,24. 7.00,,,,,,2006,boulder,WOMEN,6546
58,58,Battaglia,Claudia,ITA,7.00,,,,,24. 7.00,,,2006,boulder,WOMEN,7552
59,58,Cusa,Marine,FRA,7.00,,,,,,,24. 7.00,2006,boulder,WOMEN,5736
60,58,Georgieva,Maria,BUL,7.00,,,,,,24. 7.00,,2006,boulder,WOMEN,2751
61,62,Kean,Helen,GBR,6.00,,,,,,,25. 6.00,2006,boulder,WOMEN,7494
62,62,Morandi,Sara,ITA,6.00,,29. 2.00,27. 4.00,,,,,2006,boulder,WOMEN,6137
63,62,Winter,Julia,GER,6.00,,,25. 6.00,,,,,2006,boulder,WOMEN,3458
64,65,Buys,Naomi,GBR,5.00,,,,,,,26. 5.00,2006,boulder,WOMEN,7495
65,65,Longo,Roberta,ITA,5.00,,,30. 1.00,,27. 4.00,,,2006,boulder,WOMEN,6156
66,65,Schmid,Christina,SUI,5.00,,,,26. 5.00,,,,2006,boulder,WOMEN,3751
67,65,Zulim,Tamara,CRO,5.00,,,,,26. 5.00,,,2006,boulder,WOMEN,7119
68,69,Boavida,Isabel,POR,4.00,,,,,,,27. 4.00,2006,boulder,WOMEN,6755
69,69,Harnisch,Martina,AUT,4.00,,27. 4.00,,,,,,2006,boulder,WOMEN,5631
70,71,Correia,Marisa,POR,3.00,,,,,,,28. 3.00,2006,boulder,WOMEN,6932
71,71,Leshchenko,Valeriya,UKR,3.00,28. 3.00,,,,,,,2006,boulder,WOMEN,7745
72,71,Ogawa,Tomoko,JPN,3.00,,28. 3.00,,,,,,2006,boulder,WOMEN,5625
73,74,Hawke,Emma,NZL,2.00,,,,29. 2.00,,,,2006,boulder,WOMEN,1092
74,75,Cintalova,Katarina,SVK,1.00,,30. 1.00,,,,,,2006,boulder,WOMEN,2742
75,75,Lozic,Maja,CRO,1.00,,,,,30. 1.00,,,2006,boulder,WOMEN,7546
76,75,Zangerl,Barbara,AUT,1.00,,30. 1.00,,,,,,2006,boulder,WOMEN,7747
