,Rank,Name,Name.1,Nation,Points,898,897,890,887,903,879,876,878,2006,event,gender,athlete_id
0,1,Ruyga,Tatiana,RUS,560.00,1. 100.00,4. 55.00,2. 80.00,8. (40.00),3. 65.00,1. 100.00,2. 80.00,2. 80.00,2006,speed,WOMEN,1378
1,2,Yurina,Valentina,RUS,501.00,3. 65.00,10. (34.00),1. 100.00,3. 65.00,1. 100.00,3. 65.00,4. 55.00,5. 51.00,2006,speed,WOMEN,3316
2,3,Stenkovaya,Anna,RUS,351.00,5. 51.00,2. 80.00,,,,4. 55.00,3. 65.00,1. 100.00,2006,speed,WOMEN,3619
3,4,Ryepko,Olena,UKR,300.00,4. 55.00,,,,2. 80.00,,1. 100.00,3. 65.00,2006,speed,WOMEN,1105
4,5,Rodriguez,Francis,VEN,289.00,12. 28.00,12. 28.00,6. 47.00,2. 80.00,4. 55.00,5. 51.00,,,2006,speed,WOMEN,6228
5,6,Ropek,Edyta,POL,232.00,,8. 40.00,,,5. 51.00,7. 43.00,5. 51.00,6. 47.00,2006,speed,WOMEN,3547
6,7,Cheng,Lai-Sho,HKG,179.00,,1. 100.00,5. 51.00,12. 28.00,,,,,2006,speed,WOMEN,5979
7,8,Blanco,Lucelia,VEN,171.00,,,7. 43.00,5. 51.00,7. 43.00,10. 34.00,,,2006,speed,WOMEN,7120
8,9,Neliwati,Evi,INA,165.00,,,3. 65.00,1. 100.00,,,,,2006,speed,WOMEN,4954
9,10,Malkova,Yana,RUS,145.00,2. 80.00,3. 65.00,,,,,,,2006,speed,WOMEN,6694
10,11,Tuzhylina,Svitlana,UKR,142.00,8. 40.00,,,,,,6. 47.00,4. 55.00,2006,speed,WOMEN,6609
11,12,Alekseeva,Kseniia,RUS,127.00,6. 47.00,,,,,2. 80.00,,,2006,speed,WOMEN,5149
12,13,Hrozova,Lucie,CZE,90.00,,,,,6. 47.00,,7. 43.00,,2006,speed,WOMEN,5633
13,14,Li,Chunhua,CHN,80.00,,9. 37.00,,7. 43.00,,,,,2006,speed,WOMEN,4962
14,14,Saulevich,Olesya,RUS,80.00,7. 43.00,,,,,,,9. 37.00,2006,speed,WOMEN,2712
15,16,Shemulinkina,Tatiana,RUS,77.00,9. 37.00,,,,,,,8. 40.00,2006,speed,WOMEN,5155
16,17,Adianti,Tri,INA,55.00,,,,4. 55.00,,,,,2006,speed,WOMEN,7323
17,17,Chong,Beatrix,SGP,55.00,,,4. 55.00,,,,,,2006,speed,WOMEN,5752
18,19,Polekhina,Kseniya,RUS,51.00,,5. 51.00,,,,,,,2006,speed,WOMEN,7235
19,20,Chong,"Leong Hong, Beatrix",SGP,47.00,,,,6. 47.00,,,,,2006,speed,WOMEN,5756
20,20,Dumont,Alexandra,FRA,47.00,,,,,,6. 47.00,,,2006,speed,WOMEN,7826
21,20,He,Cuifang,CHN,47.00,,6. 47.00,,,,,,,2006,speed,WOMEN,6769
22,23,Bakalova,Plamena,BUL,43.00,,,,,,,,7. 43.00,2006,speed,WOMEN,3633
23,23,Evstigneeva,Olga,RUS,43.00,,7. 43.00,,,,,,,2006,speed,WOMEN,5144
24,25,Policard,Michaelle,FRA,40.00,,,,,,8. 40.00,,,2006,speed,WOMEN,6136
25,25,Vathsala,M. N.,IND,40.00,,,8. 40.00,,,,,,2006,speed,WOMEN,5977
26,27,Chung,Sue Ann,SGP,37.00,,,,9. 37.00,,,,,2006,speed,WOMEN,4968
27,27,Karesova,Eliska,CZE,37.00,,,,,,9. 37.00,,,2006,speed,WOMEN,5171
28,27,Zainal,Rosharyani,MAS,37.00,,,9. 37.00,,,,,,2006,speed,WOMEN,7978
29,30,Chereshneva,Yana,RUS,34.00,10. 34.00,,,,,,,,2006,speed,WOMEN,6324
30,30,Georgieva,Maria,BUL,34.00,,,,,,,,10. 34.00,2006,speed,WOMEN,2751
31,30,Low,Shuang'E,SGP,34.00,,,,10. 34.00,,,,,2006,speed,WOMEN,5987
32,33,Bezhko,Olga,UKR,31.00,,,,,,,,11. 31.00,2006,speed,WOMEN,5255
33,33,Gallyamova,Anna,RUS,31.00,11. 31.00,,,,,,,,2006,speed,WOMEN,5146
34,33,Shagina,Liubov,RUS,31.00,,11. 31.00,,,,,,,2006,speed,WOMEN,7233
35,33,Twang,Xiao Hui,SGP,31.00,,,,11. 31.00,,,,,2006,speed,WOMEN,5764
36,37,Nedyalkova,Spasina,BUL,28.00,,,,,,,,12. 28.00,2006,speed,WOMEN,6544
37,38,Korolkova,Ekaterina,RUS,26.00,,13. 26.00,,,,,,,2006,speed,WOMEN,3277
38,38,Nilsson,Kristina,SWE,26.00,13. 26.00,,,,,,,,2006,speed,WOMEN,6134
39,40,Liang,Liuying,CHN,24.00,,14. 24.00,,,,,,,2006,speed,WOMEN,7882
40,40,Sparre,Lovise,SWE,24.00,14. 24.00,,,,,,,,2006,speed,WOMEN,8095
41,42,Uvarova,Nastasiya,UKR,22.00,15. 22.00,,,,,,,,2006,speed,WOMEN,8048
