,Rank,Name,Name.1,Nation,Points,1195,1194,1193,1190,1187,2009,event,gender,athlete_id
0,1,Fischhuber,Kilian,AUT,337.00,1. 100.00,3. 65.00,3. 65.00,1. 100.00,23. 7.00,2009,boulder,MEN,2602
1,2,Gelmanov,Rustam,RUS,296.00,4. 55.00,6. 47.00,1. 100.00,11. 29.00,3. 65.00,2009,boulder,MEN,6933
2,3,Moroni,Gabriele,ITA,230.00,2. 80.00,9. 37.00,21. 9.00,2. 80.00,14. 24.00,2009,boulder,MEN,5176
3,4,Glairon Mondet,Guillaume,FRA,204.00,7. 43.00,7. 43.00,5. 51.00,6. 47.00,16. 20.00,2009,boulder,MEN,3500
4,5,Baumann,Jonas,GER,189.00,,1. 100.00,10. 34.00,,4. 55.00,2009,boulder,MEN,5206
5,6,Julien,Stephane,FRA,183.00,3. 65.00,17. 18.00,,,1. 100.00,2009,boulder,MEN,826
6,7,Preti,Lucas,ITA,145.00,10. 34.00,11. 31.00,23. 7.00,4. 55.00,17. 18.00,2009,boulder,MEN,2606
7,8,Shalagin,Mykhaylo,UKR,139.00,11. 31.00,,4. 55.00,5. 51.00,29. 2.00,2009,boulder,MEN,3205
8,9,Becan,Klemen,SLO,132.00,5. 51.00,15. 22.00,23. 7.00,25. 5.00,6. 47.00,2009,boulder,MEN,2523
9,10,Gaidioz,Loïc,FRA,128.00,,10. 34.00,7. 43.00,,5. 51.00,2009,boulder,MEN,5310
10,11,McColl,Sean,CAN,122.00,25. 5.00,,2. 80.00,9. 37.00,,2009,boulder,MEN,5089
11,12,Hori,Tsukuru,JPN,119.00,13. 26.00,8. 40.00,13. 25.00,,12. 28.00,2009,boulder,MEN,7226
12,13,Verhoeven,Jorg,NED,114.00,15. 22.00,,16. 20.00,11. 29.00,7. 43.00,2009,boulder,MEN,3115
13,13,Woods,Daniel,USA,114.00,,2. 80.00,,10. 34.00,,2009,boulder,MEN,6308
14,15,Ondra,Adam,CZE,96.00,,,11. 31.00,3. 65.00,,2009,boulder,MEN,8372
15,16,Muraoka,Tatsuya,JPN,80.00,,,,,2. 80.00,2009,boulder,MEN,8885
16,17,Lachat,Cédric,SUI,77.00,,,9. 37.00,8. 40.00,,2009,boulder,MEN,2583
17,18,Ennemoser,Lukas,AUT,68.00,9. 37.00,,,14. 24.00,23. 7.00,2009,boulder,MEN,6096
18,18,Lama,David,AUT,68.00,,,13. 25.00,7. 43.00,,2009,boulder,MEN,6487
19,18,Lebreton,Olivier,FRA,68.00,,22. 9.00,15. 22.00,,9. 37.00,2009,boulder,MEN,668
20,21,Barrans,David,GBR,66.00,25. 5.00,,6. 47.00,19. 14.00,,2009,boulder,MEN,7492
21,22,Kleshnov,Stanislav,UKR,59.00,,,12. 28.00,,11. 31.00,2009,boulder,MEN,5834
22,23,Robinson,Paul,USA,55.00,,4. 55.00,,,,2009,boulder,MEN,8366
23,24,Sharafutdinov,Dmitrii,RUS,52.00,,,,20. 12.00,8. 40.00,2009,boulder,MEN,5781
24,25,Owen,Kyle,USA,51.00,,5. 51.00,,,,2009,boulder,MEN,9005
25,26,Feehally,Edward,GBR,47.00,6. 47.00,,,,,2009,boulder,MEN,8190
26,26,Watson,Stewart,GBR,47.00,27. 3.00,,8. 40.00,,27. 4.00,2009,boulder,MEN,5300
27,28,Mogaki,Keita,JPN,46.00,20. 12.00,,,,10. 34.00,2009,boulder,MEN,3246
28,29,Kaiser,Francois,FRA,43.00,8. 40.00,,,27. 3.00,,2009,boulder,MEN,8289
29,30,Son,Sangwon,KOR,41.00,,12. 28.00,29. 1.00,,20. 12.00,2009,boulder,MEN,3394
30,31,Sommer,Remo,SUI,36.00,,19. 14.00,,15. 22.00,,2009,boulder,MEN,3498
31,32,Pouvreau,Gérome,FRA,34.00,,23. 8.00,,,13. 26.00,2009,boulder,MEN,2833
32,33,Hoppe,Markus,GER,31.00,21. 9.00,25. 6.00,18. 16.00,,,2009,boulder,MEN,3706
33,33,Kruder,Jernej,SLO,31.00,12. 28.00,,27. 3.00,,,2009,boulder,MEN,6488
34,33,Meral,Julien,FRA,31.00,,30. 1.00,29. 1.00,16. 20.00,21. 9.00,2009,boulder,MEN,3062
35,33,Rubtsov,Aleksey,RUS,31.00,,,26. 5.00,13. 26.00,,2009,boulder,MEN,9046
36,37,Hukkataival,Nalle,FIN,26.00,,16. 20.00,,,25. 6.00,2009,boulder,MEN,6433
37,37,Traversi,Carlo,USA,26.00,,13. 26.00,,,,2009,boulder,MEN,7282
38,39,Würth,Peter,GER,25.00,23. 7.00,,,21. 9.00,21. 9.00,2009,boulder,MEN,5205
39,40,Bautista,Julian,USA,24.00,,14. 24.00,,,,2009,boulder,MEN,8566
40,40,Hoarau,Didier,FRA,24.00,14. 24.00,,,,,2009,boulder,MEN,6648
41,42,Watanabe,Kazuma,JPN,22.00,,,,,15. 22.00,2009,boulder,MEN,5722
42,43,Rugens,Rolands,LAT,21.00,23. 7.00,,19. 14.00,,,2009,boulder,MEN,8245
43,44,Tak,Timo,NED,20.00,16. 20.00,,,,,2009,boulder,MEN,7027
44,45,Jongeneelen,Wouter,NED,19.00,19. 14.00,26. 5.00,,,,2009,boulder,MEN,961
45,46,Danker,Stefan,GER,18.00,,,17. 18.00,,,2009,boulder,MEN,5768
46,46,Lechner,Mario,AUT,18.00,,,,17. 18.00,,2009,boulder,MEN,6987
47,48,Andersson,Daniel,SWE,17.00,17. 17.00,,,,,2009,boulder,MEN,9551
48,48,Schulte,Ferdinand,NED,17.00,17. 17.00,,,,,2009,boulder,MEN,3039
49,50,Amma,Sachi,JPN,16.00,,,,,18. 16.00,2009,boulder,MEN,7225
50,50,Difelice,Andre,CAN,16.00,,18. 16.00,,,,2009,boulder,MEN,9539
51,50,Jaggi,Martin,SUI,16.00,,,,18. 16.00,,2009,boulder,MEN,2535
52,53,Shimizu,Atsushi,JPN,14.00,,,,,19. 14.00,2009,boulder,MEN,8038
53,54,Core,Christian,ITA,12.00,,,21. 9.00,27. 3.00,,2009,boulder,MEN,122
