,Rank,Name,Name.1,Nation,Points,1198,1197,1189,1188,2009,event,gender,athlete_id
0,1,Sinitcyn,Sergei,RUS,270.00,6. 47.00,2. 80.00,7. 43.00,1. 100.00,2009,speed,MEN,5141
1,2,Abdrakhmanov,Sergey,RUS,245.00,7. 43.00,6. 47.00,1. 100.00,4. 55.00,2009,speed,MEN,7245
2,3,Vaitsekhovskii,Evgenii,RUS,217.00,,1. 100.00,9. 37.00,2. 80.00,2009,speed,MEN,6132
3,4,Hroza,Libor,CZE,212.00,1. 100.00,3. 65.00,6. 47.00,,2009,speed,MEN,5651
4,5,Swirk,Lukasz,POL,179.00,3. 65.00,7. 43.00,10. 34.00,9. 37.00,2009,speed,MEN,8200
5,6,Kokorin,Stanislav,RUS,160.00,5. 51.00,10. 34.00,4. 55.00,16. 20.00,2009,speed,MEN,8560
6,7,Komosinski,Jedrzej,POL,159.00,8. 40.00,8. 40.00,12. 28.00,5. 51.00,2009,speed,MEN,6980
7,8,Komondi,Csaba,HUN,155.00,,5. 51.00,2. 80.00,14. 24.00,2009,speed,MEN,135
8,9,Oleksy,Tomasz,POL,150.00,4. 55.00,4. 55.00,,8. 40.00,2009,speed,MEN,906
9,10,Osipov,Maksym,UKR,137.00,2. 80.00,,11. 31.00,13. 26.00,2009,speed,MEN,6950
10,11,Styenkovyy,Maksym,UKR,116.00,,,5. 51.00,3. 65.00,2009,speed,MEN,2586
11,12,Preti,Lucas,ITA,89.00,12. 28.00,9. 37.00,14. 24.00,,2009,speed,MEN,2606
12,13,Sirotti,Michel,ITA,83.00,9. 37.00,12. 28.00,17. 18.00,,2009,speed,MEN,8274
13,14,Gontero,Leonardo,ITA,69.00,14. 24.00,11. 31.00,19. 14.00,,2009,speed,MEN,9436
14,15,Juhasz,Gyula,HUN,67.00,15. 22.00,14. 24.00,22. 9.00,20. 12.00,2009,speed,MEN,297
15,16,Zhong,QiXin,CHN,65.00,,,3. 65.00,,2009,speed,MEN,7994
16,17,Ghisolfi,Stefano,ITA,62.00,13. 26.00,13. 26.00,21. 10.00,,2009,speed,MEN,8323
17,18,De Las Salas,Leonel,VEN,60.00,,,13. 26.00,10. 34.00,2009,speed,MEN,5275
18,19,Boulbahaiem,Salah,BEL,50.00,11. 31.00,16. 19.00,,,2009,speed,MEN,6167
19,20,Podchesov,Kostiantyn,UKR,47.00,,,,6. 47.00,2009,speed,MEN,7961
20,21,Kalita,Maciej,POL,44.00,,18. 16.00,,12. 28.00,2009,speed,MEN,6745
21,22,Pociecha,Jakub,POL,43.00,,,,7. 43.00,2009,speed,MEN,7798
22,23,ZHANG,Ning,CHN,40.00,,,8. 40.00,,2009,speed,MEN,8785
23,24,Peshekhonov,Alexander,RUS,34.00,10. 34.00,,,,2009,speed,MEN,5464
24,25,Nigmanov,Zufar,RUS,31.00,,,,11. 31.00,2009,speed,MEN,7244
25,26,Yurko,Oleksiy,UKR,28.00,,,16. 20.00,22. 8.00,2009,speed,MEN,7618
26,27,Sifra,Martin,CZE,26.00,,,20. 12.00,19. 14.00,2009,speed,MEN,6992
27,28,Nieves,Josmar,VEN,24.00,,,18. 16.00,22. 8.00,2009,speed,MEN,7885
28,29,Dupin,Thomas,FRA,22.00,,15. 22.00,,,2009,speed,MEN,7873
29,29,Li,Guangpu,CHN,22.00,,,15. 22.00,,2009,speed,MEN,6781
30,29,Salimov,Oleksandr,UKR,22.00,,,,15. 22.00,2009,speed,MEN,5291
31,32,LE COUSTER,Yoann,FRA,19.00,,16. 19.00,,,2009,speed,MEN,8088
32,33,Molnar,Gergõ,HUN,18.00,,,23. 8.00,21. 10.00,2009,speed,MEN,5020
33,33,Topal,Yaroslav,UKR,18.00,,,,17. 18.00,2009,speed,MEN,7619
34,35,Puzon,Mateusz,POL,16.00,,,,18. 16.00,2009,speed,MEN,7802
