,Rank,Name,Name.1,Nation,Points,1264,1246,1263,1253,1261,1262,1254,2010,event,gender,athlete_id
0,1,Kokorin,Stanislav,RUS,455.00,7. (43.00),4. 55.00,4. 55.00,1. 100.00,3. 65.00,1. 100.00,2. 80.00,2010,speed,MEN,8560
1,2,Vaitsekhovskii,Evgenii,RUS,437.00,3. 65.00,2. 80.00,3. 65.00,6. 47.00,15. (22.00),2. 80.00,1. 100.00,2010,speed,MEN,6132
2,3,Hroza,Libor,CZE,416.00,2. 80.00,3. 65.00,5. 51.00,4. 55.00,1. 100.00,,3. 65.00,2010,speed,MEN,5651
3,4,Sinitcyn,Sergei,RUS,341.00,5. 51.00,6. 47.00,6. 47.00,3. 65.00,2. 80.00,5. 51.00,16. (20.00),2010,speed,MEN,5141
4,5,Zhong,QiXin,CHN,334.00,1. 100.00,1. 100.00,8. 40.00,,6. 47.00,6. 47.00,,2010,speed,MEN,7994
5,6,Abdrakhmanov,Sergey,RUS,279.00,15. 22.00,7. 43.00,1. 100.00,16. 20.00,,7. 43.00,5. 51.00,2010,speed,MEN,7245
6,7,ZHANG,Ning,CHN,207.00,6. 47.00,8. 40.00,7. 43.00,,5. 51.00,13. 26.00,,2010,speed,MEN,8785
7,8,Swirk,Lukasz,POL,200.00,10. 34.00,,,2. 80.00,9. 37.00,29. 2.00,6. 47.00,2010,speed,MEN,8200
8,9,Osipov,Maksym,UKR,181.00,,,,5. 51.00,10. 34.00,3. 65.00,11. 31.00,2010,speed,MEN,6950
9,10,Nigmanov,Zufar,RUS,154.00,9. 37.00,,,15. 22.00,4. 55.00,8. 40.00,,2010,speed,MEN,7244
10,11,Novikov,Ivan,RUS,133.00,,,,14. 24.00,16. 20.00,10. 34.00,4. 55.00,2010,speed,MEN,9296
11,12,Styenkovyy,Maksym,UKR,123.00,,,,8. 40.00,8. 40.00,,7. 43.00,2010,speed,MEN,2586
12,13,Zhang,Yuhang,CHN,120.00,8. 40.00,,2. 80.00,,,,,2010,speed,MEN,8786
13,14,Gál,Máté,HUN,95.00,12. 28.00,16. 20.00,9. 37.00,,,,21. 10.00,2010,speed,MEN,7855
14,15,Nieves,Josmar,VEN,89.00,,,,20. 12.00,,4. 55.00,15. 22.00,2010,speed,MEN,7885
15,16,Escobar,Manuel,VEN,88.00,,,,19. 14.00,,9. 37.00,9. 37.00,2010,speed,MEN,3235
16,17,Komosinski,Jedrzej,POL,87.00,,,,9. 37.00,21. 10.00,,8. 40.00,2010,speed,MEN,6980
17,17,Sirekanyan,Vaginak,RUS,87.00,,,,12. 28.00,7. 43.00,18. 16.00,,2010,speed,MEN,7821
18,19,Ter-Minasyan,Arman,RUS,86.00,,,,10. 34.00,12. 28.00,14. 24.00,,2010,speed,MEN,7574
19,20,Komondi,Csaba,HUN,85.00,,,,,11. 31.00,16. 20.00,10. 34.00,2010,speed,MEN,135
20,21,Oleksy,Tomasz,POL,83.00,,,,7. 43.00,22. 9.00,11. 31.00,,2010,speed,MEN,906
21,22,Shevchenko,Arsenii,RUS,67.00,,,,11. 31.00,13. 26.00,21. 10.00,,2010,speed,MEN,9700
22,23,Devyaterikov,Artyom,KAZ,58.00,,5. 51.00,,,,24. 7.00,,2010,speed,MEN,6940
23,24,Mohammadinegad,Mohsen,IRI,55.00,4. 55.00,,,,,,,2010,speed,MEN,9752
24,25,Lai,Chi-Wai,HKG,52.00,17. 18.00,10. 34.00,,,,,,2010,speed,MEN,5005
25,26,Gontero,Leonardo,ITA,50.00,,,,13. 26.00,24. 6.00,,17. 18.00,2010,speed,MEN,9436
26,27,Chae,Sungjoon,KOR,37.00,,9. 37.00,,,,,,2010,speed,MEN,10107
27,28,Kaurov,Ivan,RUS,36.00,,12. 28.00,,,,23. 8.00,,2010,speed,MEN,5137
28,29,Yurko,Oleksiy,UKR,34.00,,,,,24. 6.00,,12. 28.00,2010,speed,MEN,7618
29,30,Ghisolfi,Stefano,ITA,32.00,,,,,23. 8.00,,14. 24.00,2010,speed,MEN,8323
30,31,Seo,Chigon,KOR,31.00,,11. 31.00,,,,,,2010,speed,MEN,10109
31,31,Zhong,Lincai,CHN,31.00,11. 31.00,,,,,,,2010,speed,MEN,10234
32,33,Savelyev,Artem,RUS,28.00,,,,,,12. 28.00,,2010,speed,MEN,8980
33,34,De Las Salas,Leonel,VEN,26.00,,,,,,,13. 26.00,2010,speed,MEN,5275
34,34,Jang,Yongho,KOR,26.00,,13. 26.00,,,,,,2010,speed,MEN,7479
35,34,Toozandehjani,Hamidreza,IRI,26.00,13. 26.00,,,,,,,2010,speed,MEN,7332
36,37,Lai,pingsheng,CHN,24.00,14. 24.00,,,,,,,2010,speed,MEN,10235
37,37,Topal,Yaroslav,UKR,24.00,,,,,14. 24.00,,,2010,speed,MEN,7619
38,37,Yau,Ka-chun,HKG,24.00,,14. 24.00,,,,,,2010,speed,MEN,9194
39,40,Boldyrev,Danyil,UKR,22.00,,,,,,15. 22.00,,2010,speed,MEN,7964
40,40,Tirado,Daniel,COL,22.00,,15. 22.00,,,,,,2010,speed,MEN,10122
41,42,Sheikhbahaei,Omid,IRI,20.00,16. 20.00,,,,,,,2010,speed,MEN,10185
42,43,Pociecha,Jakub,POL,19.00,,,,,28. 3.00,,18. 16.00,2010,speed,MEN,7798
43,44,Boulbahaiem,Salah,BEL,18.00,,,,21. 10.00,,,22. 8.00,2010,speed,MEN,6167
44,44,Halasa,Rafal,POL,18.00,,,,,17. 18.00,,,2010,speed,MEN,9494
45,44,Kosterin,Alexander,RUS,18.00,,,,,,17. 18.00,,2010,speed,MEN,5293
46,44,Sirotti,Michel,ITA,18.00,,,,17. 18.00,,,,2010,speed,MEN,8274
47,48,Suolang,Jiacuo,CHN,17.00,19. 14.00,,,,,28. 3.00,,2010,speed,MEN,8900
48,49,LE COUSTER,Yoann,FRA,16.00,,,,,18. 16.00,,,2010,speed,MEN,8088
49,49,Qu,HaiBin,CHN,16.00,18. 16.00,,,,,,,2010,speed,MEN,8536
50,49,Sirotti,Gianluca,ITA,16.00,,,,18. 16.00,,,,2010,speed,MEN,10035
51,52,Quinteros,Andres,ECU,14.00,,,,,19. 14.00,,,2010,speed,MEN,8648
52,52,Rugens,Rolands,LAT,14.00,,,,,,19. 14.00,,2010,speed,MEN,8245
53,52,Styla,Hubert,POL,14.00,,,,,,,19. 14.00,2010,speed,MEN,9877
54,55,Astashkin,Evgeny,RUS,12.00,,,,,,20. 12.00,,2010,speed,MEN,10019
55,55,Dupin,Thomas,FRA,12.00,,,,,20. 12.00,,,2010,speed,MEN,7873
56,55,Gál,Bence,HUN,12.00,,,,,,,20. 12.00,2010,speed,MEN,6493
57,55,Ma,ZiDa,CHN,12.00,20. 12.00,,,,,,,2010,speed,MEN,9415
