,Rank,Name,Name.1,Nation,Points,1325,1322,1321,1320,1298,1319,1318,1317,1316,2011,event,gender,athlete_id
0,1,Stöhr,Anna,AUT,652.00,3. 65.00,6. 47.00,6. (47.00),2. 80.00,1. 100.00,2. 80.00,1. 100.00,1. 100.00,2. 80.00,2011,boulder,WOMEN,5630
1,2,Noguchi,Akiyo,JPN,633.00,6. 47.00,1. 100.00,1. 100.00,1. 100.00,5. 51.00,1. 100.00,7. (43.00),2. 80.00,4. 55.00,2011,boulder,WOMEN,6326
2,3,Puccio,Alex,USA,502.00,8. 38.00,3. 65.00,2. 80.00,10. (34.00),2. 80.00,6. 47.00,2. 80.00,3. 65.00,6. 47.00,2011,boulder,WOMEN,7286
3,4,Le Neve,Melissa,FRA,427.00,,2. 80.00,3. 65.00,3. 65.00,3. 65.00,8. 40.00,23. 7.00,8. 40.00,3. 65.00,2011,boulder,WOMEN,9074
4,5,Markovic,Mina,SLO,385.00,1. 100.00,,4. 55.00,7. 43.00,8. 40.00,5. 51.00,19. 14.00,11. 31.00,5. 51.00,2011,boulder,WOMEN,5169
5,6,Wurm,Juliane,GER,375.00,2. 80.00,4. 55.00,5. 51.00,4. 55.00,16. 20.00,4. 55.00,9. 37.00,,15. 22.00,2011,boulder,WOMEN,6064
6,7,KIM,Jain,KOR,275.00,,,,,4. 55.00,3. 65.00,4. 55.00,,1. 100.00,2011,boulder,WOMEN,5983
7,8,Johnson,Alex,USA,273.00,,12. 28.00,7. 43.00,9. 37.00,7. 43.00,7. 43.00,25. 5.00,10. 34.00,8. 40.00,2011,boulder,WOMEN,6325
8,9,Chevrier,Anne-Laure,FRA,250.00,,17. 18.00,14. 24.00,5. 51.00,10. 34.00,13. 26.00,5. 51.00,17. 18.00,12. 28.00,2011,boulder,WOMEN,5636
9,10,Saurwein,Katharina,AUT,248.00,,5. 51.00,10. 34.00,11. 31.00,11. 31.00,9. 37.00,23. 7.00,9. 37.00,16. 20.00,2011,boulder,WOMEN,5244
10,11,Sandoz,Mélanie,FRA,228.00,7. 43.00,9. 37.00,8. 40.00,8. 40.00,,,25. 5.00,13. 26.00,9. 37.00,2011,boulder,WOMEN,6220
11,12,Zijlstra,Vera,NED,175.00,13. 26.00,19. 14.00,26. 5.00,14. 24.00,15. 22.00,10. 34.00,14. 24.00,,13. 26.00,2011,boulder,WOMEN,5641
12,13,Klingler,Petra,SUI,158.00,,,23. 8.00,6. 47.00,,,6. 47.00,15. 22.00,10. 34.00,2011,boulder,WOMEN,6367
13,14,Avezou,Cecile,FRA,143.00,20. 12.00,14. 24.00,11. 31.00,18. 16.00,,,12. 28.00,23. 8.00,14. 24.00,2011,boulder,WOMEN,1055
14,15,Shalagina,Olga,UKR,130.00,,,,15. 22.00,,,3. 65.00,7. 43.00,,2011,boulder,WOMEN,3268
15,16,Dufraisse,Alizée,FRA,119.00,8. 38.00,,,29. 2.00,,,18. 16.00,16. 20.00,7. 43.00,2011,boulder,WOMEN,6219
16,17,Bacher,Sabine,AUT,112.00,11. 31.00,18. 16.00,12. 28.00,22. 9.00,,,20. 12.00,24. 7.00,22. 9.00,2011,boulder,WOMEN,2821
17,18,Lavarda,Jenny,ITA,103.00,,15. 22.00,,16. 20.00,,,21. 9.00,5. 51.00,30. 1.00,2011,boulder,WOMEN,1179
18,19,Coxsey,Shauna,GBR,95.00,4. 55.00,8. 40.00,,,,,,,,2011,boulder,WOMEN,8247
19,20,Chereshneva,Yana,RUS,91.00,5. 51.00,,,,,,8. 40.00,,,2011,boulder,WOMEN,6324
20,21,Payne,Angela,USA,78.00,,,,,6. 47.00,11. 31.00,,,,2011,boulder,WOMEN,3322
21,22,Aveline,Morgane,FRA,73.00,12. 28.00,,,,,,11. 31.00,,19. 14.00,2011,boulder,WOMEN,6234
22,22,Gros,Natalija,SLO,73.00,,,,13. 26.00,,,,6. 47.00,,2011,boulder,WOMEN,2755
23,24,Bibik,Olga,RUS,71.00,,,,12. 28.00,,,16. 19.00,14. 24.00,,2011,boulder,WOMEN,1308
24,25,Merrick,Diane,GBR,68.00,27. 4.00,7. 43.00,18. 16.00,26. 4.00,,,,30. 1.00,,2011,boulder,WOMEN,8759
25,26,Balakireva,Alexandra,RUS,62.00,,,13. 26.00,19. 14.00,,,15. 22.00,,,2011,boulder,WOMEN,3315
26,27,Vidmar,Katja,SLO,55.00,,,,,,,,4. 55.00,,2011,boulder,WOMEN,3137
27,28,Leslie-Wujastyk,Mina,GBR,53.00,,10. 34.00,21. 9.00,24. 7.00,,,27. 3.00,,,2011,boulder,WOMEN,9221
28,28,Retschy,Monika,GER,53.00,25. 6.00,13. 26.00,,17. 18.00,,,27. 3.00,,,2011,boulder,WOMEN,7641
29,30,Gallyamova,Anna,RUS,49.00,10. 34.00,,,,,,21. 9.00,,25. 6.00,2011,boulder,WOMEN,5146
30,31,Delpierre,Marine,FRA,46.00,,,9. 37.00,,,,,22. 9.00,,2011,boulder,WOMEN,1085
31,31,Oda,Momoka,JPN,46.00,,,,,,,10. 34.00,20. 12.00,,2011,boulder,WOMEN,9097
32,33,Sethna,Elise,CAN,45.00,24. 7.00,,,,14. 24.00,19. 14.00,,,,2011,boulder,WOMEN,9138
33,34,Whittaker,Katy,GBR,43.00,,16. 20.00,16. 20.00,28. 3.00,,,,,,2011,boulder,WOMEN,6701
34,35,Posch,Katharina,AUT,42.00,,,,,,,13. 26.00,,18. 16.00,2011,boulder,WOMEN,8896
35,36,Riddle,Dana,USA,37.00,,,,,9. 37.00,,,,,2011,boulder,WOMEN,9670
36,37,Metcalf,Francesca,USA,35.00,,,,,23. 7.00,12. 28.00,,,,2011,boulder,WOMEN,8212
37,37,Peet,Gill,GBR,35.00,26. 5.00,20. 12.00,17. 18.00,,,,,,,2011,boulder,WOMEN,9882
38,39,SA,Sol,KOR,34.00,,,,,20. 12.00,15. 22.00,,,,2011,boulder,WOMEN,9266
39,40,Eyer,Alexandra,SUI,32.00,,,,,,,,12. 28.00,27. 4.00,2011,boulder,WOMEN,991
40,41,Crane,Leah,GBR,31.00,,11. 31.00,,,,,,,,2011,boulder,WOMEN,6849
41,41,Ruzickova,Petra,CZE,31.00,14. 24.00,,24. 7.00,,,,,,,2011,boulder,WOMEN,10418
42,41,Thévenet,Marine,FRA,31.00,,,,,,,,,11. 31.00,2011,boulder,WOMEN,6514
43,44,Sanders,Courtney,USA,30.00,,21. 10.00,25. 6.00,,28. 2.00,20. 12.00,,,,2011,boulder,WOMEN,10472
44,45,Stotz,Rebekka,SUI,29.00,,,,,,,16. 19.00,,21. 10.00,2011,boulder,WOMEN,8878
45,46,Hensley,Tiffany,USA,28.00,,,,,12. 28.00,,,,,2011,boulder,WOMEN,7290
46,47,Youngwerth,Tyler,USA,26.00,,,,,13. 26.00,,,,,2011,boulder,WOMEN,9336
47,48,Asher,Elizabeth,USA,24.00,,,,,,14. 24.00,,,,2011,boulder,WOMEN,3677
48,48,Hagiwara,Asaki,JPN,24.00,,,,,21. 10.00,24. 7.00,,,23. 7.00,2011,boulder,WOMEN,7487
49,48,Kaiser,Clementine,FRA,24.00,,,19. 14.00,21. 10.00,,,,,,2011,boulder,WOMEN,9549
50,51,Schwab,Tabea,SUI,23.00,,,,20. 12.00,,,,25. 6.00,26. 5.00,2011,boulder,WOMEN,3885
51,52,DiGiulian,Sasha,USA,22.00,15. 22.00,,,,,,,,,2011,boulder,WOMEN,7939
52,52,Nevelikova,Karolina,CZE,22.00,22. 8.00,,,,,,,19. 14.00,,2011,boulder,WOMEN,9935
53,52,Rohner,Amanda,SUI,22.00,,,15. 22.00,,,,,,,2011,boulder,WOMEN,6072
54,55,Weldon,Stacey,CAN,20.00,,,,,,16. 20.00,,,,2011,boulder,WOMEN,3317
55,55,Winter,Julia,GER,20.00,16. 20.00,,,,,,,,,2011,boulder,WOMEN,3458
56,57,Carpenter,Thirza,CAN,18.00,,,,,,17. 18.00,,,,2011,boulder,WOMEN,5841
57,57,Malamid,Evgeniia,RUS,18.00,,,,,,,,,17. 18.00,2011,boulder,WOMEN,5147
58,57,Rude,Chelsea,USA,18.00,,,,,17. 18.00,,,,,2011,boulder,WOMEN,5052
59,57,Tunyavanich,Puntarika,THA,18.00,17. 18.00,,,,,,,,,2011,boulder,WOMEN,7461
60,61,Kadic,Katja,SLO,16.00,,,,,,,,18. 16.00,,2011,boulder,WOMEN,9472
61,61,Modrzejewska,Agata,POL,16.00,18. 16.00,,,,,,,,,2011,boulder,WOMEN,6677
62,61,Szekely,Andrea Brigitta,HUN,16.00,,,,,18. 16.00,,,,,2011,boulder,WOMEN,6696
63,61,Yip,Alannah,CAN,16.00,,,,,,18. 16.00,,,,2011,boulder,WOMEN,8590
64,65,Faille,Camille,FRA,14.00,19. 14.00,,,,,,,,,2011,boulder,WOMEN,10026
65,65,Hayen,Magali,BEL,14.00,22. 8.00,,,25. 6.00,,,,,,2011,boulder,WOMEN,9010
66,65,Pietras,Kasia,USA,14.00,,,,,19. 14.00,,,,,2011,boulder,WOMEN,6685
67,65,Reid,Holly,CAN,14.00,,24. 7.00,27. 4.00,,,28. 3.00,,,,2011,boulder,WOMEN,9013
68,69,Carro Fernández,Eva,ESP,12.00,,,20. 12.00,,,,,,,2011,boulder,WOMEN,10575
69,69,Chiappa,Elena,ITA,12.00,,,,,,,,,20. 12.00,2011,boulder,WOMEN,8067
70,71,Weldon,Victoria,CAN,11.00,,,,,23. 7.00,27. 4.00,,,,2011,boulder,WOMEN,5820
71,72,Austin,Sarah,CAN,10.00,,,,,28. 2.00,22. 8.00,,,,2011,boulder,WOMEN,3323
72,72,Faus,Isabelle,USA,10.00,,,,,,21. 10.00,,,,2011,boulder,WOMEN,9339
73,72,Matsushima,Yuki,JPN,10.00,,22. 9.00,29. 1.00,,,,,,,2011,boulder,WOMEN,10068
74,72,Savchenko,Ganna,UKR,10.00,,,,,,,,21. 10.00,,2011,boulder,WOMEN,7274
75,72,Schützenberger,Sarah,GER,10.00,21. 10.00,,,,,,,,,2011,boulder,WOMEN,9057
76,77,Gibert,Fanny,FRA,9.00,,,21. 9.00,,,,,,,2011,boulder,WOMEN,9989
77,77,Watanabe,Saari,JPN,9.00,,,,,22. 9.00,,,,,2011,boulder,WOMEN,7463
78,79,Bacher,Katharina,AUT,8.00,,23. 8.00,,,,,,,,2011,boulder,WOMEN,9967
79,79,Lam,Clarrie,CAN,8.00,,,,,,22. 8.00,,,,2011,boulder,WOMEN,7167
