,Rank,Name,Name.1,Nation,Points,1458,1461,1460,1459,1462,1457,1456,1455,2013,event,gender,athlete_id
0,1,Amma,Sachi,JPN,572.00,3. 65.00,6. 47.00,1. 100.00,1. 100.00,,2. 80.00,1. 100.00,2. 80.00,2013,lead,MEN,7225
1,2,Schubert,Jakob,AUT,535.00,1. 100.00,4. 55.00,3. 65.00,4. 55.00,2. 80.00,1. 100.00,2. 80.00,23. (8.00),2013,lead,MEN,6550
2,3,Julian Puigblanque,Ramón,ESP,420.00,8. 40.00,8. 40.00,17. (18.00),10. 32.00,1. 100.00,7. 43.00,3. 65.00,1. 100.00,2013,lead,MEN,3521
3,4,Min,Hyunbin,KOR,360.00,5. 51.00,7. 43.00,,2. 80.00,3. 65.00,8. 40.00,4. 55.00,13. 26.00,2013,lead,MEN,7229
4,5,McColl,Sean,CAN,356.00,10. 32.00,2. 80.00,2. 80.00,3. 65.00,,3. 65.00,10. 34.00,,2013,lead,MEN,5089
5,6,Desgranges,Romain,FRA,346.00,7. 43.00,5. 51.00,4. 55.00,5. 51.00,5. 51.00,4. 55.00,8. 40.00,16. (20.00),2013,lead,MEN,3554
6,7,Supper,Gautier,FRA,333.00,4. 55.00,3. 65.00,7. 43.00,9. 37.00,6. 47.00,11. (31.00),7. 43.00,7. 43.00,2013,lead,MEN,6498
7,8,Romain,Manuel,FRA,319.00,6. 47.00,9. 37.00,6. 47.00,7. 43.00,7. 43.00,5. 51.00,9. (37.00),5. 51.00,2013,lead,MEN,7056
8,9,Skofic,Domen,SLO,245.00,24. 7.00,11. 31.00,11. 31.00,6. 47.00,9. 37.00,9. 37.00,,4. 55.00,2013,lead,MEN,8958
9,10,Ghisolfi,Stefano,ITA,232.00,25. (6.00),10. 34.00,9. 37.00,8. 40.00,8. 40.00,16. 20.00,19. 14.00,6. 47.00,2013,lead,MEN,8323
10,11,Ondra,Adam,CZE,180.00,2. 80.00,1. 100.00,,,,,,,2013,lead,MEN,8372
11,12,Ballet,Thomas,FRA,175.00,,13. 26.00,,,10. 34.00,10. 34.00,6. 47.00,10. 34.00,2013,lead,MEN,7663
12,13,Lechner,Mario,AUT,151.00,21. 10.00,16. 20.00,12. 28.00,15. 22.00,11. 31.00,23. (8.00),13. 26.00,19. 14.00,2013,lead,MEN,6987
13,14,Primozic,Urban,SLO,147.00,17. 18.00,14. 24.00,5. 51.00,13. 26.00,,,12. 28.00,,2013,lead,MEN,8137
14,15,Midtboe,Magnus,NOR,134.00,26. 5.00,,,,,6. 47.00,5. 51.00,11. 31.00,2013,lead,MEN,5800
15,16,Vettorata,Francesco,ITA,128.00,15. 22.00,12. 28.00,,,18. 14.00,14. 24.00,20. 12.00,12. 28.00,2013,lead,MEN,10404
16,17,Chernikov,Mikhail,RUS,101.00,10. 32.00,,,,16. 19.00,24. 7.00,11. 31.00,20. 12.00,2013,lead,MEN,6935
17,18,Tauporn,Thomas,GER,96.00,,15. 22.00,,,13. 26.00,,23. 8.00,8. 40.00,2013,lead,MEN,6564
18,19,Timmermans,Loïc,BEL,93.00,19. 14.00,19. 14.00,,16. 20.00,18. 14.00,22. 9.00,,15. 22.00,2013,lead,MEN,9492
19,20,Matsushima,Akito,JPN,90.00,20. 12.00,,15. 22.00,12. 28.00,,12. 28.00,,,2013,lead,MEN,3206
20,21,Shimatani,Naoki,JPN,82.00,,21. 10.00,8. 40.00,10. 32.00,,,,,2013,lead,MEN,10069
21,22,Fakiryanov,Dmitrii,RUS,79.00,14. 24.00,,,,4. 55.00,,,,2013,lead,MEN,10279
22,23,Halenke,Sebastian,GER,69.00,13. 26.00,,,,,,25. 6.00,9. 37.00,2013,lead,MEN,9426
23,24,Becan,Klemen,SLO,65.00,16. 20.00,,,,16. 19.00,13. 26.00,,,2013,lead,MEN,2523
24,24,Lachat,Cédric,SUI,65.00,,,,,,,,3. 65.00,2013,lead,MEN,2583
25,26,Raztresen,Jure,SLO,60.00,9. 37.00,,,,,15. 22.00,,30. 1.00,2013,lead,MEN,8300
26,27,Epih,Sergej,SLO,57.00,12. 28.00,,,,,,15. 22.00,24. 7.00,2013,lead,MEN,8784
27,28,Jubes Angarita,Marco Antonio,ESP,55.00,,,16. 20.00,18. 16.00,,30. 1.00,,17. 18.00,2013,lead,MEN,6937
28,29,Hakamada,Naoto,JPN,50.00,,25. 6.00,10. 34.00,,,,21. 10.00,,2013,lead,MEN,7824
29,30,Kim,Jabee,KOR,47.00,30. 1.00,18. 16.00,,21. 10.00,21. 10.00,,,21. 10.00,2013,lead,MEN,5799
30,31,Hanke,Christoph,GER,42.00,,,,,25. 6.00,18. 16.00,16. 20.00,,2013,lead,MEN,9683
31,32,Köb,Lukas,AUT,36.00,,,,,15. 22.00,19. 14.00,,,2013,lead,MEN,8312
32,33,Kasahara,Daisuke,JPN,35.00,,,,19. 14.00,,28. 3.00,17. 18.00,,2013,lead,MEN,11479
33,34,Rekabi,Davoud,IRI,33.00,,,22. 9.00,14. 24.00,,,,,2013,lead,MEN,4991
34,35,Kalina,Alexander,RUS,28.00,,,,,12. 28.00,,,,2013,lead,MEN,8731
35,36,JonasMcRae,Elan,CAN,27.00,22. 9.00,17. 18.00,,,,,,,2013,lead,MEN,10080
36,37,Nakano,Minoru,JPN,26.00,,,,,,,14. 24.00,29. 2.00,2013,lead,MEN,11718
37,37,Ozawa,Shinta,JPN,26.00,,,13. 26.00,,,,,,2013,lead,MEN,5952
38,37,Ter-Minasyan,Arman,RUS,26.00,,,,,18. 14.00,,22. 9.00,28. 3.00,2013,lead,MEN,7574
39,40,Ravanal,Tomas,CHI,25.00,,,,,,17. 18.00,24. 7.00,,2013,lead,MEN,10020
40,40,Röck,Bernhard,AUT,25.00,,22. 9.00,,,,,18. 16.00,,2013,lead,MEN,9974
41,42,Camacho,Reinaldo,VEN,24.00,,,,,,,,14. 24.00,2013,lead,MEN,7886
42,42,Chesnokov,Semen,RUS,24.00,,,,,14. 24.00,,,,2013,lead,MEN,9697
43,42,Suolang,Jiacuo,CHN,24.00,,,14. 24.00,,,,,,2013,lead,MEN,8900
44,45,Cho,Seungwoon,KOR,23.00,,,,17. 18.00,,26. 5.00,,,2013,lead,MEN,8509
45,45,Wang,Qinghua,CHN,23.00,,,18. 16.00,,24. 7.00,,,,2013,lead,MEN,5935
46,47,Joannes,Thomas,FRA,21.00,18. 16.00,26. 5.00,,,,,,,2013,lead,MEN,9758
47,48,Zazulin,Evgenii,RUS,20.00,,,,,22. 9.00,25. 6.00,,26. 5.00,2013,lead,MEN,7572
48,49,Bombardi,Marcello,ITA,16.00,,28. 3.00,,,,21. 10.00,27. 3.00,,2013,lead,MEN,8317
49,49,KIM,Hanwool,KOR,16.00,,,,20. 12.00,,27. 4.00,,,2013,lead,MEN,8503
50,49,Sharafutdinov,Dmitrii,RUS,16.00,,,,,,,,18. 16.00,2013,lead,MEN,5781
51,52,Narasaki,Tomoa,JPN,15.00,,24. 7.00,,23. 8.00,,,,,2013,lead,MEN,10618
52,53,Ma,ZiDa,CHN,14.00,,,19. 14.00,,,,,,2013,lead,MEN,9415
53,54,Guerimand,Flavien,FRA,12.00,,20. 12.00,,,,,,,2013,lead,MEN,3287
54,54,Krakenberger,Franz,SUI,12.00,,,,,,20. 12.00,,,2013,lead,MEN,7387
55,54,Qu,HaiBin,CHN,12.00,,,20. 12.00,,,,,,2013,lead,MEN,8536
56,57,Kumar,Gaurav,IND,10.00,,,21. 10.00,,,,,,2013,lead,MEN,11188
57,58,Kim,Myeongsu,KOR,9.00,,,,22. 9.00,,,,,2013,lead,MEN,11517
58,58,Puman,Hannes,SWE,9.00,,,,,,,,22. 9.00,2013,lead,MEN,10365
59,60,Mardashov,Anton,UKR,8.00,23. 8.00,,,,,,,,2013,lead,MEN,7965
60,60,Nitta,Tatsumi,JPN,8.00,,23. 8.00,,,,,,,2013,lead,MEN,9100
61,60,Vernaison,Clement,FRA,8.00,,27. 4.00,,,,,,27. 4.00,2013,lead,MEN,8763
62,60,Wechsler,Or,ISR,8.00,,,,,23. 8.00,,,,2013,lead,MEN,8926
63,64,CHON,Jongwon,KOR,7.00,,,,24. 7.00,,,,,2013,lead,MEN,11183
64,65,Esteller Ocaña,Victor,ESP,6.00,,,,,,,,25. 6.00,2013,lead,MEN,8430
65,65,Kim,Hongil,KOR,6.00,,,,25. 6.00,,,,,2013,lead,MEN,9197
66,67,Bergant,Martin,SLO,5.00,,,,,,,26. 5.00,,2013,lead,MEN,9997
67,67,Schellingerhout,Elko,NED,5.00,,29. 2.00,,,,,27. 3.00,,2013,lead,MEN,8869
68,67,Seo,Sungbo,KOR,5.00,,,,26. 5.00,,,,,2013,lead,MEN,9265
69,67,Shagin,Andrey,RUS,5.00,,,,,26. 5.00,,,,2013,lead,MEN,9698
70,71,Kupchik,Arseniy,RUS,4.00,,,,,27. 4.00,,,,2013,lead,MEN,11865
71,71,Lefevre,Ludovic,FRA,4.00,,30. 1.00,,,,,27. 3.00,,2013,lead,MEN,11258
72,71,Park,Hee Yong,KOR,4.00,,,,27. 4.00,,,,,2013,lead,MEN,7852
73,71,Pintar,Gasper,SLO,4.00,27. 4.00,,,,,,,,2013,lead,MEN,8957
74,75,De Mattia,Nicola,ITA,3.00,28. 3.00,,,,,,,,2013,lead,MEN,3504
75,75,Lee,Changhyon,KOR,3.00,,,,28. 3.00,,,,,2013,lead,MEN,8776
76,75,Volkov,Gleb,RUS,3.00,,,,,28. 3.00,,,,2013,lead,MEN,12396
77,78,Hamer,Edward,GBR,2.00,29. 2.00,,,,,,,,2013,lead,MEN,9375
78,78,Novitskiy,Yury,RUS,2.00,,,,,29. 2.00,,,,2013,lead,MEN,8427
