,Rank,Name,Name.1,Nation,Points,1584,1587,1581,1586,1585,2015,event,gender,athlete_id
0,1,Noguchi,Akiyo,JPN,395.00,4. 55.00,2. 80.00,1. 100.00,2. 80.00,2. 80.00,2015,boulder,WOMEN,6326
1,2,Coxsey,Shauna,GBR,332.00,1. 100.00,3. 65.00,3. 65.00,3. 65.00,9. 37.00,2015,boulder,WOMEN,8247
2,3,Nonaka,Miho,JPN,276.00,7. 43.00,4. 55.00,2. 80.00,4. 55.00,7. 43.00,2015,boulder,WOMEN,12039
3,4,Klingler,Petra,SUI,224.00,18. 16.00,1. 100.00,10. 34.00,7. 43.00,11. 31.00,2015,boulder,WOMEN,6367
4,5,Mascarenas,Megan,USA,165.00,3. 65.00,,,1. 100.00,,2015,boulder,WOMEN,12027
5,6,Saurwein,Katharina,AUT,163.00,,5. 51.00,9. 37.00,14. 24.00,5. 51.00,2015,boulder,WOMEN,5244
6,7,SA,Sol,KOR,158.00,8. 40.00,7. 43.00,6. 47.00,20. 12.00,18. 16.00,2015,boulder,WOMEN,9266
7,8,Gibert,Fanny,FRA,151.00,2. 80.00,,,11. 31.00,8. 40.00,2015,boulder,WOMEN,9989
8,8,Stöhr,Anna,AUT,151.00,,,,5. 51.00,1. 100.00,2015,boulder,WOMEN,5630
9,10,Le Neve,Melissa,FRA,150.00,,6. 47.00,8. 40.00,18. 16.00,6. 47.00,2015,boulder,WOMEN,9074
10,11,Kruder,Julijana,SLO,148.00,12. 28.00,12. 28.00,14. 24.00,10. 34.00,10. 34.00,2015,boulder,WOMEN,10818
11,12,Onoe,Aya,JPN,116.00,20. 12.00,22. 9.00,4. 55.00,13. 26.00,19. 14.00,2015,boulder,WOMEN,9731
12,13,Schwaiger,Berit,AUT,112.00,13. 26.00,11. 31.00,13. 26.00,16. 20.00,21. 9.00,2015,boulder,WOMEN,8953
13,14,Retschy,Monika,GER,102.00,,23. 8.00,5. 51.00,8. 40.00,27. 3.00,2015,boulder,WOMEN,7641
14,15,Kobayashi,Yuka,JPN,76.00,25. 5.00,8. 40.00,11. 31.00,,,2015,boulder,WOMEN,5254
15,16,Wurm,Juliane,GER,72.00,,,,23. 7.00,3. 65.00,2015,boulder,WOMEN,6064
16,17,Hayes,Margo,USA,65.00,,,,6. 47.00,17. 18.00,2015,boulder,WOMEN,11377
17,18,Crane,Leah,GBR,64.00,,9. 37.00,21. 9.00,21. 9.00,21. 9.00,2015,boulder,WOMEN,6849
18,19,Durif,Charlotte,FRA,63.00,,,,9. 37.00,13. 26.00,2015,boulder,WOMEN,6513
19,20,Caulier,Chloe,BEL,60.00,10. 34.00,13. 26.00,,,,2015,boulder,WOMEN,9945
20,21,Sinnhuber,Karoline,AUT,56.00,11. 31.00,,,15. 22.00,27. 3.00,2015,boulder,WOMEN,9475
21,22,Puccio,Alex,USA,55.00,,,,,4. 55.00,2015,boulder,WOMEN,7286
22,23,Zijlstra,Vera,NED,52.00,,10. 34.00,18. 16.00,29. 1.00,29. 1.00,2015,boulder,WOMEN,5641
23,24,Gejo,Stasa,SRB,51.00,5. 51.00,,,,,2015,boulder,WOMEN,10338
24,25,Weldon,Stacey,CAN,50.00,,21. 10.00,12. 28.00,25. 5.00,23. 7.00,2015,boulder,WOMEN,3317
25,26,Payne,Angela,USA,49.00,,,,12. 28.00,15. 21.00,2015,boulder,WOMEN,3322
26,27,Kadic,Katja,SLO,47.00,6. 47.00,,,,,2015,boulder,WOMEN,9472
27,28,Johnson,Alex,USA,46.00,,,,17. 18.00,12. 28.00,2015,boulder,WOMEN,6325
28,29,Tajima,Aika,JPN,43.00,,,7. 43.00,,,2015,boulder,WOMEN,11397
29,30,Blair-Coyle,Sierra,USA,42.00,29. 1.00,17. 18.00,21. 9.00,21. 9.00,25. 5.00,2015,boulder,WOMEN,8256
30,30,Kim,Minseon,KOR,42.00,,15. 22.00,16. 20.00,,,2015,boulder,WOMEN,11187
31,32,Midtboe,Hannah,NOR,40.00,9. 37.00,,,27. 3.00,,2015,boulder,WOMEN,6522
32,33,Niu,Di,CHN,38.00,,16. 20.00,17. 18.00,,,2015,boulder,WOMEN,10611
33,34,JIANG,Rong,CHN,36.00,,14. 24.00,20. 12.00,,,2015,boulder,WOMEN,9190
34,35,Ekwinska,Katarzyna,POL,33.00,,25. 6.00,15. 22.00,,25. 5.00,2015,boulder,WOMEN,9928
35,35,Sandoz,Mélanie,FRA,33.00,25. 5.00,,,23. 7.00,15. 21.00,2015,boulder,WOMEN,6220
36,37,Oba,Miwa,JPN,28.00,27. 3.00,19. 14.00,23. 8.00,27. 3.00,,2015,boulder,WOMEN,11256
37,38,Kremer,Valeri,ISR,24.00,14. 24.00,,,,,2015,boulder,WOMEN,8380
38,38,Ponzo,Elsa,FRA,24.00,,,,,14. 24.00,2015,boulder,WOMEN,10920
39,40,Hosono,Kaori,JPN,23.00,,18. 16.00,25. 6.00,,29. 1.00,2015,boulder,WOMEN,12503
40,41,Späte,Jara,SUI,22.00,15. 22.00,,,,,2015,boulder,WOMEN,10515
41,42,Ulzhabayeva,Tamara,KAZ,21.00,,24. 7.00,19. 14.00,,,2015,boulder,WOMEN,5151
42,43,Hayes,Tara,GBR,20.00,16. 20.00,,,,,2015,boulder,WOMEN,10490
43,44,Holfeld,Johanna,GER,18.00,17. 18.00,,,,,2015,boulder,WOMEN,51759
44,45,Buhrfeind,Claire,USA,14.00,,,,19. 14.00,,2015,boulder,WOMEN,11375
45,45,Bärtschi,Natalie,SUI,14.00,19. 14.00,,,,,2015,boulder,WOMEN,8879
46,47,Martin,Meagan,USA,12.00,,,,,20. 12.00,2015,boulder,WOMEN,6327
47,47,RENQING,LaMu,CHN,12.00,,20. 12.00,,,,2015,boulder,WOMEN,9191
