,Rank,Name,Name.1,Nation,Points,1593,1594,1592,1591,1590,1589,1588,2015,event,gender,athlete_id
0,1,Markovic,Mina,SLO,527.00,1. 100.00,6. 47.00,2. 80.00,1. 100.00,1. 100.00,8. (40.00),1. 100.00,2015,lead,WOMEN,5169
1,2,KIM,Jain,KOR,461.00,4. 55.00,1. 100.00,1. 100.00,4. 55.00,12. (28.00),1. 100.00,5. 51.00,2015,lead,WOMEN,5983
2,3,Pilz,Jessica,AUT,435.00,2. 80.00,3. 65.00,4. (55.00),2. 80.00,3. 65.00,2. 80.00,3. 65.00,2015,lead,WOMEN,9970
3,4,Verhoeven,Anak,BEL,381.00,5. 51.00,2. 80.00,3. 65.00,3. 65.00,8. (40.00),3. 65.00,4. 55.00,2015,lead,WOMEN,9867
4,5,Janicot,Hélène,FRA,298.00,6. 47.00,4. 55.00,7. 43.00,5. 51.00,4. 55.00,11. (31.00),6. 47.00,2015,lead,WOMEN,9077
5,6,Kobayashi,Yuka,JPN,234.00,12. 28.00,5. 51.00,8. 40.00,8. 40.00,5. 51.00,14. 24.00,15. (22.00),2015,lead,WOMEN,5254
6,7,Garnbret,Janja,SLO,225.00,3. 65.00,,,,2. 80.00,,2. 80.00,2015,lead,WOMEN,11989
7,8,Ota,Risa,JPN,217.00,10. 34.00,10. 32.00,,7. 43.00,13. 26.00,5. 51.00,11. 31.00,2015,lead,WOMEN,9212
8,9,Kalan,Tjasa,SLO,207.00,26. (5.00),14. 24.00,10. 34.00,6. 47.00,6. 47.00,9. 37.00,17. 18.00,2015,lead,WOMEN,10826
9,10,Becerra,Mathilde,FRA,201.00,7. 43.00,,13. 26.00,9. 37.00,16. 20.00,4. 55.00,16. 20.00,2015,lead,WOMEN,9317
10,11,Chanourdie,Julia,FRA,175.00,9. 37.00,,5. 51.00,14. 24.00,10. 34.00,16. 20.00,22. 9.00,2015,lead,WOMEN,9984
11,12,Posch,Katharina,AUT,173.00,15. 22.00,8. 40.00,11. 31.00,12. 28.00,14. 24.00,12. 28.00,21. (10.00),2015,lead,WOMEN,8896
12,13,Schranz,Christine,AUT,171.00,8. 40.00,,15. 22.00,18. 16.00,7. 43.00,15. 22.00,12. 28.00,2015,lead,WOMEN,5629
13,14,Miller,Delaney,USA,169.00,,13. 26.00,12. 28.00,24. 7.00,11. 31.00,7. 43.00,10. 34.00,2015,lead,WOMEN,9673
14,15,Röck,Magdalena,AUT,166.00,11. 31.00,7. 43.00,9. 37.00,19. 14.00,24. 7.00,10. 34.00,26. (5.00),2015,lead,WOMEN,8955
15,16,Romain,Salomé,FRA,117.00,27. 4.00,,6. 47.00,,15. 22.00,24. 7.00,9. 37.00,2015,lead,WOMEN,9985
16,17,Fakhritdinova,Dinara,RUS,109.00,,,27. 3.00,27. 4.00,20. 12.00,6. 47.00,7. 43.00,2015,lead,WOMEN,7576
17,18,Onoe,Aya,JPN,96.00,,12. 28.00,,16. 20.00,,23. 8.00,8. 40.00,2015,lead,WOMEN,9731
18,19,Dufraisse,Alizée,FRA,94.00,16. 20.00,,16. 20.00,17. 18.00,28. 3.00,13. 26.00,24. 7.00,2015,lead,WOMEN,6219
19,20,Lavarda,Jenny,ITA,86.00,23. 8.00,9. 37.00,22. 9.00,20. 12.00,21. 10.00,21. 10.00,,2015,lead,WOMEN,1179
20,21,van Bergen,Nikki,NED,84.00,19. 14.00,,14. 24.00,,23. 8.00,19. 14.00,14. 24.00,2015,lead,WOMEN,8196
21,22,Rosen,Kajsa,SWE,71.00,,,,10. 34.00,9. 37.00,,,2015,lead,WOMEN,11705
22,23,Fredman,Netta,ISR,64.00,28. 3.00,10. 32.00,25. 6.00,21. 10.00,,28. 1.00,20. 12.00,2015,lead,WOMEN,9538
23,24,Malamid,Evgeniia,RUS,62.00,,,30. 1.00,11. 31.00,27. 4.00,,13. 26.00,2015,lead,WOMEN,5147
24,25,Schubert,Hannah,AUT,54.00,14. 24.00,,,,19. 14.00,18. 16.00,,2015,lead,WOMEN,10385
25,26,Ghisolfi,Claudia,ITA,42.00,,,17. 18.00,,17. 18.00,25. 6.00,,2015,lead,WOMEN,10003
26,26,Stotz,Rebekka,SUI,42.00,,,23. 7.00,13. 26.00,22. 9.00,,,2015,lead,WOMEN,8878
27,28,Choong,Katherine,SUI,39.00,,,,15. 22.00,26. 5.00,20. 12.00,,2015,lead,WOMEN,6457
28,29,Fiser,Julia,AUT,27.00,22. 9.00,,,,,17. 18.00,,2015,lead,WOMEN,10888
29,30,Bacher,Barbara,AUT,26.00,29. 2.00,,18. 16.00,25. 6.00,29. 2.00,,,2015,lead,WOMEN,1030
30,30,Noguchi,Akiyo,JPN,26.00,13. 26.00,,,,,,,2015,lead,WOMEN,6326
31,32,Tajima,Aika,JPN,22.00,,15. 22.00,,,,,,2015,lead,WOMEN,11397
32,33,Hafsaas,Tina Johnsen,NOR,21.00,,,20. 12.00,22. 9.00,,,,2015,lead,WOMEN,9239
33,34,Vejmolova,Iva,CZE,20.00,20. 12.00,,,26. 5.00,30. 1.00,,29. 2.00,2015,lead,WOMEN,9500
34,34,YOSHIMURA,Moe,JPN,20.00,,16. 20.00,,,,,,2015,lead,WOMEN,10619
35,36,Hiroshige,Yuki,JPN,18.00,,17. 18.00,,,,,,2015,lead,WOMEN,10067
36,36,Kamin,Rebeka,SLO,18.00,17. 18.00,,,,,,,2015,lead,WOMEN,9994
37,36,Koller,Anne-Sophie,SUI,18.00,,,,,,27. 4.00,19. 14.00,2015,lead,WOMEN,9979
38,39,Durif,Charlotte,FRA,16.00,,,,,,,18. 16.00,2015,lead,WOMEN,6513
39,39,Kazbekova,Ievgeniia,UKR,16.00,,,,,18. 16.00,,,2015,lead,WOMEN,9956
40,39,Shimizu,Natsuko,JPN,16.00,,18. 16.00,,,,,,2015,lead,WOMEN,12429
41,39,Slemensek,Tjasa,SLO,16.00,18. 16.00,,,,,,,2015,lead,WOMEN,11990
42,43,Ring,Alina,SUI,15.00,,,23. 7.00,23. 8.00,,,,2015,lead,WOMEN,10957
43,44,BAIMA,YuZhen,CHN,14.00,,19. 14.00,,,,,,2015,lead,WOMEN,14157
44,44,Thompson-Smith,Molly,GBR,14.00,,,19. 14.00,,,,,2015,lead,WOMEN,10489
45,46,Gollo,Asja,ITA,13.00,,,,,25. 6.00,28. 1.00,25. 6.00,2015,lead,WOMEN,11948
46,46,Kümin,Andrea,SUI,13.00,,,21. 10.00,,,,28. 3.00,2015,lead,WOMEN,10328
47,48,PUBU,ZhuoMa,CHN,12.00,,20. 12.00,,,,,,2015,lead,WOMEN,12518
48,49,Holfeld,Johanna,GER,10.00,21. 10.00,,,,,,,2015,lead,WOMEN,51759
49,49,Hulliger,Michelle,SUI,10.00,24. 7.00,,27. 3.00,,,,,2015,lead,WOMEN,11767
50,51,Berthier,Nolwen,FRA,9.00,,,26. 5.00,,,,27. 4.00,2015,lead,WOMEN,9527
51,51,Terenteva,Galina,RUS,9.00,,,,,,22. 9.00,,2015,lead,WOMEN,8413
52,53,Söderlund,Matilda,SWE,8.00,,,,,,,23. 8.00,2015,lead,WOMEN,7661
53,54,Meke,Veronika,SLO,6.00,25. 6.00,,,,,,,2015,lead,WOMEN,10275
54,55,Marigo,Léa,FRA,5.00,,,,,,26. 5.00,,2015,lead,WOMEN,13508
55,56,Doumont,Heloïse,BEL,3.00,,,,29. 2.00,,28. 1.00,,2015,lead,WOMEN,11809
56,56,Sandbu,Maria Davies,NOR,3.00,,,,28. 3.00,,,,2015,lead,WOMEN,9439
57,58,Clostermann,Chiara Maria,GER,2.00,,,29. 2.00,,,,,2015,lead,WOMEN,9684
58,59,Kim Theisen,Michelle,DEN,1.00,,,,30. 1.00,,,,2015,lead,WOMEN,13223
59,59,RENQING,LaMu,CHN,1.00,,,,,,28. 1.00,,2015,lead,WOMEN,9191
