,Rank,Name,Name.1,Nation,Points,1594,1588,1587,1581,1610,2015,event,gender,athlete_id
0,1,Krasavina,Mariia,RUS,400.00,1. 100.00,3. 65.00,4. 55.00,1. 100.00,2. 80.00,2015,speed,WOMEN,9281
1,2,Jaubert,Anouck,FRA,390.00,2. 80.00,1. 100.00,1. 100.00,4. 55.00,4. 55.00,2015,speed,WOMEN,10354
2,3,Kaplina,Iuliia,RUS,365.00,4. 55.00,2. 80.00,3. 65.00,3. 65.00,1. 100.00,2015,speed,WOMEN,10857
3,4,Tsyganova,Anna,RUS,291.00,8. 40.00,4. 55.00,2. 80.00,5. 51.00,3. 65.00,2015,speed,WOMEN,8428
4,5,Ropek,Edyta,POL,284.00,3. 65.00,5. 51.00,5. 51.00,2. 80.00,9. 37.00,2015,speed,WOMEN,3547
5,6,Miroslaw,Aleksandra,POL,239.00,5. 51.00,7. 43.00,6. 47.00,6. 47.00,5. 51.00,2015,speed,WOMEN,9493
6,7,Buczek,Klaudia,POL,198.00,7. 43.00,9. 37.00,8. 40.00,11. 31.00,6. 47.00,2015,speed,WOMEN,9238
7,8,Chudziak,Patrycja,POL,148.00,,15. 22.00,7. 43.00,7. 43.00,8. 40.00,2015,speed,WOMEN,10396
8,9,Marenych,Alla,UKR,131.00,6. 47.00,10. 34.00,12. 28.00,15. 22.00,,2015,speed,WOMEN,11299
9,10,Prokopiuk,Monika,POL,117.00,,20. 12.00,9. 37.00,10. 34.00,10. 34.00,2015,speed,WOMEN,7801
10,11,Lach,Nina,AUT,107.00,10. 34.00,18. 16.00,11. 31.00,13. 26.00,,2015,speed,WOMEN,10590
11,12,Brozek,Anna,POL,102.00,16. 20.00,16. 20.00,15. 22.00,8. 40.00,,2015,speed,WOMEN,10384
12,13,Sarisson,Aurelia,FRA,76.00,,12. 28.00,16. 20.00,,12. 28.00,2015,speed,WOMEN,11079
13,14,Ulzhabayeva,Tamara,KAZ,71.00,,,10. 34.00,9. 37.00,,2015,speed,WOMEN,5151
14,15,Motovilova,Svetlana,RUS,55.00,11. 31.00,14. 24.00,,,,2015,speed,WOMEN,11153
15,16,Marlenova,Assel,KAZ,54.00,,,13. 26.00,12. 28.00,,2015,speed,WOMEN,10547
16,17,Esmaeilzadeh,Farnaz,IRI,52.00,,22. 9.00,,,7. 43.00,2015,speed,WOMEN,7380
17,18,Elmer,Alexandra,AUT,51.00,9. 37.00,19. 14.00,,,,2015,speed,WOMEN,10043
18,19,Zhiznevskaya,Alexandra,KAZ,48.00,,,14. 24.00,14. 24.00,,2015,speed,WOMEN,13345
19,20,Levochkina,Yuliya,RUS,47.00,,6. 47.00,,,,2015,speed,WOMEN,9133
20,21,Timofeeva,Elena,RUS,40.00,,8. 40.00,,,,2015,speed,WOMEN,11059
21,22,Rojas,Andrea,ECU,38.00,12. 28.00,21. 10.00,,,,2015,speed,WOMEN,9634
22,23,Lugovenko,Yana,UKR,31.00,,11. 31.00,,,,2015,speed,WOMEN,11069
23,23,Meister,Erica,USA,31.00,,,,,11. 31.00,2015,speed,WOMEN,11611
24,25,Stewart-Patterson,Alison,CAN,28.00,,29. 2.00,,,13. 26.00,2015,speed,WOMEN,9140
25,26,Gaidamakina,Alina,RUS,26.00,,13. 26.00,,,,2015,speed,WOMEN,7234
26,26,PUBU,ZhuoMa,CHN,26.00,13. 26.00,,,,,2015,speed,WOMEN,12518
27,28,Ota,Risa,JPN,24.00,14. 24.00,,,,,2015,speed,WOMEN,9212
28,28,Trinidad,Sidney,USA,24.00,,,,,14. 24.00,2015,speed,WOMEN,12314
29,30,KIM,Jain,KOR,22.00,15. 22.00,,,,,2015,speed,WOMEN,5983
30,30,Moss,Elena,CAN,22.00,,,,,15. 22.00,2015,speed,WOMEN,12280
31,32,Dube-Laroche,Maggy,CAN,20.00,,,,,16. 20.00,2015,speed,WOMEN,13055
32,32,Sim,"Mingxin, Judith",SGP,20.00,,,,16. 20.00,,2015,speed,WOMEN,10947
33,34,Golikova,Anastasiia,RUS,18.00,,17. 18.00,,,,2015,speed,WOMEN,10391
34,34,Trottier,Evelyna,CAN,18.00,,,,,17. 18.00,2015,speed,WOMEN,13249
35,36,Andrier,Victoire,FRA,8.00,,23. 8.00,,,,2015,speed,WOMEN,12065
36,37,Deschamps,Margaux,FRA,7.00,,24. 7.00,,,,2015,speed,WOMEN,10475
37,38,Pichler,Stefanie,AUT,5.00,,25. 5.00,,,,2015,speed,WOMEN,7559
38,38,Zakharova,Margaryta,UKR,5.00,,25. 5.00,,,,2015,speed,WOMEN,10181
39,40,Porta,Silvia,ITA,4.00,,27. 4.00,,,,2015,speed,WOMEN,12090
40,41,Randi,Giorgia,ITA,3.00,,28. 3.00,,,,2015,speed,WOMEN,12698
41,42,Kan,Daria,RUS,1.00,,30. 1.00,,,,2015,speed,WOMEN,11052
