,Rank,Name,Name.1,Nation,Points,5697,5844,1642,1644,1641,1647,1640,2016,event,gender,athlete_id
0,1,Kaplina,Iuliia,RUS,520.00,2. 80.00,2. 80.00,2. 80.00,2. 80.00,25. (6.00),1. 100.00,1. 100.00,2016,speed,WOMEN,10857
1,2,Jaubert,Anouck,FRA,506.00,4. 55.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,8. (40.00),5. 51.00,2016,speed,WOMEN,10354
2,3,Buczek,Klaudia,POL,398.00,1. 100.00,4. 55.00,3. 65.00,11. (31.00),4. 55.00,7. 43.00,2. 80.00,2016,speed,WOMEN,9238
3,4,Miroslaw,Aleksandra,POL,367.00,6. 47.00,3. 65.00,4. 55.00,16. (20.00),2. 80.00,4. 55.00,3. 65.00,2016,speed,WOMEN,9493
4,5,Tsyganova,Anna,RUS,297.00,3. 65.00,15. 22.00,,8. 40.00,3. 65.00,3. 65.00,8. 40.00,2016,speed,WOMEN,8428
5,6,Sarisson,Aurelia,FRA,266.00,8. 40.00,8. 40.00,5. 51.00,5. 51.00,15. (22.00),6. 47.00,9. 37.00,2016,speed,WOMEN,11079
6,7,Marenych,Alla,UKR,251.00,16. 20.00,7. 43.00,9. 37.00,18. (16.00),12. 28.00,2. 80.00,7. 43.00,2016,speed,WOMEN,11299
7,8,Brozek,Anna,POL,248.00,9. 37.00,5. 51.00,6. 47.00,4. 55.00,10. 34.00,14. 24.00,14. (24.00),2016,speed,WOMEN,10384
8,9,Ropek,Edyta,POL,223.00,10. 34.00,14. 24.00,14. 24.00,7. 43.00,5. 51.00,,6. 47.00,2016,speed,WOMEN,3547
9,10,Lach,Nina,AUT,199.00,13. 26.00,12. 28.00,10. 34.00,13. (26.00),8. 40.00,9. 37.00,10. 34.00,2016,speed,WOMEN,10590
10,11,Motovilova,Svetlana,RUS,195.00,7. 43.00,6. 47.00,8. 40.00,10. 34.00,11. 31.00,,,2016,speed,WOMEN,11153
11,12,Fleuret,Elma,FRA,177.00,5. 51.00,9. 37.00,,3. 65.00,14. 24.00,,,2016,speed,WOMEN,12064
12,13,Andrier,Victoire,FRA,141.00,11. 31.00,10. 34.00,12. 28.00,26. 5.00,7. 43.00,,,2016,speed,WOMEN,12065
13,14,Elmer,Alexandra,AUT,123.00,,,11. 31.00,14. 24.00,19. 14.00,12. 28.00,13. 26.00,2016,speed,WOMEN,10043
14,15,He,CuiLian,CHN,115.00,15. 22.00,16. 20.00,,,,5. 51.00,15. 22.00,2016,speed,WOMEN,8419
