,Rank,Name,Name.1,Nation,Points,W-Bi 05.12.1991,W-Nü 31.10.1991,W-To 16.10.1991,W-In 20.09.1991,W-Cl 30.08.1991,W-Wi 26.04.1991,1991,event,gender
0,1,Legrand,François,FRA,380.00,,1. 100.00,,2. 80.00,1. 100.00,1. 100.00,1991,lead,MEN
1,2,Lombard,François,FRA,318.00,1. 100.00,15. (22.00),2. 80.00,6. 47.00,8. 40.00,5. 51.00,1991,lead,MEN
2,3,Hirayama,Yuji,JPN,315.00,2. 80.00,,1. 100.00,2. 80.00,,4. 55.00,1991,lead,MEN
3,4,Tribout,Jean-Baptiste,FRA,300.00,6. 47.00,10. (34.00),3. 65.00,2. 80.00,7. 43.00,3. 65.00,1991,lead,MEN
4,5,Raboutou,Didier,FRA,197.00,,,8. 40.00,7. 43.00,2. 80.00,10. 34.00,1991,lead,MEN
5,6,Arocena,Patxi,ESP,186.00,,8. 40.00,5. 51.00,14. 24.00,16. 20.00,5. 51.00,1991,lead,MEN
6,6,Nicole,Frédéric,SUI,186.00,13. 26.00,5. 51.00,4. 55.00,28. 3.00,5. 51.00,,1991,lead,MEN
7,8,Rakhmetov,Salavat,RUS,173.00,,17. 18.00,,1. 100.00,4. 55.00,,1991,lead,MEN
8,9,Köstermeyer,Guido,GER,172.00,4. 55.00,7. 43.00,,20. 12.00,12. 28.00,10. 34.00,1991,lead,MEN
9,10,Fürst,Stefan,AUT,166.00,16. (20.00),6. 47.00,15. 22.00,10. 34.00,13. 26.00,9. 37.00,1991,lead,MEN
10,11,Moon,Ben,GBR,165.00,5. 51.00,,,2. 80.00,,10. 34.00,1991,lead,MEN
11,12,Karn,Jim,USA,155.00,19. 14.00,2. 80.00,,17. 18.00,,7. 43.00,1991,lead,MEN
12,13,Chevieux,Elie,SUI,148.00,3. 65.00,12. 28.00,23. 8.00,,6. 47.00,,1991,lead,MEN
13,14,Büchele,Klaus,GER,138.00,23. 8.00,9. 37.00,7. 43.00,8. 40.00,,21. 10.00,1991,lead,MEN
14,15,Ovchinnikov,Evgeny,RUS,126.00,14. 24.00,,,9. 37.00,3. 65.00,,1991,lead,MEN
15,16,Scassa,Severino,ITA,104.00,29. 2.00,,,15. 22.00,,2. 80.00,1991,lead,MEN
16,17,Finkel,Christoph,GER,95.00,29. 2.00,3. 65.00,12. 28.00,,,,1991,lead,MEN
17,18,Cortijo,Robert,FRA,91.00,,,,13. 26.00,11. 31.00,10. 34.00,1991,lead,MEN
18,19,Glowacz,Stefan,GER,86.00,7. 43.00,,,,,7. 43.00,1991,lead,MEN
19,20,Godoffe,Jacky,FRA,84.00,,,10. 34.00,,18. 16.00,10. 34.00,1991,lead,MEN
20,21,Alippi,Stefano,ITA,80.00,14. 24.00,14. 24.00,,21. 10.00,15. 22.00,,1991,lead,MEN
21,22,Finne,Jean Paul,BEL,75.00,18. 16.00,23. 8.00,6. 47.00,27. 4.00,,,1991,lead,MEN
22,23,Ghesquiers,Yann,FRA,71.00,11. 31.00,13. 26.00,,,19. 14.00,,1991,lead,MEN
23,24,Hudecek,Jindrich,CZE,67.00,,,11. 31.00,,29. 2.00,10. 34.00,1991,lead,MEN
24,25,Petit,François,FRA,64.00,8. 40.00,,,,14. 24.00,,1991,lead,MEN
25,26,Natech,Faycal,FRA,63.00,27. 4.00,4. 55.00,,,,27. 4.00,1991,lead,MEN
26,27,Gomez,Txema,ESP,60.00,,,13. 26.00,18. 16.00,19. 14.00,27. 4.00,1991,lead,MEN
27,28,Blein,Serge,FRA,51.00,11. 31.00,,,,16. 20.00,,1991,lead,MEN
28,29,Poussardin,Stéphane,FRA,50.00,,,21. 10.00,,10. 34.00,25. 6.00,1991,lead,MEN
29,29,Samoiline,Pavel,RUS,50.00,9. 37.00,,,24. 7.00,25. 6.00,,1991,lead,MEN
30,31,Englekirk,Doug,USA,46.00,,20. 12.00,,10. 34.00,,,1991,lead,MEN
31,32,Ryan,Tony,GBR,44.00,,24. 7.00,9. 37.00,,,,1991,lead,MEN
32,32,Slabe,Tadej,SLO,44.00,17. 18.00,,,16. 20.00,25. 6.00,,1991,lead,MEN
33,34,Fickert,Thomas,GER,43.00,,19. 14.00,14. 24.00,,,26. 5.00,1991,lead,MEN
34,35,Cabaret,Jean,FRA,37.00,,28. 3.00,,,,10. 34.00,1991,lead,MEN
35,35,Coroller,Frédéric,FRA,37.00,,18. 16.00,28. 3.00,,,17. 18.00,1991,lead,MEN
36,35,Steulet,Philippe,SUI,37.00,,,,,9. 37.00,,1991,lead,MEN
37,38,Smith,Malcolm,GBR,34.00,10. 34.00,,,,,,1991,lead,MEN
38,39,Gallo,Andrea,ITA,33.00,,21. 10.00,17. 18.00,26. 5.00,,,1991,lead,MEN
39,40,Zardini,Luca,ITA,32.00,,27. 4.00,,12. 28.00,,,1991,lead,MEN
40,41,Adler,Alexander,GER,31.00,,11. 31.00,,,,,1991,lead,MEN
41,42,Tchertov,Alexei,RUS,28.00,,,,19. 14.00,,19. 14.00,1991,lead,MEN
42,43,Korczak,Piotr,POL,21.00,,,,,22. 9.00,20. 12.00,1991,lead,MEN
43,44,Thon,Werner,GER,20.00,,16. 20.00,,,,,1991,lead,MEN
44,44,Tsuge,Motomu,JPN,20.00,,,16. 20.00,,,,1991,lead,MEN
45,46,Ivorra,Marc,FRA,16.00,,,,,,18. 16.00,1991,lead,MEN
46,46,Lissovoi,Juri,RUS,16.00,,22. 9.00,,24. 7.00,,,1991,lead,MEN
47,46,Tosimichi,Kusano,JPN,16.00,,,18. 16.00,,,,1991,lead,MEN
48,49,Delafield,Mark,GBR,15.00,28. 3.00,,24. 7.00,30. 1.00,27. 4.00,,1991,lead,MEN
49,50,Tamotu,Sugino,JPN,14.00,,,19. 14.00,,,,1991,lead,MEN
50,51,Franklin,Scott,USA,12.00,,,,23. 8.00,,27. 4.00,1991,lead,MEN
51,51,Lovatt,Mick,GBR,12.00,20. 12.00,,,,,,1991,lead,MEN
52,51,Sutcliffe,Glenn,GBR,12.00,,,20. 12.00,,,,1991,lead,MEN
53,54,De Boeck,Kurt,BEL,11.00,25. 6.00,26. 5.00,,,,,1991,lead,MEN
54,55,Di Bari,Andrea,ITA,10.00,,,,,21. 10.00,,1991,lead,MEN
55,55,Marcisz,Andrzej,POL,10.00,21. 10.00,,,,,,1991,lead,MEN
56,55,Rakhmetov,Kairat,KAZ,10.00,,,,21. 10.00,,,1991,lead,MEN
57,58,Lantz,Colin,USA,9.00,22. 9.00,,,,,,1991,lead,MEN
58,58,Terashima,Yoshihiko,JPN,9.00,,,,,,22. 9.00,1991,lead,MEN
59,58,Ushizawa,Keiichi,JPN,9.00,,,22. 9.00,,,,1991,lead,MEN
60,61,Giupponi,Luca,ITA,8.00,,,,,23. 8.00,,1991,lead,MEN
61,61,Rieser,Hannes,AUT,8.00,,,,,,23. 8.00,1991,lead,MEN
62,61,Schwaiger,Josef,AUT,8.00,,30. 1.00,,,24. 7.00,,1991,lead,MEN
63,61,T'Kint,Arnould,BEL,8.00,29. 2.00,25. 6.00,,,,,1991,lead,MEN
64,65,Cuthbertson,Dave,GBR,7.00,24. 7.00,,,,,,1991,lead,MEN
65,65,Jacobs,Erik,NED,7.00,,,,,,24. 7.00,1991,lead,MEN
66,65,You,Jae Kyung,KOR,7.00,,,24. 7.00,,,,1991,lead,MEN
67,68,Oxley,Pete,GBR,6.00,25. 6.00,,,,,,1991,lead,MEN
68,68,Zauska,Pavol,SVK,6.00,,,,,29. 2.00,27. 4.00,1991,lead,MEN
69,70,Gadd,Will,CAN,5.00,,,26. 5.00,,,,1991,lead,MEN
70,70,Satou,Yutaka,JPN,5.00,,,26. 5.00,,,,1991,lead,MEN
71,72,Jourkin,Vladimir,RUS,4.00,29. 2.00,29. 2.00,,,,,1991,lead,MEN
72,73,Brette,Stéphane,FRA,3.00,,,,,28. 3.00,,1991,lead,MEN
73,73,Son,Jung-Jun,KOR,3.00,,,28. 3.00,,,,1991,lead,MEN
74,75,Bucher,Christoph,GER,2.00,,,,29. 2.00,,,1991,lead,MEN
75,75,Florine,Hans,USA,2.00,29. 2.00,,,,,,1991,lead,MEN
76,75,Gnerro,Alberto,ITA,2.00,29. 2.00,,,,,,1991,lead,MEN
77,75,Pacek,Anton,SVK,2.00,,,,,29. 2.00,,1991,lead,MEN
78,79,Kazuyoshi,Saleb,JPN,1.00,,,30. 1.00,,,,1991,lead,MEN
79,79,Tansou,Tetsuyuki,JPN,1.00,,,30. 1.00,,,,1991,lead,MEN
