,Rank,Name,Name.1,Nation,Points,W-Bi 05.12.1991,W-Nü 31.10.1991,W-To 16.10.1991,W-In 20.09.1991,W-Cl 30.08.1991,W-Wi 26.04.1991,1991,event,gender
0,1,Patissier,Isabelle,FRA,435.00,1. 100.00,1. 100.00,7. (43.00),4. 55.00,2. 80.00,1. 100.00,1991,lead,WOMEN
1,2,Good,Susi,SUI,380.00,2. 80.00,4. 55.00,3. 65.00,2. 80.00,1. 100.00,4. (55.00),1991,lead,WOMEN
2,3,Erbesfield,Robyn,USA,376.00,3. 65.00,2. 80.00,1. 100.00,2. 80.00,5. 51.00,5. (51.00),1991,lead,WOMEN
3,4,Raybaud,Nanette,FRA,365.00,4. 55.00,3. 65.00,2. 80.00,1. 100.00,13. (26.00),3. 65.00,1991,lead,WOMEN
4,5,Iovane,Luisa,ITA,242.00,7. 43.00,6. 47.00,8. 40.00,8. (40.00),3. 65.00,6. 47.00,1991,lead,WOMEN
5,6,Ibanez-Tudoras,Anna,ESP,222.00,5. 51.00,19. (14.00),5. 51.00,10. 34.00,7. 43.00,7. 43.00,1991,lead,WOMEN
6,7,Chereshneva,Venera,RUS,199.00,6. 47.00,11. 31.00,,6. 47.00,7. 43.00,11. 31.00,1991,lead,WOMEN
7,8,Hill,Lynn,USA,198.00,,5. 51.00,,7. 43.00,14. 24.00,2. 80.00,1991,lead,WOMEN
8,9,Gloesener,Catherine,BEL,191.00,26. 5.00,8. 40.00,4. 55.00,5. 51.00,,8. 40.00,1991,lead,WOMEN
9,10,Dorsimond,Isabelle,BEL,183.00,9. 37.00,9. 37.00,12. 28.00,16. (20.00),6. 47.00,10. 34.00,1991,lead,WOMEN
10,11,Eisenhut,Andrea,GER,175.00,14. 24.00,18. (16.00),11. 31.00,9. 37.00,4. 55.00,12. 28.00,1991,lead,WOMEN
11,12,Butler,Felicity,GBR,150.00,19. (14.00),7. 43.00,10. 34.00,15. 22.00,11. 31.00,16. 20.00,1991,lead,WOMEN
12,13,Richer,Natalie,FRA,141.00,7. 43.00,10. 34.00,,12. 28.00,16. 20.00,18. 16.00,1991,lead,WOMEN
13,14,Gronkiewicz-Marcisz,Iwona,POL,115.00,12. 28.00,27. 4.00,,18. 16.00,7. 43.00,14. 24.00,1991,lead,WOMEN
14,15,Brard,Agnès,FRA,107.00,,15. 22.00,6. 47.00,,30. 1.00,9. 37.00,1991,lead,WOMEN
15,16,Laffont,Isabelle,FRA,92.00,16. 20.00,12. 28.00,13. 26.00,,,17. 18.00,1991,lead,WOMEN
16,17,Noel,Pascale,LUX,87.00,11. 31.00,12. 28.00,,29. 2.00,21. 10.00,18. 16.00,1991,lead,WOMEN
17,18,Labrune,Corinne,FRA,78.00,18. 16.00,20. 12.00,,17. 18.00,25. 6.00,13. 26.00,1991,lead,WOMEN
18,19,Presson,Shelly,USA,57.00,19. 14.00,20. 12.00,,11. 31.00,,,1991,lead,WOMEN
19,20,Hirschbichler,Barbara,GER,54.00,14. 24.00,,,14. 24.00,25. 6.00,,1991,lead,WOMEN
20,21,Inozemtseva,Yulia,RUS,53.00,10. 34.00,24. 7.00,,29. 2.00,21. 10.00,,1991,lead,WOMEN
21,22,Bensman,Bobbie,USA,46.00,,16. 20.00,,13. 26.00,,,1991,lead,WOMEN
22,23,Bardon,Catherine,FRA,43.00,,,,,7. 43.00,,1991,lead,WOMEN
23,24,Ooiwa,Akiko,JPN,37.00,,,9. 37.00,,,,1991,lead,WOMEN
24,25,Piat,Marie-Annick,FRA,33.00,19. 14.00,28. 3.00,,22. 9.00,30. 1.00,25. 6.00,1991,lead,WOMEN
25,26,Kosmacheva,Natalia,RUS,30.00,,23. 8.00,,,15. 22.00,,1991,lead,WOMEN
26,27,Frühwald,Gunda,GER,29.00,,,,24. 7.00,,15. 22.00,1991,lead,WOMEN
27,28,Mogi,Eriko,JPN,28.00,,,14. 24.00,,,27. 4.00,1991,lead,WOMEN
28,28,Pons,Paola,ITA,28.00,,,,,12. 28.00,,1991,lead,WOMEN
29,28,Striecks,Angela,GER,28.00,,12. 28.00,,,,,1991,lead,WOMEN
