,Rank,Name,Name.1,Nation,Points,W-Bi 11.12.1992,W-La 20.11.1992,W-Pö 14.11.1992,W-Nü 30.10.1992,W-Ko 08.10.1992,W-Zü 01.05.1992,1992,event,gender
0,1,Legrand,François,FRA,381.00,13. 26.00,4. 55.00,1. 100.00,25. (6.00),1. 100.00,1. 100.00,1992,lead,MEN
1,2,Zardini,Luca,ITA,292.00,3. 60.00,2. 80.00,3. 60.00,9. 37.00,18. (16.00),4. 55.00,1992,lead,MEN
2,3,Tribout,Jean-Baptiste,FRA,265.00,1. 100.00,11. 31.00,9. 37.00,3. 60.00,9. 37.00,23. (8.00),1992,lead,MEN
3,4,Hirayama,Yuji,JPN,258.00,17. (18.00),5. 51.00,4. 55.00,9. 37.00,4. 55.00,3. 60.00,1992,lead,MEN
4,5,Finkel,Christoph,GER,249.00,9. 37.00,1. 100.00,17. 18.00,6. 47.00,18. (16.00),6. 47.00,1992,lead,MEN
5,6,Chevieux,Elie,SUI,233.00,3. 60.00,3. 60.00,12. 28.00,5. 51.00,10. 34.00,,1992,lead,MEN
6,7,Petit,François,FRA,228.00,2. 80.00,8. 40.00,,4. 55.00,18. 16.00,9. 37.00,1992,lead,MEN
7,8,Köstermeyer,Guido,GER,213.00,6. 47.00,,22. 9.00,1. 100.00,25. 6.00,5. 51.00,1992,lead,MEN
8,9,Arocena,Patxi,ESP,189.00,8. 40.00,16. 20.00,13. 26.00,,3. 60.00,7. 43.00,1992,lead,MEN
9,10,Glowacz,Stefan,GER,174.00,,22. 9.00,,2. 80.00,5. 51.00,10. 34.00,1992,lead,MEN
10,11,Scassa,Severino,ITA,164.00,9. 37.00,11. 31.00,18. 16.00,,,2. 80.00,1992,lead,MEN
11,12,Vickers,Ian,GBR,150.00,19. 14.00,25. (6.00),8. 40.00,9. 37.00,7. 43.00,18. 16.00,1992,lead,MEN
12,13,Albrand,Vincent,FRA,144.00,7. 43.00,,27. 4.00,9. 37.00,8. 40.00,16. 20.00,1992,lead,MEN
13,14,Samoiline,Pavel,RUS,140.00,21. 10.00,6. 47.00,2. 80.00,,,28. 3.00,1992,lead,MEN
14,15,Lombard,François,FRA,136.00,,20. 12.00,15. 22.00,8. 40.00,11. 31.00,11. 31.00,1992,lead,MEN
15,16,Mazuer,Fabien,FRA,123.00,9. 37.00,7. 43.00,,7. 43.00,,,1992,lead,MEN
16,17,Rakhmetov,Salavat,RUS,116.00,15. 22.00,,6. 47.00,18. 16.00,,11. 31.00,1992,lead,MEN
17,18,Fürst,Stefan,AUT,111.00,21. 10.00,,5. 51.00,15. 22.00,12. 28.00,,1992,lead,MEN
18,19,Coroller,Frédéric,FRA,105.00,5. 51.00,28. 3.00,21. 10.00,9. 37.00,27. 4.00,,1992,lead,MEN
19,20,Karn,Jim,USA,103.00,16. 20.00,,,28. 3.00,2. 80.00,,1992,lead,MEN
20,21,Natech,Faycal,FRA,84.00,9. 37.00,16. 20.00,,,22. 9.00,17. 18.00,1992,lead,MEN
21,22,Finne,Jean Paul,BEL,80.00,21. 10.00,,24. 7.00,22. 9.00,5. 51.00,28. 3.00,1992,lead,MEN
22,23,Cabaret,Jean,FRA,77.00,,10. 34.00,7. 43.00,,,,1992,lead,MEN
23,24,Englekirk,Doug,USA,76.00,21. 10.00,28. 3.00,,9. 37.00,13. 26.00,,1992,lead,MEN
24,25,Büchele,Klaus,GER,64.00,29. 2.00,27. 4.00,16. 20.00,15. 22.00,18. 16.00,,1992,lead,MEN
25,26,Giupponi,Luca,ITA,58.00,14. 24.00,16. 20.00,19. 14.00,,,,1992,lead,MEN
26,27,Nicole,Frédéric,SUI,54.00,,14. 24.00,,19. 14.00,24. 7.00,22. 9.00,1992,lead,MEN
27,28,Ryan,Tony,GBR,53.00,17. 18.00,,,,22. 9.00,13. 26.00,1992,lead,MEN
28,29,Ovchinnikov,Evgeny,RUS,49.00,21. 10.00,,11. 31.00,,,23. 8.00,1992,lead,MEN
29,30,Sartori,Nicola,ITA,48.00,21. 10.00,16. 20.00,,17. 18.00,,,1992,lead,MEN
30,31,Jourkin,Vladimir,RUS,47.00,,11. 31.00,25. 6.00,,,21. 10.00,1992,lead,MEN
31,32,Unterrainer,Günther,AUT,45.00,,,26. 5.00,,,8. 40.00,1992,lead,MEN
32,33,Bucher,Christoph,GER,41.00,19. 14.00,,14. 24.00,28. 3.00,,,1992,lead,MEN
33,34,Alippi,Stefano,ITA,40.00,,,29. 2.00,,14. 24.00,19. 14.00,1992,lead,MEN
34,35,Godoffe,Jacky,FRA,37.00,,9. 37.00,,,,,1992,lead,MEN
35,36,Gadd,Will,CAN,36.00,,,,19. 14.00,15. 22.00,,1992,lead,MEN
36,37,Lissovoi,Juri,RUS,34.00,,,10. 34.00,,,,1992,lead,MEN
37,38,Blein,Serge,FRA,31.00,,24. 7.00,,,,14. 24.00,1992,lead,MEN
38,38,Ghesquiers,Yann,FRA,31.00,,22. 9.00,,,,15. 22.00,1992,lead,MEN
39,40,Petit,Arnaud,FRA,25.00,,28. 3.00,,19. 14.00,,23. 8.00,1992,lead,MEN
40,41,Gomez,Txema,ESP,22.00,,15. 22.00,,,,,1992,lead,MEN
41,42,Terashima,Yoshihiko,JPN,20.00,,,,,16. 20.00,,1992,lead,MEN
42,42,Tsuge,Motomu,JPN,20.00,,,,,16. 20.00,,1992,lead,MEN
43,44,Hörhager,Gerhard,AUT,12.00,,,,,,20. 12.00,1992,lead,MEN
44,44,Pecher,Antoine,FRA,12.00,,20. 12.00,,,,,1992,lead,MEN
45,44,Thon,Werner,GER,12.00,,,20. 12.00,,,,1992,lead,MEN
46,47,Cameron,Stuart A.,GBR,10.00,21. 10.00,,,,,,1992,lead,MEN
47,48,Böschenstein,Stefan,SUI,8.00,,,,23. 8.00,,,1992,lead,MEN
48,48,Hage,Florian,GER,8.00,,,,23. 8.00,,,1992,lead,MEN
49,48,Rieser,Hannes,AUT,8.00,,,23. 8.00,,,,1992,lead,MEN
50,51,Franklin,Scott,USA,7.00,,28. 3.00,27. 4.00,,,,1992,lead,MEN
51,52,Bie,Samuel,FRA,5.00,,26. 5.00,,,,,1992,lead,MEN
52,52,De Boeck,Kurt,BEL,5.00,,,,,,26. 5.00,1992,lead,MEN
53,52,Marcisz,Andrzej,POL,5.00,,,,,26. 5.00,,1992,lead,MEN
54,52,Schlesener,Christian,GER,5.00,,,,26. 5.00,,,1992,lead,MEN
55,52,Smith,Kurt,USA,5.00,,,,26. 5.00,,,1992,lead,MEN
56,57,Delafield,Mark,GBR,4.00,,,,,27. 4.00,,1992,lead,MEN
57,57,Hofmann,Andreas,GER,4.00,,,,,,27. 4.00,1992,lead,MEN
58,57,Lee,Kuen-Taek,KOR,4.00,,,,,27. 4.00,,1992,lead,MEN
59,57,Son,Jung-Jun,KOR,4.00,,,,,27. 4.00,,1992,lead,MEN
60,61,ANDRADA JIMENEZ,Daniel,ESP,3.00,28. 3.00,,,,,,1992,lead,MEN
61,61,Coffy,François,FRA,3.00,,,,28. 3.00,,,1992,lead,MEN
62,61,Grom,Aljosa,SLO,3.00,,,,28. 3.00,,,1992,lead,MEN
63,64,Brenna,Cristian,ITA,2.00,,,29. 2.00,,,,1992,lead,MEN
64,64,Pacek,Anton,SVK,2.00,,,29. 2.00,,,,1992,lead,MEN
65,64,Swann,Andrew,GBR,2.00,29. 2.00,,,,,,1992,lead,MEN
66,67,Rakhmetov,Kairat,KAZ,1.00,,,,,,30. 1.00,1992,lead,MEN
67,5 best competition results are counting for UIAA Climbing-Worldcup 1992. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1992. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1992. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1992. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1992. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1992. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1992. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1992. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1992. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1992. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1992. Not counting points are in brackets.,1992,lead,MEN
