,Rank,Name,Name.1,Nation,Points,W-Bi 11.12.1992,W-La 20.11.1992,W-Pö 14.11.1992,W-Nü 30.10.1992,W-Ko 08.10.1992,W-Zü 01.05.1992,1992,event,gender
0,1,Erbesfield,Robyn,USA,440.00,4. (55.00),2. 80.00,2. 80.00,1. 100.00,2. 80.00,1. 100.00,1992,lead,WOMEN
1,2,Patissier,Isabelle,FRA,400.00,2. 80.00,2. 80.00,3. 60.00,3. (60.00),1. 100.00,2. 80.00,1992,lead,WOMEN
2,3,Hill,Lynn,USA,375.00,1. 100.00,4. 55.00,4. (55.00),2. 80.00,2. 80.00,3. 60.00,1992,lead,WOMEN
3,4,Good,Susi,SUI,370.00,3. 60.00,1. 100.00,1. 100.00,4. 55.00,,4. 55.00,1992,lead,WOMEN
4,5,Raybaud,Nanette,FRA,259.00,4. 55.00,9. (37.00),5. 51.00,5. 51.00,4. 55.00,6. 47.00,1992,lead,WOMEN
5,6,Iovane,Luisa,ITA,215.00,10. 34.00,7. 43.00,8. 40.00,6. 47.00,11. (31.00),5. 51.00,1992,lead,WOMEN
6,7,Ibanez-Tudoras,Anna,ESP,214.00,7. 43.00,5. 51.00,6. 47.00,19. (14.00),5. 51.00,15. 22.00,1992,lead,WOMEN
7,8,Richer,Natalie,FRA,190.00,9. 37.00,13. 26.00,9. 37.00,7. 43.00,6. 47.00,17. (18.00),1992,lead,WOMEN
8,9,Uhden,Marietta,GER,183.00,6. 47.00,6. 47.00,7. 43.00,9. 37.00,,22. 9.00,1992,lead,WOMEN
9,10,Bless-Reith,Karin,SUI,137.00,12. 28.00,10. 34.00,10. 34.00,30. 1.00,,8. 40.00,1992,lead,WOMEN
10,11,Butler,Felicity,GBR,131.00,16. 20.00,11. 31.00,17. (18.00),13. 26.00,10. 34.00,16. 20.00,1992,lead,WOMEN
11,12,Inozemtseva,Yulia,RUS,130.00,8. 40.00,8. 40.00,11. 31.00,19. 14.00,,26. 5.00,1992,lead,WOMEN
12,13,Brard,Agnès,FRA,119.00,14. 24.00,25. 6.00,12. 28.00,14. 24.00,9. 37.00,,1992,lead,WOMEN
13,14,Gronkiewicz-Marcisz,Iwona,POL,108.00,,19. 14.00,19. 14.00,,7. 43.00,9. 37.00,1992,lead,WOMEN
14,15,Valsecchi,Raffaella,ITA,101.00,17. 18.00,,,8. 40.00,,7. 43.00,1992,lead,WOMEN
15,16,Guyon,Laurence,FRA,91.00,11. 31.00,25. 6.00,13. 26.00,12. 28.00,,,1992,lead,WOMEN
16,17,Ooiwa,Akiko,JPN,88.00,,,,10. 34.00,8. 40.00,19. 14.00,1992,lead,WOMEN
17,18,Dijkstra,Ineke,NED,81.00,23. 8.00,15. 22.00,25. 6.00,19. 14.00,11. 31.00,,1992,lead,WOMEN
18,19,Farmer,Rachel,GBR,66.00,15. 22.00,16. 20.00,,,14. 24.00,,1992,lead,WOMEN
19,20,Bibik,Olga,RUS,64.00,,,20. 12.00,17. 18.00,,10. 34.00,1992,lead,WOMEN
20,21,Gloesener,Catherine,BEL,57.00,13. 26.00,,,,,11. 31.00,1992,lead,WOMEN
21,22,Chereshneva,Venera,RUS,48.00,,19. 14.00,21. 10.00,,,14. 24.00,1992,lead,WOMEN
22,23,Vallet,Catherine,FRA,46.00,19. 14.00,19. 14.00,29. 2.00,,18. 16.00,,1992,lead,WOMEN
23,24,Piat,Marie-Annick,FRA,45.00,25. 6.00,17. 18.00,17. 18.00,28. 3.00,,,1992,lead,WOMEN
24,25,Pfaffenbichler,Dagmar,AUT,42.00,,,14. 24.00,17. 18.00,,,1992,lead,WOMEN
25,26,Laffont,Isabelle,FRA,41.00,26. 5.00,12. 28.00,,27. 4.00,,27. 4.00,1992,lead,WOMEN
26,27,Presson,Shelly,USA,39.00,17. 18.00,17. 18.00,,28. 3.00,,,1992,lead,WOMEN
27,28,Osius,Alison,USA,36.00,,19. 14.00,,15. 22.00,,,1992,lead,WOMEN
28,29,Ovtchinnikova,Elena,USA,35.00,,,24. 7.00,,,12. 28.00,1992,lead,WOMEN
29,30,Labrune,Corinne,FRA,32.00,21. 10.00,,,,15. 22.00,,1992,lead,WOMEN
30,30,Striecks,Angela,GER,32.00,,,25. 6.00,,,13. 26.00,1992,lead,WOMEN
31,32,Bonhoure,Magali,FRA,31.00,,,,11. 31.00,,,1992,lead,WOMEN
32,32,Mogi,Eriko,JPN,31.00,,,,,11. 31.00,,1992,lead,WOMEN
33,34,Craciun-Pantis,Mihaela,ROU,28.00,,14. 24.00,28. 3.00,30. 1.00,,,1992,lead,WOMEN
34,35,Feagin,Nancy,USA,26.00,,,16. 20.00,25. 6.00,,,1992,lead,WOMEN
35,36,Schlemmer,Tamara,GER,25.00,27. 4.00,,,24. 7.00,,19. 14.00,1992,lead,WOMEN
36,37,Helfert,Ursula,GER,24.00,,,21. 10.00,19. 14.00,,,1992,lead,WOMEN
37,37,Lukancic,Metka,SLO,24.00,,19. 14.00,21. 10.00,,,,1992,lead,WOMEN
38,39,Bullido-Gomez,Esther,ESP,22.00,,,15. 22.00,,,,1992,lead,WOMEN
39,40,Kleonova,Marina,RUS,21.00,,25. 6.00,,19. 14.00,,30. 1.00,1992,lead,WOMEN
40,41,Dorsimond,Isabelle,BEL,20.00,,,,16. 20.00,,,1992,lead,WOMEN
41,41,Kim,Kyung-Soon,KOR,20.00,,,,,16. 20.00,,1992,lead,WOMEN
42,43,Eisenhut,Andrea,GER,18.00,,,,,,17. 18.00,1992,lead,WOMEN
43,43,Takeda,Hisako,JPN,18.00,,,,,17. 18.00,,1992,lead,WOMEN
44,45,Arran,Anne,GBR,16.00,21. 10.00,,25. 6.00,,,,1992,lead,WOMEN
45,46,Price,Susan,USA,15.00,,19. 14.00,30. 1.00,,,,1992,lead,WOMEN
46,47,Jenkins,Ruth,GBR,14.00,19. 14.00,,,,,,1992,lead,WOMEN
47,47,Katou,Youko,JPN,14.00,,,,,19. 14.00,,1992,lead,WOMEN
48,49,Furuta,Rika,JPN,12.00,,,,,20. 12.00,,1992,lead,WOMEN
49,50,Pashennik,Nataliy,RUS,10.00,,,,,,21. 10.00,1992,lead,WOMEN
50,50,Tam,Fung-Kin,HKG,10.00,,,,,21. 10.00,,1992,lead,WOMEN
51,52,Maeshima,Yukiko,JPN,9.00,,,,,22. 9.00,,1992,lead,WOMEN
52,53,Hirschbichler,Barbara,GER,8.00,,,,,,23. 8.00,1992,lead,WOMEN
53,53,Palle,Isabelle,FRA,8.00,,,,,,23. 8.00,1992,lead,WOMEN
54,53,Tossebro,Unda,NOR,8.00,23. 8.00,,,,,,1992,lead,WOMEN
55,53,Yoon,Kyung-Im,KOR,8.00,,,,,23. 8.00,,1992,lead,WOMEN
56,57,Akaishi,Michiko,JPN,7.00,,,,,24. 7.00,,1992,lead,WOMEN
57,57,Choi,Shun-Yuk,HKG,7.00,,,,,24. 7.00,,1992,lead,WOMEN
58,59,Kavoussi,Karin,AUT,6.00,,,,,,25. 6.00,1992,lead,WOMEN
59,59,Ortlieb,Heike,GER,6.00,,,,25. 6.00,,,1992,lead,WOMEN
60,61,Shau,Shwu-Mei,TPE,5.00,,,,,26. 5.00,,1992,lead,WOMEN
61,61,Strano,Antonella,ITA,5.00,,,,30. 1.00,,27. 4.00,1992,lead,WOMEN
62,63,Chou,Mei-Huei,TPE,4.00,,,,,27. 4.00,,1992,lead,WOMEN
63,63,Eremina,Galina,RUS,4.00,,,,,,27. 4.00,1992,lead,WOMEN
64,63,Goodey,Delyth,GBR,4.00,27. 4.00,,,,,,1992,lead,WOMEN
65,63,Guy,Naomi,GBR,4.00,27. 4.00,,,,,,1992,lead,WOMEN
66,67,Guillet,Marie,FRA,3.00,,28. 3.00,,,,,1992,lead,WOMEN
67,68,Gontharet,Marie Claire,FRA,2.00,,29. 2.00,,,,,1992,lead,WOMEN
68,68,Musso,Catherine,FRA,2.00,,29. 2.00,,,,,1992,lead,WOMEN
69,70,Choumilova,Elena,RUS,1.00,,,,30. 1.00,,,1992,lead,WOMEN
70,70,Frühwald,Gunda,GER,1.00,,,,30. 1.00,,,1992,lead,WOMEN
71,70,Malgarotto,Monica,ITA,1.00,,,,30. 1.00,,,1992,lead,WOMEN
72,70,Sodhi,Dalvinder,GBR,1.00,30. 1.00,,,,,,1992,lead,WOMEN
73,70,Sutkina,Svetlana,RUS,1.00,,,,,,30. 1.00,1992,lead,WOMEN
74,5 best competition results are counting for UIAA Climbing-Worldcup 1992. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1992. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1992. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1992. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1992. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1992. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1992. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1992. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1992. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1992. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1992. Not counting points are in brackets.,1992,lead,WOMEN
