,Rank,Name,Name.1,Nation,Points,W-La 10.12.1993,W-Nü 05.11.1993,W-Bu 27.08.1993,W-To 28.05.1993,W-Zü 15.05.1993,W-Fr 02.04.1993,1993,event,gender
0,1,Erbesfield,Robyn,USA,460.00,1. 100.00,1. 100.00,1. 100.00,2. 80.00,2. 80.00,2. (80.00),1993,lead,WOMEN
1,2,Good,Susi,SUI,425.00,3. 65.00,2. 80.00,2. 80.00,3. (65.00),1. 100.00,1. 100.00,1993,lead,WOMEN
2,3,Ovtchinnikova,Elena,USA,267.00,7. (43.00),4. 55.00,5. 51.00,5. 51.00,4. 55.00,4. 55.00,1993,lead,WOMEN
3,4,Raybaud,Nanette,FRA,260.00,12. 28.00,20. (12.00),3. 65.00,4. 55.00,3. 65.00,6. 47.00,1993,lead,WOMEN
4,5,Richer,Natalie,FRA,216.00,5. 51.00,10. 34.00,6. 47.00,6. 47.00,12. (28.00),9. 37.00,1993,lead,WOMEN
5,6,Sansoz,Liv,FRA,212.00,2. 80.00,8. 40.00,4. 55.00,9. 37.00,,,1993,lead,WOMEN
6,7,Patissier,Isabelle,FRA,165.00,,,,1. 100.00,,3. 65.00,1993,lead,WOMEN
7,8,Iovane,Luisa,ITA,157.00,8. 40.00,17. 18.00,,18. 16.00,7. 43.00,8. 40.00,1993,lead,WOMEN
8,9,Kavoussi,Karin,AUT,156.00,14. 24.00,9. 37.00,,7. 43.00,14. 24.00,12. 28.00,1993,lead,WOMEN
9,10,Uhden,Marietta,GER,154.00,13. 26.00,12. 28.00,,8. 40.00,10. 34.00,13. 26.00,1993,lead,WOMEN
10,11,Inozemtseva,Yulia,RUS,146.00,6. 47.00,13. 26.00,,13. 26.00,9. 37.00,21. 10.00,1993,lead,WOMEN
11,12,Butler,Felicity,GBR,133.00,19. 14.00,16. 20.00,14. 24.00,12. 28.00,6. 47.00,25. (6.00),1993,lead,WOMEN
12,13,Bibik,Olga,RUS,118.00,14. 24.00,27. 4.00,10. 34.00,,15. 22.00,10. 34.00,1993,lead,WOMEN
13,14,Piat,Marie-Annick,FRA,111.00,9. 37.00,,8. 40.00,20. 12.00,27. 4.00,17. 18.00,1993,lead,WOMEN
14,15,Striecks,Angela,GER,101.00,14. 24.00,3. 65.00,,,21. 10.00,29. 2.00,1993,lead,WOMEN
15,16,Guillet,Marie,FRA,100.00,4. 55.00,7. 43.00,,29. 2.00,,,1993,lead,WOMEN
16,17,Pashennik,Nataliy,RUS,98.00,,,9. 37.00,17. 18.00,,7. 43.00,1993,lead,WOMEN
17,18,Gronkiewicz-Marcisz,Iwona,POL,93.00,,,13. 26.00,10. 34.00,29. 2.00,11. 31.00,1993,lead,WOMEN
18,19,Steindl,Irene,AUT,88.00,18. 16.00,23. 8.00,,14. 24.00,8. 40.00,,1993,lead,WOMEN
19,20,Guyon,Laurence,FRA,86.00,27. 4.00,21. 10.00,7. 43.00,24. 7.00,,15. 22.00,1993,lead,WOMEN
