,Rank,Name,Name.1,Nation,Points,W-Bi 26.11.1994,W-Ai 18.11.1994,W-Mo 29.04.1994,W-Vi 16.04.1994,1994,event,gender
0,1,Lombard,François,FRA,302.00,1. 100.00,1. 100.00,9. 37.00,3. 65.00,1994,lead,MEN
1,2,Legrand,François,FRA,280.00,2. 80.00,,1. 100.00,1. 100.00,1994,lead,MEN
2,3,Tribout,Jean-Baptiste,FRA,207.00,8. 40.00,6. 47.00,2. 80.00,8. 40.00,1994,lead,MEN
3,4,Mazuer,Fabien,FRA,206.00,16. 20.00,2. 80.00,4. 55.00,5. 51.00,1994,lead,MEN
4,5,Petit,François,FRA,197.00,3. 65.00,9. 37.00,8. 40.00,4. 55.00,1994,lead,MEN
5,6,Petit,Arnaud,FRA,177.00,14. 24.00,13. 26.00,6. 47.00,2. 80.00,1994,lead,MEN
6,7,Chevieux,Elie,SUI,154.00,5. 51.00,5. 51.00,10. 34.00,17. 18.00,1994,lead,MEN
7,8,Coffy,François,FRA,133.00,11. 31.00,8. 40.00,11. 31.00,11. 31.00,1994,lead,MEN
8,9,Vickers,Ian,GBR,130.00,29. 2.00,6. 47.00,3. 65.00,18. 16.00,1994,lead,MEN
9,10,Brenna,Cristian,ITA,96.00,22. 9.00,3. 65.00,23. 8.00,19. 14.00,1994,lead,MEN
10,11,Pons,Pedro,ESP,90.00,7. 43.00,9. 37.00,,21. 10.00,1994,lead,MEN
11,12,Albrand,Vincent,FRA,89.00,10. 34.00,,4. 55.00,,1994,lead,MEN
12,13,Ovchinnikov,Evgeny,RUS,85.00,16. 20.00,15. 22.00,7. 43.00,,1994,lead,MEN
13,14,Samoiline,Pavel,RUS,81.00,5. 51.00,23. 8.00,15. 22.00,,1994,lead,MEN
14,15,Alippi,Stefano,ITA,77.00,21. 10.00,,16. 20.00,6. 47.00,1994,lead,MEN
15,16,Fürst,Stefan,AUT,75.00,16. 20.00,,11. 31.00,14. 24.00,1994,lead,MEN
16,17,Arocena,Patxi,ESP,67.00,23. 8.00,15. 22.00,,9. 37.00,1994,lead,MEN
17,17,Zardini,Luca,ITA,67.00,4. 55.00,24. 7.00,26. 5.00,,1994,lead,MEN
18,19,Rakhmetov,Kairat,KAZ,62.00,,15. 22.00,16. 20.00,16. 20.00,1994,lead,MEN
