,Rank,Name,Name.1,Nation,Points,W-Bi 26.11.1994,W-Ai 18.11.1994,W-Mo 29.04.1994,W-Vi 16.04.1994,1994,event,gender
0,1,Erbesfield,Robyn,USA,400.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,1994,lead,WOMEN
1,2,Patissier,Isabelle,FRA,253.00,12. 28.00,2. 80.00,3. 65.00,2. 80.00,1994,lead,WOMEN
2,3,Richer,Natalie,FRA,220.00,2. 80.00,4. 55.00,10. 34.00,5. 51.00,1994,lead,WOMEN
3,4,Sansoz,Liv,FRA,214.00,4. 55.00,3. 65.00,6. 47.00,6. 47.00,1994,lead,WOMEN
4,5,Ovtchinnikova,Elena,USA,200.00,7. 43.00,20. 12.00,2. 80.00,3. 65.00,1994,lead,WOMEN
5,6,Guillet,Marie,FRA,161.00,16. 20.00,6. 47.00,5. 51.00,7. 43.00,1994,lead,WOMEN
6,7,Guyon,Laurence,FRA,116.00,3. 65.00,5. 51.00,,,1994,lead,WOMEN
7,7,Inozemtseva,Yulia,RUS,116.00,17. 18.00,7. 43.00,4. 55.00,,1994,lead,WOMEN
8,9,Sarkany,Muriel,BEL,108.00,9. 37.00,7. 43.00,12. 28.00,,1994,lead,WOMEN
9,10,Cufar,Martina,SLO,106.00,6. 47.00,16. 20.00,23. 8.00,11. 31.00,1994,lead,WOMEN
10,11,Striecks,Angela,GER,99.00,11. 31.00,15. 22.00,10. 34.00,20. 12.00,1994,lead,WOMEN
11,12,Axon,Mia,USA,93.00,17. 18.00,16. 20.00,,4. 55.00,1994,lead,WOMEN
12,13,Uhden,Marietta,GER,92.00,14. 24.00,10. 34.00,23. 8.00,13. 26.00,1994,lead,WOMEN
13,14,Schlemmer,Tamara,GER,83.00,13. 26.00,11. 31.00,25. 6.00,16. 20.00,1994,lead,WOMEN
14,15,Presson,Shelly,USA,81.00,23. 8.00,20. 12.00,14. 24.00,9. 37.00,1994,lead,WOMEN
15,16,Guy,Naomi,GBR,80.00,8. 40.00,,20. 12.00,12. 28.00,1994,lead,WOMEN
16,16,Lukancic,Metka,SLO,80.00,9. 37.00,7. 43.00,,,1994,lead,WOMEN
17,18,Iovane,Luisa,ITA,76.00,14. 24.00,20. 12.00,,8. 40.00,1994,lead,WOMEN
18,19,Butler,Felicity,GBR,66.00,5. 51.00,24. 7.00,,23. 8.00,1994,lead,WOMEN
19,20,Kavoussi,Karin,AUT,65.00,21. 10.00,26. 5.00,12. 28.00,15. 22.00,1994,lead,WOMEN
20,20,Raybaud,Nanette,FRA,65.00,21. 10.00,20. 12.00,7. 43.00,,1994,lead,WOMEN
21,22,Jenkins,Ruth,GBR,52.00,30. 1.00,24. 7.00,16. 20.00,14. 24.00,1994,lead,WOMEN
22,23,Chereshneva,Venera,RUS,51.00,,,9. 37.00,19. 14.00,1994,lead,WOMEN
23,24,Pearsons,Silvia,GBR,48.00,20. 12.00,29. 2.00,,10. 34.00,1994,lead,WOMEN
24,25,Stranska,Barbara,CZE,44.00,,13. 26.00,,17. 18.00,1994,lead,WOMEN
25,26,Bibik,Olga,RUS,43.00,,,8. 40.00,28. 3.00,1994,lead,WOMEN
26,27,Vallet,Catherine,FRA,38.00,,,15. 22.00,18. 16.00,1994,lead,WOMEN
27,28,Choumilova,Elena,RUS,34.00,,12. 28.00,25. 6.00,,1994,lead,WOMEN
28,29,Avezou,Cecile,FRA,30.00,29. 2.00,16. 20.00,,23. 8.00,1994,lead,WOMEN
29,29,Linhartova,Eva,CZE,30.00,,,17. 18.00,20. 12.00,1994,lead,WOMEN
30,31,Bodet,Stéphanie,FRA,28.00,,16. 20.00,,23. 8.00,1994,lead,WOMEN
31,32,Palle,Isabelle,FRA,24.00,,14. 24.00,,,1994,lead,WOMEN
32,33,Piszczek,Renata,POL,22.00,23. 8.00,,19. 14.00,,1994,lead,WOMEN
33,34,Hilly,Margaux,FRA,20.00,23. 8.00,,,20. 12.00,1994,lead,WOMEN
34,35,Pashennik,Nataliy,RUS,16.00,,,18. 16.00,,1994,lead,WOMEN
35,36,Kleonova,Marina,RUS,14.00,19. 14.00,,,,1994,lead,WOMEN
36,37,Perlova,Nataliya,UKR,10.00,,,21. 10.00,,1994,lead,WOMEN
37,38,Churbanova,Galina,KAZ,9.00,,,22. 9.00,,1994,lead,WOMEN
