,Rank,Name,Name.1,Nation,Points,W-Ai 08.12.1995,W-Bi 25.11.1995,W-Mo 22.10.1995,W-Fr 07.04.1995,1995,event,gender
0,1,Petit,François,FRA,316.00,5. 51.00,1. 100.00,3. 65.00,1. 100.00,1995,lead,MEN
1,2,Legrand,François,FRA,296.00,1. 100.00,3. 65.00,5. 51.00,2. 80.00,1995,lead,MEN
2,3,Petit,Arnaud,FRA,262.00,2. 80.00,9. 37.00,2. 80.00,3. 65.00,1995,lead,MEN
3,4,Chevieux,Elie,SUI,245.00,4. 55.00,6. 47.00,1. 100.00,7. 43.00,1995,lead,MEN
4,5,Lombard,François,FRA,227.00,3. 65.00,2. 80.00,11. 31.00,5. 51.00,1995,lead,MEN
5,6,Tribout,Jean-Baptiste,FRA,172.00,8. 40.00,10. 34.00,7. 43.00,4. 55.00,1995,lead,MEN
6,7,Hirayama,Yuji,JPN,162.00,6. 47.00,4. 55.00,16. 20.00,8. 40.00,1995,lead,MEN
7,8,Coffy,François,FRA,142.00,7. 43.00,10. 34.00,10. 34.00,11. 31.00,1995,lead,MEN
8,9,Brenna,Cristian,ITA,128.00,,13. 26.00,4. 55.00,6. 47.00,1995,lead,MEN
9,10,Core,Christian,ITA,97.00,10. 34.00,13. 26.00,9. 37.00,,1995,lead,MEN
10,11,Bindhammer,Andreas,GER,83.00,13. 26.00,8. 40.00,28. 3.00,19. 14.00,1995,lead,MEN
11,12,Rakhmetov,Salavat,RUS,81.00,10. 34.00,,6. 47.00,,1995,lead,MEN
12,13,Zardini,Luca,ITA,74.00,25. 6.00,13. 26.00,23. 8.00,10. 34.00,1995,lead,MEN
13,14,Bucher,Christoph,GER,73.00,,5. 51.00,,15. 22.00,1995,lead,MEN
14,15,Alippi,Stefano,ITA,72.00,20. 12.00,,8. 40.00,16. 20.00,1995,lead,MEN
15,16,Arocena,Patxi,ESP,71.00,22. 9.00,13. 26.00,20. 12.00,14. 24.00,1995,lead,MEN
16,16,Mussatto,Phillipe,FRA,71.00,15. 22.00,,20. 12.00,9. 37.00,1995,lead,MEN
17,18,Vickers,Ian,GBR,69.00,13. 26.00,7. 43.00,,,1995,lead,MEN
18,19,Dewilde,Paul,FRA,60.00,29. 2.00,10. 34.00,14. 24.00,,1995,lead,MEN
19,20,Kazbekov,Serik,UKR,58.00,29. 2.00,,12. 28.00,12. 28.00,1995,lead,MEN
20,21,Giupponi,Luca,ITA,52.00,15. 22.00,27. 4.00,13. 26.00,,1995,lead,MEN
21,22,DU LAC,Daniel,FRA,48.00,15. 22.00,13. 26.00,,,1995,lead,MEN
22,23,Caude,David,FRA,41.00,9. 37.00,,27. 4.00,,1995,lead,MEN
23,23,Fürst,Stefan,AUT,41.00,29. 2.00,20. 12.00,16. 20.00,24. 7.00,1995,lead,MEN
24,23,Pons,Pedro,ESP,41.00,,25. 6.00,22. 9.00,13. 26.00,1995,lead,MEN
25,26,Coroller,Frédéric,FRA,35.00,19. 14.00,,26. 5.00,18. 16.00,1995,lead,MEN
26,27,Scassa,Severino,ITA,34.00,10. 34.00,,,,1995,lead,MEN
27,28,ANDRADA JIMENEZ,Daniel,ESP,28.00,20. 12.00,18. 16.00,,,1995,lead,MEN
28,29,Gisler,Pascal,SUI,24.00,,,14. 24.00,,1995,lead,MEN
29,30,Gnerro,Alberto,ITA,22.00,15. 22.00,,,,1995,lead,MEN
30,31,Carson,Neil,GBR,19.00,,20. 12.00,24. 7.00,,1995,lead,MEN
31,32,Koran,Pavel,CZE,18.00,,,,17. 18.00,1995,lead,MEN
32,32,Ovchinnikov,Evgeny,RUS,18.00,,,25. 6.00,20. 12.00,1995,lead,MEN
33,34,Videnovski,Milen,BUL,17.00,22. 9.00,,,23. 8.00,1995,lead,MEN
34,35,Kryvosheytsev,Yevgen,UKR,16.00,,,19. 14.00,29. 2.00,1995,lead,MEN
35,35,Rakhmetov,Kairat,KAZ,16.00,,,18. 16.00,,1995,lead,MEN
36,37,Laurence,Ludovic,FRA,14.00,,19. 14.00,,,1995,lead,MEN
37,38,Samoiline,Pavel,RUS,12.00,,,,20. 12.00,1995,lead,MEN
38,39,Bindhammer,Christian,GER,11.00,29. 2.00,,,22. 9.00,1995,lead,MEN
39,40,Grom,Aljosa,SLO,10.00,,24. 7.00,,28. 3.00,1995,lead,MEN
40,41,Gucek,Vili,SLO,9.00,,22. 9.00,,,1995,lead,MEN
41,41,Villien,David,FRA,9.00,22. 9.00,,,,1995,lead,MEN
42,43,Benian,Milan,CZE,8.00,,23. 8.00,,,1995,lead,MEN
43,43,Wandeler,Simon,SUI,8.00,28. 3.00,27. 4.00,,30. 1.00,1995,lead,MEN
44,45,Kollar,Igor,SVK,7.00,,,,24. 7.00,1995,lead,MEN
45,46,Fairfield,Timmy,CAN,6.00,25. 6.00,,,,1995,lead,MEN
46,46,Vionnet,Frédéric,FRA,6.00,25. 6.00,,,,1995,lead,MEN
47,46,Widder,Wolfgang,GER,6.00,,25. 6.00,,,1995,lead,MEN
48,49,Carretero Perez,David,ESP,5.00,,,,26. 5.00,1995,lead,MEN
49,49,Mate,Robert,GER,5.00,,,,26. 5.00,1995,lead,MEN
50,51,Cubitt,Christopher,GBR,4.00,,27. 4.00,,,1995,lead,MEN
51,51,Jongeneelen,Wouter,NED,4.00,,27. 4.00,,,1995,lead,MEN
52,51,Philipona,Yves,SUI,4.00,,27. 4.00,,,1995,lead,MEN
53,54,Boulavko,Oleg,RUS,3.00,,,28. 3.00,,1995,lead,MEN
54,54,Tchertov,Alexei,RUS,3.00,,,28. 3.00,,1995,lead,MEN
55,56,Campbel,Jason,USA,2.00,29. 2.00,,,,1995,lead,MEN
56,56,Golob,Jurij,SLO,2.00,29. 2.00,,,,1995,lead,MEN
57,56,Otegui Zubiyaga,Ricardo,ESP,2.00,29. 2.00,,,,1995,lead,MEN
58,56,Thon,Werner,GER,2.00,29. 2.00,,,,1995,lead,MEN
59,60,Calibani,Mauro,ITA,1.00,,,,30. 1.00,1995,lead,MEN
