,Rank,Name,Name.1,Nation,Points,41,42,40,1996,event,gender,athlete_id
0,1,Sansoz,Liv,FRA,265.00,1. 100.00,3. 65.00,1. 100.00,1996,lead,WOMEN,1222
1,2,Guyon,Laurence,FRA,260.00,2. 80.00,1. 100.00,2. 80.00,1996,lead,WOMEN,1209
2,3,Bodet,Stéphanie,FRA,171.00,3. 65.00,5. 51.00,4. 55.00,1996,lead,WOMEN,1335
3,4,Richer,Natalie,FRA,150.00,4. 55.00,4. 55.00,8. 40.00,1996,lead,WOMEN,1301
4,5,Guillet,Marie,FRA,138.00,5. 51.00,8. 40.00,6. 47.00,1996,lead,WOMEN,1242
5,6,Choumilova,Elena,RUS,133.00,8. 40.00,12. 28.00,3. 65.00,1996,lead,WOMEN,1106
6,7,Sarkany,Muriel,BEL,131.00,5. 51.00,2. 80.00,,1996,lead,WOMEN,1272
7,8,Avezou,Cecile,FRA,122.00,10. 34.00,9. 37.00,5. 51.00,1996,lead,WOMEN,1055
8,9,Uhden,Marietta,GER,112.00,13. 26.00,7. 43.00,7. 43.00,1996,lead,WOMEN,1277
9,10,Cufar,Martina,SLO,102.00,14. 24.00,6. 47.00,11. 31.00,1996,lead,WOMEN,1236
10,11,Chereshneva,Venera,RUS,71.00,7. 43.00,,12. 28.00,1996,lead,WOMEN,1391
11,12,Iovane,Luisa,ITA,68.00,9. 37.00,11. 31.00,,1996,lead,WOMEN,1213
12,13,Lukancic,Metka,SLO,65.00,12. 28.00,10. 34.00,28. 3.00,1996,lead,WOMEN,1251
13,14,Axon,Mia,USA,60.00,19. 14.00,14. 24.00,15. 22.00,1996,lead,WOMEN,1230
14,15,Ovtchinnikova,Elena,USA,57.00,11. 31.00,,13. 26.00,1996,lead,WOMEN,1101
15,16,Stremfelj,Katarina,SLO,56.00,18. 16.00,12. 28.00,20. 12.00,1996,lead,WOMEN,1196
16,17,Podgorbounskikh,Zosia,RUS,55.00,17. 18.00,,9. 37.00,1996,lead,WOMEN,1404
17,18,Go,Mi-Sun,KOR,48.00,14. 24.00,,14. 24.00,1996,lead,WOMEN,1273
18,19,Verbeek,Mirjam,NED,42.00,16. 20.00,15. 22.00,,1996,lead,WOMEN,1279
19,20,Agapova,Galina,RUS,38.00,,27. 4.00,10. 34.00,1996,lead,WOMEN,1123
20,21,Hartmann,Iva,SUI,29.00,22. 9.00,16. 20.00,,1996,lead,WOMEN,1158
21,22,schöpf,Bettina,AUT,28.00,20. 12.00,18. 16.00,,1996,lead,WOMEN,1042
22,23,Sutkina,Svetlana,RUS,25.00,,24. 7.00,17. 18.00,1996,lead,WOMEN,1366
23,24,Minoret,Chloé,FRA,24.00,26. 5.00,21. 10.00,22. 9.00,1996,lead,WOMEN,1063
24,25,Arran,Anne,GBR,21.00,,17. 18.00,28. 3.00,1996,lead,WOMEN,1003
25,26,Bereciartu Urruzola,Josune,ESP,20.00,,,16. 20.00,1996,lead,WOMEN,1171
26,27,Ruyga,Tatiana,RUS,18.00,,,17. 18.00,1996,lead,WOMEN,1378
27,28,Nilsson,Ingela,SWE,14.00,,19. 14.00,,1996,lead,WOMEN,1162
28,28,Piszczek,Renata,POL,14.00,,,19. 14.00,1996,lead,WOMEN,1329
29,30,Anthoni,Kim,BEL,12.00,,20. 12.00,,1996,lead,WOMEN,1182
30,30,Pearsons,Silvia,GBR,12.00,28. 3.00,22. 9.00,,1996,lead,WOMEN,1358
31,32,Inozemtseva,Yulia,RUS,10.00,21. 10.00,,,1996,lead,WOMEN,1175
32,32,Rouiga,Irina,RUS,10.00,,,21. 10.00,1996,lead,WOMEN,1166
33,34,Hilly,Margaux,FRA,9.00,22. 9.00,,,1996,lead,WOMEN,1232
34,34,Klemencic,Blaza,SLO,9.00,22. 9.00,,,1996,lead,WOMEN,1035
35,34,Steindl,Irene,AUT,9.00,22. 9.00,,,1996,lead,WOMEN,1168
36,37,Bibik,Olga,RUS,8.00,,,23. 8.00,1996,lead,WOMEN,1308
37,37,Vallet,Catherine,FRA,8.00,,23. 8.00,,1996,lead,WOMEN,1071
38,39,Marchisio,Stella,ITA,7.00,,24. 7.00,,1996,lead,WOMEN,1353
39,39,Minaeva,Natalia,RUS,7.00,,,24. 7.00,1996,lead,WOMEN,1295
40,39,Piratinskaya,Mayya,RUS,7.00,,,24. 7.00,1996,lead,WOMEN,1267
41,39,Savic,Romana,SLO,7.00,28. 3.00,27. 4.00,,1996,lead,WOMEN,1331
42,39,Schlemmer,Tamara,GER,7.00,,,24. 7.00,1996,lead,WOMEN,1379
43,39,Singer,Meryl,USA,7.00,,24. 7.00,,1996,lead,WOMEN,1274
44,45,Kavoussi,Karin,AUT,5.00,26. 5.00,,,1996,lead,WOMEN,1188
45,45,Pigneur,Delphine,FRA,5.00,30. 1.00,27. 4.00,,1996,lead,WOMEN,1080
46,47,Magog,Karin,GBR,4.00,,,27. 4.00,1996,lead,WOMEN,1191
47,47,Nieselt,Eva,GER,4.00,,27. 4.00,,1996,lead,WOMEN,1100
48,49,Ryepko,Olena,UKR,1.00,,,30. 1.00,1996,lead,WOMEN,1105
49,49,Zakharova,Olga,UKR,1.00,,,30. 1.00,1996,lead,WOMEN,1312
