,Rank,Name,Name.1,Nation,Points,T-Grenoble 28.08.1998,T-Cr.Montana 22.08.1998,T-Cortina 14.08.1998,T-Valloire 07.08.1998,T-Chamonix 17.07.1998,T-V.d'Isere 12.07.1998,1998,event,gender
0,1,Sansoz,Liv,FRA,400.00,1. 100.00,,2. (80.00),1. 100.00,1. 100.00,1. 100.00,1998,boulder,WOMEN
1,2,Bodet,Stéphanie,FRA,360.00,2. 80.00,1. 100.00,1. 100.00,2. 80.00,3. (65.00),2. (80.00),1998,boulder,WOMEN
2,3,Minoret,Chloé,FRA,228.00,3. 65.00,2. 80.00,8. 40.00,9. (37.00),7. 43.00,,1998,boulder,WOMEN
3,4,Chereshneva,Venera,RUS,204.00,4. 55.00,,5. 51.00,6. 47.00,6. (47.00),5. 51.00,1998,boulder,WOMEN
4,5,Perlova,Nataliya,UKR,197.00,8. 40.00,3. 65.00,4. 55.00,11. (31.00),9. 37.00,16. (20.00),1998,boulder,WOMEN
5,6,Richer,Natalie,FRA,186.00,,,,5. 51.00,2. 80.00,4. 55.00,1998,boulder,WOMEN
6,7,Inozemtseva,Yulia,RUS,171.00,5. 51.00,,3. 65.00,4. 55.00,,,1998,boulder,WOMEN
7,8,Choumilova,Elena,RUS,167.00,,,,3. 65.00,4. 55.00,6. 47.00,1998,boulder,WOMEN
8,9,Gouriou,Gaelle,FRA,121.00,7. 43.00,,,11. 31.00,18. 16.00,11. 31.00,1998,boulder,WOMEN
9,10,Avezou,Cecile,FRA,112.00,,,,6. 47.00,,3. 65.00,1998,boulder,WOMEN
10,11,Habbouse,Aicha,FRA,101.00,9. 37.00,,,22. 9.00,11. 31.00,14. 24.00,1998,boulder,WOMEN
11,12,Pigneur,Delphine,FRA,93.00,,11. 31.00,,15. 22.00,19. 14.00,13. 26.00,1998,boulder,WOMEN
12,12,Theroux,Corinne,FRA,93.00,11. 31.00,,,18. 16.00,10. 34.00,20. 12.00,1998,boulder,WOMEN
13,14,Ovtchinnikova,Elena,USA,91.00,,5. 51.00,,8. 40.00,,,1998,boulder,WOMEN
14,15,Ostapenko,Olena,UKR,87.00,12. 28.00,,6. 47.00,20. 12.00,,,1998,boulder,WOMEN
15,16,Martin,Delphine,FRA,81.00,6. 47.00,,,10. 34.00,,,1998,boulder,WOMEN
16,17,Uhden,Marietta,GER,79.00,,,,,5. 51.00,12. 28.00,1998,boulder,WOMEN
17,18,Guiguet,Myrtille,FRA,78.00,17. 18.00,7. 43.00,,27. (4.00),21. 10.00,24. 7.00,1998,boulder,WOMEN
18,19,Rubio,Mélaine,FRA,75.00,16. 20.00,6. 47.00,,23. 8.00,,,1998,boulder,WOMEN
19,20,Chazaud,Elodie,FRA,69.00,,,,16. 20.00,11. 31.00,17. 18.00,1998,boulder,WOMEN
20,21,Schultz,Annatina,SUI,64.00,,8. 40.00,,14. 24.00,,,1998,boulder,WOMEN
21,22,Pardo,Estelle,FRA,63.00,14. 24.00,,,,11. 31.00,23. 8.00,1998,boulder,WOMEN
22,23,Heurteaux,Sophie,FRA,60.00,10. 34.00,,,13. 26.00,,,1998,boulder,WOMEN
23,24,Hartmann,Iva,SUI,55.00,,4. 55.00,,,,,1998,boulder,WOMEN
24,25,Alliard,Estelle,FRA,53.00,18. 16.00,9. 37.00,,,,,1998,boulder,WOMEN
25,25,Anthoni,Kim,BEL,53.00,,,,,11. 31.00,15. 22.00,1998,boulder,WOMEN
26,27,Boldrin,Elisabetta,ITA,52.00,,10. 34.00,17. 18.00,,,,1998,boulder,WOMEN
27,27,Dherbey,Fred,FRA,52.00,,,,,20. 12.00,8. 40.00,1998,boulder,WOMEN
28,29,Bell,Claire,GBR,48.00,,,,19. 14.00,11. 31.00,28. 3.00,1998,boulder,WOMEN
29,30,Savic,Romana,SLO,45.00,,,9. 37.00,,23. 8.00,,1998,boulder,WOMEN
30,31,Cufar,Martina,SLO,44.00,,,,,21. 10.00,10. 34.00,1998,boulder,WOMEN
31,32,Benetti,Lisa,ITA,43.00,,,7. 43.00,,,,1998,boulder,WOMEN
32,32,Hilly,Margaux,FRA,43.00,,,,,,7. 43.00,1998,boulder,WOMEN
33,34,Perez,Karine,FRA,42.00,19. 14.00,,16. 20.00,,24. 7.00,30. 1.00,1998,boulder,WOMEN
34,35,Sarkany,Muriel,BEL,40.00,,,,,8. 40.00,,1998,boulder,WOMEN
35,36,Hurtado,Céline,FRA,37.00,,,,,,9. 37.00,1998,boulder,WOMEN
36,37,Bihr,Isabelle,FRA,36.00,13. 26.00,,,,,21. 10.00,1998,boulder,WOMEN
37,37,Blais,Pauline,FRA,36.00,,,,,11. 31.00,26. 5.00,1998,boulder,WOMEN
38,39,Kryvonis,Olena,UKR,34.00,,,10. 34.00,,,,1998,boulder,WOMEN
39,40,Astie,Hélène,FRA,32.00,,,,,17. 18.00,19. 14.00,1998,boulder,WOMEN
40,40,Usatiuk,Marharyta,UKR,32.00,,,13. 26.00,25. 6.00,,,1998,boulder,WOMEN
41,42,Hirsch,Judith,AUT,31.00,,,11. 31.00,,,,1998,boulder,WOMEN
42,43,Mathieu,Claire,FRA,29.00,15. 22.00,,,24. 7.00,,,1998,boulder,WOMEN
43,44,Walder,Ulla,ITA,28.00,,,12. 28.00,,,,1998,boulder,WOMEN
44,45,Larthomas,Ludivine,FRA,25.00,,,14. 24.00,30. 1.00,,,1998,boulder,WOMEN
45,46,Balteri,Federica,ITA,22.00,,,15. 22.00,,,,1998,boulder,WOMEN
46,47,Belomestnova,Maria,RUS,18.00,,,,17. 18.00,,,1998,boulder,WOMEN
47,48,Motteau,Myriam,FRA,16.00,,,,,,18. 16.00,1998,boulder,WOMEN
48,49,Zeilemaker,Monica,NED,12.00,,,,,25. 6.00,25. 6.00,1998,boulder,WOMEN
49,50,Zakharova,Olga,UKR,10.00,,,,21. 10.00,,,1998,boulder,WOMEN
50,51,Fontanez,Elsa,FRA,9.00,,,,26. 5.00,,27. 4.00,1998,boulder,WOMEN
51,51,Nilsson,Ingela,SWE,9.00,,,,,,22. 9.00,1998,boulder,WOMEN
52,53,Doulat,Laurence,FRA,8.00,,,,28. 3.00,26. 5.00,,1998,boulder,WOMEN
53,54,Swart,Nienke,NED,4.00,,,,,27. 4.00,,1998,boulder,WOMEN
54,55,Annecchini,Marina,ITA,3.00,,,,,28. 3.00,,1998,boulder,WOMEN
55,56,Marseille,Sophie,FRA,2.00,,,,,29. 2.00,,1998,boulder,WOMEN
56,56,Ryo,Soléne,FRA,2.00,,,,,,29. 2.00,1998,boulder,WOMEN
57,56,Van Der Putten,Eleonora,NED,2.00,,,,29. 2.00,,,1998,boulder,WOMEN
58,4 best competition results are counting for Top Rock Challenge 1998 - Bouldering. Not counting points are in brackets.,4 best competition results are counting for Top Rock Challenge 1998 - Bouldering. Not counting points are in brackets.,4 best competition results are counting for Top Rock Challenge 1998 - Bouldering. Not counting points are in brackets.,4 best competition results are counting for Top Rock Challenge 1998 - Bouldering. Not counting points are in brackets.,4 best competition results are counting for Top Rock Challenge 1998 - Bouldering. Not counting points are in brackets.,4 best competition results are counting for Top Rock Challenge 1998 - Bouldering. Not counting points are in brackets.,4 best competition results are counting for Top Rock Challenge 1998 - Bouldering. Not counting points are in brackets.,4 best competition results are counting for Top Rock Challenge 1998 - Bouldering. Not counting points are in brackets.,4 best competition results are counting for Top Rock Challenge 1998 - Bouldering. Not counting points are in brackets.,4 best competition results are counting for Top Rock Challenge 1998 - Bouldering. Not counting points are in brackets.,4 best competition results are counting for Top Rock Challenge 1998 - Bouldering. Not counting points are in brackets.,1998,boulder,WOMEN
