,Rank,Name,Name.1,Nation,Points,WC Grenoble 28.08.1999,WC Cortina 13.08.1999,WC Bardonecchia 31.07.1999,WC Chamonix 17.07.1999,WC Val d'Isere 11.07.1999,WC Benasque 03.07.1999,1999,event,gender
0,1,Core,Christian,ITA,386.00,2. 80.00,4. 55.00,5. 51.00,1. 100.00,1. 100.00,8. (40.00),1999,boulder,MEN
1,2,Kazbekov,Serik,UKR,297.00,7. 43.00,1. 100.00,8. 40.00,10. 34.00,2. 80.00,,1999,boulder,MEN
2,3,Meyer,Jérôme,FRA,279.00,3. 65.00,2. 80.00,6. 47.00,8. 40.00,8. (40.00),6. 47.00,1999,boulder,MEN
3,4,DU LAC,Daniel,FRA,271.00,1. 100.00,11. 31.00,10. 34.00,2. 80.00,13. 26.00,15. (22.00),1999,boulder,MEN
4,5,ANDRADA JIMENEZ,Daniel,ESP,253.00,9. 37.00,3. 65.00,1. 100.00,,,5. 51.00,1999,boulder,MEN
5,5,Petit,François,FRA,253.00,4. 55.00,14. 24.00,24. (7.00),7. 43.00,5. 51.00,2. 80.00,1999,boulder,MEN
6,7,Julien,Stephane,FRA,235.00,20. (12.00),7. 43.00,7. 43.00,6. 47.00,6. 47.00,4. 55.00,1999,boulder,MEN
7,8,Rakhmetov,Salavat,RUS,202.00,,9. 37.00,4. 55.00,4. 55.00,4. 55.00,,1999,boulder,MEN
8,9,Jeandenand,Damien,FRA,185.00,18. 16.00,12. 28.00,2. 80.00,,9. 37.00,14. 24.00,1999,boulder,MEN
9,10,Danis,Jean Luc,FRA,179.00,8. 40.00,25. (6.00),11. 31.00,11. 31.00,7. 43.00,10. 34.00,1999,boulder,MEN
10,11,Chabot,Alexandre,FRA,166.00,14. 24.00,18. 16.00,27. (4.00),14. 24.00,3. 65.00,9. 37.00,1999,boulder,MEN
11,12,Fairfield,Timmy,CAN,154.00,5. 51.00,21. 10.00,21. 10.00,3. 65.00,17. 18.00,,1999,boulder,MEN
12,13,Laurence,Ludovic,FRA,147.00,6. 47.00,,,,,1. 100.00,1999,boulder,MEN
13,14,Golob,Jurij,SLO,135.00,13. 26.00,5. 51.00,19. 14.00,9. 37.00,24. 7.00,,1999,boulder,MEN
14,15,Chemoulinkine,Serguei,RUS,132.00,10. 34.00,13. 26.00,15. 22.00,13. 26.00,14. 24.00,,1999,boulder,MEN
15,16,Oleksy,Tomasz,POL,123.00,12. 28.00,,12. 28.00,5. 51.00,18. 16.00,,1999,boulder,MEN
16,17,Lamiche,Anthony,FRA,104.00,21. 10.00,10. 34.00,14. 24.00,,23. 8.00,12. 28.00,1999,boulder,MEN
17,18,Pons,Pedro,ESP,87.00,,,,,15. 22.00,3. 65.00,1999,boulder,MEN
18,19,Dutray,Mathieu,FRA,83.00,15. 22.00,26. 5.00,13. 26.00,18. 16.00,,19. 14.00,1999,boulder,MEN
19,20,Petit,Arnaud,FRA,77.00,,8. 40.00,9. 37.00,,,,1999,boulder,MEN
20,21,Giupponi,Luca,ITA,74.00,,19. 14.00,18. 16.00,30. 1.00,20. 12.00,11. 31.00,1999,boulder,MEN
21,22,Meral,Julien,FRA,66.00,11. 31.00,,,24. 7.00,12. 28.00,,1999,boulder,MEN
22,23,Giudici,Lucio,ITA,65.00,,6. 47.00,17. 18.00,,,,1999,boulder,MEN
23,23,Ovchinnikov,Evgeny,RUS,65.00,,,3. 65.00,,,,1999,boulder,MEN
24,25,Scarian,Riccardo,ITA,62.00,17. 18.00,16. 20.00,,23. 8.00,25. 6.00,21. 10.00,1999,boulder,MEN
25,26,Natech,Faycal,FRA,57.00,,,,,19. 14.00,7. 43.00,1999,boulder,MEN
26,27,Scully,Eric,USA,40.00,,15. 22.00,20. 12.00,27. 4.00,29. 2.00,,1999,boulder,MEN
27,28,Brenna,Cristian,ITA,38.00,,17. 18.00,16. 20.00,,,,1999,boulder,MEN
28,29,Vedenmeer,Andrey,UKR,35.00,,,28. 3.00,15. 22.00,21. 10.00,,1999,boulder,MEN
29,30,Tuscan,Frédéric,FRA,34.00,,,,,10. 34.00,,1999,boulder,MEN
30,31,Daures,Luc,FRA,31.00,,,,,11. 31.00,,1999,boulder,MEN
31,31,Finkel,Christoph,GER,31.00,16. 20.00,,23. 8.00,28. 3.00,,,1999,boulder,MEN
32,33,Langris,Sylvain,FRA,30.00,,,,,27. 4.00,13. 26.00,1999,boulder,MEN
33,34,Laporte,Laurent,FRA,28.00,,,,12. 28.00,,,1999,boulder,MEN
34,35,Lopez,David,ESP,24.00,,20. 12.00,,,,20. 12.00,1999,boulder,MEN
35,36,Lebreton,Olivier,FRA,23.00,,,26. 5.00,22. 9.00,22. 9.00,,1999,boulder,MEN
36,36,Nourmamatov,Serguei,RUS,23.00,,,,16. 20.00,28. 3.00,,1999,boulder,MEN
37,38,Bindhammer,Andreas,GER,20.00,,,,,,16. 20.00,1999,boulder,MEN
38,38,Markevych,Petro,UKR,20.00,,,,,16. 20.00,,1999,boulder,MEN
39,40,Bindhammer,Christian,GER,19.00,,28. 3.00,,,,18. 16.00,1999,boulder,MEN
40,41,Didion,Loic,FRA,18.00,,,,,,17. 18.00,1999,boulder,MEN
41,41,Vinokur,Vadim,USA,18.00,,,,17. 18.00,,,1999,boulder,MEN
42,43,Zardini,Luca,ITA,17.00,,24. 7.00,21. 10.00,,,,1999,boulder,MEN
43,44,Bychkov,Dmitrii,RUS,15.00,,,,19. 14.00,30. 1.00,,1999,boulder,MEN
44,45,Noe,Frédéric,FRA,14.00,19. 14.00,,,,,,1999,boulder,MEN
45,46,Caude,David,FRA,12.00,,,,20. 12.00,,,1999,boulder,MEN
46,47,Cervo,Filippo,ITA,10.00,,22. 9.00,30. 1.00,,,,1999,boulder,MEN
47,47,Pinier,Nicolas,FRA,10.00,,,,21. 10.00,,,1999,boulder,MEN
48,49,Fischhuber,Kilian,AUT,9.00,22. 9.00,,,,,,1999,boulder,MEN
49,49,Manzanedo,César Ciudad,ESP,9.00,,,,,,22. 9.00,1999,boulder,MEN
50,51,Coroller,Frédéric,FRA,8.00,,,29. 2.00,,,25. 6.00,1999,boulder,MEN
51,51,Soucek,Radovah,CZE,8.00,23. 8.00,,,,,,1999,boulder,MEN
52,51,Suarez,Carlos,ESP,8.00,,,,,,23. 8.00,1999,boulder,MEN
53,51,Zangerl,Bernd,AUT,8.00,,23. 8.00,,,,,1999,boulder,MEN
54,55,Archambault,Dan,CAN,7.00,24. 7.00,,,,,,1999,boulder,MEN
55,55,Sanchez,Sergio,ESP,7.00,,,,,,24. 7.00,1999,boulder,MEN
56,57,Cehovin,Urh,SLO,6.00,,,,25. 6.00,,,1999,boulder,MEN
57,57,Haager,Benedikt,GER,6.00,25. 6.00,,,,,,1999,boulder,MEN
58,57,Lagni,Bernardino,ITA,6.00,,,25. 6.00,,,,1999,boulder,MEN
59,57,Martin,Jesus,FRA,6.00,,,,,,25. 6.00,1999,boulder,MEN
60,61,Kryvosheytsev,Yevgen,UKR,5.00,,,,,26. 5.00,,1999,boulder,MEN
61,61,Otegui Zubiyaga,Ricardo,ESP,5.00,,,,26. 5.00,,,1999,boulder,MEN
62,61,Perot,Frédéric,FRA,5.00,26. 5.00,,,,,,1999,boulder,MEN
63,64,Berger,Yannick,FRA,4.00,27. 4.00,,,,,,1999,boulder,MEN
64,64,Rozman,Marko,CRO,4.00,,27. 4.00,,,,,1999,boulder,MEN
65,66,Ceintre,Arnaud,FRA,3.00,29. 2.00,,30. 1.00,,,,1999,boulder,MEN
66,66,Mazille,Julien,FRA,3.00,28. 3.00,,,,,,1999,boulder,MEN
67,68,Chabaud,Clément,FRA,2.00,,,,29. 2.00,,,1999,boulder,MEN
68,68,Schiestl,Bernhard,AUT,2.00,,29. 2.00,,,,,1999,boulder,MEN
69,70,Gusak,Igor,UKR,1.00,,30. 1.00,,,,,1999,boulder,MEN
70,70,Marnezy,David,FRA,1.00,30. 1.00,,,,,,1999,boulder,MEN
71,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,1999,boulder,MEN
