,Rank,Name,Name.1,Nation,Points,10,8,11,13,1999,event,gender,athlete_id
0,1,Petit,François,FRA,241.00,4. 55.00,2. 80.00,5. 51.00,4. 55.00,1999,lead,MEN,275
1,2,Legrand,François,FRA,229.00,7. 43.00,4. 55.00,1. 100.00,11. 31.00,1999,lead,MEN,266
2,3,Bindhammer,Andreas,GER,214.00,15. 22.00,9. 37.00,4. 55.00,1. 100.00,1999,lead,MEN,8
3,4,Ovchinnikov,Evgeny,RUS,209.00,1. 100.00,1. 100.00,22. 9.00,,1999,lead,MEN,232
4,5,Caude,David,FRA,199.00,3. 65.00,3. 65.00,15. 22.00,6. 47.00,1999,lead,MEN,172
5,6,Hirayama,Yuji,JPN,179.00,2. 80.00,10. 34.00,3. 65.00,,1999,lead,MEN,973
6,7,Brenna,Cristian,ITA,167.00,8. 40.00,15. 22.00,8. 40.00,3. 65.00,1999,lead,MEN,109
7,8,Kryvosheytsev,Yevgen,UKR,139.00,13. 26.00,22. 9.00,2. 80.00,14. 24.00,1999,lead,MEN,227
8,8,Petit,Arnaud,FRA,139.00,10. 34.00,14. 24.00,6. 47.00,10. 34.00,1999,lead,MEN,50
9,10,Petrenko,Maksym,UKR,138.00,9. 37.00,12. 28.00,15. 22.00,5. 51.00,1999,lead,MEN,609
10,11,Bindhammer,Christian,GER,133.00,,21. 10.00,7. 43.00,2. 80.00,1999,lead,MEN,112
11,12,Wandeler,Simon,SUI,126.00,13. 26.00,6. 47.00,9. 37.00,18. 16.00,1999,lead,MEN,861
12,13,Koyamada,Dai,JPN,94.00,5. 51.00,7. 43.00,,,1999,lead,MEN,190
13,14,Sarkany,Frederic,BEL,68.00,,12. 28.00,17. 18.00,15. 22.00,1999,lead,MEN,279
14,15,Dewilde,Paul,FRA,62.00,19. 14.00,26. 5.00,,7. 43.00,1999,lead,MEN,696
15,16,Valjavec,Tomaz,SLO,61.00,12. 28.00,26. 5.00,13. 26.00,29. 2.00,1999,lead,MEN,926
16,17,ANDRADA JIMENEZ,Daniel,ESP,60.00,22. 9.00,5. 51.00,,,1999,lead,MEN,160
17,18,Havlik,Marek,CZE,59.00,19. 14.00,26. 5.00,13. 26.00,19. 14.00,1999,lead,MEN,572
18,19,Chemoulinkine,Serguei,RUS,56.00,,15. 22.00,10. 34.00,,1999,lead,MEN,852
