,Rank,Name,Name.1,Nation,Points,WC Beauregard 24.07.1999,W-Besancon 10.06.1999,W-Leipzig 28.05.1999,1999,event,gender
0,1,Oleksy,Tomasz,POL,251.00,5. 51.00,1. 100.00,1. 100.00,1999,speed,MEN
1,2,Baranov,Vladislav,RUS,196.00,2. 80.00,5. 51.00,3. 65.00,1999,speed,MEN
2,3,Zakharov,Vladimir,UKR,154.00,3. 65.00,4. 55.00,10. 34.00,1999,speed,MEN
3,4,Netsvetaev-Dolgalev,Vladimir,RUS,153.00,9. 37.00,3. 65.00,5. 51.00,1999,speed,MEN
4,5,Soubbotine,Iakov,RUS,148.00,10. 34.00,2. 80.00,10. 34.00,1999,speed,MEN
5,6,ANDRADA JIMENEZ,Daniel,ESP,120.00,,8. 40.00,2. 80.00,1999,speed,MEN
6,7,Vedenmeer,Andrey,UKR,115.00,6. 47.00,12. 28.00,8. 40.00,1999,speed,MEN
7,8,Komondi,Csaba,HUN,112.00,11. 31.00,10. 34.00,6. 47.00,1999,speed,MEN
8,9,Kozlov,Alexei,RUS,105.00,4. 55.00,24. 7.00,7. 43.00,1999,speed,MEN
9,10,Paukaev,Alexandr,UKR,102.00,8. 40.00,24. 7.00,4. 55.00,1999,speed,MEN
10,11,Gadeev,Alexei,RUS,100.00,1. 100.00,,,1999,speed,MEN
11,11,Krivonos,Andrei,UKR,100.00,7. 43.00,16. 20.00,9. 37.00,1999,speed,MEN
12,13,Müller,Lukasz,POL,93.00,12. 28.00,6. 47.00,17. 18.00,1999,speed,MEN
13,14,Gusak,Igor,UKR,57.00,,11. 31.00,13. 26.00,1999,speed,MEN
14,15,Kryvosheytsev,Yevgen,UKR,47.00,,7. 43.00,27. 4.00,1999,speed,MEN
15,16,Girard,Antoine,FRA,44.00,16. 20.00,14. 24.00,,1999,speed,MEN
16,17,Kim,Myong-Hak,KOR,37.00,,9. 37.00,,1999,speed,MEN
17,18,Gvelebiani,Noukri,GEO,29.00,15. 22.00,,24. 7.00,1999,speed,MEN
18,19,Kazbekov,Serik,UKR,28.00,,,12. 28.00,1999,speed,MEN
19,20,Carson,Neil,GBR,26.00,,13. 26.00,,1999,speed,MEN
20,20,Sergeyev (Liachenko),Alexandre,RUS,26.00,13. 26.00,,,1999,speed,MEN
21,22,Bychkov,Dmitrii,RUS,24.00,14. 24.00,,,1999,speed,MEN
22,22,Manzanedo,César Ciudad,ESP,24.00,,,14. 24.00,1999,speed,MEN
23,24,Arifulin,Serguej,UKR,22.00,,,15. 22.00,1999,speed,MEN
24,24,Aunet,Jimmy,FRA,22.00,,15. 22.00,,1999,speed,MEN
25,26,Nourmamatov,Serguei,RUS,20.00,,,16. 20.00,1999,speed,MEN
26,27,Dutray,Mathieu,FRA,18.00,,17. 18.00,,1999,speed,MEN
27,27,Pasareti,Gabor,HUN,18.00,17. 18.00,,,1999,speed,MEN
28,29,Bartzik,Tim,GER,16.00,,,18. 16.00,1999,speed,MEN
29,29,Cho,Kyu-Bog,KOR,16.00,,18. 16.00,,1999,speed,MEN
30,29,Raspo,Patrick,ITA,16.00,18. 16.00,,,1999,speed,MEN
31,32,Kolov,Orlin,BUL,14.00,,19. 14.00,,1999,speed,MEN
32,32,Sigmund,Stefan,GER,14.00,,,19. 14.00,1999,speed,MEN
33,32,Strommer,Laszlo,HUN,14.00,19. 14.00,,,1999,speed,MEN
34,35,Auclair,François,FRA,12.00,,,20. 12.00,1999,speed,MEN
35,35,Parry,Gareth,GBR,12.00,,20. 12.00,,1999,speed,MEN
36,35,Szeleyi,Gabor,HUN,12.00,20. 12.00,,,1999,speed,MEN
37,38,Kovacs,Balasz,HUN,10.00,21. 10.00,,,1999,speed,MEN
38,38,Krastev,Ivaylo,BUL,10.00,,,21. 10.00,1999,speed,MEN
39,38,Smith,Paul,GBR,10.00,,21. 10.00,,1999,speed,MEN
40,41,Georgiev,Marian,BUL,9.00,,,22. 9.00,1999,speed,MEN
41,41,Raspo,Stefano,ITA,9.00,22. 9.00,,,1999,speed,MEN
42,41,Wrobel,Marcin,POL,9.00,,22. 9.00,,1999,speed,MEN
43,44,Becker,Helmut,BRA,8.00,,,23. 8.00,1999,speed,MEN
44,44,Cubitt,Christopher,GBR,8.00,,23. 8.00,,1999,speed,MEN
45,46,Garbov,Kalin,BUL,6.00,,,25. 6.00,1999,speed,MEN
46,47,Shimabukuro Jr.,Edison Kicho,BRA,5.00,,,26. 5.00,1999,speed,MEN
47,48,Chemoulinkine,Serguei,RUS,4.00,,,27. 4.00,1999,speed,MEN
48,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,1999,speed,MEN
