,Rank,Name,Name.1,Nation,Points,WC Grenoble 28.08.1999,WC Cortina 13.08.1999,WC Bardonecchia 31.07.1999,WC Chamonix 17.07.1999,WC Val d'Isere 11.07.1999,WC Benasque 03.07.1999,1999,event,gender
0,1,Bodet,Stéphanie,FRA,460.00,1. 100.00,2. 80.00,1. 100.00,1. 100.00,2. 80.00,,1999,boulder,WOMEN
1,2,Choumilova,Elena,RUS,415.00,2. 80.00,1. 100.00,4. 55.00,2. 80.00,1. 100.00,,1999,boulder,WOMEN
2,3,Levet,Sandrine,FRA,306.00,4. 55.00,3. 65.00,12. (28.00),5. 51.00,4. 55.00,2. 80.00,1999,boulder,WOMEN
3,4,Gouriou,Gaelle,FRA,259.00,8. 40.00,10. 34.00,2. 80.00,8. 40.00,16. (20.00),3. 65.00,1999,boulder,WOMEN
4,5,Martin,Delphine,FRA,253.00,3. 65.00,4. 55.00,4. 55.00,11. 31.00,6. 47.00,,1999,boulder,WOMEN
5,6,Gronkiewicz-Marcisz,Iwona,POL,240.00,7. 43.00,9. 37.00,3. 65.00,4. 55.00,8. 40.00,,1999,boulder,WOMEN
6,7,Bihr,Isabelle,FRA,213.00,13. 26.00,,9. 37.00,3. 65.00,10. 34.00,5. 51.00,1999,boulder,WOMEN
7,8,Noel,Lise,FRA,178.00,11. 31.00,6. 47.00,16. 20.00,7. 43.00,9. 37.00,,1999,boulder,WOMEN
8,9,Chereshneva,Venera,RUS,169.00,12. 28.00,5. 51.00,7. 43.00,6. 47.00,,,1999,boulder,WOMEN
9,10,Minoret,Chloé,FRA,163.00,15. (22.00),11. 31.00,10. 34.00,10. 34.00,14. 24.00,8. 40.00,1999,boulder,WOMEN
10,11,Inozemtseva,Yulia,RUS,159.00,5. 51.00,7. 43.00,4. 55.00,21. 10.00,,,1999,boulder,WOMEN
11,12,Marchisio,Stella,ITA,138.00,23. (8.00),13. 26.00,11. 31.00,16. 20.00,17. 18.00,7. 43.00,1999,boulder,WOMEN
12,12,Perlova,Nataliya,UKR,138.00,10. 34.00,14. 24.00,13. 26.00,12. 28.00,13. 26.00,,1999,boulder,WOMEN
