,Rank,Name,Name.1,Nation,Points,10,8,11,13,1999,event,gender,athlete_id
0,1,Sarkany,Muriel,BEL,325.00,2. 80.00,2. 80.00,3. 65.00,1. 100.00,1999,lead,WOMEN,1272
1,2,Sansoz,Liv,FRA,320.00,1. 100.00,8. 40.00,1. 100.00,2. 80.00,1999,lead,WOMEN,1222
2,3,Cufar,Martina,SLO,233.00,5. 51.00,9. 37.00,2. 80.00,3. 65.00,1999,lead,WOMEN,1236
3,4,Choumilova,Elena,RUS,214.00,6. 47.00,3. 65.00,4. 55.00,6. 47.00,1999,lead,WOMEN,1106
4,5,Brown,Katie,USA,198.00,4. 55.00,1. 100.00,7. 43.00,,1999,lead,WOMEN,1184
5,6,Bihr,Isabelle,FRA,169.00,16. 20.00,6. 47.00,5. 51.00,5. 51.00,1999,lead,WOMEN,1151
6,7,Bereciartu Urruzola,Josune,ESP,146.00,14. 24.00,5. 51.00,6. 47.00,14. 24.00,1999,lead,WOMEN,1171
7,8,Bodet,Stéphanie,FRA,142.00,3. 65.00,,10. 34.00,7. 43.00,1999,lead,WOMEN,1335
8,9,Go,Mi-Sun,KOR,141.00,7. 43.00,4. 55.00,8. 40.00,28. 3.00,1999,lead,WOMEN,1273
9,10,Ovtchinnikova,Elena,USA,132.00,8. 40.00,,9. 37.00,4. 55.00,1999,lead,WOMEN,1101
10,11,Schultz,Annatina,SUI,112.00,12. 28.00,10. 34.00,10. 34.00,18. 16.00,1999,lead,WOMEN,3870
11,12,Uhden,Marietta,GER,98.00,,14. 24.00,10. 34.00,8. 40.00,1999,lead,WOMEN,1277
12,13,Gronkiewicz-Marcisz,Iwona,POL,95.00,,7. 43.00,13. 26.00,13. 26.00,1999,lead,WOMEN,1157
13,14,Iovane,Luisa,ITA,89.00,15. 22.00,10. 34.00,14. 24.00,22. 9.00,1999,lead,WOMEN,1213
14,15,Martin,Delphine,FRA,69.00,11. 31.00,,21. 10.00,12. 28.00,1999,lead,WOMEN,1078
15,16,Minoret,Chloé,FRA,68.00,9. 37.00,,,11. 31.00,1999,lead,WOMEN,1063
