,Rank,Name,Name.1,Nation,Points,WC Beauregard 24.07.1999,W-Besancon 10.06.1999,W-Leipzig 28.05.1999,1999,event,gender
0,1,Zakharova,Olga,UKR,235.00,1. 100.00,4. 55.00,2. 80.00,1999,speed,WOMEN
1,2,Ostapenko,Olena,UKR,200.00,2. 80.00,1. 100.00,16. 20.00,1999,speed,WOMEN
2,3,Podgorbounskikh,Zosia,RUS,194.00,7. 43.00,5. 51.00,1. 100.00,1999,speed,WOMEN
3,4,Novikova,Natalia,RUS,164.00,9. 37.00,2. 80.00,6. 47.00,1999,speed,WOMEN
4,4,Ryepko,Olena,UKR,164.00,10. 34.00,3. 65.00,3. 65.00,1999,speed,WOMEN
5,6,Piszczek,Renata,POL,163.00,3. 65.00,6. 47.00,5. 51.00,1999,speed,WOMEN
6,7,Perlova,Nataliya,UKR,131.00,5. 51.00,7. 43.00,9. 37.00,1999,speed,WOMEN
7,8,Piratinskaya,Mayya,RUS,123.00,4. 55.00,9. 37.00,11. 31.00,1999,speed,WOMEN
8,9,Trnkova,Lenka,CZE,80.00,,8. 40.00,8. 40.00,1999,speed,WOMEN
9,10,Ovtchinnikova,Elena,USA,69.00,,13. 26.00,7. 43.00,1999,speed,WOMEN
10,11,Go,Mi-Sun,KOR,56.00,,12. 28.00,12. 28.00,1999,speed,WOMEN
11,12,Inozemtseva,Yulia,RUS,55.00,,,4. 55.00,1999,speed,WOMEN
12,13,Sutkina,Svetlana,RUS,47.00,6. 47.00,,,1999,speed,WOMEN
13,14,Bibik,Olga,RUS,40.00,8. 40.00,,,1999,speed,WOMEN
14,15,Allen,Rebecca,GBR,34.00,,10. 34.00,,1999,speed,WOMEN
15,15,Ruyga,Tatiana,RUS,34.00,,,10. 34.00,1999,speed,WOMEN
16,17,Baranova,Natalia,RUS,31.00,11. 31.00,,,1999,speed,WOMEN
17,17,Gronkiewicz-Marcisz,Iwona,POL,31.00,,11. 31.00,,1999,speed,WOMEN
18,19,Abramchuk,Yulia,RUS,26.00,,,13. 26.00,1999,speed,WOMEN
19,19,Bell,Claire,GBR,26.00,,13. 26.00,,1999,speed,WOMEN
20,19,May,Abigail,GBR,26.00,,13. 26.00,,1999,speed,WOMEN
21,19,Wallin,Lou,SWE,26.00,,13. 26.00,,1999,speed,WOMEN
22,23,Wrobel,Urszula,POL,24.00,,,14. 24.00,1999,speed,WOMEN
23,24,Nieselt,Eva,GER,22.00,,,15. 22.00,1999,speed,WOMEN
24,25,Choumilova,Elena,RUS,18.00,,,17. 18.00,1999,speed,WOMEN
25,26,Kuhngaberova,Jitka,CZE,16.00,,,18. 16.00,1999,speed,WOMEN
26,27,Cardoso,Janine,BRA,14.00,,,19. 14.00,1999,speed,WOMEN
27,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 1999. Not counting points are in brackets.,1999,speed,WOMEN
