,Rank,Name,Name.1,Nation,Points,Rovereto 16.09.2000,Grenoble 01.09.2000,München 04.08.2000,Chamonix 12.07.2000,Milau 01.06.2000,Konitsa 27.05.2000,2000,event,gender
0,1,Pons,Pedro,ESP,443.00,7. 43.00,1. 100.00,1. 100.00,16. 20.00,1. 100.00,2. 80.00,2000,boulder,MEN
1,2,Rakhmetov,Salavat,RUS,378.00,1. 100.00,11. 31.00,3. 65.00,1. 100.00,11. 31.00,5. 51.00,2000,boulder,MEN
2,3,DU LAC,Daniel,FRA,349.00,5. 51.00,2. 80.00,2. 80.00,6. 47.00,3. 65.00,13. 26.00,2000,boulder,MEN
3,4,Julien,Stephane,FRA,334.00,9. 37.00,5. 51.00,10. 34.00,3. 65.00,6. 47.00,1. 100.00,2000,boulder,MEN
4,5,ANDRADA JIMENEZ,Daniel,ESP,271.00,6. 47.00,4. 55.00,7. 43.00,28. 3.00,2. 80.00,7. 43.00,2000,boulder,MEN
5,6,Tuscan,Frédéric,FRA,249.00,11. 31.00,7. 43.00,9. 37.00,5. 51.00,8. 40.00,6. 47.00,2000,boulder,MEN
6,7,Meyer,Jérôme,FRA,237.00,14. 24.00,3. 65.00,4. 55.00,9. 37.00,12. 28.00,12. 28.00,2000,boulder,MEN
7,8,Core,Christian,ITA,206.00,2. 80.00,6. 47.00,,,19. 14.00,3. 65.00,2000,boulder,MEN
8,9,Fairfield,Timmy,CAN,184.00,8. 40.00,10. 34.00,15. 22.00,12. 28.00,5. 51.00,22. 9.00,2000,boulder,MEN
9,10,Golob,Jurij,SLO,181.00,10. 34.00,9. 37.00,8. 40.00,14. 24.00,14. 24.00,15. 22.00,2000,boulder,MEN
10,11,Chabot,Alexandre,FRA,169.00,,29. 2.00,6. 47.00,7. 43.00,7. 43.00,10. 34.00,2000,boulder,MEN
11,12,Giudici,Lucio,ITA,161.00,4. 55.00,,5. 51.00,,4. 55.00,,2000,boulder,MEN
12,13,Kazbekov,Serik,UKR,152.00,13. 26.00,17. 18.00,12. 28.00,2. 80.00,,,2000,boulder,MEN
13,14,Meral,Julien,FRA,130.00,15. 22.00,8. 40.00,,11. 31.00,9. 37.00,,2000,boulder,MEN
14,15,Dutray,Mathieu,FRA,123.00,22. 9.00,14. 24.00,25. 6.00,21. 10.00,10. 34.00,8. 40.00,2000,boulder,MEN
15,16,Laurence,Ludovic,FRA,79.00,,,21. 10.00,20. 12.00,13. 26.00,11. 31.00,2000,boulder,MEN
16,17,Vedenmeer,Andrey,UKR,76.00,19. 14.00,,24. 7.00,4. 55.00,,,2000,boulder,MEN
17,18,Fischhuber,Kilian,AUT,70.00,12. 28.00,,17. 18.00,14. 24.00,,,2000,boulder,MEN
18,19,Noe,Frédéric,FRA,68.00,,12. 28.00,19. 14.00,19. 14.00,20. 12.00,,2000,boulder,MEN
19,20,Müller,Matthias,SUI,67.00,16. 20.00,21. 10.00,28. 3.00,10. 34.00,,,2000,boulder,MEN
20,21,Jeandenand,Damien,FRA,66.00,,27. 4.00,11. 31.00,26. 5.00,23. 8.00,17. 18.00,2000,boulder,MEN
21,22,Sharma,Chris,USA,65.00,3. 65.00,,,,,,2000,boulder,MEN
22,23,Petit,François,FRA,56.00,,,,,30. 1.00,4. 55.00,2000,boulder,MEN
23,24,Danis,Jean Luc,FRA,53.00,21. 10.00,13. 26.00,,21. 10.00,,24. 7.00,2000,boulder,MEN
24,25,Oleksy,Tomasz,POL,40.00,,,,8. 40.00,,,2000,boulder,MEN
25,26,Felgerolle,Benjamin,FRA,39.00,,,18. 16.00,26. 5.00,25. 6.00,20. 12.00,2000,boulder,MEN
26,26,Scarian,Riccardo,ITA,39.00,30. 1.00,26. 5.00,22. 9.00,23. 8.00,,18. 16.00,2000,boulder,MEN
27,28,Cehovin,Urh,SLO,38.00,28. 3.00,15. 22.00,,,28. 3.00,21. 10.00,2000,boulder,MEN
28,29,Marinov,Boyco,BUL,37.00,,,,,,9. 37.00,2000,boulder,MEN
29,30,Pont,Gabriel,FRA,30.00,,20. 12.00,,,17. 18.00,,2000,boulder,MEN
30,31,Ovchinnikov,Evgeny,RUS,26.00,,,13. 26.00,,,,2000,boulder,MEN
31,31,Umnitsyn,Mikhail,RUS,26.00,17. 18.00,,,23. 8.00,,,2000,boulder,MEN
32,31,Valjavec,Tomaz,SLO,26.00,,,,13. 26.00,,,2000,boulder,MEN
33,34,Borowka,Karsten,GER,24.00,,,14. 24.00,,,,2000,boulder,MEN
34,34,Daures,Luc,FRA,24.00,,25. 6.00,,17. 18.00,,,2000,boulder,MEN
35,34,Garbov,Kalin,BUL,24.00,,,,,,14. 24.00,2000,boulder,MEN
36,37,Auclair,François,FRA,22.00,,,,,15. 22.00,,2000,boulder,MEN
37,38,Brenna,Cristian,ITA,20.00,,,,,,16. 20.00,2000,boulder,MEN
38,38,Cabane,Rafael,FRA,20.00,,,,,16. 20.00,,2000,boulder,MEN
39,38,Haager,Benedikt,GER,20.00,,,16. 20.00,,,,2000,boulder,MEN
40,38,Havlik,Marek,CZE,20.00,18. 16.00,,30. 1.00,28. 3.00,,,2000,boulder,MEN
41,38,Sabthier,Benoit,FRA,20.00,,16. 20.00,,,,,2000,boulder,MEN
42,43,Cabessut,Romain,FRA,16.00,,,,,18. 16.00,,2000,boulder,MEN
43,43,Jourjon,Jean Baptiste,FRA,16.00,,,,18. 16.00,,,2000,boulder,MEN
44,43,Okano,Hiroshi,JPN,16.00,,18. 16.00,,,,,2000,boulder,MEN
45,46,Kryvosheytsev,Yevgen,UKR,15.00,23. 8.00,24. 7.00,,,,,2000,boulder,MEN
46,47,Aunet,Jimmy,FRA,14.00,,19. 14.00,,,,,2000,boulder,MEN
47,47,Djambazov,Todor,BUL,14.00,,,,,,19. 14.00,2000,boulder,MEN
48,49,Bychkov,Dmitrii,RUS,12.00,,,20. 12.00,,,,2000,boulder,MEN
49,49,Ghidini,Stefano,ITA,12.00,20. 12.00,,,,,,2000,boulder,MEN
50,49,Lagarrigue,Laurent,FRA,12.00,,,,28. 3.00,22. 9.00,,2000,boulder,MEN
51,52,Philippe,Jonathan,FRA,11.00,,23. 8.00,,28. 3.00,,,2000,boulder,MEN
52,53,Dard,Yohann,FRA,10.00,,,,,21. 10.00,,2000,boulder,MEN
53,54,Ceccaldi,Jérome,FRA,9.00,,22. 9.00,,,,,2000,boulder,MEN
54,55,Douloub,Iouri,RUS,8.00,,,,23. 8.00,,,2000,boulder,MEN
55,55,Littlefair,Stuart,GBR,8.00,,,23. 8.00,,,,2000,boulder,MEN
56,57,Chrastina,Andrej,SVK,7.00,24. 7.00,,,,,,2000,boulder,MEN
57,57,Harbourg,Pierre,FRA,7.00,,,,,24. 7.00,,2000,boulder,MEN
58,59,Teijsse,Dennis,NED,6.00,25. 6.00,,,,,,2000,boulder,MEN
59,59,Thanopoulos,Aristomenes,GRE,6.00,,,,,,25. 6.00,2000,boulder,MEN
60,61,Fiedler,Bernhard,AUT,5.00,26. 5.00,,,,,,2000,boulder,MEN
61,61,Htenas,Athanasios,GRE,5.00,,,,,,26. 5.00,2000,boulder,MEN
62,61,Januel,Nicolas,FRA,5.00,,,,,26. 5.00,,2000,boulder,MEN
63,61,Schönenberger,Urs,SUI,5.00,,,26. 5.00,,,,2000,boulder,MEN
64,61,Wandeler,Simon,SUI,5.00,,,26. 5.00,,,,2000,boulder,MEN
65,66,Pejkovski,Zoran,MKD,4.00,,,,,,27. 4.00,2000,boulder,MEN
66,66,Pinier,Nicolas,FRA,4.00,,,,,27. 4.00,,2000,boulder,MEN
67,66,Rozman,Marko,CRO,4.00,27. 4.00,,,,,,2000,boulder,MEN
68,69,Chau-Uhu,Olivier,FRA,3.00,,28. 3.00,,,,,2000,boulder,MEN
69,69,Gezerlis,Spiridon,GRE,3.00,,,,,,28. 3.00,2000,boulder,MEN
70,69,Nourmamatov,Serguei,RUS,3.00,,,,28. 3.00,,,2000,boulder,MEN
71,69,Piliougine,Igor,RUS,3.00,,,,28. 3.00,,,2000,boulder,MEN
72,73,Archambault,Dan,CAN,2.00,,,29. 2.00,,,,2000,boulder,MEN
73,73,Gallot-Lavallee,Mathieu,FRA,2.00,,,,,29. 2.00,,2000,boulder,MEN
74,73,Kuzmanovski,Goran,MKD,2.00,,,,,,29. 2.00,2000,boulder,MEN
75,73,Mrázek,Tomás,CZE,2.00,29. 2.00,,,,,,2000,boulder,MEN
76,73,Trajkovski,Martin,MKD,2.00,,,,,,29. 2.00,2000,boulder,MEN
77,78,De Girolamo,Vincent,FRA,1.00,,30. 1.00,,,,,2000,boulder,MEN
78,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,2000,boulder,MEN
