,Rank,Name,Name.1,Nation,Points,Kranj 17.11.2000,Nantes 02.11.2000,Courmayeur 29.09.2000,Lecco 23.09.2000,Chamonix 12.07.2000,2000,event,gender
0,1,Hirayama,Yuji,JPN,410.00,1. 100.00,1. 100.00,2. 80.00,3. 65.00,3. 65.00,2000,lead,MEN
1,2,Chabot,Alexandre,FRA,333.00,4. 55.00,2. 80.00,17. 18.00,1. 100.00,2. 80.00,2000,lead,MEN
2,3,Brenna,Cristian,ITA,257.00,2. 80.00,5. 51.00,4. 55.00,8. 40.00,11. 31.00,2000,lead,MEN
3,4,Lagni,Bernardino,ITA,236.00,9. 37.00,16. 20.00,12. 28.00,5. 51.00,1. 100.00,2000,lead,MEN
4,5,Dewilde,Paul,FRA,233.00,7. 43.00,3. 65.00,5. 51.00,7. 43.00,11. 31.00,2000,lead,MEN
5,6,Petrenko,Maksym,UKR,232.00,11. 31.00,6. 47.00,10. 34.00,4. 55.00,3. 65.00,2000,lead,MEN
6,7,Kazbekov,Serik,UKR,213.00,5. 51.00,12. 28.00,3. 65.00,13. 26.00,7. 43.00,2000,lead,MEN
7,8,Legrand,François,FRA,160.00,,8. 40.00,8. 40.00,2. 80.00,,2000,lead,MEN
8,9,Caude,David,FRA,143.00,14. 24.00,12. 28.00,6. 47.00,15. 22.00,15. 22.00,2000,lead,MEN
9,9,Kryvosheytsev,Yevgen,UKR,143.00,16. 20.00,8. 40.00,23. 8.00,14. 24.00,5. 51.00,2000,lead,MEN
10,11,Bindhammer,Christian,GER,136.00,12. 28.00,6. 47.00,13. 26.00,12. 28.00,24. 7.00,2000,lead,MEN
11,12,Ovchinnikov,Evgeny,RUS,130.00,16. 20.00,30. 1.00,1. 100.00,22. 9.00,,2000,lead,MEN
12,13,Gnerro,Alberto,ITA,129.00,8. 40.00,20. 12.00,7. 43.00,10. 34.00,,2000,lead,MEN
13,14,Petit,Arnaud,FRA,128.00,,4. 55.00,,15. 22.00,5. 51.00,2000,lead,MEN
14,15,Wandeler,Simon,SUI,122.00,6. 47.00,12. 28.00,25. 6.00,27. 4.00,9. 37.00,2000,lead,MEN
15,16,Bindhammer,Andreas,GER,116.00,3. 65.00,19. 14.00,9. 37.00,,,2000,lead,MEN
16,17,Millet,Sylvain,FRA,110.00,16. 20.00,24. 7.00,14. 24.00,6. 47.00,20. 12.00,2000,lead,MEN
17,18,Pouvreau,Gérome,FRA,84.00,,15. 22.00,11. 31.00,11. 31.00,,2000,lead,MEN
18,19,Koyamada,Dai,JPN,64.00,12. 28.00,11. 31.00,,26. 5.00,,2000,lead,MEN
19,20,Zardini,Luca,ITA,58.00,16. 20.00,,29. 2.00,20. 12.00,14. 24.00,2000,lead,MEN
20,21,Sova,Matej,SLO,54.00,16. 20.00,,16. 20.00,,19. 14.00,2000,lead,MEN
21,22,Rakhmetov,Salavat,RUS,52.00,,,,17. 18.00,10. 34.00,2000,lead,MEN
22,23,Mrázek,Tomás,CZE,50.00,9. 37.00,25. 6.00,26. 5.00,,29. 2.00,2000,lead,MEN
23,24,Crespi,Flavio,ITA,47.00,,,21. 10.00,9. 37.00,,2000,lead,MEN
24,25,ANDRADA JIMENEZ,Daniel,ESP,40.00,,8. 40.00,,,,2000,lead,MEN
