,Rank,Name,Name.1,Nation,Points,Nantes 02.11.2000,Beauregard 22.07.2000,Chamonix 12.07.2000,2000,event,gender
0,1,Ryepko,Olena,UKR,300.00,1. 100.00,1. 100.00,1. 100.00,2000,speed,WOMEN
1,2,Zakharova,Olga,UKR,211.00,2. 80.00,2. 80.00,5. 51.00,2000,speed,WOMEN
2,3,Podgorbounskikh,Zosia,RUS,195.00,3. 65.00,3. 65.00,3. 65.00,2000,speed,WOMEN
3,4,Novikova,Natalia,RUS,171.00,5. 51.00,8. 40.00,2. 80.00,2000,speed,WOMEN
4,5,Ruyga,Tatiana,RUS,161.00,4. 55.00,5. 51.00,4. 55.00,2000,speed,WOMEN
5,6,Piszczek,Renata,POL,138.00,7. 43.00,4. 55.00,8. 40.00,2000,speed,WOMEN
6,7,Ropek,Edyta,POL,112.00,11. 31.00,6. 47.00,10. 34.00,2000,speed,WOMEN
7,8,Perlova,Nataliya,UKR,107.00,8. 40.00,7. 43.00,14. 24.00,2000,speed,WOMEN
8,9,Kim,Hyun-Jung,KOR,69.00,13. 26.00,,7. 43.00,2000,speed,WOMEN
9,10,Trnkova,Lenka,CZE,65.00,17. 18.00,,6. 47.00,2000,speed,WOMEN
10,11,Go,Mi-Sun,KOR,59.00,15. 22.00,,9. 37.00,2000,speed,WOMEN
11,12,Ostapenko,Olena,UKR,47.00,6. 47.00,,,2000,speed,WOMEN
12,13,Piratinskaya,Mayya,RUS,37.00,9. 37.00,,,2000,speed,WOMEN
13,14,Ryo,Soléne,FRA,34.00,10. 34.00,,,2000,speed,WOMEN
14,15,Minaeva,Natalia,RUS,31.00,,,11. 31.00,2000,speed,WOMEN
15,16,Malamid,Marina,RUS,28.00,,,12. 28.00,2000,speed,WOMEN
16,16,Verdier,Emilie,FRA,28.00,12. 28.00,,,2000,speed,WOMEN
17,18,Wallin,Lou,SWE,26.00,,,13. 26.00,2000,speed,WOMEN
18,19,Ene,Mariana,ROU,24.00,14. 24.00,,,2000,speed,WOMEN
19,20,Kotasova-Kostruhova,Vera,CZE,20.00,16. 20.00,,,2000,speed,WOMEN
20,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,2000,speed,WOMEN
