,Rank,Name,Name.1,Nation,Points,Kranj 16.11.2001,Kuala Lumpur 02.11.2001,Aprica 19.10.2001,Lecco 22.09.2001,Chamonix 11.07.2001,2001,event,gender
0,1,Chabot,Alexandre,FRA,420.00,4. 55.00,1. 100.00,3. 65.00,1. 100.00,1. 100.00,2001,lead,MEN
1,2,Pouvreau,Gérome,FRA,308.00,5. 51.00,3. 65.00,2. 80.00,3. 65.00,6. 47.00,2001,lead,MEN
2,3,Mrázek,Tomás,CZE,248.00,1. 100.00,,1. 100.00,13. 26.00,15. 22.00,2001,lead,MEN
3,4,Kazbekov,Serik,UKR,238.00,11. 31.00,8. 40.00,8. 40.00,6. 47.00,2. 80.00,2001,lead,MEN
4,5,Auclair,François,FRA,208.00,23. 8.00,11. 31.00,10. 34.00,2. 80.00,4. 55.00,2001,lead,MEN
5,6,Brenna,Cristian,ITA,193.00,14. 24.00,6. 47.00,18. 16.00,4. 55.00,5. 51.00,2001,lead,MEN
6,7,Petrenko,Maksym,UKR,180.00,3. 65.00,4. 55.00,10. 34.00,,13. 26.00,2001,lead,MEN
7,8,Julian Puigblanque,Ramón,ESP,179.00,14. 24.00,7. 43.00,6. 47.00,10. 34.00,11. 31.00,2001,lead,MEN
8,9,Bindhammer,Christian,GER,165.00,7. 43.00,2. 80.00,25. 6.00,26. 5.00,11. 31.00,2001,lead,MEN
9,10,Ovchinnikov,Evgeny,RUS,155.00,,9. 37.00,15. 22.00,18. 16.00,2. 80.00,2001,lead,MEN
10,11,Lagni,Bernardino,ITA,154.00,9. 37.00,,9. 37.00,8. 40.00,8. 40.00,2001,lead,MEN
11,12,Bosma,Peter,SWE,149.00,6. 47.00,13. 26.00,10. 34.00,26. 5.00,9. 37.00,2001,lead,MEN
12,13,Petit,François,FRA,138.00,29. 2.00,10. 34.00,5. 51.00,9. 37.00,19. 14.00,2001,lead,MEN
13,14,Barbero Alfonso,Pablo,ESP,114.00,27. 4.00,5. 51.00,10. 34.00,18. 16.00,22. 9.00,2001,lead,MEN
14,15,Douloub,Iouri,RUS,99.00,8. 40.00,,,18. 16.00,7. 43.00,2001,lead,MEN
15,16,Legrand,François,FRA,96.00,2. 80.00,,,18. 16.00,,2001,lead,MEN
16,17,Gnerro,Alberto,ITA,89.00,11. 31.00,,19. 14.00,10. 34.00,21. 10.00,2001,lead,MEN
17,18,Caude,David,FRA,78.00,,15. 22.00,17. 18.00,18. 16.00,15. 22.00,2001,lead,MEN
18,18,Kryvosheytsev,Yevgen,UKR,78.00,16. 20.00,,10. 34.00,14. 24.00,,2001,lead,MEN
19,20,Hirayama,Yuji,JPN,75.00,,14. 24.00,,5. 51.00,,2001,lead,MEN
20,21,Crespi,Flavio,ITA,62.00,24. 7.00,,4. 55.00,,,2001,lead,MEN
21,22,Millet,Sylvain,FRA,56.00,19. 14.00,,27. 4.00,10. 34.00,27. 4.00,2001,lead,MEN
22,23,Lachat,Cédric,SUI,53.00,21. 10.00,,,7. 43.00,,2001,lead,MEN
23,24,Zardini,Luca,ITA,49.00,9. 37.00,,20. 12.00,,,2001,lead,MEN
24,25,Bindhammer,Andreas,GER,48.00,21. 10.00,18. 16.00,15. 22.00,,,2001,lead,MEN
25,26,Giupponi,Luca,ITA,47.00,,16. 20.00,27. 4.00,18. 16.00,24. 7.00,2001,lead,MEN
26,27,Wandeler,Simon,SUI,43.00,,,7. 43.00,,,2001,lead,MEN
27,28,Fichtinger,Reinhard,AUT,40.00,16. 20.00,,27. 4.00,18. 16.00,,2001,lead,MEN
28,28,Sova,Matej,SLO,40.00,11. 31.00,,,,22. 9.00,2001,lead,MEN
29,30,Ten Sijthoff,Casper,NED,38.00,19. 14.00,,,,14. 24.00,2001,lead,MEN
30,31,Nourmamatov,Serguei,RUS,37.00,,,,,9. 37.00,2001,lead,MEN
31,32,Achermann,Thomas,SUI,28.00,,,27. 4.00,14. 24.00,,2001,lead,MEN
32,32,Felix,Roman,SUI,28.00,,,,14. 24.00,27. 4.00,2001,lead,MEN
33,32,Lee,Jae-Yong,KOR,28.00,,12. 28.00,,,,2001,lead,MEN
34,35,Son,Sangwon,KOR,26.00,,23. 8.00,,,17. 18.00,2001,lead,MEN
35,36,Dugit,Stephane,FRA,24.00,,,,14. 24.00,,2001,lead,MEN
36,37,Cubitt,Christopher,GBR,21.00,,,,18. 16.00,26. 5.00,2001,lead,MEN
37,37,Dewilde,Paul,FRA,21.00,,,22. 9.00,,20. 12.00,2001,lead,MEN
38,37,Fischhuber,Kilian,AUT,21.00,16. 20.00,,,,30. 1.00,2001,lead,MEN
39,40,Kim,Dong-Sik,KOR,18.00,,17. 18.00,,,,2001,lead,MEN
40,40,Vinokur,Vadim,USA,18.00,,,,,17. 18.00,2001,lead,MEN
41,42,Cho,Kyu-Bog,KOR,16.00,,21. 10.00,,,25. 6.00,2001,lead,MEN
42,42,Reis,Jürgen,AUT,16.00,,20. 12.00,,,27. 4.00,2001,lead,MEN
43,44,Charafoutdinov,Denis,RUS,14.00,,19. 14.00,,,,2001,lead,MEN
44,45,Dugit,Fabien,FRA,11.00,29. 2.00,,22. 9.00,,,2001,lead,MEN
45,46,Lella,Donato,ITA,10.00,,,21. 10.00,,,2001,lead,MEN
