,Rank,Name,Name.1,Nation,Points,384,383,417,371,382,2001,event,gender,athlete_id
0,1,Levet,Sandrine,FRA,480.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,2. 80.00,2001,boulder,WOMEN,1350
1,2,Motteau,Myriam,FRA,317.00,6. 47.00,6. 47.00,2. 80.00,7. 43.00,1. 100.00,2001,boulder,WOMEN,1259
2,3,Theroux,Corinne,FRA,265.00,4. 55.00,4. 55.00,6. 47.00,2. 80.00,12. 28.00,2001,boulder,WOMEN,1070
3,4,Choumilova,Elena,RUS,239.00,,2. 80.00,3. 65.00,5. 51.00,7. 43.00,2001,boulder,WOMEN,1106
4,5,Bibik,Olga,RUS,213.00,,3. 65.00,12. 28.00,3. 65.00,4. 55.00,2001,boulder,WOMEN,1308
5,6,Pouget,Emilie,FRA,200.00,9. 37.00,10. 34.00,4. 55.00,8. 40.00,10. 34.00,2001,boulder,WOMEN,2805
6,7,Perlova,Nataliya,UKR,177.00,8. 40.00,7. 43.00,7. 43.00,9. 37.00,19. 14.00,2001,boulder,WOMEN,1299
7,8,Haager,Nicola,GER,140.00,18. 16.00,12. 28.00,10. 34.00,11. 31.00,11. 31.00,2001,boulder,WOMEN,1293
8,9,Piszczek,Renata,POL,135.00,7. 43.00,,,4. 55.00,9. 37.00,2001,boulder,WOMEN,1329
9,10,Aguirre,Leire,ESP,134.00,5. 51.00,,11. 31.00,20. 12.00,8. 40.00,2001,boulder,WOMEN,1202
10,11,Gronkiewicz-Marcisz,Iwona,POL,129.00,13. 26.00,5. 51.00,14. 24.00,12. 28.00,,2001,boulder,WOMEN,1157
11,12,Plannels,Ruth,ESP,125.00,17. 18.00,11. 31.00,16. 20.00,10. 34.00,15. 22.00,2001,boulder,WOMEN,3169
12,13,Abramchuk,Yulia,RUS,123.00,10. 34.00,,18. 16.00,15. 22.00,5. 51.00,2001,boulder,WOMEN,2736
13,14,Iakovleva,Olga,RUS,112.00,,,,6. 47.00,3. 65.00,2001,boulder,WOMEN,2807
14,15,Bauer,Tanja,GER,96.00,,9. 37.00,5. 51.00,,23. 8.00,2001,boulder,WOMEN,1827
