,Rank,Name,Name.1,Nation,Points,Kranj 16.11.2001,Kuala Lumpur 02.11.2001,Aprica 19.10.2001,Lecco 22.09.2001,Chamonix 11.07.2001,2001,event,gender
0,1,Sarkany,Muriel,BEL,440.00,2. 80.00,1. 100.00,1. 100.00,2. 80.00,2. 80.00,2001,lead,WOMEN
1,2,Cufar,Martina,SLO,385.00,1. 100.00,4. 55.00,3. 65.00,3. 65.00,1. 100.00,2001,lead,WOMEN
2,3,Levet,Sandrine,FRA,297.00,9. 37.00,2. 80.00,2. 80.00,1. 100.00,,2001,lead,WOMEN
3,4,Schultz,Annatina,SUI,227.00,4. 55.00,3. 65.00,7. 43.00,8. 40.00,14. 24.00,2001,lead,WOMEN
4,4,schöpf,Bettina,AUT,227.00,6. 47.00,7. 43.00,6. 47.00,6. 47.00,7. 43.00,2001,lead,WOMEN
5,6,Gros,Natalija,SLO,220.00,11. 31.00,6. 47.00,8. 40.00,5. 51.00,5. 51.00,2001,lead,WOMEN
6,7,Knorr,Damaris,GER,166.00,7. 43.00,14. 24.00,9. 37.00,10. 34.00,12. 28.00,2001,lead,WOMEN
7,7,Lavarda,Jenny,ITA,166.00,10. 34.00,8. 40.00,5. 51.00,21. 10.00,11. 31.00,2001,lead,WOMEN
8,9,Minoret,Chloé,FRA,148.00,3. 65.00,23. 8.00,4. 55.00,16. 20.00,,2001,lead,WOMEN
9,10,Ovtchinnikova,Elena,USA,134.00,,,19. 14.00,4. 55.00,3. 65.00,2001,lead,WOMEN
10,11,Eyer,Alexandra,SUI,127.00,27. 4.00,12. 28.00,10. 34.00,14. 24.00,9. 37.00,2001,lead,WOMEN
11,12,Go,Mi-Sun,KOR,124.00,5. 51.00,13. 26.00,24. 7.00,,8. 40.00,2001,lead,WOMEN
12,13,Kryvonis,Olena,UKR,109.00,8. 40.00,18. 16.00,,25. 6.00,6. 47.00,2001,lead,WOMEN
13,14,Uhden,Marietta,GER,107.00,27. 4.00,,26. 5.00,7. 43.00,4. 55.00,2001,lead,WOMEN
14,15,Kimura,Rie,JPN,95.00,11. 31.00,14. 24.00,,11. 31.00,22. 9.00,2001,lead,WOMEN
15,16,Bacher,Barbara,AUT,80.00,15. 22.00,,14. 24.00,,10. 34.00,2001,lead,WOMEN
16,17,Benetti,Lisa,ITA,78.00,19. 14.00,,13. 26.00,12. 28.00,21. 10.00,2001,lead,WOMEN
17,18,Shalagina,Olga,UKR,70.00,13. 26.00,,17. 18.00,13. 26.00,,2001,lead,WOMEN
18,19,Ostapenko,Olena,UKR,67.00,15. 22.00,,23. 8.00,9. 37.00,,2001,lead,WOMEN
19,20,Kim,Hyun-Jung,KOR,66.00,21. 10.00,17. 18.00,,17. 18.00,16. 20.00,2001,lead,WOMEN
20,21,Nilsson,Ingela,SWE,61.00,23. 8.00,9. 37.00,27. 4.00,,20. 12.00,2001,lead,WOMEN
21,22,Perlova,Nataliya,UKR,56.00,26. 5.00,,12. 28.00,30. 1.00,15. 22.00,2001,lead,WOMEN
22,23,Chereshneva,Venera,RUS,51.00,,5. 51.00,,,,2001,lead,WOMEN
23,24,Kotasova-Kostruhova,Vera,CZE,50.00,18. 16.00,,10. 34.00,,,2001,lead,WOMEN
24,25,Raffetseder,Gerda,AUT,44.00,14. 24.00,,27. 4.00,23. 8.00,23. 8.00,2001,lead,WOMEN
25,26,Petrignet,Carole,FRA,36.00,20. 12.00,,15. 22.00,,29. 2.00,2001,lead,WOMEN
26,27,Rouiga,Irina,RUS,34.00,,10. 34.00,,,,2001,lead,WOMEN
27,28,Saulevich,Olesya,RUS,31.00,,11. 31.00,,,,2001,lead,WOMEN
28,29,Tusar,Eva,SLO,30.00,29. 2.00,,,20. 12.00,18. 16.00,2001,lead,WOMEN
29,30,Sedlmayer,Katrin,GER,26.00,,,,,13. 26.00,2001,lead,WOMEN
30,30,Stendal,Linn Karin,NOR,26.00,23. 8.00,,29. 2.00,18. 16.00,,2001,lead,WOMEN
31,30,Trnkova,Lenka,CZE,26.00,,,16. 20.00,25. 6.00,,2001,lead,WOMEN
32,33,Iovane,Luisa,ITA,24.00,,,21. 10.00,19. 14.00,,2001,lead,WOMEN
33,33,Louis,Stéphanie,SUI,24.00,29. 2.00,,22. 9.00,25. 6.00,24. 7.00,2001,lead,WOMEN
34,35,Martin,Delphine,FRA,22.00,15. 22.00,,,,,2001,lead,WOMEN
35,35,Nagakai,Hoshiko,JPN,22.00,,,,15. 22.00,,2001,lead,WOMEN
36,37,Stenkovaya,Anna,RUS,20.00,,16. 20.00,,,,2001,lead,WOMEN
37,38,Bibik,Olga,RUS,18.00,,,,,17. 18.00,2001,lead,WOMEN
38,39,Verdier,Emilie,FRA,16.00,,,18. 16.00,,,2001,lead,WOMEN
39,40,Delphino,Amélie,FRA,15.00,,,25. 6.00,22. 9.00,,2001,lead,WOMEN
40,41,Choumilova,Elena,RUS,14.00,,,,,19. 14.00,2001,lead,WOMEN
41,41,Huang,Bai-Le,TPE,14.00,,19. 14.00,,,,2001,lead,WOMEN
42,43,Choi,Shun-Yuk,HKG,12.00,,20. 12.00,,,,2001,lead,WOMEN
43,43,Pouget,Emilie,FRA,12.00,,,20. 12.00,,,2001,lead,WOMEN
44,45,Laszlo,Helene Belle,NOR,10.00,,21. 10.00,,,,2001,lead,WOMEN
45,45,Vidmar,Katja,SLO,10.00,21. 10.00,,,,,2001,lead,WOMEN
46,47,Podgorbounskikh,Zosia,RUS,9.00,,22. 9.00,,,,2001,lead,WOMEN
47,48,Franko,Lucka,SLO,8.00,23. 8.00,,,,,2001,lead,WOMEN
48,49,Frati,Mirella,ITA,7.00,,,,24. 7.00,,2001,lead,WOMEN
49,49,Liu,Hiu Ying,HKG,7.00,,24. 7.00,,,,2001,lead,WOMEN
50,51,Huang,Li-Ping,CHN,6.00,,25. 6.00,,,,2001,lead,WOMEN
51,51,Novikova,Natalia,RUS,6.00,,,,,25. 6.00,2001,lead,WOMEN
52,51,Ritsch,Isabella,AUT,6.00,,,,25. 6.00,,2001,lead,WOMEN
53,51,Salvadori,Claudia,ITA,6.00,,,,25. 6.00,,2001,lead,WOMEN
54,55,Allen,Rebecca,GBR,5.00,,26. 5.00,,,,2001,lead,WOMEN
55,55,Crouvisier,Stéphanie,FRA,5.00,,,,,26. 5.00,2001,lead,WOMEN
56,57,Bihr,Isabelle,FRA,4.00,,,,,27. 4.00,2001,lead,WOMEN
57,57,Zakharova,Olga,UKR,4.00,,27. 4.00,,,,2001,lead,WOMEN
58,59,Endo,Yuka,JPN,3.00,,,,30. 1.00,29. 2.00,2001,lead,WOMEN
59,59,Gronkiewicz-Marcisz,Iwona,POL,3.00,,,,,28. 3.00,2001,lead,WOMEN
60,59,Li,Chunhua,CHN,3.00,,28. 3.00,,,,2001,lead,WOMEN
61,62,Lage,Lisa,USA,2.00,,,29. 2.00,,,2001,lead,WOMEN
62,62,Yuniar,Yuyun,INA,2.00,,29. 2.00,,,,2001,lead,WOMEN
63,64,Hendrawati,Agung Ethi,INA,1.00,,30. 1.00,,,,2001,lead,WOMEN
64,64,Taylor,Vanessa,FRA,1.00,,,,30. 1.00,,2001,lead,WOMEN
65,0 best competition results are counting for UIAA Climbing-Worldcup 2001. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2001. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2001. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2001. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2001. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2001. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2001. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2001. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2001. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2001. Not counting points are in brackets.,2001,lead,WOMEN
