,Rank,Name,Name.1,Nation,Points,Rovereto 14.09.2002,Lecco 26.06.2002,Fiera di Primiero 14.06.2002,2002,event,gender
0,1,Core,Christian,ITA,100.00,1. 100.00,2. (80.00),6. (47.00),2002,boulder,MEN
1,1,Meyer,Jérôme,FRA,100.00,25. (6.00),6. (47.00),1. 100.00,2002,boulder,MEN
2,1,Smith,Malcolm,GBR,100.00,3. (65.00),1. 100.00,5. (51.00),2002,boulder,MEN
3,4,DU LAC,Daniel,FRA,80.00,6. (47.00),21. (10.00),2. 80.00,2002,boulder,MEN
4,4,Sharma,Chris,USA,80.00,2. 80.00,,,2002,boulder,MEN
5,6,Kazbekov,Serik,UKR,65.00,14. (24.00),,3. 65.00,2002,boulder,MEN
6,6,Okano,Hiroshi,JPN,65.00,,3. 65.00,14. (24.00),2002,boulder,MEN
7,8,Fischhuber,Kilian,AUT,55.00,7. (43.00),8. (40.00),4. 55.00,2002,boulder,MEN
8,8,Meral,Julien,FRA,55.00,9. (37.00),4. 55.00,23. (8.00),2002,boulder,MEN
9,8,Oleksy,Tomasz,POL,55.00,4. 55.00,,,2002,boulder,MEN
10,11,Rakhmetov,Salavat,RUS,51.00,5. 51.00,5. (51.00),,2002,boulder,MEN
11,12,Calibani,Mauro,ITA,43.00,8. (40.00),10. (34.00),7. 43.00,2002,boulder,MEN
12,12,Julien,Stephane,FRA,43.00,11. (31.00),7. 43.00,22. (9.00),2002,boulder,MEN
13,14,Tuscan,Frédéric,FRA,40.00,,9. (37.00),8. 40.00,2002,boulder,MEN
14,15,Progulakis,Georgos,ITA,37.00,20. (12.00),,9. 37.00,2002,boulder,MEN
15,16,Jongeneelen,Wouter,NED,34.00,10. 34.00,,,2002,boulder,MEN
16,16,Scarian,Riccardo,ITA,34.00,,15. (22.00),10. 34.00,2002,boulder,MEN
17,18,Cehovin,Urh,SLO,31.00,13. (26.00),11. 31.00,11. (31.00),2002,boulder,MEN
18,19,Daures,Luc,FRA,28.00,,,12. 28.00,2002,boulder,MEN
19,19,Lachat,Raphaël,SUI,28.00,12. 28.00,,29. (2.00),2002,boulder,MEN
20,19,Meikl,Alexander,AUT,28.00,16. (20.00),12. 28.00,25. (6.00),2002,boulder,MEN
21,22,Golob,Jurij,SLO,26.00,,13. 26.00,28. (3.00),2002,boulder,MEN
22,22,Zardini,Luca,ITA,26.00,,,13. 26.00,2002,boulder,MEN
23,24,Lamiche,Anthony,FRA,24.00,,14. 24.00,,2002,boulder,MEN
24,25,Gisler,David,SUI,22.00,26. (5.00),,15. 22.00,2002,boulder,MEN
25,25,Parry,Gareth,GBR,22.00,15. 22.00,,,2002,boulder,MEN
26,27,Müller,Matthias,SUI,20.00,,16. 20.00,16. (20.00),2002,boulder,MEN
27,28,Dutray,Mathieu,FRA,18.00,17. 18.00,17. (18.00),19. (14.00),2002,boulder,MEN
28,28,Januel,Nicolas,FRA,18.00,,20. (12.00),17. 18.00,2002,boulder,MEN
29,30,Ghidini,Stefano,ITA,16.00,18. 16.00,,18. (16.00),2002,boulder,MEN
30,30,Styenkovyy,Maksym,UKR,16.00,,18. 16.00,,2002,boulder,MEN
31,32,Chrastina,Andrej,SVK,14.00,19. 14.00,,,2002,boulder,MEN
32,32,Dard,Yohann,FRA,14.00,,19. 14.00,26. (5.00),2002,boulder,MEN
33,34,Jourjon,Jean Baptiste,FRA,12.00,,28. (3.00),20. 12.00,2002,boulder,MEN
34,35,Brenna,Cristian,ITA,10.00,,,21. 10.00,2002,boulder,MEN
35,35,Jongeneelen,Jeroen,NED,10.00,21. 10.00,,,2002,boulder,MEN
36,37,Borowka,Karsten,GER,9.00,22. 9.00,30. (1.00),,2002,boulder,MEN
37,37,Brouard,Paul,RSA,9.00,,22. 9.00,,2002,boulder,MEN
38,39,Gaidioz,Loïc,FRA,8.00,,23. 8.00,27. (4.00),2002,boulder,MEN
39,39,Kryvosheytsev,Yevgen,UKR,8.00,,23. 8.00,,2002,boulder,MEN
40,39,Mosley,Roy,GBR,8.00,23. 8.00,,,2002,boulder,MEN
41,42,Fanguin,Géraud,FRA,7.00,,,24. 7.00,2002,boulder,MEN
42,42,Preti,Lucas,ITA,7.00,24. 7.00,,,2002,boulder,MEN
43,44,Sadyrov,Marat,RUS,6.00,,25. 6.00,,2002,boulder,MEN
44,45,Son,Sangwon,KOR,5.00,,26. 5.00,,2002,boulder,MEN
45,46,Earl,Andrew,GBR,4.00,,27. 4.00,,2002,boulder,MEN
46,46,Gibson,Miles,GBR,4.00,27. 4.00,,,2002,boulder,MEN
47,48,Bitcon,Ian,GBR,3.00,28. 3.00,,,2002,boulder,MEN
48,49,Giupponi,Luca,ITA,2.00,29. 2.00,29. (2.00),,2002,boulder,MEN
49,50,Brunn,Manuel,GER,1.00,30. 1.00,,,2002,boulder,MEN
50,50,Rozman,Marko,CRO,1.00,,,30. 1.00,2002,boulder,MEN
51,1 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,1 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,1 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,1 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,1 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,1 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,1 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,1 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,2002,boulder,MEN
