,Rank,Name,Name.1,Nation,Points,Kranj 15.11.2002,Aprica 18.10.2002,Singapore 23.08.2002,Lecco 29.06.2002,Imst 07.06.2002,Yekaterinburg 17.05.2002,Bolzano 26.04.2002,2002,event,gender
0,1,Chabot,Alexandre,FRA,680.00,2. 80.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,2002,lead,MEN
1,2,Mrázek,Tomás,CZE,436.00,9. 37.00,2. 80.00,5. 51.00,7. 43.00,2. 80.00,2. 80.00,3. 65.00,2002,lead,MEN
2,3,Pouvreau,Gérome,FRA,410.00,6. 47.00,6. 47.00,3. 65.00,4. 55.00,5. 51.00,3. 65.00,2. 80.00,2002,lead,MEN
3,4,Crespi,Flavio,ITA,361.00,15. 22.00,3. 65.00,2. 80.00,3. 65.00,4. 55.00,9. 37.00,9. 37.00,2002,lead,MEN
4,5,Petit,François,FRA,329.00,4. 55.00,15. 22.00,4. 55.00,2. 80.00,13. 26.00,5. 51.00,8. 40.00,2002,lead,MEN
5,6,Bindhammer,Christian,GER,260.00,5. 51.00,11. 31.00,8. 40.00,27. 4.00,7. 43.00,8. 40.00,5. 51.00,2002,lead,MEN
6,7,Lachat,Cédric,SUI,252.00,10. 34.00,9. 37.00,7. 43.00,6. 47.00,3. 65.00,,13. 26.00,2002,lead,MEN
7,8,Auclair,François,FRA,249.00,27. 4.00,5. 51.00,14. 24.00,8. 40.00,6. 47.00,12. 28.00,4. 55.00,2002,lead,MEN
8,9,Brenna,Cristian,ITA,211.00,19. 14.00,17. 18.00,13. 26.00,5. 51.00,18. 16.00,4. 55.00,11. 31.00,2002,lead,MEN
9,10,Julian Puigblanque,Ramón,ESP,196.00,1. 100.00,7. 43.00,,11. 31.00,25. 6.00,,18. 16.00,2002,lead,MEN
10,10,Petrenko,Maksym,UKR,196.00,10. 34.00,16. 20.00,,11. 31.00,8. 40.00,9. 37.00,10. 34.00,2002,lead,MEN
11,12,Kazbekov,Serik,UKR,194.00,3. 65.00,23. 8.00,,10. 34.00,18. 16.00,6. 47.00,14. 24.00,2002,lead,MEN
12,13,Vinokur,Vadim,USA,121.00,,20. 12.00,6. 47.00,17. 18.00,29. 2.00,16. 20.00,15. 22.00,2002,lead,MEN
13,14,Millet,Sylvain,FRA,117.00,15. 22.00,27. 4.00,,19. 14.00,10. 34.00,,7. 43.00,2002,lead,MEN
14,15,Sova,Matej,SLO,115.00,17. 18.00,18. 16.00,11. 31.00,29. 2.00,11. 31.00,20. 12.00,26. 5.00,2002,lead,MEN
15,16,Bindhammer,Andreas,GER,101.00,26. 5.00,22. 9.00,12. 28.00,,21. 10.00,29. 2.00,6. 47.00,2002,lead,MEN
16,17,Bosma,Peter,SWE,93.00,22. 9.00,23. 8.00,,23. 8.00,14. 24.00,13. 26.00,17. 18.00,2002,lead,MEN
17,18,Lagni,Bernardino,ITA,89.00,25. 6.00,4. 55.00,,,,,12. 28.00,2002,lead,MEN
18,19,Caude,David,FRA,83.00,21. 10.00,13. 26.00,,11. 31.00,18. 16.00,,,2002,lead,MEN
19,20,Ten Sijthoff,Casper,NED,81.00,17. 18.00,23. 8.00,,11. 31.00,15. 22.00,,29. 2.00,2002,lead,MEN
20,21,Douloub,Iouri,RUS,79.00,13. 26.00,,,,21. 10.00,7. 43.00,,2002,lead,MEN
21,22,Lella,Donato,ITA,77.00,7. 43.00,10. 34.00,,,,,,2002,lead,MEN
22,23,Barbero Alfonso,Pablo,ESP,69.00,30. 1.00,8. 40.00,,,12. 28.00,,,2002,lead,MEN
23,24,Ovchinnikov,Evgeny,RUS,68.00,,,,11. 31.00,,9. 37.00,,2002,lead,MEN
24,24,Reis,Jürgen,AUT,68.00,27. 4.00,,10. 34.00,,17. 18.00,20. 12.00,,2002,lead,MEN
25,26,Gusak,Igor,UKR,67.00,29. 2.00,23. 8.00,,11. 31.00,27. 4.00,,15. 22.00,2002,lead,MEN
26,27,Fischhuber,Kilian,AUT,65.00,12. 28.00,,,,9. 37.00,,,2002,lead,MEN
27,28,Felix,Roman,SUI,59.00,,,15. 22.00,9. 37.00,,,,2002,lead,MEN
28,28,Kryvosheytsev,Yevgen,UKR,59.00,14. 24.00,20. 12.00,,19. 14.00,,,22. 9.00,2002,lead,MEN
29,30,Felix,Martin,SUI,44.00,,27. 4.00,17. 18.00,,,20. 12.00,21. 10.00,2002,lead,MEN
30,31,Marin Garcia,Eduard,ESP,40.00,8. 40.00,,,,,,,2002,lead,MEN
31,32,Tsuiki,Takaaki,JPN,37.00,,,9. 37.00,,,,,2002,lead,MEN
32,33,Huber,Christoph,AUT,36.00,,,,,15. 22.00,,19. 14.00,2002,lead,MEN
33,34,Sharma,Chris,USA,28.00,,12. 28.00,,,,,,2002,lead,MEN
34,35,Fuselier,Michaël,FRA,26.00,,13. 26.00,,,,,,2002,lead,MEN
35,36,Kovalevskj,Alexandre,RUS,24.00,,,,,,14. 24.00,,2002,lead,MEN
36,36,Valjavec,Tomaz,SLO,24.00,30. 1.00,,,,21. 10.00,20. 12.00,30. 1.00,2002,lead,MEN
37,38,Hoppe,Markus,GER,23.00,20. 12.00,,,22. 9.00,29. 2.00,,,2002,lead,MEN
38,39,Shalagin,Mykhaylo,UKR,22.00,,,,,,15. 22.00,,2002,lead,MEN
39,40,Ito,Hidekazu,JPN,20.00,,,16. 20.00,,,,,2002,lead,MEN
40,40,Masleonkin,Evgeny,RUS,20.00,,,,,,16. 20.00,,2002,lead,MEN
41,42,Gnerro,Alberto,ITA,19.00,,,,26. 5.00,,,19. 14.00,2002,lead,MEN
42,43,Dugit,Stephane,FRA,18.00,,29. 2.00,,21. 10.00,,,25. 6.00,2002,lead,MEN
43,43,Manzanedo,César Ciudad,ESP,18.00,,,,17. 18.00,,,,2002,lead,MEN
44,45,Khakimianov,Ilfir,RUS,16.00,,,,,,18. 16.00,,2002,lead,MEN
45,45,Lee,Jae-Yong,KOR,16.00,,,18. 16.00,,,,,2002,lead,MEN
46,47,Zardini,Luca,ITA,15.00,,,,25. 6.00,25. 6.00,,28. 3.00,2002,lead,MEN
47,48,Kim,Hee-Jo,KOR,14.00,,,19. 14.00,,,,,2002,lead,MEN
48,48,Nourmamatov,Serguei,RUS,14.00,,,,,,19. 14.00,,2002,lead,MEN
49,48,Zavagnin,Davide,ITA,14.00,,19. 14.00,,,,,,2002,lead,MEN
50,51,Christophersen,Stian,NOR,12.00,,,20. 12.00,,,,,2002,lead,MEN
51,51,Fichtinger,Reinhard,AUT,12.00,,29. 2.00,,,21. 10.00,,,2002,lead,MEN
52,53,Saga,Atsushi,JPN,10.00,,,21. 10.00,,,,,2002,lead,MEN
53,54,Ben,Tan,SGP,9.00,,,22. 9.00,,,,,2002,lead,MEN
54,55,Giupponi,Luca,ITA,8.00,,,,,,,23. 8.00,2002,lead,MEN
55,55,Loste,Julien,FRA,8.00,,,,23. 8.00,,,,2002,lead,MEN
56,55,Mamarimbing,Ronald,INA,8.00,,,23. 8.00,,,,,2002,lead,MEN
57,55,Son,Sangwon,KOR,8.00,23. 8.00,,,,,,,2002,lead,MEN
58,59,Becan,Klemen,SLO,7.00,24. 7.00,,,,,,,2002,lead,MEN
59,59,Cao,Rongwu,CHN,7.00,,,24. 7.00,,,,,2002,lead,MEN
60,59,Ghidini,Stefano,ITA,7.00,,,,,,,24. 7.00,2002,lead,MEN
61,59,Tcherechnev,Oleg,RUS,7.00,,,,,,24. 7.00,,2002,lead,MEN
62,63,Liu,Yi-De,TPE,6.00,,,25. 6.00,,,,,2002,lead,MEN
63,63,Shaferov,Sergei,BLR,6.00,,,,,,25. 6.00,,2002,lead,MEN
64,65,Achermann,Thomas,SUI,5.00,,,,,,26. 5.00,,2002,lead,MEN
65,65,Chu,Ka-Wai,HKG,5.00,,,26. 5.00,,,,,2002,lead,MEN
66,67,Ding,Xianghua,CHN,4.00,,,27. 4.00,,,,,2002,lead,MEN
67,67,Karthik,H. C.,IND,4.00,,,27. 4.00,,,,,2002,lead,MEN
68,67,Piliougine,Igor,RUS,4.00,,,,,,27. 4.00,,2002,lead,MEN
69,67,Tan,Sze Ping,SGP,4.00,,,27. 4.00,,,,,2002,lead,MEN
70,67,Usobiaga Lakunza,Patxi,ESP,4.00,,,,,,,27. 4.00,2002,lead,MEN
71,72,Pagnoux,Romain,FRA,3.00,,,,28. 3.00,,,,2002,lead,MEN
72,72,Prytz,Jan Fredrick,NOR,3.00,,,,,,28. 3.00,,2002,lead,MEN
73,72,Roth,Cody,USA,3.00,,,,,28. 3.00,,,2002,lead,MEN
74,75,Droguet,Xavier,FRA,2.00,,,,29. 2.00,,,,2002,lead,MEN
75,75,Preußler,Timo,GER,2.00,,,,,29. 2.00,,,2002,lead,MEN
76,75,Rakhmetov,Salavat,RUS,2.00,,,,,,29. 2.00,,2002,lead,MEN
77,78,Mobråten,Martin,NOR,1.00,,,30. 1.00,,,,,2002,lead,MEN
78,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,2002,lead,MEN
