,Rank,Name,Name.1,Nation,Points,Kranj 15.11.2002,Aprica 18.10.2002,Singapore 23.08.2002,Lecco 29.06.2002,Imst 07.06.2002,Yekaterinburg 17.05.2002,Bolzano 26.04.2002,2002,event,gender
0,1,Sarkany,Muriel,BEL,607.00,1. 100.00,6. 47.00,1. 100.00,2. 80.00,1. 100.00,2. 80.00,1. 100.00,2002,lead,WOMEN
1,2,Levet,Sandrine,FRA,443.00,3. 65.00,6. 47.00,2. 80.00,5. 51.00,3. 65.00,4. 55.00,2. 80.00,2002,lead,WOMEN
2,3,Cufar,Martina,SLO,402.00,5. 51.00,9. 37.00,6. 47.00,2. 80.00,6. 47.00,1. 100.00,8. 40.00,2002,lead,WOMEN
3,4,Gros,Natalija,SLO,357.00,2. 80.00,4. 55.00,5. 51.00,,4. 55.00,5. 51.00,3. 65.00,2002,lead,WOMEN
4,5,Sedlmayer,Katrin,GER,340.00,,3. 65.00,,1. 100.00,2. 80.00,8. 40.00,4. 55.00,2002,lead,WOMEN
5,6,Pouget,Emilie,FRA,339.00,6. 47.00,1. 100.00,3. 65.00,7. 43.00,,6. 47.00,9. 37.00,2002,lead,WOMEN
6,7,Knorr,Damaris,GER,243.00,8. 40.00,11. 31.00,4. 55.00,14. 24.00,15. 22.00,7. 43.00,12. 28.00,2002,lead,WOMEN
7,8,Lavarda,Jenny,ITA,211.00,14. 24.00,8. 40.00,7. 43.00,9. 37.00,9. 37.00,17. 18.00,20. 12.00,2002,lead,WOMEN
8,9,Vidmar,Maja,SLO,197.00,4. 55.00,2. 80.00,,8. 40.00,,,15. 22.00,2002,lead,WOMEN
9,10,Uhden,Marietta,GER,178.00,12. 28.00,,,,10. 34.00,3. 65.00,5. 51.00,2002,lead,WOMEN
10,11,Bacher,Barbara,AUT,171.00,13. 26.00,19. 14.00,8. 40.00,18. 16.00,12. 28.00,,6. 47.00,2002,lead,WOMEN
11,12,schöpf,Bettina,AUT,169.00,19. 14.00,17. 18.00,12. 28.00,4. 55.00,18. 16.00,12. 28.00,21. 10.00,2002,lead,WOMEN
12,13,Kryvonis,Olena,UKR,165.00,26. 5.00,11. 31.00,,11. 31.00,5. 51.00,18. 16.00,11. 31.00,2002,lead,WOMEN
13,14,Vidmar,Katja,SLO,142.00,11. 31.00,16. 20.00,,15. 22.00,15. 22.00,,6. 47.00,2002,lead,WOMEN
14,15,Kimura,Rie,JPN,141.00,23. 8.00,11. 31.00,11. 31.00,11. 31.00,8. 40.00,,,2002,lead,WOMEN
15,16,Minoret,Chloé,FRA,139.00,,,9. 37.00,6. 47.00,,9. 37.00,17. 18.00,2002,lead,WOMEN
16,17,Raffetseder,Gerda,AUT,136.00,10. 34.00,17. 18.00,20. 12.00,,7. 43.00,30. 1.00,12. 28.00,2002,lead,WOMEN
17,18,Eiter,Angela,AUT,130.00,7. 43.00,5. 51.00,,,11. 31.00,,26. 5.00,2002,lead,WOMEN
18,19,Petrignet,Carole,FRA,125.00,17. 18.00,22. 9.00,,15. 22.00,13. 26.00,15. 22.00,12. 28.00,2002,lead,WOMEN
19,20,Eyer,Alexandra,SUI,95.00,15. 22.00,14. 24.00,14. 24.00,25. 6.00,21. 10.00,,22. 9.00,2002,lead,WOMEN
20,21,Schultz,Annatina,SUI,90.00,,,21. 10.00,,14. 24.00,10. 34.00,15. 22.00,2002,lead,WOMEN
21,22,Nilsson,Ingela,SWE,84.00,22. 9.00,,13. 26.00,17. 18.00,15. 22.00,25. 6.00,28. 3.00,2002,lead,WOMEN
22,23,Iakovleva,Olga,RUS,74.00,,,,10. 34.00,22. 9.00,11. 31.00,,2002,lead,WOMEN
23,24,Iovane,Luisa,ITA,70.00,24. 7.00,24. 7.00,,24. 7.00,20. 12.00,,9. 37.00,2002,lead,WOMEN
24,25,Benetti,Lisa,ITA,57.00,20. 12.00,20. 12.00,,23. 8.00,,22. 9.00,18. 16.00,2002,lead,WOMEN
25,26,Bodet,Stéphanie,FRA,54.00,16. 20.00,10. 34.00,,,,,,2002,lead,WOMEN
26,27,Go,Mi-Sun,KOR,46.00,9. 37.00,,,22. 9.00,,,,2002,lead,WOMEN
27,28,Abramchuk,Yulia,RUS,38.00,27. 4.00,,,21. 10.00,,14. 24.00,,2002,lead,WOMEN
28,28,Ostapenko,Olena,UKR,38.00,28. 3.00,23. 8.00,,27. 4.00,,19. 14.00,22. 9.00,2002,lead,WOMEN
29,30,Lage,Lisa,USA,36.00,,26. 5.00,22. 9.00,19. 14.00,27. 4.00,27. 4.00,,2002,lead,WOMEN
30,31,Nagakai,Hoshiko,JPN,34.00,,,10. 34.00,,,,,2002,lead,WOMEN
31,32,Chereshneva,Venera,RUS,32.00,25. 6.00,,,,,13. 26.00,,2002,lead,WOMEN
32,33,Franko,Lucka,SLO,29.00,18. 16.00,25. 6.00,,28. 3.00,,,27. 4.00,2002,lead,WOMEN
33,34,Aguirre,Leire,ESP,26.00,,,,13. 26.00,,,,2002,lead,WOMEN
34,35,Perlova,Nataliya,UKR,23.00,,,,,24. 7.00,24. 7.00,22. 9.00,2002,lead,WOMEN
35,36,Ciavaldini,Caroline,FRA,22.00,,15. 22.00,,,,,,2002,lead,WOMEN
36,36,Liu,Hiu Ying,HKG,22.00,,,15. 22.00,,,,,2002,lead,WOMEN
37,38,Balakireva,Alexandra,RUS,20.00,,,,,,16. 20.00,,2002,lead,WOMEN
38,38,Forestier,Monique,AUS,20.00,,,16. 20.00,,,,,2002,lead,WOMEN
39,40,Seeger,Sarah,GER,19.00,,21. 10.00,,,,,22. 9.00,2002,lead,WOMEN
40,41,Huang,Li-Ping,CHN,18.00,,,17. 18.00,,,,,2002,lead,WOMEN
41,42,Huang,Bai-Le,TPE,16.00,,,18. 16.00,,,,,2002,lead,WOMEN
42,42,Martin,Delphine,FRA,16.00,,,,,,,18. 16.00,2002,lead,WOMEN
43,44,Li,Chunhua,CHN,14.00,,,19. 14.00,,,,,2002,lead,WOMEN
44,44,Moosburger,Miriam,AUT,14.00,,,,,19. 14.00,,,2002,lead,WOMEN
45,46,Rymcha,Natalia,RUS,12.00,,,,,,20. 12.00,,2002,lead,WOMEN
46,46,Theroux,Corinne,FRA,12.00,,,,20. 12.00,,,,2002,lead,WOMEN
47,48,Kim,Hyun-Jung,KOR,10.00,21. 10.00,,,,,,,2002,lead,WOMEN
48,48,Korolkova,Ekaterina,RUS,10.00,,,,,,21. 10.00,,2002,lead,WOMEN
49,50,Choi,Shun-Yuk,HKG,8.00,,,23. 8.00,,,,,2002,lead,WOMEN
50,50,Nagyova,Sylvie,CZE,8.00,,,,,23. 8.00,,,2002,lead,WOMEN
51,50,Nesterova,Natalia,RUS,8.00,,,,,,23. 8.00,,2002,lead,WOMEN
52,50,Stendal,Linn Karin,NOR,8.00,,,,30. 1.00,29. 2.00,26. 5.00,,2002,lead,WOMEN
53,50,Zeilemaker,Monica,NED,8.00,30. 1.00,,,,26. 5.00,,29. 2.00,2002,lead,WOMEN
54,55,Muñoz,Eva Elez,ESP,7.00,,26. 5.00,,,,,29. 2.00,2002,lead,WOMEN
55,55,Yuniar,Yuyun,INA,7.00,,,24. 7.00,,,,,2002,lead,WOMEN
56,57,Hawke,Emma,NZL,6.00,,,25. 6.00,,,,,2002,lead,WOMEN
57,57,Knabl,Sabine,AUT,6.00,,,,,25. 6.00,,,2002,lead,WOMEN
58,59,Creamer,Lucy,GBR,5.00,,26. 5.00,,,,,,2002,lead,WOMEN
59,59,Endo,Yuka,JPN,5.00,,,26. 5.00,,,,,2002,lead,WOMEN
60,59,Etter,Susanne,SUI,5.00,,26. 5.00,,,,,,2002,lead,WOMEN
61,59,Mathieu,Claire,FRA,5.00,,,,26. 5.00,,,,2002,lead,WOMEN
62,63,Bacher,Sabine,AUT,4.00,,,,,27. 4.00,,,2002,lead,WOMEN
63,63,Hendrawati,Agung Ethi,INA,4.00,,,27. 4.00,,,,,2002,lead,WOMEN
64,65,Chong,Beatrix,SGP,3.00,,,28. 3.00,,,,,2002,lead,WOMEN
65,65,Laszlo,Helene Belle,NOR,3.00,,,,,,28. 3.00,,2002,lead,WOMEN
66,65,Novikova,Natalia,RUS,3.00,28. 3.00,,,,,,,2002,lead,WOMEN
67,68,Kotasova-Kostruhova,Vera,CZE,2.00,,,,29. 2.00,,,,2002,lead,WOMEN
68,68,Lesaca,Lissa,PHI,2.00,,,29. 2.00,,,,,2002,lead,WOMEN
69,68,Louis,Stéphanie,SUI,2.00,,,,,,,29. 2.00,2002,lead,WOMEN
70,68,Saulevich,Olesya,RUS,2.00,,,,,,29. 2.00,,2002,lead,WOMEN
71,68,Takezawa,Hiroe,JPN,2.00,,,,,29. 2.00,,,2002,lead,WOMEN
72,73,Goh,Tan Leng,SGP,1.00,,,30. 1.00,,,,,2002,lead,WOMEN
73,73,Trnkova,Lenka,CZE,1.00,,30. 1.00,,,,,,2002,lead,WOMEN
74,73,Xiang Lin,Soh,SGP,1.00,,,30. 1.00,,,,,2002,lead,WOMEN
75,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,2002,lead,WOMEN
