,Rank,Name,Name.1,Nation,Points,Edinburgh 04.12.2003,Shenzen 21.11.2003,Kranj 14.11.2003,Valence 31.10.2003,Prague 11.10.2003,Aprica 03.10.2003,Aviles 22.08.2003,Lecco 28.06.2003,Yekaterinburg D+S 06.06.2003,Imst 23.05.2003,2003,event,gender
0,1,Chabot,Alexandre,FRA,660.00,4. (55.00),11. (31.00),2. 80.00,1. 100.00,15. (22.00),2. 80.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,2003,lead,MEN
1,2,Julian Puigblanque,Ramón,ESP,590.00,26. (5.00),9. (37.00),1. 100.00,3. 65.00,1. 100.00,1. 100.00,3. 65.00,2. 80.00,7. (43.00),2. 80.00,2003,lead,MEN
2,3,Auclair,François,FRA,431.00,6. 47.00,1. 100.00,5. 51.00,14. (24.00),2. 80.00,3. 65.00,10. (34.00),5. 51.00,9. 37.00,18. (16.00),2003,lead,MEN
3,4,Usobiaga Lakunza,Patxi,ESP,395.00,1. 100.00,5. 51.00,4. 55.00,14. (24.00),10. 34.00,6. 47.00,2. 80.00,12. 28.00,,,2003,lead,MEN
4,5,Ovchinnikov,Evgeny,RUS,348.00,12. 28.00,14. 24.00,20. (12.00),2. 80.00,3. 65.00,11. 31.00,,3. 65.00,4. 55.00,,2003,lead,MEN
5,6,Mrázek,Tomás,CZE,309.00,25. 6.00,2. 80.00,,,6. 47.00,25. 6.00,6. 47.00,7. 43.00,2. 80.00,26. (5.00),2003,lead,MEN
6,7,Pouvreau,Gérome,FRA,302.00,10. 34.00,9. 37.00,6. 47.00,25. (6.00),18. (16.00),8. 40.00,14. 24.00,20. (12.00),3. 65.00,4. 55.00,2003,lead,MEN
7,8,Millet,Sylvain,FRA,277.00,3. 65.00,11. 31.00,9. 37.00,13. (26.00),5. 51.00,12. 28.00,9. 37.00,15. (22.00),16. (20.00),12. 28.00,2003,lead,MEN
8,9,Lachat,Cédric,SUI,273.00,,,3. 65.00,4. 55.00,,,4. 55.00,6. 47.00,,5. 51.00,2003,lead,MEN
9,10,Fuselier,Michaël,FRA,248.00,2. 80.00,,13. 26.00,12. 28.00,7. 43.00,4. 55.00,,,,18. 16.00,2003,lead,MEN
10,11,Crespi,Flavio,ITA,244.00,9. 37.00,19. 14.00,19. (14.00),19. (14.00),4. 55.00,12. 28.00,13. 26.00,9. 37.00,6. 47.00,23. (8.00),2003,lead,MEN
11,12,Preußler,Timo,GER,223.00,21. 10.00,4. 55.00,26. 5.00,,9. 37.00,12. 28.00,5. 51.00,,,9. 37.00,2003,lead,MEN
12,13,Zardini,Luca,ITA,221.00,5. 51.00,,8. 40.00,,11. 31.00,28. 3.00,8. 40.00,12. 28.00,,12. 28.00,2003,lead,MEN
13,14,Bindhammer,Christian,GER,191.00,21. (10.00),18. 16.00,13. 26.00,8. 40.00,8. 40.00,19. 14.00,17. 18.00,9. 37.00,,,2003,lead,MEN
14,15,Douloub,Iouri,RUS,164.00,,,23. 8.00,9. 37.00,23. 8.00,7. 43.00,,,8. 40.00,12. 28.00,2003,lead,MEN
15,16,Bindhammer,Andreas,GER,161.00,26. 5.00,7. 43.00,28. (3.00),6. 47.00,12. 28.00,18. 16.00,19. 14.00,23. 8.00,,,2003,lead,MEN
16,17,Marin Garcia,Eduard,ESP,142.00,,17. 18.00,29. 2.00,28. 3.00,27. 4.00,9. 37.00,6. 47.00,,11. 31.00,,2003,lead,MEN
17,18,Caude,David,FRA,136.00,,,,20. 12.00,24. 7.00,9. 37.00,12. 28.00,22. 9.00,,7. 43.00,2003,lead,MEN
18,19,Valjavec,Tomaz,SLO,117.00,7. 43.00,,24. 7.00,,20. 12.00,23. 8.00,24. 7.00,,,8. 40.00,2003,lead,MEN
19,20,Legrand,François,FRA,114.00,,,,,30. 1.00,,15. 22.00,,13. 26.00,3. 65.00,2003,lead,MEN
20,21,Lagni,Bernardino,ITA,113.00,,,,21. 10.00,19. 14.00,16. 20.00,,3. 65.00,,27. 4.00,2003,lead,MEN
21,22,Kryvosheytsev,Yevgen,UKR,107.00,,,,,,5. 51.00,,15. 22.00,10. 34.00,,2003,lead,MEN
22,22,Sova,Matej,SLO,107.00,11. 31.00,,11. 31.00,,,26. 5.00,18. 16.00,25. 6.00,17. 18.00,,2003,lead,MEN
23,24,Vinokur,Vadim,USA,104.00,24. 7.00,6. 47.00,,24. 7.00,17. 18.00,28. 3.00,,15. 22.00,,,2003,lead,MEN
24,25,Brenna,Cristian,ITA,96.00,,,,,,,,9. 37.00,5. 51.00,23. 8.00,2003,lead,MEN
25,26,Roth,Cody,USA,91.00,,,18. 16.00,,14. 24.00,,29. 2.00,29. 2.00,,6. 47.00,2003,lead,MEN
26,27,Fischhuber,Kilian,AUT,85.00,28. 3.00,,17. 18.00,,,15. 22.00,19. 14.00,,,12. 28.00,2003,lead,MEN
27,28,Fichtinger,Reinhard,AUT,83.00,,,15. 22.00,,22. 9.00,19. 14.00,24. 7.00,,,11. 31.00,2003,lead,MEN
28,29,Petrenko,Maksym,UKR,82.00,13. 26.00,,,16. 20.00,13. 26.00,,,21. 10.00,,,2003,lead,MEN
29,30,Mogaki,Keita,JPN,81.00,20. 12.00,3. 65.00,,,,,27. 4.00,,,,2003,lead,MEN
30,31,Verhoeven,Jorg,NED,76.00,,,7. 43.00,,16. 20.00,,23. 8.00,26. 5.00,,,2003,lead,MEN
31,32,Hoppe,Markus,GER,72.00,13. 26.00,,12. 28.00,,21. 10.00,23. 8.00,,,,,2003,lead,MEN
32,33,Petit,François,FRA,70.00,,,,,,,,14. 24.00,20. 12.00,10. 34.00,2003,lead,MEN
