,Rank,Name,Name.1,Nation,Points,Shenzen 21.11.2003,Val Daone 26.07.2003,Lecco Speed 23.06.2003,Yekaterinburg D+S 06.06.2003,Yekaterinburg S 04.06.2003,Yekaterinburg B+S 30.05.2003,2003,event,gender
0,1,Oleksy,Tomasz,POL,425.00,2. 80.00,2. 80.00,1. 100.00,3. 65.00,14. (24.00),1. 100.00,2003,speed,MEN
1,2,Peshekhonov,Alexander,RUS,378.00,1. 100.00,6. 47.00,8. (40.00),1. 100.00,5. 51.00,2. 80.00,2003,speed,MEN
2,3,Soubbotine,Iakov,RUS,322.00,3. 65.00,5. 51.00,9. (37.00),4. 55.00,1. 100.00,5. 51.00,2003,speed,MEN
3,4,Sinitcyn,Sergei,RUS,288.00,5. 51.00,4. 55.00,5. 51.00,5. 51.00,2. 80.00,24. (7.00),2003,speed,MEN
4,5,Chaoulsky,Alexandre,RUS,271.00,,3. 65.00,2. 80.00,9. 37.00,3. 65.00,14. 24.00,2003,speed,MEN
5,6,Konovalov,Dmytro,UKR,224.00,,8. 40.00,6. 47.00,7. 43.00,6. 47.00,6. 47.00,2003,speed,MEN
6,7,Minatchev,Evgueni,RUS,190.00,,,,2. 80.00,4. 55.00,4. 55.00,2003,speed,MEN
7,8,Styenkovyy,Maksym,UKR,165.00,,1. 100.00,3. 65.00,,,,2003,speed,MEN
8,9,Gadeev,Alexei,RUS,151.00,,7. 43.00,,6. 47.00,7. 43.00,17. 18.00,2003,speed,MEN
9,10,Sadyrov,Marat,RUS,145.00,,9. 37.00,4. 55.00,13. 26.00,16. 20.00,24. 7.00,2003,speed,MEN
10,11,Komondi,Csaba,HUN,136.00,,,7. 43.00,12. 28.00,10. 34.00,11. 31.00,2003,speed,MEN
11,12,Baranov,Vladislav,RUS,106.00,,,,8. 40.00,13. 26.00,8. 40.00,2003,speed,MEN
12,13,Klepikov,Pavel,RUS,94.00,,,,11. 31.00,9. 37.00,13. 26.00,2003,speed,MEN
13,14,Vaitsekhovskii,Evgenii,RUS,85.00,,,,10. 34.00,11. 31.00,16. 20.00,2003,speed,MEN
14,15,Shyshkovskyy,Ivan,UKR,68.00,,10. 34.00,10. 34.00,,,,2003,speed,MEN
15,16,Omeltchenko,Denis,RUS,65.00,,,,,,3. 65.00,2003,speed,MEN
16,17,Kosterin,Alexander,RUS,60.00,,,,16. 20.00,17. 18.00,15. 22.00,2003,speed,MEN
17,18,Charafoutdinov,Denis,RUS,56.00,,,,15. 22.00,,10. 34.00,2003,speed,MEN
18,19,Rosyid,Nurrahman,INA,55.00,4. 55.00,,,,,,2003,speed,MEN
19,20,Sharafutdinov,Dmitrii,RUS,53.00,,,,18. 16.00,,9. 37.00,2003,speed,MEN
20,21,Darmawahyu,Dharma,INA,47.00,6. 47.00,,,,,,2003,speed,MEN
21,21,Goutorine,Egor,RUS,47.00,,,,24. 7.00,8. 40.00,,2003,speed,MEN
22,23,Kryvosheytsev,Yevgen,UKR,46.00,,,,17. 18.00,12. 28.00,,2003,speed,MEN
23,23,Lyukhanov,Konstantin,RUS,46.00,,,,14. 24.00,15. 22.00,,2003,speed,MEN
24,25,Shevchenko,Kyrylo,UKR,43.00,,,,,,7. 43.00,2003,speed,MEN
25,25,Tan,Leong Wai,MAS,43.00,7. 43.00,,,,,,2003,speed,MEN
26,27,Pahati,Jaime Amiel,PHI,40.00,8. 40.00,,,,,,2003,speed,MEN
27,27,Tchernykh,Maxim,RUS,40.00,,,,21. 10.00,18. 16.00,19. 14.00,2003,speed,MEN
28,29,Chen,Xiaojie,CHN,37.00,9. 37.00,,,,,,2003,speed,MEN
29,30,Bartha,Attila,HUN,36.00,,,,19. 14.00,19. 14.00,23. 8.00,2003,speed,MEN
30,31,Chen,Ge,CHN,34.00,10. 34.00,,,,,,2003,speed,MEN
31,32,Boulbahaiem,Salah,BEL,31.00,,,11. 31.00,,,,2003,speed,MEN
32,32,Wang,Janmin,CHN,31.00,11. 31.00,,,,,,2003,speed,MEN
33,34,Zemski,Alexei,RUS,30.00,,,,22. 9.00,20. 12.00,22. 9.00,2003,speed,MEN
34,35,Shalagin,Mykhaylo,UKR,28.00,,,,,,12. 28.00,2003,speed,MEN
35,35,Sulaiman,Sultoni,INA,28.00,12. 28.00,,,,,,2003,speed,MEN
36,37,Muhd,Hatta,SGP,26.00,13. 26.00,,,,,,2003,speed,MEN
37,38,Hazlee,Mohd,SGP,24.00,14. 24.00,,,,,,2003,speed,MEN
38,38,Lobzov,Stanislav,RUS,24.00,,,,20. 12.00,,20. 12.00,2003,speed,MEN
39,40,Ma,Hetai,CHN,22.00,15. 22.00,,,,,,2003,speed,MEN
40,41,Lai,Chi-Wai,HKG,20.00,16. 20.00,,,,,,2003,speed,MEN
41,42,Sun,Man-Wai,HKG,18.00,17. 18.00,,,,,,2003,speed,MEN
42,43,Li,Ying-Kit,HKG,16.00,18. 16.00,,,,,,2003,speed,MEN
43,43,Popov,Sergey,RUS,16.00,,,,,,18. 16.00,2003,speed,MEN
44,45,Jangar,G.,MGL,14.00,19. 14.00,,,,,,2003,speed,MEN
45,46,Och,Tumur,MGL,12.00,20. 12.00,,,,,,2003,speed,MEN
46,47,Astashov,Ruslan,RUS,10.00,,,,,21. 10.00,,2003,speed,MEN
47,47,Batsukh,Batkhuu,MGL,10.00,21. 10.00,,,,,,2003,speed,MEN
