,Rank,Name,Name.1,Nation,Points,Edinburgh 04.12.2003,Rovereto 12.09.2003,Argentiere 25.07.2003,Lecco Bouldern 25.06.2003,Fiera di Primiero 13.06.2003,Yekaterinburg B+S 30.05.2003,2003,event,gender
0,1,Levet,Sandrine,FRA,500.00,1. 100.00,1. 100.00,1. 100.00,9. (37.00),1. 100.00,1. 100.00,2003,boulder,WOMEN
1,2,Bibik,Olga,RUS,390.00,2. 80.00,3. 65.00,3. 65.00,1. 100.00,4. (55.00),2. 80.00,2003,boulder,WOMEN
2,3,Perlova,Nataliya,UKR,266.00,5. 51.00,4. 55.00,9. 37.00,14. (24.00),2. 80.00,7. 43.00,2003,boulder,WOMEN
3,4,Abramchuk,Yulia,RUS,248.00,7. 43.00,5. 51.00,11. 31.00,2. 80.00,7. 43.00,12. (28.00),2003,boulder,WOMEN
4,5,Kotasova-Kostruhova,Vera,CZE,242.00,3. 65.00,7. 43.00,7. 43.00,11. (31.00),5. 51.00,8. 40.00,2003,boulder,WOMEN
5,6,Danion,Juliette,FRA,229.00,8. 40.00,2. 80.00,4. 55.00,13. 26.00,12. 28.00,,2003,boulder,WOMEN
6,7,Giammarco,Giulia,ITA,221.00,6. 47.00,9. 37.00,2. 80.00,7. 43.00,19. 14.00,,2003,boulder,WOMEN
7,8,Theroux,Corinne,FRA,202.00,10. 34.00,8. 40.00,13. 26.00,4. 55.00,13. (26.00),6. 47.00,2003,boulder,WOMEN
8,9,Motteau,Myriam,FRA,186.00,15. 22.00,11. 31.00,27. (4.00),3. 65.00,11. 31.00,9. 37.00,2003,boulder,WOMEN
9,10,Rands,Lisa,USA,160.00,,,12. 28.00,5. 51.00,6. 47.00,10. 34.00,2003,boulder,WOMEN
10,11,Son,Mélanie,FRA,151.00,4. 55.00,10. 34.00,15. 22.00,8. 40.00,,,2003,boulder,WOMEN
11,12,Rogeaux,Fanny,FRA,132.00,,,22. 9.00,17. 18.00,8. 40.00,3. 65.00,2003,boulder,WOMEN
