,Rank,Name,Name.1,Nation,Points,Huzou 24.09.2004,Bardonecchia 19.08.2004,L'Argentière 29.07.2004,Fiera di Primiero 18.06.2004,Erlangen 16.04.2004,Birmingham 02.04.2004,2004,event,gender
0,1,DU LAC,Daniel,FRA,388.00,7. 43.00,1. 100.00,3. 65.00,2. 80.00,11. (31.00),1. 100.00,2004,boulder,MEN
1,2,Fischhuber,Kilian,AUT,331.00,5. 51.00,,,1. 100.00,1. 100.00,2. 80.00,2004,boulder,MEN
2,3,Meyer,Jérôme,FRA,305.00,1. 100.00,8. 40.00,,10. 34.00,2. 80.00,5. 51.00,2004,boulder,MEN
3,4,Julien,Stephane,FRA,257.00,11. 31.00,10. 34.00,1. 100.00,22. (9.00),4. 55.00,9. 37.00,2004,boulder,MEN
4,5,Laurence,Ludovic,FRA,238.00,4. 55.00,5. 51.00,14. 24.00,14. (24.00),3. 65.00,7. 43.00,2004,boulder,MEN
5,6,Müller,Matthias,SUI,208.00,12. 28.00,2. 80.00,9. 37.00,5. 51.00,20. 12.00,,2004,boulder,MEN
6,6,Rakhmetov,Salavat,RUS,208.00,2. 80.00,6. 47.00,,6. 47.00,10. 34.00,,2004,boulder,MEN
7,8,Parry,Gareth,GBR,202.00,9. 37.00,24. (7.00),10. 34.00,8. 40.00,13. 26.00,3. 65.00,2004,boulder,MEN
8,9,Meral,Julien,FRA,198.00,,21. 10.00,7. 43.00,3. 65.00,8. 40.00,8. 40.00,2004,boulder,MEN
9,10,Gaidioz,Loïc,FRA,160.00,15. 22.00,3. 65.00,6. 47.00,13. 26.00,,,2004,boulder,MEN
10,11,Jongeneelen,Wouter,NED,158.00,13. 26.00,4. 55.00,30. (1.00),17. 18.00,12. 28.00,11. 31.00,2004,boulder,MEN
11,12,Oleksy,Tomasz,POL,145.00,3. 65.00,13. 26.00,13. 26.00,12. 28.00,,,2004,boulder,MEN
12,13,Croxall,Mark,GBR,142.00,16. 20.00,20. 12.00,17. 18.00,29. (2.00),9. 37.00,4. 55.00,2004,boulder,MEN
13,14,Earl,Andrew,GBR,140.00,22. (9.00),19. 14.00,19. 14.00,19. 14.00,5. 51.00,6. 47.00,2004,boulder,MEN
14,14,Kazbekov,Serik,UKR,140.00,8. 40.00,11. 31.00,27. 4.00,4. 55.00,21. 10.00,,2004,boulder,MEN
15,16,Core,Christian,ITA,117.00,,,2. 80.00,9. 37.00,,,2004,boulder,MEN
16,17,Mogaki,Keita,JPN,89.00,17. 18.00,15. 22.00,17. 18.00,11. 31.00,,,2004,boulder,MEN
17,18,Borowka,Karsten,GER,84.00,,9. 37.00,,18. 16.00,15. 22.00,22. 9.00,2004,boulder,MEN
18,19,Mecherzynski-Wiktor,Andrzej,POL,67.00,,,20. 12.00,23. 8.00,6. 47.00,,2004,boulder,MEN
19,20,Repcik,Marek,SVK,61.00,,,29. 2.00,26. 5.00,16. 20.00,10. 34.00,2004,boulder,MEN
20,21,Son,Sangwon,KOR,60.00,,22. 9.00,5. 51.00,,,,2004,boulder,MEN
21,22,Benk,Christian,GER,59.00,6. 47.00,28. 3.00,,,26. 5.00,27. 4.00,2004,boulder,MEN
22,23,Pouvreau,Gérome,FRA,55.00,,,4. 55.00,,,,2004,boulder,MEN
23,24,Preti,Lucas,ITA,50.00,,23. 8.00,16. 20.00,15. 22.00,,,2004,boulder,MEN
24,25,Moroni,Gabriele,ITA,48.00,,,26. 5.00,7. 43.00,,,2004,boulder,MEN
25,26,Crespi,Flavio,ITA,44.00,,18. 16.00,12. 28.00,,,,2004,boulder,MEN
26,27,Calibani,Mauro,ITA,43.00,,7. 43.00,,,,,2004,boulder,MEN
27,27,Jalmain,Sebastien,FRA,43.00,,,,,7. 43.00,,2004,boulder,MEN
28,29,Caleyron,Thomas,FRA,40.00,,12. 28.00,23. 8.00,27. 4.00,,,2004,boulder,MEN
29,29,Thomassin,Matthieu,FRA,40.00,,,8. 40.00,,,,2004,boulder,MEN
30,31,Borowka,Andre,GER,39.00,,27. 4.00,,27. 4.00,22. 9.00,15. 22.00,2004,boulder,MEN
31,32,Ghidini,Stefano,ITA,34.00,,14. 24.00,,21. 10.00,,,2004,boulder,MEN
32,32,Matsushima,Akito,JPN,34.00,10. 34.00,,,,,,2004,boulder,MEN
33,34,Samyn,Remi,FRA,32.00,,30. 1.00,11. 31.00,,,,2004,boulder,MEN
34,35,Chrastina,Andrej,SVK,28.00,,,,,19. 14.00,19. 14.00,2004,boulder,MEN
35,35,Sugden,Tom,GBR,28.00,,,,,,12. 28.00,2004,boulder,MEN
36,37,Hoarau,Didier,FRA,27.00,,16. 20.00,24. 7.00,,,,2004,boulder,MEN
37,38,Cehovin,Urh,SLO,26.00,,,,,23. 8.00,17. 18.00,2004,boulder,MEN
38,38,Lavanna,Giovanni,ITA,26.00,,,,,,13. 26.00,2004,boulder,MEN
39,40,Bradley,Dan,GBR,24.00,,,,,,14. 24.00,2004,boulder,MEN
40,40,Hoppe,Markus,GER,24.00,,,,,14. 24.00,,2004,boulder,MEN
41,40,Kim,Janghyuk,KOR,24.00,14. 24.00,,,,,,2004,boulder,MEN
42,43,Becan,Klemen,SLO,22.00,,,15. 22.00,,,,2004,boulder,MEN
43,43,Caminati,Michele,ITA,22.00,,29. 2.00,,16. 20.00,,,2004,boulder,MEN
44,43,Dutray,Mathieu,FRA,22.00,,,,,,15. 22.00,2004,boulder,MEN
45,46,Edwards,Marc,AUS,21.00,28. 3.00,,,,,17. 18.00,2004,boulder,MEN
46,46,Würth,Peter,GER,21.00,,26. 5.00,,30. 1.00,24. 7.00,23. 8.00,2004,boulder,MEN
47,48,Watanabe,Kazuma,JPN,20.00,19. 14.00,,25. 6.00,,,,2004,boulder,MEN
48,49,Golob,Jurij,SLO,18.00,,,,,17. 18.00,,2004,boulder,MEN
49,49,Januel,Nicolas,FRA,18.00,,17. 18.00,,,,,2004,boulder,MEN
50,51,Gisler,David,SUI,16.00,,,,,18. 16.00,,2004,boulder,MEN
51,51,Lai,Chi-Wai,HKG,16.00,18. 16.00,,,,,,2004,boulder,MEN
52,51,Neuhaus,Thorsten,GER,16.00,,,,,25. 6.00,21. 10.00,2004,boulder,MEN
53,54,Chapelle,Sylvain,FRA,14.00,,,,19. 14.00,,,2004,boulder,MEN
54,55,Chu,Ka-Wai,HKG,12.00,20. 12.00,,,,,,2004,boulder,MEN
55,55,Kartiko,Bondan,INA,12.00,20. 12.00,,,,,,2004,boulder,MEN
56,55,Vincent,Gary,GBR,12.00,,,,,,20. 12.00,2004,boulder,MEN
57,58,Shevchenko,Kyrylo,UKR,10.00,,,21. 10.00,,,,2004,boulder,MEN
58,59,Cabessut,Romain,FRA,9.00,,,22. 9.00,,,,2004,boulder,MEN
59,60,Jou,Chun-Ming,TPE,8.00,23. 8.00,,,,,,2004,boulder,MEN
60,61,Cao,Rongwu,CHN,7.00,24. 7.00,,,,,,2004,boulder,MEN
61,61,Karolak,Grzegorz,POL,7.00,,,,,,24. 7.00,2004,boulder,MEN
62,61,Scarian,Riccardo,ITA,7.00,,,,24. 7.00,,,2004,boulder,MEN
63,64,Cai,LuYuan,CHN,6.00,25. 6.00,,,,,,2004,boulder,MEN
64,64,Lachat,Cédric,SUI,6.00,,25. 6.00,,,,,2004,boulder,MEN
65,64,Leoncini,Paolo,ITA,6.00,,,,25. 6.00,,,2004,boulder,MEN
66,64,West,Ben,GBR,6.00,,,,,,25. 6.00,2004,boulder,MEN
67,68,Brechet,Alexandre,FRA,5.00,,,,,,26. 5.00,2004,boulder,MEN
68,68,Royer,Eric,FRA,5.00,,,,,28. 3.00,29. 2.00,2004,boulder,MEN
69,68,Tan,Sze Ping,SGP,5.00,26. 5.00,,,,,,2004,boulder,MEN
70,71,Culpepper,Tyler,NZL,4.00,27. 4.00,,,,,,2004,boulder,MEN
71,71,Haller,Tobias,AUT,4.00,,,,,27. 4.00,,2004,boulder,MEN
72,73,Clement,Nick,GBR,3.00,,,,,,28. 3.00,2004,boulder,MEN
73,73,Wilhelm,Heiko,AUT,3.00,,,28. 3.00,,,,2004,boulder,MEN
74,73,Wu,Yen-Yi,TPE,3.00,28. 3.00,,,,,,2004,boulder,MEN
75,73,Xin,Ri-Long,CHN,3.00,28. 3.00,,,,,,2004,boulder,MEN
76,77,Gras,Julien,FRA,2.00,,,,,,29. 2.00,2004,boulder,MEN
77,77,Haladaj,Mateusz,POL,2.00,,,,,29. 2.00,,2004,boulder,MEN
78,79,Wszolek,Marcin,POL,1.00,,,,,30. 1.00,,2004,boulder,MEN
