,Rank,Name,Name.1,Nation,Points,Shanghai 02.10.2004,Val Daone 17.07.2004,Chamonix 12.07.2004,2004,event,gender
0,1,Sinitcyn,Sergei,RUS,245.00,2. 80.00,1. 100.00,3. 65.00,2004,speed,MEN
1,2,Vaitsekhovskii,Evgenii,RUS,202.00,3. 65.00,9. 37.00,1. 100.00,2004,speed,MEN
2,3,Peshekhonov,Alexander,RUS,197.00,9. 37.00,2. 80.00,2. 80.00,2004,speed,MEN
3,4,Oleksy,Tomasz,POL,161.00,5. 51.00,4. 55.00,4. 55.00,2004,speed,MEN
4,5,Styenkovyy,Maksym,UKR,152.00,8. 40.00,3. 65.00,6. 47.00,2004,speed,MEN
5,6,Soubbotine,Iakov,RUS,149.00,4. 55.00,5. 51.00,7. 43.00,2004,speed,MEN
6,7,Chen,Xiaojie,CHN,124.00,1. 100.00,,14. 24.00,2004,speed,MEN
7,8,Chaoulsky,Alexandre,RUS,102.00,,5. 51.00,5. 51.00,2004,speed,MEN
8,9,Mecherzynski-Wiktor,Andrzej,POL,91.00,,5. 51.00,8. 40.00,2004,speed,MEN
9,10,Shyshkovskyy,Ivan,UKR,85.00,,5. 51.00,10. 34.00,2004,speed,MEN
10,11,Hroza,Libor,CZE,74.00,7. 43.00,,11. 31.00,2004,speed,MEN
11,12,Komondi,Csaba,HUN,71.00,,10. 34.00,9. 37.00,2004,speed,MEN
12,13,Rosyid,Nurrahman,INA,53.00,,11. 31.00,15. 22.00,2004,speed,MEN
13,14,Lai,Chi-Wai,HKG,47.00,6. 47.00,,,2004,speed,MEN
14,15,Boulbahaiem,Salah,BEL,46.00,,13. 26.00,16. 20.00,2004,speed,MEN
15,15,Svacha,Jiri,CZE,46.00,,12. 28.00,17. 18.00,2004,speed,MEN
16,17,Shang,Chenyu,CHN,34.00,10. 34.00,,,2004,speed,MEN
17,18,Wang,Janmin,CHN,31.00,11. 31.00,,,2004,speed,MEN
18,19,Cai,LuYuan,CHN,28.00,12. 28.00,,,2004,speed,MEN
19,19,Swirk,Lukasz,POL,28.00,,,12. 28.00,2004,speed,MEN
20,21,Cao,Rongwu,CHN,26.00,,,13. 26.00,2004,speed,MEN
21,21,Ma,Hetai,CHN,26.00,13. 26.00,,,2004,speed,MEN
22,23,Ngai,Po-fuk,HKG,24.00,14. 24.00,,,2004,speed,MEN
23,24,Culpepper,Tyler,NZL,22.00,15. 22.00,,,2004,speed,MEN
24,25,Ye,Xiangyang,CHN,20.00,16. 20.00,,,2004,speed,MEN
25,26,Chu,Ka-Wai,HKG,18.00,17. 18.00,,,2004,speed,MEN
26,27,Li,Guangpu,CHN,16.00,18. 16.00,,,2004,speed,MEN
27,28,Erianto,Rojak,INA,14.00,19. 14.00,,,2004,speed,MEN
28,10 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,10 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,10 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,10 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,10 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,10 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,10 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,10 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,2004,speed,MEN
