,Rank,Name,Name.1,Nation,Points,Huzou 24.09.2004,Bardonecchia 19.08.2004,L'Argentière 29.07.2004,Fiera di Primiero 18.06.2004,Erlangen 16.04.2004,Birmingham 02.04.2004,2004,event,gender
0,1,Levet,Sandrine,FRA,500.00,1. 100.00,1. 100.00,3. (65.00),1. 100.00,1. 100.00,1. 100.00,2004,boulder,WOMEN
1,2,Bibik,Olga,RUS,359.00,3. 65.00,18. (16.00),1. 100.00,2. 80.00,10. 34.00,2. 80.00,2004,boulder,WOMEN
2,3,Abramchuk,Yulia,RUS,331.00,2. 80.00,3. 65.00,,5. 51.00,2. 80.00,4. 55.00,2004,boulder,WOMEN
3,4,Danion,Juliette,FRA,265.00,8. 40.00,6. 47.00,2. 80.00,4. 55.00,11. (31.00),7. 43.00,2004,boulder,WOMEN
4,5,Son,Mélanie,FRA,221.00,5. 51.00,4. 55.00,8. 40.00,6. 47.00,14. (24.00),12. 28.00,2004,boulder,WOMEN
5,6,Lavarda,Jenny,ITA,219.00,6. 47.00,17. 18.00,14. 24.00,17. (18.00),3. 65.00,3. 65.00,2004,boulder,WOMEN
6,7,Perlova,Nataliya,UKR,203.00,7. 43.00,8. 40.00,5. 51.00,13. 26.00,7. 43.00,,2004,boulder,WOMEN
7,8,Theroux,Corinne,FRA,200.00,,10. 34.00,10. 34.00,9. 37.00,4. 55.00,8. 40.00,2004,boulder,WOMEN
8,9,Rogeaux,Fanny,FRA,176.00,,19. 14.00,6. 47.00,8. 40.00,12. 28.00,6. 47.00,2004,boulder,WOMEN
9,10,Abgrall,Emilie,FRA,170.00,,,12. 28.00,3. 65.00,13. 26.00,5. 51.00,2004,boulder,WOMEN
10,11,Giammarco,Giulia,ITA,151.00,,2. 80.00,9. 37.00,10. 34.00,,,2004,boulder,WOMEN
11,12,Berry,Samantha,AUS,143.00,11. 31.00,14. 24.00,,,5. 51.00,9. 37.00,2004,boulder,WOMEN
12,13,Piszczek,Renata,POL,97.00,,15. 22.00,17. 18.00,16. 20.00,9. 37.00,,2004,boulder,WOMEN
13,14,Bacher,Barbara,AUT,95.00,9. 37.00,20. 12.00,15. 22.00,14. 24.00,,,2004,boulder,WOMEN
14,15,Dufraisse,Alizée,FRA,87.00,,,,7. 43.00,16. 20.00,14. 24.00,2004,boulder,WOMEN
15,16,Martin Sancho,Berta,ESP,86.00,13. 26.00,,16. 20.00,17. 18.00,,15. 22.00,2004,boulder,WOMEN
16,17,Asher,Elizabeth,USA,84.00,,7. 43.00,11. 31.00,21. 10.00,,,2004,boulder,WOMEN
17,18,Marchisio,Stella,ITA,80.00,,,,11. 31.00,17. 18.00,11. 31.00,2004,boulder,WOMEN
18,18,Verdier,Emilie,FRA,80.00,,9. 37.00,7. 43.00,,,,2004,boulder,WOMEN
19,20,De Grandi,Stefania,ITA,77.00,,16. 20.00,13. 26.00,11. 31.00,,,2004,boulder,WOMEN
20,21,Ogawa,Tomoko,JPN,65.00,10. 34.00,11. 31.00,,,,,2004,boulder,WOMEN
21,22,Combaz,Celine,FRA,64.00,,13. 26.00,19. 14.00,14. 24.00,,,2004,boulder,WOMEN
22,22,Lipenska,Helena,CZE,64.00,,,20. 12.00,20. 12.00,8. 40.00,,2004,boulder,WOMEN
23,22,Stöhr,Anna,AUT,64.00,4. 55.00,,22. 9.00,,,,2004,boulder,WOMEN
24,25,Shalagina,Olga,UKR,55.00,,,4. 55.00,,,,2004,boulder,WOMEN
25,26,Ansade,Maud,FRA,51.00,,5. 51.00,,,,,2004,boulder,WOMEN
26,27,Haager,Nicola,GER,47.00,,,,,6. 47.00,,2004,boulder,WOMEN
