,Rank,Name,Name.1,Nation,Points,Kranj 20.11.2004,Brno 12.11.2004,Valence 29.10.2004,Aprica 22.10.2004,Shanghai 02.10.2004,Marbella 18.09.2004,Chamonix 12.07.2004,Imst 29.05.2004,Puurs 23.04.2004,2004,event,gender
0,1,Eiter,Angela,AUT,535.00,1. 100.00,4. 55.00,5. (51.00),1. 100.00,1. 100.00,7. (43.00),2. 80.00,1. 100.00,8. (40.00),2004,lead,WOMEN
1,2,Sarkany,Muriel,BEL,525.00,5. (51.00),5. (51.00),1. 100.00,11. (31.00),2. 80.00,1. 100.00,1. 100.00,3. 65.00,2. 80.00,2004,lead,WOMEN
2,3,Eyer,Alexandra,SUI,364.00,7. 43.00,1. 100.00,8. 40.00,3. 65.00,9. (37.00),5. 51.00,3. 65.00,12. (28.00),19. (14.00),2004,lead,WOMEN
3,3,Gros,Natalija,SLO,364.00,2. 80.00,,6. 47.00,7. 43.00,6. 47.00,13. (26.00),6. 47.00,,1. 100.00,2004,lead,WOMEN
4,5,Ciavaldini,Caroline,FRA,356.00,15. (22.00),7. 43.00,2. 80.00,4. 55.00,2. 80.00,4. 55.00,,,7. 43.00,2004,lead,WOMEN
5,6,schöpf,Bettina,AUT,345.00,,,7. 43.00,2. 80.00,4. 55.00,8. 40.00,10. (34.00),2. 80.00,6. 47.00,2004,lead,WOMEN
6,7,Lavarda,Jenny,ITA,299.00,10. (34.00),14. (24.00),4. 55.00,9. 37.00,8. 40.00,5. 51.00,5. 51.00,10. (34.00),3. 65.00,2004,lead,WOMEN
7,8,Vidmar,Maja,SLO,287.00,3. 65.00,3. 65.00,12. (28.00),10. 34.00,,9. 37.00,11. 31.00,,4. 55.00,2004,lead,WOMEN
8,9,Cufar,Martina,SLO,286.00,11. 31.00,,2. 80.00,8. 40.00,,2. 80.00,4. 55.00,,,2004,lead,WOMEN
9,10,Shalagina,Olga,UKR,245.00,6. 47.00,2. 80.00,16. 20.00,6. 47.00,11. 31.00,,16. 20.00,,,2004,lead,WOMEN
10,11,Franko,Lucka,SLO,228.00,9. 37.00,,13. 26.00,5. 51.00,,11. 31.00,8. 40.00,7. 43.00,24. (7.00),2004,lead,WOMEN
11,12,Bacher,Barbara,AUT,223.00,12. 28.00,11. 31.00,10. 34.00,17. (18.00),14. (24.00),3. 65.00,21. (10.00),10. 34.00,11. 31.00,2004,lead,WOMEN
12,13,Levet,Sandrine,FRA,219.00,3. 65.00,13. 26.00,15. 22.00,,,,,4. 55.00,5. 51.00,2004,lead,WOMEN
13,14,Kobayashi,Yuka,JPN,169.00,12. 28.00,6. 47.00,,,5. 51.00,,7. 43.00,,,2004,lead,WOMEN
14,14,Saurwein,Katharina,AUT,169.00,16. 20.00,15. 22.00,22. (9.00),12. 28.00,20. (12.00),17. 18.00,20. (12.00),6. 47.00,10. 34.00,2004,lead,WOMEN
15,16,Martin,Delphine,FRA,166.00,20. 12.00,12. 28.00,,,13. 26.00,10. 34.00,21. (10.00),8. 40.00,13. 26.00,2004,lead,WOMEN
16,17,Graftiaux,Chloé,BEL,147.00,18. 16.00,,17. 18.00,14. 24.00,,12. 28.00,,14. 24.00,9. 37.00,2004,lead,WOMEN
17,18,Stöhr,Anna,AUT,113.00,20. 12.00,,,,10. 34.00,,18. 16.00,5. 51.00,,2004,lead,WOMEN
18,19,Kysilkova,Tereza,CZE,110.00,26. (5.00),17. 18.00,,15. 22.00,18. 16.00,21. 10.00,13. 26.00,17. 18.00,,2004,lead,WOMEN
19,20,Ostapenko,Olena,UKR,106.00,26. 5.00,8. 40.00,11. 31.00,18. 16.00,,,19. 14.00,,,2004,lead,WOMEN
20,21,Vidmar,Katja,SLO,104.00,20. 12.00,16. 20.00,19. 14.00,19. 14.00,,,,13. 26.00,17. 18.00,2004,lead,WOMEN
21,22,Knorr,Damaris,GER,103.00,8. 40.00,,18. 16.00,,,17. 18.00,15. 22.00,24. 7.00,,2004,lead,WOMEN
22,23,Iaemourd,Ekaterina,RUS,91.00,,10. 34.00,9. 37.00,16. 20.00,,,,,,2004,lead,WOMEN
23,24,Raffetseder,Gerda,AUT,83.00,17. 18.00,24. 7.00,,20. 12.00,19. 14.00,,27. (4.00),18. 16.00,18. 16.00,2004,lead,WOMEN
24,25,KIM,Jain,KOR,80.00,,9. 37.00,,,7. 43.00,,,,,2004,lead,WOMEN
25,26,Stendal,Linn Karin,NOR,66.00,28. 3.00,,,26. 5.00,,14. 24.00,,28. 3.00,11. 31.00,2004,lead,WOMEN
