,Rank,Name,Name.1,Nation,Points,Kranj (L) 19.11.2005,Valence (L) 27.10.2005,Shanghai (L+S) 22.10.2005,Marbella (L) 17.09.2005,Chamonix (L+S) 12.07.2005,Zürich (L) 24.06.2005,Imst (L) 27.05.2005,Puurs (L) 29.04.2005,Veliko Tarnovo (L+S) 23.04.2005,2005,event,gender
0,1,Crespi,Flavio,ITA,680.00,1. 100.00,5. 51.00,6. 47.00,1. 100.00,9. 37.00,3. 65.00,1. 100.00,2. 80.00,1. 100.00,2005,lead,MEN
1,2,Verhoeven,Jorg,NED,562.00,2. 80.00,1. 100.00,2. 80.00,7. 43.00,3. 65.00,4. 55.00,20. 12.00,6. 47.00,2. 80.00,2005,lead,MEN
2,3,Lachat,Cédric,SUI,560.00,3. 65.00,3. 65.00,3. 65.00,6. 47.00,7. 43.00,1. 100.00,4. 55.00,4. 55.00,3. 65.00,2005,lead,MEN
3,4,Julian Puigblanque,Ramón,ESP,545.00,14. 24.00,4. 55.00,1. 100.00,3. 65.00,6. 47.00,10. 34.00,2. 80.00,1. 100.00,8. 40.00,2005,lead,MEN
4,5,Chabot,Alexandre,FRA,400.00,5. 51.00,,,1. 100.00,1. 100.00,11. 31.00,5. 51.00,3. 65.00,29. 2.00,2005,lead,MEN
5,6,Usobiaga Lakunza,Patxi,ESP,370.00,13. 26.00,7. 43.00,14. 24.00,4. 55.00,2. 80.00,,3. 65.00,10. 34.00,7. 43.00,2005,lead,MEN
6,7,Zardini,Luca,ITA,329.00,15. 22.00,19. 14.00,5. 51.00,7. 43.00,12. 28.00,8. 40.00,9. 37.00,7. 43.00,5. 51.00,2005,lead,MEN
7,8,Mrázek,Tomás,CZE,318.00,4. 55.00,8. 40.00,4. 55.00,5. 51.00,,,8. 40.00,8. 40.00,9. 37.00,2005,lead,MEN
8,9,Millet,Sylvain,FRA,295.00,11. 31.00,16. 20.00,10. 34.00,9. 37.00,3. 65.00,7. 43.00,7. 43.00,,15. 22.00,2005,lead,MEN
9,10,Preußler,Timo,GER,218.00,,,10. 34.00,10. 34.00,20. 12.00,2. 80.00,30. 1.00,11. 31.00,13. 26.00,2005,lead,MEN
10,11,Fuselier,Michaël,FRA,215.00,10. 34.00,2. 80.00,,12. 28.00,8. 40.00,,22. 9.00,14. 24.00,,2005,lead,MEN
11,12,Bindhammer,Christian,GER,188.00,6. 47.00,,,17. 18.00,24. 7.00,5. 51.00,12. 28.00,9. 37.00,,2005,lead,MEN
12,13,Dugit,Fabien,FRA,186.00,30. 1.00,10. 34.00,,15. 22.00,13. 26.00,9. 37.00,16. 20.00,17. 18.00,12. 28.00,2005,lead,MEN
