,Rank,Name,Name.1,Nation,Points,774,756,747,745,2005,event,gender,athlete_id
0,1,Levet,Sandrine,FRA,360.00,2. 80.00,2. 80.00,1. 100.00,1. 100.00,2005,boulder,WOMEN,1350
1,2,Bibik,Olga,RUS,257.00,7. 43.00,1. 100.00,10. 34.00,2. 80.00,2005,boulder,WOMEN,1308
2,3,Abramchuk,Yulia,RUS,228.00,5. 51.00,3. 65.00,6. 47.00,3. 65.00,2005,boulder,WOMEN,2736
3,4,Abgrall,Emilie,FRA,214.00,6. 47.00,5. 51.00,3. 65.00,5. 51.00,2005,boulder,WOMEN,5317
4,5,Stöhr,Anna,AUT,193.00,3. 65.00,16. 20.00,2. 80.00,12. 28.00,2005,boulder,WOMEN,5630
5,6,Aguirre,Leire,ESP,143.00,9. 37.00,12. 28.00,11. 31.00,6. 47.00,2005,boulder,WOMEN,1202
6,7,Son,Mélanie,FRA,135.00,10. 34.00,9. 37.00,4. 55.00,22. 9.00,2005,boulder,WOMEN,1275
7,8,Danion,Juliette,FRA,126.00,1. 100.00,13. 26.00,,,2005,boulder,WOMEN,2803
8,9,Ansade,Maud,FRA,106.00,,,5. 51.00,4. 55.00,2005,boulder,WOMEN,6082
9,10,Verdier,Emilie,FRA,100.00,16. 20.00,19. 14.00,13. 26.00,8. 40.00,2005,boulder,WOMEN,3199
10,11,Chereshneva,Yana,RUS,95.00,4. 55.00,,8. 40.00,,2005,boulder,WOMEN,6324
11,12,Bacher,Barbara,AUT,74.00,11. 31.00,7. 43.00,,,2005,boulder,WOMEN,1030
12,13,Theroux,Corinne,FRA,73.00,,4. 55.00,,17. 18.00,2005,boulder,WOMEN,1070
13,14,Giammarco,Giulia,ITA,70.00,,24. 7.00,9. 37.00,13. 26.00,2005,boulder,WOMEN,3548
14,15,Marchisio,Stella,ITA,66.00,,22. 9.00,19. 14.00,7. 43.00,2005,boulder,WOMEN,1353
15,16,Lipenska,Helena,CZE,64.00,,23. 8.00,15. 22.00,10. 34.00,2005,boulder,WOMEN,5335
16,17,Hodann,Anja,SWE,63.00,18. 16.00,,21. 10.00,9. 37.00,2005,boulder,WOMEN,6455
17,18,Lavarda,Jenny,ITA,52.00,,20. 12.00,14. 24.00,18. 16.00,2005,boulder,WOMEN,1179
18,19,Bezhko,Olga,UKR,47.00,,6. 47.00,,,2005,boulder,WOMEN,5255
19,20,Arch,Nina,AUT,43.00,22. 9.00,26. 5.00,22. 9.00,16. 20.00,2005,boulder,WOMEN,6081
20,20,Berry,Samantha,AUS,43.00,,20. 12.00,,11. 31.00,2005,boulder,WOMEN,6169
21,20,Shemulinkina,Tatiana,RUS,43.00,,,7. 43.00,,2005,boulder,WOMEN,5155
22,23,Chereshneva,Venera,RUS,42.00,14. 24.00,,17. 18.00,,2005,boulder,WOMEN,1391
23,24,Asher,Elizabeth,USA,40.00,,8. 40.00,,,2005,boulder,WOMEN,3677
24,24,Januel,Caroline,FRA,40.00,8. 40.00,,,,2005,boulder,WOMEN,5632
25,26,Combaz,Celine,FRA,34.00,,10. 34.00,,,2005,boulder,WOMEN,5732
26,27,CRUZ MONTALBAN,Esther,ESP,31.00,,11. 31.00,,,2005,boulder,WOMEN,3168
27,28,Lind,Angelica,SWE,30.00,13. 26.00,27. 4.00,,,2005,boulder,WOMEN,5365
28,29,Martin,Delphine,FRA,28.00,12. 28.00,,,,2005,boulder,WOMEN,1078
29,29,Ochtchepkova,Olga,RUS,28.00,,,12. 28.00,,2005,boulder,WOMEN,3258
30,29,Perlova,Nataliya,UKR,28.00,,18. 16.00,20. 12.00,,2005,boulder,WOMEN,1299
31,32,Harmand,Ludivine,FRA,24.00,14. 24.00,,,,2005,boulder,WOMEN,7338
32,32,Harrington,Emily,USA,24.00,,14. 24.00,,,2005,boulder,WOMEN,3673
33,32,Schirrmacher,Katherine,GBR,24.00,,,,14. 24.00,2005,boulder,WOMEN,3418
34,35,Piszczek,Renata,POL,22.00,,,,15. 22.00,2005,boulder,WOMEN,1329
35,35,Vidmar,Katja,SLO,22.00,,15. 22.00,,,2005,boulder,WOMEN,3137
36,37,Choumilova,Elena,RUS,20.00,,,16. 20.00,,2005,boulder,WOMEN,1106
37,38,Hughes,Lucinda,GBR,19.00,20. 12.00,,,24. 7.00,2005,boulder,WOMEN,3364
38,39,Chevrier,Anne-Laure,FRA,18.00,17. 18.00,,,,2005,boulder,WOMEN,5636
39,39,Haager,Nicola,GER,18.00,,17. 18.00,,,2005,boulder,WOMEN,1293
40,41,Iakovleva,Olga,RUS,16.00,,,18. 16.00,,2005,boulder,WOMEN,2807
41,42,Bacher,Sabine,AUT,14.00,,,,19. 14.00,2005,boulder,WOMEN,2821
42,42,Barbier,Marine,FRA,14.00,19. 14.00,,,,2005,boulder,WOMEN,7339
43,44,Martin Sancho,Berta,ESP,13.00,,,28. 3.00,21. 10.00,2005,boulder,WOMEN,3070
44,45,Suwelack,Svenja,GER,12.00,,,,20. 12.00,2005,boulder,WOMEN,6051
45,46,Cusa,Marine,FRA,10.00,21. 10.00,,,,2005,boulder,WOMEN,5736
46,46,Mills,Katherine,GBR,10.00,23. 8.00,30. 1.00,,30. 1.00,2005,boulder,WOMEN,5491
47,48,Iaemourd,Ekaterina,RUS,8.00,,,23. 8.00,,2005,boulder,WOMEN,3620
48,48,Ogawa,Tomoko,JPN,8.00,,,,23. 8.00,2005,boulder,WOMEN,5625
49,48,Titova,Natalia,RUS,8.00,,,23. 8.00,,2005,boulder,WOMEN,1304
50,51,Benetti,Lisa,ITA,6.00,,25. 6.00,,,2005,boulder,WOMEN,1203
51,51,Kugler,Eliza,POL,6.00,,,25. 6.00,,2005,boulder,WOMEN,6188
52,51,Togawa,Yukiko,JPN,6.00,,,,25. 6.00,2005,boulder,WOMEN,6768
53,54,Alekseeva,Kseniia,RUS,5.00,,,26. 5.00,,2005,boulder,WOMEN,5149
54,54,Twyford,Emma,GBR,5.00,,,,26. 5.00,2005,boulder,WOMEN,3494
55,56,Gallyamova,Anna,RUS,4.00,,,27. 4.00,,2005,boulder,WOMEN,5146
