,Rank,Name,Name.1,Nation,Points,Kranj (L) 19.11.2005,Valence (L) 27.10.2005,Shanghai (L+S) 22.10.2005,Marbella (L) 17.09.2005,Chamonix (L+S) 12.07.2005,Zürich (L) 24.06.2005,Imst (L) 27.05.2005,Puurs (L) 29.04.2005,Veliko Tarnovo (L+S) 23.04.2005,2005,event,gender
0,1,Eiter,Angela,AUT,880.00,1. 100.00,1. 100.00,2. 80.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,2005,lead,WOMEN
1,2,Vidmar,Maja,SLO,616.00,2. 80.00,4. 55.00,1. 100.00,3. 65.00,4. 55.00,2. 80.00,3. 65.00,3. 65.00,5. 51.00,2005,lead,WOMEN
2,3,Ciavaldini,Caroline,FRA,466.00,4. 55.00,2. 80.00,10. 34.00,2. 80.00,11. 31.00,,5. 51.00,4. 55.00,2. 80.00,2005,lead,WOMEN
3,4,Eyer,Alexandra,SUI,384.00,10. 34.00,7. 43.00,11. 31.00,5. 51.00,2. 80.00,4. 55.00,11. 31.00,11. 31.00,12. 28.00,2005,lead,WOMEN
4,5,Sarkany,Muriel,BEL,357.00,9. 37.00,13. 26.00,7. 43.00,5. 51.00,,5. 51.00,7. 43.00,5. 51.00,4. 55.00,2005,lead,WOMEN
5,6,Gros,Natalija,SLO,353.00,3. 65.00,11. 31.00,9. 37.00,4. 55.00,30. 1.00,,9. 37.00,6. 47.00,2. 80.00,2005,lead,WOMEN
6,7,Lavarda,Jenny,ITA,327.00,6. 47.00,6. 47.00,5. 51.00,5. 51.00,13. 26.00,7. 43.00,15. 22.00,,8. 40.00,2005,lead,WOMEN
7,8,Kobayashi,Yuka,JPN,290.00,8. 40.00,,3. 65.00,,3. 65.00,8. 40.00,,9. 37.00,7. 43.00,2005,lead,WOMEN
8,9,Saurwein,Katharina,AUT,289.00,7. 43.00,14. 24.00,13. 26.00,12. 28.00,15. 22.00,2. 80.00,8. 40.00,27. 4.00,15. 22.00,2005,lead,WOMEN
9,10,Franko,Lucka,SLO,267.00,29. 2.00,15. 22.00,8. 40.00,11. 31.00,19. 14.00,9. 37.00,6. 47.00,7. 43.00,11. 31.00,2005,lead,WOMEN
10,11,Bacher,Barbara,AUT,266.00,18. 16.00,9. 37.00,6. 47.00,10. 34.00,16. 20.00,10. 34.00,18. 16.00,10. 34.00,12. 28.00,2005,lead,WOMEN
11,12,Levet,Sandrine,FRA,262.00,,3. 65.00,,,9. 37.00,,2. 80.00,2. 80.00,,2005,lead,WOMEN
12,13,Januel,Caroline,FRA,187.00,,5. 51.00,,,6. 47.00,20. 12.00,20. 12.00,12. 28.00,9. 37.00,2005,lead,WOMEN
13,14,Cufar,Martina,SLO,168.00,12. 28.00,12. 28.00,,8. 40.00,21. 10.00,10. 34.00,21. 10.00,17. 18.00,,2005,lead,WOMEN
14,15,Graftiaux,Chloé,BEL,153.00,,16. 20.00,,13. 26.00,12. 28.00,16. 20.00,22. 9.00,13. 26.00,14. 24.00,2005,lead,WOMEN
15,16,Conan,Fanny,FRA,137.00,,18. 16.00,,9. 37.00,9. 37.00,6. 47.00,,,,2005,lead,WOMEN
16,17,Kryvonis,Olena,UKR,124.00,,,,,7. 43.00,,10. 34.00,,6. 47.00,2005,lead,WOMEN
17,18,KIM,Jain,KOR,111.00,11. 31.00,8. 40.00,,,8. 40.00,,,,,2005,lead,WOMEN
18,19,Raffetseder,Gerda,AUT,110.00,16. 20.00,20. 12.00,16. 20.00,,27. 4.00,14. 24.00,26. 5.00,26. 5.00,16. 20.00,2005,lead,WOMEN
19,20,Pinet,Florence,FRA,105.00,13. 26.00,,,,5. 51.00,12. 28.00,,,,2005,lead,WOMEN
20,21,Markovic,Mina,SLO,104.00,5. 51.00,17. 18.00,,,,,13. 26.00,22. 9.00,,2005,lead,WOMEN
21,22,Stendal,Linn Karin,NOR,88.00,17. 18.00,23. 8.00,18. 16.00,15. 22.00,,21. 10.00,,19. 14.00,,2005,lead,WOMEN
