,Rank,Name,Name.1,Nation,Points,Shanghai (L+S) 22.10.2005,Daone (S) 30.07.2005,Chamonix (L+S) 12.07.2005,Veliko Tarnovo (L+S) 23.04.2005,Moscow (B+S) 08.04.2005,2005,event,gender
0,1,Stenkovaya,Anna,RUS,416.00,5. 51.00,3. 65.00,1. 100.00,1. 100.00,1. 100.00,2005,speed,WOMEN
1,2,Yurina,Valentina,RUS,380.00,1. 100.00,4. 55.00,2. 80.00,2. 80.00,3. 65.00,2005,speed,WOMEN
2,3,Evstigneeva,Olga,RUS,237.00,2. 80.00,,6. 47.00,4. 55.00,4. 55.00,2005,speed,WOMEN
3,4,Ruyga,Tatiana,RUS,195.00,12. 28.00,,4. 55.00,3. 65.00,6. 47.00,2005,speed,WOMEN
4,5,Tuzhylina,Svitlana,UKR,188.00,,7. 43.00,5. 51.00,7. 43.00,5. 51.00,2005,speed,WOMEN
5,6,Hendrawati,Agung Ethi,INA,176.00,,2. 80.00,11. 31.00,5. 51.00,19. 14.00,2005,speed,WOMEN
6,7,Ropek,Edyta,POL,159.00,3. 65.00,5. 51.00,7. 43.00,,,2005,speed,WOMEN
7,8,Neliwati,Evi,INA,133.00,,8. 40.00,13. 26.00,6. 47.00,16. 20.00,2005,speed,WOMEN
8,9,Zakharova,Olga,UKR,129.00,,6. 47.00,12. 28.00,13. 26.00,12. 28.00,2005,speed,WOMEN
9,10,Ryepko,Olena,UKR,122.00,,1. 100.00,,,15. 22.00,2005,speed,WOMEN
10,11,Saulevich,Olesya,RUS,100.00,,,9. 37.00,9. 37.00,13. 26.00,2005,speed,WOMEN
11,12,Alekseeva,Kseniia,RUS,99.00,,,3. 65.00,,10. 34.00,2005,speed,WOMEN
12,13,Cheng,Lai-Sho,HKG,88.00,11. 31.00,9. 37.00,16. 20.00,,,2005,speed,WOMEN
13,14,Ochtchepkova,Olga,RUS,80.00,,,,,2. 80.00,2005,speed,WOMEN
14,15,Karesova,Eliska,CZE,64.00,,,14. 24.00,8. 40.00,,2005,speed,WOMEN
15,16,Chereshneva,Yana,RUS,58.00,8. 40.00,,,,17. 18.00,2005,speed,WOMEN
16,17,He,Cuifang,CHN,55.00,4. 55.00,,,,,2005,speed,WOMEN
17,18,Morozkina,Olga,RUS,47.00,6. 47.00,,,,,2005,speed,WOMEN
18,19,Chereshneva,Venera,RUS,44.00,16. 20.00,,,,14. 24.00,2005,speed,WOMEN
19,20,Li,Chunhua,CHN,43.00,7. 43.00,,,,,2005,speed,WOMEN
20,20,Titova,Natalia,RUS,43.00,,,,,7. 43.00,2005,speed,WOMEN
21,22,Blanco,Lucelia,VEN,40.00,,,8. 40.00,,,2005,speed,WOMEN
22,22,Gallyamova,Anna,RUS,40.00,,,,,8. 40.00,2005,speed,WOMEN
23,24,Astashova,Zosya,RUS,37.00,,,,,9. 37.00,2005,speed,WOMEN
24,24,Yuliyastanti,Indah,INA,37.00,9. 37.00,,,,,2005,speed,WOMEN
25,26,Bakalova,Plamena,BUL,34.00,,,,10. 34.00,,2005,speed,WOMEN
26,26,Hrozova,Lucie,CZE,34.00,,10. 34.00,,,,2005,speed,WOMEN
27,26,Nilsson,Kristina,SWE,34.00,,,17. 18.00,,18. 16.00,2005,speed,WOMEN
28,26,Policard,Michaelle,FRA,34.00,,,10. 34.00,,,2005,speed,WOMEN
29,26,Zhang,Dan,CHN,34.00,10. 34.00,,,,,2005,speed,WOMEN
30,31,Bezhko,Olga,UKR,31.00,,,,,11. 31.00,2005,speed,WOMEN
31,31,Garbova,Petya,BUL,31.00,,,,11. 31.00,,2005,speed,WOMEN
32,33,Maneva,Radiana,BUL,28.00,,,,12. 28.00,,2005,speed,WOMEN
33,34,Piratinskaya,Mayya,RUS,26.00,13. 26.00,,,,,2005,speed,WOMEN
34,35,Korolkova,Ekaterina,RUS,24.00,14. 24.00,,,,,2005,speed,WOMEN
35,36,Couchot,Mathilde,FRA,22.00,,,15. 22.00,,,2005,speed,WOMEN
36,36,Low,Shuang'E,SGP,22.00,15. 22.00,,,,,2005,speed,WOMEN
37,38,Norzaharatullaili,Mustafa,MAS,18.00,17. 18.00,,,,,2005,speed,WOMEN
38,39,Glaserova,Martina,CZE,16.00,,,18. 16.00,,,2005,speed,WOMEN
39,40,Archana,Bangalore Subbarao,IND,14.00,,,19. 14.00,,,2005,speed,WOMEN
40,41,Mykhailova,Olga,UKR,12.00,,,,,20. 12.00,2005,speed,WOMEN
41,6 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,6 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,6 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,6 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,6 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,6 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,6 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,6 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,6 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,6 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,2005,speed,WOMEN
