,Rank,Name,Name.1,Nation,Points,Moscow (B+S) 02.11.2006,Hall (B) 23.06.2006,Fiera di Primiero(B) 16.06.2006,Grindelwald (B) 09.06.2006,Rovereto (B) 12.05.2006,Veliko Tarnovo (B+S) 21.04.2006,Birmingham (B) 17.03.2006,2006,event,gender
0,1,Meyer,Jérôme,FRA,525.00,8. (40.00),2. 80.00,1. 100.00,1. 100.00,2. 80.00,3. 65.00,1. 100.00,2006,boulder,MEN
1,2,Fischhuber,Kilian,AUT,490.00,1. 100.00,3. 65.00,2. 80.00,3. 65.00,4. (55.00),1. 100.00,2. 80.00,2006,boulder,MEN
2,3,Pouvreau,Gérome,FRA,306.00,,9. 37.00,4. 55.00,10. 34.00,1. 100.00,9. 37.00,7. 43.00,2006,boulder,MEN
3,4,Core,Christian,ITA,283.00,6. 47.00,11. (31.00),7. 43.00,5. 51.00,7. 43.00,10. 34.00,3. 65.00,2006,boulder,MEN
4,5,Gaidioz,Loïc,FRA,281.00,16. 20.00,16. (20.00),10. 34.00,2. 80.00,9. 37.00,4. 55.00,4. 55.00,2006,boulder,MEN
5,6,Mrázek,Tomás,CZE,279.00,5. 51.00,4. 55.00,3. 65.00,7. 43.00,3. 65.00,,,2006,boulder,MEN
6,7,Julien,Stephane,FRA,230.00,10. 34.00,8. 40.00,5. 51.00,19. 14.00,8. 40.00,23. (8.00),5. 51.00,2006,boulder,MEN
7,8,Oleksy,Tomasz,POL,219.00,3. 65.00,15. 22.00,19. 14.00,14. 24.00,5. 51.00,7. 43.00,26. (5.00),2006,boulder,MEN
8,9,Earl,Andrew,GBR,202.00,14. 24.00,13. 26.00,8. 40.00,9. 37.00,,12. 28.00,6. 47.00,2006,boulder,MEN
9,10,Müller,Matthias,SUI,161.00,24. 7.00,,,17. 18.00,18. 16.00,2. 80.00,8. 40.00,2006,boulder,MEN
10,11,Rakhmetov,Salavat,RUS,127.00,2. 80.00,,,,,6. 47.00,,2006,boulder,MEN
11,12,Baumann,Jonas,GER,120.00,12. 28.00,12. 28.00,14. 24.00,25. 6.00,,14. 24.00,21. 10.00,2006,boulder,MEN
12,13,Parry,Gareth,GBR,113.00,18. 16.00,18. 16.00,13. 26.00,,14. 24.00,24. 7.00,14. 24.00,2006,boulder,MEN
13,14,Borowka,Andre,GER,108.00,25. 6.00,10. 34.00,16. 20.00,,,16. 20.00,12. 28.00,2006,boulder,MEN
14,15,Badia,Nicolas,FRA,102.00,9. 37.00,20. 12.00,,26. 5.00,19. 14.00,,10. 34.00,2006,boulder,MEN
15,16,Lama,David,AUT,100.00,,1. 100.00,,,,,,2006,boulder,MEN
16,17,Caminati,Michele,ITA,97.00,,,6. 47.00,12. 28.00,15. 22.00,,,2006,boulder,MEN
17,18,Gelmanov,Rustam,RUS,96.00,,22. 9.00,22. 9.00,6. 47.00,,11. 31.00,,2006,boulder,MEN
18,18,Glairon Mondet,Guillaume,FRA,96.00,,25. 6.00,,4. 55.00,13. 26.00,,22. 9.00,2006,boulder,MEN
19,20,Samyn,Remi,FRA,87.00,,23. 8.00,,8. 40.00,24. 7.00,19. 14.00,17. 18.00,2006,boulder,MEN
20,21,Verhoeven,Jorg,NED,85.00,,5. 51.00,,,10. 34.00,,,2006,boulder,MEN
21,22,Moroni,Gabriele,ITA,84.00,,,,24. 7.00,,5. 51.00,13. 26.00,2006,boulder,MEN
22,23,Sharafutdinov,Dmitrii,RUS,83.00,7. 43.00,,,,,8. 40.00,,2006,boulder,MEN
23,24,Borowka,Karsten,GER,82.00,,26. 5.00,24. 7.00,15. 22.00,25. 6.00,15. 22.00,16. 20.00,2006,boulder,MEN
24,25,Preti,Lucas,ITA,77.00,,6. 47.00,23. 8.00,27. 4.00,17. 18.00,,,2006,boulder,MEN
25,26,Jongeneelen,Wouter,NED,76.00,4. 55.00,30. 1.00,,20. 12.00,23. 8.00,,,2006,boulder,MEN
26,27,McColl,Sean,CAN,63.00,,,9. 37.00,13. 26.00,,,,2006,boulder,MEN
27,28,Thomassin,Matthieu,FRA,55.00,,,,23. 8.00,6. 47.00,,,2006,boulder,MEN
28,29,Jalmain,Sebastien,FRA,54.00,,,,18. 16.00,30. 1.00,,9. 37.00,2006,boulder,MEN
29,30,Ghidini,Stefano,ITA,51.00,,,11. 31.00,,16. 20.00,,,2006,boulder,MEN
30,30,Laurence,Ludovic,FRA,51.00,,,,,29. 2.00,17. 18.00,11. 31.00,2006,boulder,MEN
31,32,Dutray,Mathieu,FRA,48.00,,29. 2.00,26. 5.00,21. 10.00,26. 5.00,21. 10.00,18. 16.00,2006,boulder,MEN
32,33,Kim,Jabee,KOR,46.00,,7. 43.00,28. 3.00,,,,,2006,boulder,MEN
33,34,Kleshnov,Stanislav,UKR,44.00,17. 18.00,,,,,13. 26.00,,2006,boulder,MEN
34,35,Ennemoser,Lukas,AUT,38.00,,21. 10.00,12. 28.00,,,,,2006,boulder,MEN
35,36,Calibani,Mauro,ITA,31.00,,,,,11. 31.00,,,2006,boulder,MEN
36,36,Chernikov,Mikhail,RUS,31.00,11. 31.00,,,,,,,2006,boulder,MEN
37,36,Lachat,Cédric,SUI,31.00,,,,11. 31.00,,,,2006,boulder,MEN
38,39,Pasquill,Ryan,GBR,29.00,,24. 7.00,,,,,15. 22.00,2006,boulder,MEN
39,39,Sommer,Remo,SUI,29.00,,28. 3.00,29. 2.00,16. 20.00,27. 4.00,,,2006,boulder,MEN
40,41,Moosburger,Emanuel,AUT,28.00,,14. 24.00,30. 1.00,28. 3.00,,,,2006,boulder,MEN
41,41,Woods,Daniel,USA,28.00,,,,,12. 28.00,,,2006,boulder,MEN
42,43,Shalagin,Mykhaylo,UKR,26.00,13. 26.00,,,,,,,2006,boulder,MEN
43,44,Barrans,David,GBR,25.00,22. 9.00,,18. 16.00,,,,,2006,boulder,MEN
44,44,Watson,Stewart,GBR,25.00,,,15. 22.00,,,,28. 3.00,2006,boulder,MEN
45,46,Pekarev,Mikhail,RUS,22.00,15. 22.00,,,,,,,2006,boulder,MEN
46,47,Chrastina,Andrej,SVK,18.00,,,17. 18.00,,,,,2006,boulder,MEN
47,47,Watanabe,Kazuma,JPN,18.00,,17. 18.00,,,,,,2006,boulder,MEN
48,49,Croxall,Mark,GBR,16.00,26. 5.00,,,,27. 4.00,,24. 7.00,2006,boulder,MEN
49,49,Hukkataival,Nalle,FIN,16.00,,,,,,18. 16.00,,2006,boulder,MEN
50,51,Pryce,Alan,AUS,14.00,,,,,,,19. 14.00,2006,boulder,MEN
51,51,Samyn,Florent,FRA,14.00,,19. 14.00,,,,,,2006,boulder,MEN
52,51,Schulte,Ferdinand,NED,14.00,19. 14.00,,,,,,,2006,boulder,MEN
53,54,Sugden,Tom,GBR,13.00,,,,,22. 9.00,,27. 4.00,2006,boulder,MEN
54,55,Dolezaj,Peter,SVK,12.00,,,20. 12.00,,,,,2006,boulder,MEN
55,55,Klancnik,Rok,SLO,12.00,20. 12.00,,,,,,,2006,boulder,MEN
56,55,Leoncini,Paolo,ITA,12.00,,,,,20. 12.00,,,2006,boulder,MEN
57,55,Marin Garcia,Eduard,ESP,12.00,,,,,,,20. 12.00,2006,boulder,MEN
58,55,Würth,Peter,GER,12.00,,,,,,20. 12.00,,2006,boulder,MEN
59,60,Hemund,Kevin,SUI,11.00,,,,22. 9.00,,29. 2.00,,2006,boulder,MEN
