,Rank,Name,Name.1,Nation,Points,Kranj (L) 18.11.2006,Penne (L) 11.11.2006,Shanghai (L+S) 02.10.2006,Marbella (L) 16.09.2006,Kuala Lumpur (L+S) 12.08.2006,Singapore (L+S) 05.08.2006,Qinghai (L) 29.07.2006,Chamonix (L+S) 12.07.2006,Dresden (L+S) 19.05.2006,Puurs (L) 28.04.2006,2006,event,gender
0,1,Usobiaga Lakunza,Patxi,ESP,619.00,4. 55.00,2. 80.00,2. 80.00,1. 100.00,3. 65.00,2. 80.00,5. 51.00,2. 80.00,12. 28.00,24. (7.00),2006,lead,MEN
1,2,Lama,David,AUT,548.00,1. 100.00,1. 100.00,6. 47.00,6. 47.00,,9. 37.00,,9. 37.00,1. 100.00,2. 80.00,2006,lead,MEN
2,3,Crespi,Flavio,ITA,533.00,13. (26.00),3. 65.00,8. 40.00,2. 80.00,4. 55.00,4. 55.00,4. 55.00,7. 43.00,8. 40.00,1. 100.00,2006,lead,MEN
3,3,Mrázek,Tomás,CZE,533.00,13. (26.00),3. 65.00,1. 100.00,5. 51.00,6. 47.00,10. 34.00,3. 65.00,5. 51.00,4. 55.00,3. 65.00,2006,lead,MEN
4,5,Julian Puigblanque,Ramón,ESP,528.00,5. 51.00,3. 65.00,4. 55.00,4. 55.00,20. 12.00,1. 100.00,1. 100.00,6. 47.00,22. (9.00),7. 43.00,2006,lead,MEN
5,6,Verhoeven,Jorg,NED,524.00,3. 65.00,6. 47.00,4. 55.00,3. 65.00,9. 37.00,,2. 80.00,4. 55.00,3. 65.00,4. 55.00,2006,lead,MEN
6,7,Marin Garcia,Eduard,ESP,452.00,7. 43.00,8. 40.00,3. 65.00,12. 28.00,8. 40.00,3. 65.00,7. 43.00,1. 100.00,16. (20.00),12. 28.00,2006,lead,MEN
7,8,Lachat,Cédric,SUI,386.00,2. 80.00,7. 43.00,,8. 40.00,,5. 51.00,10. 34.00,3. 65.00,13. 26.00,6. 47.00,2006,lead,MEN
8,9,Millet,Sylvain,FRA,357.00,13. 26.00,11. 31.00,10. 34.00,10. 34.00,11. 31.00,6. 47.00,8. 40.00,21. (10.00),2. 80.00,10. 34.00,2006,lead,MEN
9,10,Winkler,Daniel,SUI,316.00,10. 34.00,14. 24.00,,16. 20.00,2. 80.00,13. 26.00,6. 47.00,14. 24.00,14. 24.00,9. 37.00,2006,lead,MEN
10,11,Preußler,Timo,GER,248.00,,,9. 37.00,17. 18.00,1. 100.00,12. 28.00,12. 28.00,,9. 37.00,,2006,lead,MEN
11,12,Bindhammer,Christian,GER,214.00,12. 28.00,14. 24.00,,12. 28.00,7. 43.00,11. 31.00,,10. 34.00,,13. 26.00,2006,lead,MEN
12,13,Fuselier,Michaël,FRA,213.00,,13. 26.00,,21. 10.00,5. 51.00,7. 43.00,11. 31.00,,6. 47.00,26. 5.00,2006,lead,MEN
13,14,Dugit,Fabien,FRA,173.00,,,,22. 9.00,10. 34.00,28. 3.00,18. 16.00,12. 28.00,7. 43.00,8. 40.00,2006,lead,MEN
14,15,Zardini,Luca,ITA,168.00,8. 40.00,9. 37.00,,11. 31.00,,,,,22. 9.00,5. 51.00,2006,lead,MEN
15,16,Becan,Klemen,SLO,155.00,,23. 8.00,17. 18.00,19. 14.00,,14. 24.00,9. 37.00,8. 40.00,19. 14.00,,2006,lead,MEN
16,17,Midtboe,Magnus,NOR,138.00,16. 20.00,10. 34.00,11. 31.00,12. 28.00,,,,18. 16.00,22. 9.00,,2006,lead,MEN
17,18,Amma,Sachi,JPN,122.00,,,,7. 43.00,,8. 40.00,,26. 5.00,10. 34.00,,2006,lead,MEN
18,19,Mogaki,Keita,JPN,119.00,,,12. 28.00,28. 3.00,13. 26.00,15. 22.00,,15. 22.00,17. 18.00,,2006,lead,MEN
19,20,McColl,Sean,CAN,84.00,9. 37.00,18. 16.00,,,,,,11. 31.00,,,2006,lead,MEN
20,21,Hirayama,Yuji,JPN,80.00,,,7. 43.00,9. 37.00,,,,,,,2006,lead,MEN
21,22,Stranik,Martin,CZE,72.00,11. 31.00,,,,,,,,21. 10.00,11. 31.00,2006,lead,MEN
22,23,Fischhuber,Kilian,AUT,71.00,6. 47.00,14. 24.00,,,,,,,,,2006,lead,MEN
23,24,Desgranges,Romain,FRA,66.00,,29. 2.00,15. 22.00,,,,,17. 18.00,,14. 24.00,2006,lead,MEN
24,25,Sova,Matej,SLO,62.00,17. 18.00,24. 7.00,,25. 6.00,,24. 7.00,22. 9.00,,30. 1.00,19. 14.00,2006,lead,MEN
25,26,Reis,Jürgen,AUT,58.00,24. 7.00,,,15. 22.00,,23. 8.00,19. 14.00,28. 3.00,,27. 4.00,2006,lead,MEN
26,27,Hoppe,Markus,GER,57.00,,,,,,,,,5. 51.00,25. 6.00,2006,lead,MEN
27,28,Cao,Rongwu,CHN,47.00,,,15. 22.00,,,26. 5.00,16. 20.00,,,,2006,lead,MEN
28,28,Droetto,Fabrizio,ITA,47.00,19. 14.00,12. 28.00,,,,,,,26. 5.00,,2006,lead,MEN
29,30,Liu,Changzhong,CHN,44.00,,,17. 18.00,,,,13. 26.00,,,,2006,lead,MEN
30,30,Park,Jihwan,KOR,44.00,,,,,12. 28.00,18. 16.00,,,,,2006,lead,MEN
31,32,Kaurov,Ivan,RUS,41.00,,,13. 26.00,20. 12.00,,,,28. 3.00,,,2006,lead,MEN
32,33,Norgaard,Rasmus,DEN,40.00,,,,,18. 16.00,,14. 24.00,,,,2006,lead,MEN
33,34,Chu,Ka-Wai,HKG,39.00,,,17. 18.00,,21. 10.00,30. 1.00,21. 10.00,,,,2006,lead,MEN
34,35,Bindhammer,Andreas,GER,35.00,,,,,26. 5.00,16. 20.00,,,,21. 10.00,2006,lead,MEN
35,36,Bokhari,Hafzanizam,MAS,34.00,,,,,14. 24.00,21. 10.00,,,,,2006,lead,MEN
36,36,Caude,David,FRA,34.00,22. 9.00,22. 9.00,,18. 16.00,,,,,,,2006,lead,MEN
37,36,Hequin,Olivier,FRA,34.00,,27. 4.00,,26. 5.00,,,,24. 7.00,,17. 18.00,2006,lead,MEN
38,36,Lagni,Bernardino,ITA,34.00,,,,,,,,25. 6.00,25. 6.00,15. 22.00,2006,lead,MEN
39,36,Tsuiki,Takaaki,JPN,34.00,,,,,23. 8.00,19. 14.00,,,20. 12.00,,2006,lead,MEN
40,41,Neumärker,Felix,GER,33.00,,,,,,,,,14. 24.00,22. 9.00,2006,lead,MEN
41,42,Dugit,Stephane,FRA,32.00,,20. 12.00,,,,,,,27. 4.00,18. 16.00,2006,lead,MEN
42,42,Van der Werf,Roman,NED,32.00,20. 12.00,,,,,,,,,16. 20.00,2006,lead,MEN
43,44,Borowka,Andre,GER,31.00,,,,,,,,,11. 31.00,,2006,lead,MEN
44,45,Park,Hee Yong,KOR,27.00,,,,,22. 9.00,17. 18.00,,,,,2006,lead,MEN
45,46,Hori,Tsukuru,JPN,26.00,,,13. 26.00,,,,,,,,2006,lead,MEN
46,46,Terentiev,Serguei,RUS,26.00,,,,,,,,13. 26.00,,,2006,lead,MEN
47,48,Romain,Manuel,FRA,25.00,,26. 5.00,,,,,,16. 20.00,,,2006,lead,MEN
48,48,Ten Sijthoff,Casper,NED,25.00,21. 10.00,,,24. 7.00,,,,,,23. 8.00,2006,lead,MEN
49,50,Amri,Amri,INA,22.00,,,,,15. 22.00,,,,,,2006,lead,MEN
50,50,Kim,Janghyuk,KOR,22.00,,,,,,,15. 22.00,,,,2006,lead,MEN
51,52,Kartiko,Bondan,INA,21.00,,,,,16. 20.00,30. 1.00,,,,,2006,lead,MEN
52,53,Ponti,Hardianto,INA,19.00,,,,,17. 18.00,30. 1.00,,,,,2006,lead,MEN
53,54,Comina,Fabien,FRA,18.00,,17. 18.00,,,,,,,,,2006,lead,MEN
54,54,Jaggi,Martin,SUI,18.00,,19. 14.00,,,,,,28. 3.00,,30. 1.00,2006,lead,MEN
55,54,Lee,Jae-Yong,KOR,18.00,,,,,,,17. 18.00,,,,2006,lead,MEN
56,57,Cai,LuYuan,CHN,17.00,,,21. 10.00,,,,24. 7.00,,,,2006,lead,MEN
57,57,Ye,Xiangyang,CHN,17.00,,,20. 12.00,,,,26. 5.00,,,,2006,lead,MEN
58,59,De Girolamo,Vincent,FRA,16.00,,,,,,,,,18. 16.00,,2006,lead,MEN
59,59,Kuess,Mario,AUT,16.00,18. 16.00,,,,,,,,,,2006,lead,MEN
60,61,Högström,Magnus,SWE,15.00,28. 3.00,,,,,,,,,20. 12.00,2006,lead,MEN
61,62,Lopez,Emmanuel,FRA,14.00,,,,,,,,19. 14.00,,,2006,lead,MEN
62,62,Schmid,Thomas,SUI,14.00,,,,,,,,19. 14.00,,,2006,lead,MEN
63,62,Shafiee,Zul Fadzli,MAS,14.00,,,,,19. 14.00,,,,,,2006,lead,MEN
64,65,Ito,Hidekazu,JPN,13.00,,,,,30. 1.00,20. 12.00,,,,,2006,lead,MEN
65,66,Kim,Jabee,KOR,12.00,,,,,,,20. 12.00,,,,2006,lead,MEN
66,66,Lu,Xiaolong,CHN,12.00,,,22. 9.00,,,,28. 3.00,,,,2006,lead,MEN
67,66,Pekarev,Mikhail,RUS,12.00,28. 3.00,27. 4.00,,,,,,26. 5.00,,,2006,lead,MEN
68,66,Yusuf,Zulkarnaen,INA,12.00,,,,,25. 6.00,25. 6.00,,,,,2006,lead,MEN
69,70,Kryukov,Valeriy,UKR,11.00,23. 8.00,,,,,,,,28. 3.00,,2006,lead,MEN
70,71,Guerimand,Flavien,FRA,10.00,,21. 10.00,,,,,,,,,2006,lead,MEN
71,72,Watanabe,Kazuma,JPN,9.00,,,,,,22. 9.00,,,,,2006,lead,MEN
72,72,Zemski,Alexei,RUS,9.00,,,,,,,,22. 9.00,,,2006,lead,MEN
73,74,Gogol,Mikhail,RUS,8.00,,,,,,,,23. 8.00,,,2006,lead,MEN
74,74,Kim,Dae Yeob,KOR,8.00,,,,23. 8.00,,,,,,,2006,lead,MEN
75,74,Kim,Jaha,KOR,8.00,,,,,,,23. 8.00,,,,2006,lead,MEN
76,74,Mohd Irwan,Mohd Hussain,SGP,8.00,,,,,24. 7.00,30. 1.00,,,,,2006,lead,MEN
77,78,Fujieda,Kunihiro,JPN,6.00,,,,,,,25. 6.00,,,,2006,lead,MEN
78,78,Jubes Angarita,Marco Antonio,ESP,6.00,,,,27. 4.00,,,,,,29. 2.00,2006,lead,MEN
79,78,Pintar,Matevz,SLO,6.00,,25. 6.00,,,,,,,,,2006,lead,MEN
80,78,Wagner,Roland,AUT,6.00,25. 6.00,,,,,,,,,,2006,lead,MEN
81,78,Wszolek,Marcin,POL,6.00,,,,,,,,,29. 2.00,27. 4.00,2006,lead,MEN
82,83,Chang,Yeu-Shiang,TPE,5.00,,,,,,30. 1.00,27. 4.00,,,,2006,lead,MEN
83,83,Shoprin,Alexander,RUS,5.00,26. 5.00,,,,,,,,,,2006,lead,MEN
84,85,Abu Hassan,Khairul Hafiz,MAS,4.00,,,,,27. 4.00,,,,,,2006,lead,MEN
85,85,Cheng,Chao-Chun,TPE,4.00,,,,,,29. 2.00,29. 2.00,,,,2006,lead,MEN
86,85,Jung,Markus,GER,4.00,27. 4.00,,,,,,,,,,2006,lead,MEN
87,85,Mamarimbing,Ronald,INA,4.00,,,,,,27. 4.00,,,,,2006,lead,MEN
88,89,Carlsson,Erik,SWE,3.00,28. 3.00,,,,,,,,,,2006,lead,MEN
89,89,Gusak,Igor,UKR,3.00,,,,,,,,28. 3.00,,,2006,lead,MEN
90,89,Leong,Chee Hoi,SGP,3.00,,,,,28. 3.00,,,,,,2006,lead,MEN
91,89,Neyer,Thomas,AUT,3.00,,,,,,,,28. 3.00,,,2006,lead,MEN
92,89,Ozawa,Shinta,JPN,3.00,,,,28. 3.00,,,,,,,2006,lead,MEN
93,89,Shalagin,Mykhaylo,UKR,3.00,,,,,,,,28. 3.00,,,2006,lead,MEN
94,89,Solovey,Igor,UKR,3.00,,,,28. 3.00,,,,,,,2006,lead,MEN
95,96,Gambaro,Matteo,ITA,2.00,,29. 2.00,,,,,,,,,2006,lead,MEN
96,96,Roslan,Mohd Redha,MAS,2.00,,,,,29. 2.00,,,,,,2006,lead,MEN
97,98,Nurmansyah,Putra Kahir,INA,1.00,,,,,,30. 1.00,,,,,2006,lead,MEN
98,98,Wang,Qinghua,CHN,1.00,,,,,,,30. 1.00,,,,2006,lead,MEN
99,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,9 (=10-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,2006,lead,MEN
