,Rank,Name,Name.1,Nation,Points,Moscow (B+S) 02.11.2006,Shanghai (L+S) 02.10.2006,Kuala Lumpur (L+S) 12.08.2006,Singapore (L+S) 05.08.2006,Daone (S) 29.07.2006,Chamonix (L+S) 12.07.2006,Dresden (L+S) 19.05.2006,Veliko Tarnovo (B+S) 21.04.2006,2006,event,gender
0,1,Vaitsekhovskii,Evgenii,RUS,585.00,,8. 40.00,1. 100.00,1. 100.00,2. 80.00,1. 100.00,1. 100.00,3. 65.00,2006,speed,MEN
1,2,Sinitcyn,Sergei,RUS,515.00,2. 80.00,1. 100.00,,,1. 100.00,4. 55.00,2. 80.00,1. 100.00,2006,speed,MEN
2,3,Peshekhonov,Alexander,RUS,424.00,8. 40.00,5. 51.00,7. 43.00,11. (31.00),3. 65.00,2. 80.00,3. 65.00,2. 80.00,2006,speed,MEN
3,4,Escobar,Manuel,VEN,312.00,1. 100.00,9. 37.00,5. 51.00,9. 37.00,6. 47.00,8. 40.00,,,2006,speed,MEN
4,5,Oleksy,Tomasz,POL,264.00,10. 34.00,7. 43.00,,,4. 55.00,7. 43.00,4. 55.00,10. 34.00,2006,speed,MEN
5,6,Kosterin,Alexander,RUS,235.00,,,12. 28.00,6. 47.00,8. 40.00,3. 65.00,,4. 55.00,2006,speed,MEN
6,7,Carvajal,Nestor,VEN,187.00,15. 22.00,10. 34.00,6. 47.00,15. 22.00,11. 31.00,11. 31.00,,,2006,speed,MEN
7,8,Komondi,Csaba,HUN,185.00,,,8. 40.00,7. 43.00,,12. 28.00,7. 43.00,11. 31.00,2006,speed,MEN
8,9,Hroza,Libor,CZE,177.00,,,,,5. 51.00,5. 51.00,6. 47.00,12. 28.00,2006,speed,MEN
9,10,Rozak,Erianto,INA,160.00,,,2. 80.00,2. 80.00,,,,,2006,speed,MEN
10,11,Lai,Chi-Wai,HKG,114.00,,13. 26.00,9. 37.00,5. 51.00,,,,,2006,speed,MEN
11,12,Chapelle,Sylvain,FRA,110.00,13. 26.00,,,,,6. 47.00,9. 37.00,,2006,speed,MEN
12,13,Muhd,Zaki bin Ramli,SGP,99.00,,,3. 65.00,10. 34.00,,,,,2006,speed,MEN
13,14,Wahid,Syafiq Utama Abdul,SGP,95.00,,,4. 55.00,8. 40.00,,,,,2006,speed,MEN
14,15,Skripov,Anatoly,RUS,94.00,7. 43.00,,,,,,,5. 51.00,2006,speed,MEN
15,16,De Las Salas,Leonel,VEN,87.00,,,21. 10.00,14. 24.00,9. 37.00,18. 16.00,,,2006,speed,MEN
16,17,Ma,Hetai,CHN,80.00,,2. 80.00,,,,,,,2006,speed,MEN
17,18,Kaurov,Ivan,RUS,78.00,18. 16.00,12. 28.00,,,,10. 34.00,,,2006,speed,MEN
18,19,Sharafutdinov,Dmitrii,RUS,77.00,9. 37.00,,,,,,,8. 40.00,2006,speed,MEN
19,20,Asmoro,Galar Pandu,INA,65.00,,,,3. 65.00,,,,,2006,speed,MEN
