,Rank,Name,Name.1,Nation,Points,Moscow (B+S) 02.11.2006,Hall (B) 23.06.2006,Fiera di Primiero(B) 16.06.2006,Grindelwald (B) 09.06.2006,Rovereto (B) 12.05.2006,Veliko Tarnovo (B+S) 21.04.2006,Birmingham (B) 17.03.2006,2006,event,gender
0,1,Bibik,Olga,RUS,472.00,4. 55.00,1. 100.00,9. 37.00,13. (26.00),2. 80.00,1. 100.00,1. 100.00,2006,boulder,WOMEN
1,2,Danion,Juliette,FRA,409.00,26. (5.00),3. 65.00,1. 100.00,14. 24.00,1. 100.00,4. 55.00,3. 65.00,2006,boulder,WOMEN
2,3,Stöhr,Anna,AUT,386.00,11. 31.00,4. 55.00,2. 80.00,1. 100.00,,3. 65.00,4. 55.00,2006,boulder,WOMEN
3,4,Abramchuk,Yulia,RUS,381.00,1. 100.00,2. 80.00,3. 65.00,4. 55.00,,6. 47.00,10. 34.00,2006,boulder,WOMEN
4,5,Abgrall,Emilie,FRA,281.00,27. 4.00,12. 28.00,4. 55.00,2. 80.00,10. 34.00,,2. 80.00,2006,boulder,WOMEN
5,6,Graftiaux,Chloé,BEL,255.00,14. 24.00,5. 51.00,5. 51.00,11. 31.00,6. 47.00,16. (20.00),5. 51.00,2006,boulder,WOMEN
6,7,Son,Mélanie,FRA,239.00,22. (9.00),8. 40.00,7. 43.00,9. 37.00,4. 55.00,14. 24.00,8. 40.00,2006,boulder,WOMEN
7,8,Hodann,Anja,SWE,214.00,23. (8.00),7. 43.00,19. 14.00,3. 65.00,17. 18.00,9. 37.00,9. 37.00,2006,boulder,WOMEN
8,9,Bacher,Barbara,AUT,206.00,13. 26.00,13. 26.00,15. (22.00),8. 40.00,11. 31.00,8. 40.00,7. 43.00,2006,boulder,WOMEN
9,10,Shalagina,Olga,UKR,160.00,2. 80.00,,,,,2. 80.00,,2006,boulder,WOMEN
10,11,Lipenska,Helena,CZE,158.00,17. 18.00,17. 18.00,10. 34.00,5. 51.00,9. 37.00,,,2006,boulder,WOMEN
11,12,Harmand,Ludivine,FRA,157.00,,9. 37.00,26. 5.00,12. 28.00,16. 20.00,7. 43.00,14. 24.00,2006,boulder,WOMEN
12,13,Seguy,Audrey,GBR,153.00,24. 7.00,6. 47.00,6. 47.00,19. 14.00,18. 16.00,,15. 22.00,2006,boulder,WOMEN
13,14,Ansade,Maud,FRA,151.00,5. 51.00,21. 10.00,,16. 20.00,21. 10.00,10. 34.00,13. 26.00,2006,boulder,WOMEN
14,15,Eiter,Angela,AUT,147.00,,14. 24.00,24. 7.00,,3. 65.00,5. 51.00,,2006,boulder,WOMEN
15,16,Gros,Natalija,SLO,145.00,3. 65.00,,8. 40.00,,8. 40.00,,,2006,boulder,WOMEN
16,17,Combaz,Celine,FRA,132.00,,25. 6.00,14. 24.00,21. 10.00,19. 14.00,11. 31.00,6. 47.00,2006,boulder,WOMEN
17,18,Bezhko,Olga,UKR,117.00,8. 40.00,,,,5. 51.00,13. 26.00,,2006,boulder,WOMEN
18,19,Bacher,Sabine,AUT,116.00,,19. 14.00,11. 31.00,7. 43.00,,,12. 28.00,2006,boulder,WOMEN
19,20,Rajfova,Silvie,CZE,103.00,15. 22.00,15. 22.00,18. 16.00,,7. 43.00,,,2006,boulder,WOMEN
20,21,Vidmar,Katja,SLO,92.00,10. 34.00,18. 16.00,16. 20.00,,15. 22.00,,,2006,boulder,WOMEN
21,22,Alekseeva,Kseniia,RUS,83.00,9. 37.00,,20. 12.00,10. 34.00,,,,2006,boulder,WOMEN
22,23,Berry,Samantha,AUS,72.00,,16. 20.00,21. 10.00,15. 22.00,,,16. 20.00,2006,boulder,WOMEN
23,24,Tuzhylina,Svitlana,UKR,71.00,7. 43.00,,,,,12. 28.00,,2006,boulder,WOMEN
24,25,De Grandi,Stefania,ITA,65.00,,11. 31.00,23. 8.00,17. 18.00,23. 8.00,,,2006,boulder,WOMEN
25,26,Lind,Angelica,SWE,54.00,21. 10.00,,22. 9.00,20. 12.00,27. 4.00,22. 9.00,21. 10.00,2006,boulder,WOMEN
26,27,Shemulinkina,Tatiana,RUS,50.00,12. 28.00,,,,,15. 22.00,,2006,boulder,WOMEN
27,28,Arch,Nina,AUT,48.00,,,,23. 8.00,25. 6.00,18. 16.00,17. 18.00,2006,boulder,WOMEN
28,28,Perlova,Nataliya,UKR,48.00,16. 20.00,,,,12. 28.00,,,2006,boulder,WOMEN
29,30,Chereshneva,Yana,RUS,47.00,6. 47.00,,,,,,,2006,boulder,WOMEN
30,30,Sarkany,Muriel,BEL,47.00,,,,6. 47.00,,,,2006,boulder,WOMEN
31,32,Ciret,Colette,FRA,46.00,,10. 34.00,,,20. 12.00,,,2006,boulder,WOMEN
32,33,Bedard,Christina,AUS,31.00,,,,,,,11. 31.00,2006,boulder,WOMEN
33,33,Cufar,Martina,SLO,31.00,,,11. 31.00,,,,,2006,boulder,WOMEN
34,35,Aguirre,Leire,ESP,29.00,,30. 1.00,,27. 4.00,14. 24.00,,,2006,boulder,WOMEN
35,36,KIM,Jain,KOR,27.00,,22. 9.00,17. 18.00,,,,,2006,boulder,WOMEN
36,37,Lavarda,Jenny,ITA,26.00,,,,,13. 26.00,,,2006,boulder,WOMEN
37,37,Vidmar,Maja,SLO,26.00,,,13. 26.00,,,,,2006,boulder,WOMEN
38,39,Mills,Katherine,GBR,19.00,,,,28. 3.00,29. 2.00,,19. 14.00,2006,boulder,WOMEN
39,40,Saulevich,Olesya,RUS,18.00,,,,,,17. 18.00,,2006,boulder,WOMEN
40,41,Smith-Gobat,Mayan,NZL,17.00,,26. 5.00,28. 3.00,22. 9.00,,,,2006,boulder,WOMEN
41,42,Caprez,Nina,SUI,16.00,,,,18. 16.00,,,,2006,boulder,WOMEN
42,42,Gallyamova,Anna,RUS,16.00,18. 16.00,,,,,,,2006,boulder,WOMEN
43,42,Januel,Caroline,FRA,16.00,,,,,,,18. 16.00,2006,boulder,WOMEN
44,42,Verdier,Emilie,FRA,16.00,,,,25. 6.00,21. 10.00,,,2006,boulder,WOMEN
45,46,Agafonova,Maria,RUS,14.00,19. 14.00,,,,,,,2006,boulder,WOMEN
46,46,Nedyalkova,Spasina,BUL,14.00,,,,,,19. 14.00,,2006,boulder,WOMEN
47,46,Zijlstra,Vera,NED,14.00,25. 6.00,,,23. 8.00,,,,2006,boulder,WOMEN
48,49,Balakireva,Alexandra,RUS,12.00,20. 12.00,,,,,,,2006,boulder,WOMEN
49,49,Cintalova,Zuzana,SVK,12.00,,20. 12.00,,,,,,2006,boulder,WOMEN
50,49,Garbova,Petya,BUL,12.00,,,,,,20. 12.00,,2006,boulder,WOMEN
51,49,Marchisio,Stella,ITA,12.00,,,,,,,20. 12.00,2006,boulder,WOMEN
52,53,Ropek,Edyta,POL,10.00,,,,,,21. 10.00,,2006,boulder,WOMEN
53,53,Seymour,Rachel,GBR,10.00,,,29. 2.00,,,,23. 8.00,2006,boulder,WOMEN
54,55,Twyford,Emma,GBR,9.00,,,,,,,22. 9.00,2006,boulder,WOMEN
55,56,Dzhambazova,Ina,BUL,8.00,,,,,,23. 8.00,,2006,boulder,WOMEN
56,56,Saurwein,Katharina,AUT,8.00,,23. 8.00,,,,,,2006,boulder,WOMEN
57,58,Bariani,Irene,ITA,7.00,,24. 7.00,,,,,,2006,boulder,WOMEN
58,58,Battaglia,Claudia,ITA,7.00,,,,,24. 7.00,,,2006,boulder,WOMEN
59,58,Cusa,Marine,FRA,7.00,,,,,,,24. 7.00,2006,boulder,WOMEN
60,58,Georgieva,Maria,BUL,7.00,,,,,,24. 7.00,,2006,boulder,WOMEN
61,62,Kean,Helen,GBR,6.00,,,,,,,25. 6.00,2006,boulder,WOMEN
62,62,Morandi,Sara,ITA,6.00,,29. 2.00,27. 4.00,,,,,2006,boulder,WOMEN
63,62,Winter,Julia,GER,6.00,,,25. 6.00,,,,,2006,boulder,WOMEN
64,65,Buys,Naomi,GBR,5.00,,,,,,,26. 5.00,2006,boulder,WOMEN
65,65,Longo,Roberta,ITA,5.00,,,30. 1.00,,27. 4.00,,,2006,boulder,WOMEN
66,65,Schmid,Christina,SUI,5.00,,,,26. 5.00,,,,2006,boulder,WOMEN
67,65,Zulim,Tamara,CRO,5.00,,,,,26. 5.00,,,2006,boulder,WOMEN
68,69,Boavida,Isabel,POR,4.00,,,,,,,27. 4.00,2006,boulder,WOMEN
69,69,Harnisch,Martina,AUT,4.00,,27. 4.00,,,,,,2006,boulder,WOMEN
70,71,Correia,Marisa,POR,3.00,,,,,,,28. 3.00,2006,boulder,WOMEN
71,71,Leshchenko,Valeriya,UKR,3.00,28. 3.00,,,,,,,2006,boulder,WOMEN
72,71,Ogawa,Tomoko,JPN,3.00,,28. 3.00,,,,,,2006,boulder,WOMEN
73,74,Hawke,Emma,NZL,2.00,,,,29. 2.00,,,,2006,boulder,WOMEN
74,75,Cintalova,Katarina,SVK,1.00,,30. 1.00,,,,,,2006,boulder,WOMEN
