,Rank,Name,Name.1,Nation,Points,Kranj (L) 18.11.2006,Penne (L) 11.11.2006,Shanghai (L+S) 02.10.2006,Marbella (L) 16.09.2006,Kuala Lumpur (L+S) 12.08.2006,Singapore (L+S) 05.08.2006,Qinghai (L) 29.07.2006,Chamonix (L+S) 12.07.2006,Dresden (L+S) 19.05.2006,Puurs (L) 28.04.2006,2006,event,gender
0,1,Eiter,Angela,AUT,845.00,2. 80.00,1. 100.00,9. (37.00),1. 100.00,3. 65.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,1. 100.00,2006,lead,WOMEN
1,2,Levet,Sandrine,FRA,655.00,4. 55.00,3. 65.00,1. 100.00,4. 55.00,1. 100.00,4. 55.00,3. 65.00,7. (43.00),2. 80.00,2. 80.00,2006,lead,WOMEN
2,3,Ciavaldini,Caroline,FRA,573.00,10. (34.00),2. 80.00,2. 80.00,6. 47.00,5. 51.00,3. 65.00,7. 43.00,2. 80.00,6. 47.00,2. 80.00,2006,lead,WOMEN
3,4,Vidmar,Maja,SLO,561.00,1. 100.00,5. 51.00,5. 51.00,3. 65.00,4. 55.00,2. 80.00,3. 65.00,6. 47.00,13. (26.00),6. 47.00,2006,lead,WOMEN
4,5,Gros,Natalija,SLO,559.00,3. 65.00,4. 55.00,6. 47.00,2. 80.00,2. 80.00,6. 47.00,3. 65.00,3. 65.00,4. 55.00,8. (40.00),2006,lead,WOMEN
5,6,Markovic,Mina,SLO,407.00,7. 43.00,6. 47.00,3. 65.00,20. 12.00,7. 43.00,7. 43.00,2. 80.00,27. (4.00),9. 37.00,9. 37.00,2006,lead,WOMEN
6,7,Durif,Charlotte,FRA,395.00,5. 51.00,22. (9.00),8. 40.00,8. 40.00,6. 47.00,12. 28.00,6. 47.00,5. 51.00,8. 40.00,5. 51.00,2006,lead,WOMEN
7,8,Bacher,Barbara,AUT,309.00,14. 24.00,13. 26.00,11. 31.00,9. 37.00,10. 34.00,8. 40.00,8. 40.00,4. 55.00,22. (9.00),15. 22.00,2006,lead,WOMEN
8,9,Kobayashi,Yuka,JPN,237.00,,14. 24.00,7. 43.00,5. 51.00,11. 31.00,11. 31.00,,13. 26.00,11. 31.00,,2006,lead,WOMEN
9,10,Franko,Lucka,SLO,224.00,8. 40.00,6. 47.00,10. 34.00,21. 10.00,,9. 37.00,10. 34.00,27. 4.00,17. 18.00,,2006,lead,WOMEN
10,11,Chereshneva,Yana,RUS,213.00,11. 31.00,8. 40.00,4. 55.00,7. 43.00,,,,,12. 28.00,18. 16.00,2006,lead,WOMEN
11,12,Lavarda,Jenny,ITA,176.00,20. 12.00,24. 7.00,11. 31.00,17. 18.00,8. 40.00,,9. 37.00,20. 12.00,24. 7.00,20. 12.00,2006,lead,WOMEN
12,13,Saurwein,Katharina,AUT,169.00,6. 47.00,9. 37.00,,,9. 37.00,,12. 28.00,,,16. 20.00,2006,lead,WOMEN
13,14,Pinet,Florence,FRA,127.00,,14. 24.00,,10. 34.00,,,,13. 26.00,,7. 43.00,2006,lead,WOMEN
14,15,Sarkany,Muriel,BEL,119.00,,,,,,,,8. 40.00,3. 65.00,19. 14.00,2006,lead,WOMEN
15,16,Cufar,Martina,SLO,115.00,12. 28.00,18. 16.00,,11. 31.00,,,,,20. 12.00,12. 28.00,2006,lead,WOMEN
16,17,Caprez,Nina,SUI,98.00,15. 22.00,18. 16.00,,13. 26.00,,,,21. 10.00,,14. 24.00,2006,lead,WOMEN
17,17,Raffetseder,Gerda,AUT,98.00,,,,23. 8.00,12. 28.00,13. 26.00,13. 26.00,27. 4.00,25. 6.00,,2006,lead,WOMEN
18,19,Schmid,Christina,SUI,86.00,,10. 34.00,,,,,,22. 9.00,10. 34.00,22. 9.00,2006,lead,WOMEN
19,20,Harrington,Emily,USA,85.00,,,,,,,,10. 34.00,5. 51.00,,2006,lead,WOMEN
20,21,Noguchi,Akiyo,JPN,81.00,,,,14. 24.00,,9. 37.00,,,16. 20.00,,2006,lead,WOMEN
21,22,Anda Villanueva,Irati,ESP,76.00,18. 16.00,12. 28.00,,12. 28.00,,,,27. 4.00,,,2006,lead,WOMEN
22,23,Shalagina,Olga,UKR,74.00,,,,,,,,11. 31.00,7. 43.00,,2006,lead,WOMEN
23,24,Minoret,Chloé,FRA,72.00,,,,,,,,9. 37.00,27. 4.00,11. 31.00,2006,lead,WOMEN
24,25,Graftiaux,Chloé,BEL,69.00,,,,,,,,19. 14.00,,4. 55.00,2006,lead,WOMEN
25,26,Li,Chunhua,CHN,68.00,,,15. 22.00,,,15. 22.00,14. 24.00,,,,2006,lead,WOMEN
26,26,Rajfova,Silvie,CZE,68.00,21. 10.00,,,18. 16.00,,,,17. 18.00,14. 24.00,,2006,lead,WOMEN
27,28,KIM,Jain,KOR,67.00,,,,,,5. 51.00,,18. 16.00,,,2006,lead,WOMEN
28,29,Malamid,Evgeniia,RUS,65.00,9. 37.00,,,,,,,12. 28.00,,,2006,lead,WOMEN
29,30,Liu,Hiu Ying,HKG,62.00,,,18. 16.00,,13. 26.00,16. 20.00,,,,,2006,lead,WOMEN
30,31,Eyer,Alexandra,SUI,60.00,13. 26.00,10. 34.00,,,,,,,,,2006,lead,WOMEN
31,32,Forestier,Monique,AUS,58.00,,,,,17. 18.00,17. 18.00,15. 22.00,,,,2006,lead,WOMEN
32,33,Huang,Li-Ping,CHN,57.00,,,13. 26.00,,,,11. 31.00,,,,2006,lead,WOMEN
33,34,Tan,"Li Ying, Suzanna",SGP,54.00,,,,,14. 24.00,20. 12.00,17. 18.00,,,,2006,lead,WOMEN
34,35,Zijlstra,Vera,NED,52.00,26. 5.00,,,15. 22.00,,,,24. 7.00,,17. 18.00,2006,lead,WOMEN
35,36,Cardoso,Janine,BRA,44.00,27. 4.00,20. 12.00,,16. 20.00,,,,,,23. 8.00,2006,lead,WOMEN
36,37,Ostapenko,Olena,UKR,42.00,23. 8.00,26. 5.00,,22. 9.00,,,,27. 4.00,18. 16.00,,2006,lead,WOMEN
37,37,Stendal,Linn Karin,NOR,42.00,17. 18.00,16. 20.00,,,,,,,,27. 4.00,2006,lead,WOMEN
38,39,He,Cuifang,CHN,38.00,,,17. 18.00,,,,16. 20.00,,,,2006,lead,WOMEN
39,40,Ociepka,Kinga,POL,37.00,,,,,,,,15. 22.00,26. 5.00,21. 10.00,2006,lead,WOMEN
40,41,Shin,Woon-Seon,KOR,34.00,,,,,16. 20.00,19. 14.00,,,,,2006,lead,WOMEN
41,41,schöpf,Bettina,AUT,34.00,,,,,,,,,,10. 34.00,2006,lead,WOMEN
42,43,Sandoz,Mélanie,FRA,32.00,,17. 18.00,,19. 14.00,,,,,,,2006,lead,WOMEN
43,44,Graftiaux,Alix,BEL,26.00,,,,,,,,,,13. 26.00,2006,lead,WOMEN
44,44,Ouyang,Hui,CHN,26.00,,,21. 10.00,,,,18. 16.00,,,,2006,lead,WOMEN
45,46,Labanu,Ilmawaty,INA,24.00,,,,,,14. 24.00,,,,,2006,lead,WOMEN
46,46,Shagina,Liubov,RUS,24.00,,,14. 24.00,,,,,,,,2006,lead,WOMEN
47,48,Knoche,Lisa,GER,22.00,,,,,,,,,15. 22.00,,2006,lead,WOMEN
48,48,Liang,Liuying,CHN,22.00,,,20. 12.00,,,,21. 10.00,,,,2006,lead,WOMEN
49,48,Matthews,Sarah,AUS,22.00,,,,,15. 22.00,,,,,,2006,lead,WOMEN
50,51,Conan,Fanny,FRA,20.00,,,,,,,,16. 20.00,,,2006,lead,WOMEN
51,51,Gosar,Asja,SLO,20.00,16. 20.00,,,,,,,,,,2006,lead,WOMEN
52,51,Polekhina,Kseniya,RUS,20.00,,,16. 20.00,,,,,,,,2006,lead,WOMEN
53,54,Shen,Nee Ooi,MAS,19.00,,,,,18. 16.00,28. 3.00,,,,,2006,lead,WOMEN
54,55,Goh,Tan Leng,SGP,17.00,,,,,21. 10.00,24. 7.00,,,,,2006,lead,WOMEN
55,55,Mohd Drus,Salfarina,MAS,17.00,,,,,20. 12.00,26. 5.00,,,,,2006,lead,WOMEN
56,57,Ariesandhi,Triana,INA,16.00,,,,,,18. 16.00,,,,,2006,lead,WOMEN
57,57,Lum,Yuet Mei,MAS,16.00,,,,,19. 14.00,29. 2.00,,,,,2006,lead,WOMEN
58,59,Korolkova,Ekaterina,RUS,14.00,,,19. 14.00,,,,,,,,2006,lead,WOMEN
59,59,Schranz,Christine,AUT,14.00,19. 14.00,,,,,,,,,,2006,lead,WOMEN
60,59,Winter,Julia,GER,14.00,,,,,,,,,19. 14.00,,2006,lead,WOMEN
61,59,Zhang,Dan,CHN,14.00,,,,,,,19. 14.00,,,,2006,lead,WOMEN
62,63,KIM,IN KYOUNG,KOR,12.00,,,,,,,20. 12.00,,,,2006,lead,WOMEN
63,64,Harnisch,Martina,AUT,11.00,24. 7.00,,,,,,,27. 4.00,,,2006,lead,WOMEN
64,64,Middleton,Jacqui,AUS,11.00,30. 1.00,21. 10.00,,,,,,,,,2006,lead,WOMEN
65,64,Modrzejewska,Agata,POL,11.00,,,,,,,,27. 4.00,,24. 7.00,2006,lead,WOMEN
66,67,Kryvonis,Olena,UKR,10.00,,,,,,,,,21. 10.00,,2006,lead,WOMEN
67,67,Wilda,Baco Achmad,INA,10.00,,,,,,21. 10.00,,,,,2006,lead,WOMEN
68,69,Chong,"Leong Hong, Beatrix",SGP,9.00,,,,,,22. 9.00,,,,,2006,lead,WOMEN
69,69,Midtboe,Hannah,NOR,9.00,22. 9.00,,,,,,,,,,2006,lead,WOMEN
70,69,Vathsala,M. N.,IND,9.00,,,,,22. 9.00,,,,,,2006,lead,WOMEN
71,72,Allen,Karen,AUS,8.00,,23. 8.00,,,,,,,,,2006,lead,WOMEN
72,72,Creamer,Lucy,GBR,8.00,,,,,,,,,23. 8.00,,2006,lead,WOMEN
73,72,Januel,Caroline,FRA,8.00,,,,,,,,23. 8.00,,,2006,lead,WOMEN
74,72,Robles,Kristine Marie,PHI,8.00,,,,,,23. 8.00,,,,,2006,lead,WOMEN
75,72,Zainal,Rosharyani,MAS,8.00,,,,,23. 8.00,,,,,,2006,lead,WOMEN
