,Rank,Name,Name.1,Nation,Points,Moscow (B+S) 02.11.2006,Shanghai (L+S) 02.10.2006,Kuala Lumpur (L+S) 12.08.2006,Singapore (L+S) 05.08.2006,Daone (S) 29.07.2006,Chamonix (L+S) 12.07.2006,Dresden (L+S) 19.05.2006,Veliko Tarnovo (B+S) 21.04.2006,2006,event,gender
0,1,Ruyga,Tatiana,RUS,560.00,1. 100.00,4. 55.00,2. 80.00,8. (40.00),3. 65.00,1. 100.00,2. 80.00,2. 80.00,2006,speed,WOMEN
1,2,Yurina,Valentina,RUS,501.00,3. 65.00,10. (34.00),1. 100.00,3. 65.00,1. 100.00,3. 65.00,4. 55.00,5. 51.00,2006,speed,WOMEN
2,3,Stenkovaya,Anna,RUS,351.00,5. 51.00,2. 80.00,,,,4. 55.00,3. 65.00,1. 100.00,2006,speed,WOMEN
3,4,Ryepko,Olena,UKR,300.00,4. 55.00,,,,2. 80.00,,1. 100.00,3. 65.00,2006,speed,WOMEN
4,5,Rodriguez,Francis,VEN,289.00,12. 28.00,12. 28.00,6. 47.00,2. 80.00,4. 55.00,5. 51.00,,,2006,speed,WOMEN
5,6,Ropek,Edyta,POL,232.00,,8. 40.00,,,5. 51.00,7. 43.00,5. 51.00,6. 47.00,2006,speed,WOMEN
6,7,Cheng,Lai-Sho,HKG,179.00,,1. 100.00,5. 51.00,12. 28.00,,,,,2006,speed,WOMEN
7,8,Blanco,Lucelia,VEN,171.00,,,7. 43.00,5. 51.00,7. 43.00,10. 34.00,,,2006,speed,WOMEN
8,9,Neliwati,Evi,INA,165.00,,,3. 65.00,1. 100.00,,,,,2006,speed,WOMEN
9,10,Malkova,Yana,RUS,145.00,2. 80.00,3. 65.00,,,,,,,2006,speed,WOMEN
10,11,Tuzhylina,Svitlana,UKR,142.00,8. 40.00,,,,,,6. 47.00,4. 55.00,2006,speed,WOMEN
11,12,Alekseeva,Kseniia,RUS,127.00,6. 47.00,,,,,2. 80.00,,,2006,speed,WOMEN
12,13,Hrozova,Lucie,CZE,90.00,,,,,6. 47.00,,7. 43.00,,2006,speed,WOMEN
13,14,Li,Chunhua,CHN,80.00,,9. 37.00,,7. 43.00,,,,,2006,speed,WOMEN
14,14,Saulevich,Olesya,RUS,80.00,7. 43.00,,,,,,,9. 37.00,2006,speed,WOMEN
15,16,Shemulinkina,Tatiana,RUS,77.00,9. 37.00,,,,,,,8. 40.00,2006,speed,WOMEN
16,17,Adianti,Tri,INA,55.00,,,,4. 55.00,,,,,2006,speed,WOMEN
