,Rank,Name,Name.1,Nation,Points,Brno 09.11.2007,Fiera 22.06.2007,Grindelwald 08.06.2007,La Reunion 04.05.2007,Hall 27.04.2007,Sofia 20.04.2007,Erlangen 30.03.2007,2007,event,gender
0,1,Fischhuber,Kilian,AUT,480.00,2. 80.00,4. 55.00,1. 100.00,4. (55.00),1. 100.00,3. 65.00,2. 80.00,2007,boulder,MEN
1,2,Sharafutdinov,Dmitrii,RUS,374.00,1. 100.00,1. 100.00,6. 47.00,,6. 47.00,2. 80.00,,2007,boulder,MEN
2,3,Julien,Stephane,FRA,267.00,3. 65.00,17. (18.00),10. 34.00,10. 34.00,7. 43.00,5. 51.00,8. 40.00,2007,boulder,MEN
3,4,Matsushima,Akito,JPN,262.00,10. 34.00,3. 65.00,2. 80.00,,3. 65.00,17. 18.00,,2007,boulder,MEN
4,5,Verhoeven,Jorg,NED,256.00,17. 18.00,16. 20.00,4. 55.00,,2. 80.00,4. 55.00,12. 28.00,2007,boulder,MEN
5,6,Moroni,Gabriele,ITA,230.00,7. 43.00,2. 80.00,8. 40.00,,5. 51.00,18. 16.00,,2007,boulder,MEN
6,7,Shalagin,Mykhaylo,UKR,207.00,23. 8.00,5. 51.00,20. 12.00,,10. 34.00,29. 2.00,1. 100.00,2007,boulder,MEN
7,8,Hukkataival,Nalle,FIN,183.00,14. 24.00,22. 9.00,3. 65.00,16. 20.00,25. (6.00),21. 10.00,4. 55.00,2007,boulder,MEN
8,9,Mrázek,Tomás,CZE,174.00,,21. 10.00,,,8. 40.00,1. 100.00,14. 24.00,2007,boulder,MEN
9,10,Meyer,Jérôme,FRA,170.00,,,13. 26.00,2. 80.00,14. 24.00,8. 40.00,,2007,boulder,MEN
10,11,Parry,Gareth,GBR,159.00,9. 37.00,20. 12.00,29. 2.00,7. 43.00,,19. 14.00,5. 51.00,2007,boulder,MEN
11,12,DU LAC,Daniel,FRA,149.00,,10. 34.00,25. 6.00,3. 65.00,9. 37.00,24. 7.00,,2007,boulder,MEN
12,13,Core,Christian,ITA,148.00,,7. 43.00,12. 28.00,6. 47.00,,13. 26.00,27. 4.00,2007,boulder,MEN
13,14,Baumann,Jonas,GER,147.00,23. 8.00,15. 22.00,14. 24.00,18. 16.00,20. 12.00,,3. 65.00,2007,boulder,MEN
14,15,Glairon Mondet,Guillaume,FRA,144.00,13. 26.00,6. 47.00,5. 51.00,,,,16. 20.00,2007,boulder,MEN
15,16,Badia,Nicolas,FRA,139.00,,24. 7.00,18. 16.00,14. 24.00,11. 31.00,14. 24.00,9. 37.00,2007,boulder,MEN
16,17,Gelmanov,Rustam,RUS,135.00,5. 51.00,9. 37.00,,,,6. 47.00,,2007,boulder,MEN
17,18,Pouvreau,Gérome,FRA,126.00,,,17. 18.00,12. 28.00,,9. 37.00,7. 43.00,2007,boulder,MEN
18,19,Lama,David,AUT,110.00,,14. 24.00,,11. 31.00,4. 55.00,,,2007,boulder,MEN
19,20,Earl,Andrew,GBR,100.00,,,,1. 100.00,,,,2007,boulder,MEN
20,21,Caminati,Michele,ITA,98.00,,,,8. 40.00,16. 20.00,20. 12.00,13. 26.00,2007,boulder,MEN
21,22,Barrans,David,GBR,96.00,8. 40.00,29. 2.00,,,12. 28.00,16. 20.00,25. 6.00,2007,boulder,MEN
22,23,Preti,Lucas,ITA,89.00,15. 22.00,,,5. 51.00,,25. 6.00,21. 10.00,2007,boulder,MEN
23,24,Jongeneelen,Wouter,NED,88.00,30. 1.00,,23. 8.00,24. 7.00,13. 26.00,10. 34.00,20. 12.00,2007,boulder,MEN
24,25,Croxall,Mark,GBR,80.00,19. 14.00,13. 26.00,,17. 18.00,,23. 8.00,19. 14.00,2007,boulder,MEN
25,26,Ennemoser,Lukas,AUT,79.00,4. 55.00,30. 1.00,,,30. 1.00,,15. 22.00,2007,boulder,MEN
26,27,Müller,Matthias,SUI,78.00,11. 31.00,,,,,,6. 47.00,2007,boulder,MEN
27,28,Oleksy,Tomasz,POL,74.00,,11. 31.00,23. 8.00,,,30. 1.00,10. 34.00,2007,boulder,MEN
28,29,Würth,Peter,GER,70.00,18. 16.00,,16. 20.00,,17. 18.00,,18. 16.00,2007,boulder,MEN
29,30,Gaidioz,Loïc,FRA,59.00,,,,9. 37.00,,15. 22.00,,2007,boulder,MEN
30,31,Watson,Stewart,GBR,58.00,,12. 28.00,15. 22.00,,,,23. 8.00,2007,boulder,MEN
31,32,Ghidini,Stefano,ITA,54.00,,8. 40.00,22. 9.00,,,,26. 5.00,2007,boulder,MEN
32,33,Borowka,Andre,GER,51.00,,,30. 1.00,,15. 22.00,12. 28.00,,2007,boulder,MEN
33,34,Stranik,Martin,CZE,47.00,6. 47.00,,,,,,,2007,boulder,MEN
34,35,Lachat,Cédric,SUI,43.00,,,7. 43.00,,,,,2007,boulder,MEN
35,35,Rakhmetov,Salavat,RUS,43.00,,,,,,7. 43.00,,2007,boulder,MEN
36,37,Chernikov,Mikhail,RUS,37.00,,,9. 37.00,,,,,2007,boulder,MEN
37,38,Hoppe,Markus,GER,35.00,,,,,27. 4.00,,11. 31.00,2007,boulder,MEN
38,39,Borowka,Karsten,GER,34.00,16. 20.00,19. 14.00,,,,,,2007,boulder,MEN
39,40,Laurence,Ludovic,FRA,33.00,,,,,,11. 31.00,29. 2.00,2007,boulder,MEN
40,40,Watanabe,Kazuma,JPN,33.00,,18. 16.00,21. 10.00,,24. 7.00,,,2007,boulder,MEN
41,42,Jaggi,Martin,SUI,31.00,,,11. 31.00,,,,,2007,boulder,MEN
42,43,Rant,Blaz,SLO,28.00,,,19. 14.00,,,27. 4.00,21. 10.00,2007,boulder,MEN
43,43,Sugita,Masatoshi,JPN,28.00,12. 28.00,,,,,,,2007,boulder,MEN
44,45,Nomine,Baptiste,FRA,26.00,,,,13. 26.00,,,,2007,boulder,MEN
45,46,Mogaki,Keita,JPN,22.00,,,,15. 22.00,,,,2007,boulder,MEN
46,46,Ramsamy,Joackym,FRA,22.00,,,,19. 14.00,23. 8.00,,,2007,boulder,MEN
47,48,Caleyron,Thomas,FRA,18.00,,,,,,,17. 18.00,2007,boulder,MEN
48,49,Mackenzie,Roddy,GBR,17.00,21. 10.00,,,,,,24. 7.00,2007,boulder,MEN
49,50,Edwards,Marc,AUS,16.00,,,,,18. 16.00,,,2007,boulder,MEN
50,51,Georgiev,Marian,BUL,14.00,,,,,19. 14.00,,,2007,boulder,MEN
51,52,Merz,Aric,GER,12.00,,25. 6.00,27. 4.00,,29. 2.00,,,2007,boulder,MEN
52,52,Treuilhe,Christophe,FRA,12.00,,,,20. 12.00,,,,2007,boulder,MEN
53,52,Wilhelm,Heiko,AUT,12.00,20. 12.00,,,,,,,2007,boulder,MEN
54,55,Bowles,John,CAN,10.00,,,,,21. 10.00,,,2007,boulder,MEN
55,55,Ciccione,Jérémie,FRA,10.00,,,,21. 10.00,,,,2007,boulder,MEN
56,55,Ten Sijthoff,Casper,NED,10.00,21. 10.00,,,,,,,2007,boulder,MEN
57,58,Hemund,Kevin,SUI,9.00,,,,22. 9.00,,,,2007,boulder,MEN
58,58,Kozlov,Vasily,RUS,9.00,,,,,,22. 9.00,,2007,boulder,MEN
59,58,Moosburger,Emanuel,AUT,9.00,,,,,26. 5.00,,27. 4.00,2007,boulder,MEN
60,58,Obleitner,Kornelius,AUT,9.00,,,,,22. 9.00,,,2007,boulder,MEN
61,62,Miegeville,Quentin,FRA,8.00,,,,23. 8.00,,,,2007,boulder,MEN
62,62,Okano,Hiroshi,JPN,8.00,,23. 8.00,,,,,,2007,boulder,MEN
63,64,Becan,Klemen,SLO,6.00,25. 6.00,,,,,,,2007,boulder,MEN
64,64,Kazbekov,Serik,UKR,6.00,,25. 6.00,,,,,,2007,boulder,MEN
65,64,Philippe,Jonathan,FRA,6.00,,28. 3.00,28. 3.00,,,,,2007,boulder,MEN
66,64,Smigelskis,Edvinas,RSA,6.00,,,,25. 6.00,,,,2007,boulder,MEN
67,68,Dutray,Mathieu,FRA,5.00,,,26. 5.00,,,,,2007,boulder,MEN
68,68,Stepanov,Alexander,RUS,5.00,,,,,,26. 5.00,,2007,boulder,MEN
69,68,Wagner,Roland,AUT,5.00,26. 5.00,,,,,,,2007,boulder,MEN
70,71,Farrell,Thomas,AUS,4.00,27. 4.00,,,,,,,2007,boulder,MEN
71,71,Matuszek,Jacek,POL,4.00,27. 4.00,,,,,,,2007,boulder,MEN
72,71,Schulte,Ferdinand,NED,4.00,,27. 4.00,,,,,,2007,boulder,MEN
73,74,Kleshnov,Stanislav,UKR,3.00,,,,,28. 3.00,,,2007,boulder,MEN
74,74,Pekarev,Mikhail,RUS,3.00,,,,,,28. 3.00,,2007,boulder,MEN
75,76,Hlavacek,Jakub,CZE,2.00,29. 2.00,,,,,,,2007,boulder,MEN
76,77,Jalmain,Sebastien,FRA,1.00,,,,,,,30. 1.00,2007,boulder,MEN
77,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2007. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2007. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2007. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2007. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2007. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2007. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2007. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2007. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2007. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2007. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2007. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2007. Not counting points are in brackets.,2007,boulder,MEN
