,Rank,Name,Name.1,Nation,Points,Kranj 17.11.2007,Valence 02.11.2007,Kazo 13.10.2007,Puurs 28.09.2007,Qinghai 11.08.2007,Chamonix 11.07.2007,Zürich 15.06.2007,Imst 11.05.2007,2007,event,gender
0,1,Usobiaga Lakunza,Patxi,ESP,499.00,18. (16.00),1. 100.00,2. 80.00,2. 80.00,6. 47.00,6. 47.00,2. 80.00,3. 65.00,2007,lead,MEN
1,2,Julian Puigblanque,Ramón,ESP,486.00,26. (5.00),2. 80.00,2. 80.00,1. 100.00,5. 51.00,2. 80.00,4. 55.00,8. 40.00,2007,lead,MEN
2,3,Mrázek,Tomás,CZE,462.00,3. 65.00,,1. 100.00,8. 40.00,1. 100.00,8. 40.00,9. 37.00,2. 80.00,2007,lead,MEN
3,4,Verhoeven,Jorg,NED,458.00,6. 47.00,3. 65.00,13. (26.00),3. 65.00,3. 65.00,3. 65.00,1. 100.00,5. 51.00,2007,lead,MEN
4,5,Crespi,Flavio,ITA,448.00,2. 80.00,4. 55.00,7. 43.00,7. 43.00,2. 80.00,1. 100.00,6. 47.00,21. (10.00),2007,lead,MEN
5,6,Lachat,Cédric,SUI,361.00,1. 100.00,7. 43.00,,4. 55.00,7. 43.00,,3. 65.00,4. 55.00,2007,lead,MEN
6,7,Lama,David,AUT,326.00,,10. 34.00,4. 55.00,5. 51.00,9. 37.00,25. 6.00,7. 43.00,1. 100.00,2007,lead,MEN
7,8,Millet,Sylvain,FRA,288.00,13. 26.00,13. 26.00,6. 47.00,12. 28.00,4. 55.00,4. 55.00,5. 51.00,13. (26.00),2007,lead,MEN
8,9,Dugit,Fabien,FRA,208.00,20. 12.00,11. 31.00,14. 24.00,15. 22.00,10. 34.00,5. 51.00,,10. 34.00,2007,lead,MEN
9,10,Midtboe,Magnus,NOR,195.00,5. 51.00,6. 47.00,,6. 47.00,,16. 20.00,17. 18.00,20. 12.00,2007,lead,MEN
10,11,Fuselier,Michaël,FRA,187.00,9. 37.00,5. 51.00,,10. 34.00,,16. 20.00,19. 14.00,11. 31.00,2007,lead,MEN
11,12,Amma,Sachi,JPN,181.00,,,5. 51.00,,11. 31.00,13. 26.00,13. 26.00,6. 47.00,2007,lead,MEN
12,13,Winkler,Daniel,SUI,149.00,10. 34.00,14. 24.00,,,8. 40.00,16. 20.00,14. 24.00,24. 7.00,2007,lead,MEN
13,14,Desgranges,Romain,FRA,146.00,14. 24.00,16. 20.00,,13. 26.00,,14. 24.00,10. 34.00,17. 18.00,2007,lead,MEN
14,15,Romain,Manuel,FRA,128.00,12. 28.00,12. 28.00,,14. 24.00,,7. 43.00,,26. 5.00,2007,lead,MEN
15,16,Zardini,Luca,ITA,122.00,27. 4.00,15. 22.00,,10. 34.00,,,8. 40.00,15. 22.00,2007,lead,MEN
16,17,Fischhuber,Kilian,AUT,112.00,11. 31.00,,18. 16.00,21. 10.00,,11. 31.00,,14. 24.00,2007,lead,MEN
17,18,Lopez Mateos,Eric,ESP,86.00,,,,9. 37.00,,29. 2.00,11. 31.00,18. 16.00,2007,lead,MEN
18,19,Becan,Klemen,SLO,84.00,7. 43.00,19. 14.00,,,,,17. 18.00,22. 9.00,2007,lead,MEN
19,20,Guerimand,Flavien,FRA,78.00,21. 10.00,9. 37.00,,,,15. 22.00,,22. 9.00,2007,lead,MEN
20,21,Son,Sangwon,KOR,77.00,,,7. 43.00,,,10. 34.00,,,2007,lead,MEN
21,22,Watanabe,Kazuma,JPN,66.00,,,21. 10.00,,12. 28.00,,12. 28.00,,2007,lead,MEN
22,23,Hirayama,Yuji,JPN,64.00,,,,,,26. 5.00,15. 22.00,9. 37.00,2007,lead,MEN
23,24,Supper,Gautier,FRA,60.00,,8. 40.00,,,,16. 20.00,,,2007,lead,MEN
24,25,Kaurov,Ivan,RUS,58.00,,,15. 22.00,,13. 26.00,27. 4.00,27. 4.00,29. 2.00,2007,lead,MEN
25,26,Schubert,Jakob,AUT,55.00,4. 55.00,,,,,,,,2007,lead,MEN
26,27,Chernikov,Mikhail,RUS,48.00,,,,,15. 22.00,16. 20.00,,25. 6.00,2007,lead,MEN
27,27,Kim,Jaha,KOR,48.00,,,25. 6.00,17. 18.00,14. 24.00,,,,2007,lead,MEN
28,29,Ten Sijthoff,Casper,NED,47.00,17. 18.00,,,19. 14.00,,,30. 1.00,19. 14.00,2007,lead,MEN
29,30,Kim,Jabee,KOR,46.00,,,9. 37.00,,24. 7.00,29. 2.00,,,2007,lead,MEN
30,30,Van der Werf,Roman,NED,46.00,15. 22.00,,,,,16. 20.00,,27. 4.00,2007,lead,MEN
31,32,Marin Garcia,Eduard,ESP,43.00,,,,,,,,7. 43.00,2007,lead,MEN
32,33,Kryukov,Valeriy,UKR,42.00,8. 40.00,,,29. 2.00,,,,,2007,lead,MEN
33,33,Tauporn,Thomas,GER,42.00,16. 20.00,,,16. 20.00,,29. 2.00,,,2007,lead,MEN
34,35,Caude,David,FRA,37.00,,,,,,9. 37.00,,,2007,lead,MEN
35,36,Matsushima,Akito,JPN,34.00,,,10. 34.00,,,,,,2007,lead,MEN
36,36,Szekely,Gabor,HUN,34.00,23. 8.00,20. 12.00,,22. 9.00,,,26. 5.00,,2007,lead,MEN
37,38,Hori,Tsukuru,JPN,31.00,,,11. 31.00,,,,,,2007,lead,MEN
38,39,Comina,Fabien,FRA,30.00,,,,,,16. 20.00,21. 10.00,,2007,lead,MEN
39,40,Mogaki,Keita,JPN,28.00,,,12. 28.00,,,,,,2007,lead,MEN
40,40,Pagnoux,Romain,FRA,28.00,,,,,,12. 28.00,,,2007,lead,MEN
41,40,Stranik,Martin,CZE,28.00,,,,,,,,12. 28.00,2007,lead,MEN
