,Rank,Name,Name.1,Nation,Points,Puurs 28.09.2007,Qinghai 11.08.2007,Val Daone 21.07.2007,Chamonix 11.07.2007,Trento 01.05.2007,Tarnow 13.04.2007,2007,event,gender
0,1,Sinitcyn,Sergei,RUS,425.00,3. 65.00,2. 80.00,1. 100.00,1. 100.00,2. 80.00,3. (65.00),2007,speed,MEN
1,2,Vaitsekhovskii,Evgenii,RUS,415.00,4. 55.00,1. 100.00,2. 80.00,2. 80.00,8. (40.00),1. 100.00,2007,speed,MEN
2,3,Kosterin,Alexander,RUS,322.00,2. 80.00,3. 65.00,3. 65.00,3. 65.00,9. (37.00),6. 47.00,2007,speed,MEN
3,4,Escobar,Manuel,VEN,299.00,1. 100.00,,5. 51.00,8. 40.00,3. 65.00,7. 43.00,2007,speed,MEN
4,5,Skripov,Anatoly,RUS,246.00,14. (24.00),8. 40.00,7. 43.00,9. 37.00,1. 100.00,13. 26.00,2007,speed,MEN
5,6,De Las Salas,Leonel,VEN,193.00,5. 51.00,,10. 34.00,11. 31.00,7. 43.00,10. 34.00,2007,speed,MEN
6,7,Hroza,Libor,CZE,176.00,10. 34.00,,9. 37.00,7. 43.00,15. 22.00,8. 40.00,2007,speed,MEN
7,8,Komondi,Csaba,HUN,171.00,15. 22.00,,,17. 18.00,5. 51.00,2. 80.00,2007,speed,MEN
8,9,Peshekhonov,Alexander,RUS,168.00,6. 47.00,,8. 40.00,4. 55.00,13. 26.00,,2007,speed,MEN
9,10,Carvajal,Nestor,VEN,120.00,11. 31.00,,,10. 34.00,11. 31.00,14. 24.00,2007,speed,MEN
10,11,Styenkovyy,Maksym,UKR,119.00,8. 40.00,,12. 28.00,,,5. 51.00,2007,speed,MEN
11,12,Osipov,Maksym,UKR,116.00,,,14. 24.00,22. 9.00,4. 55.00,12. 28.00,2007,speed,MEN
12,13,Vorobyev,Valeriy,RUS,112.00,9. 37.00,,6. 47.00,12. 28.00,,,2007,speed,MEN
13,14,Swirk,Lukasz,POL,105.00,18. 16.00,,4. 55.00,28. 3.00,12. 28.00,28. 3.00,2007,speed,MEN
14,15,Januel,Nicolas,FRA,101.00,,,16. 20.00,16. 20.00,6. 47.00,19. 14.00,2007,speed,MEN
