,Rank,Name,Name.1,Nation,Points,Brno 09.11.2007,Fiera 22.06.2007,Grindelwald 08.06.2007,La Reunion 04.05.2007,Hall 27.04.2007,Sofia 20.04.2007,Erlangen 30.03.2007,2007,event,gender
0,1,Danion,Juliette,FRA,426.00,1. 100.00,5. 51.00,4. 55.00,1. 100.00,9. (37.00),8. 40.00,2. 80.00,2007,boulder,WOMEN
1,2,Shalagina,Olga,UKR,420.00,3. 65.00,2. 80.00,6. 47.00,,1. 100.00,12. 28.00,1. 100.00,2007,boulder,WOMEN
2,3,Gros,Natalija,SLO,392.00,9. 37.00,1. 100.00,1. 100.00,,2. 80.00,14. 24.00,5. 51.00,2007,boulder,WOMEN
3,4,Abramchuk,Yulia,RUS,303.00,4. 55.00,13. 26.00,7. 43.00,,5. 51.00,1. 100.00,12. 28.00,2007,boulder,WOMEN
4,5,Rajfova,Silvie,CZE,283.00,14. (24.00),7. 43.00,5. 51.00,3. 65.00,7. 43.00,13. 26.00,4. 55.00,2007,boulder,WOMEN
5,6,Noguchi,Akiyo,JPN,280.00,,3. 65.00,2. 80.00,,4. 55.00,2. 80.00,,2007,boulder,WOMEN
6,7,Graftiaux,Chloé,BEL,255.00,23. (8.00),6. 47.00,21. 10.00,2. 80.00,21. 10.00,7. 43.00,3. 65.00,2007,boulder,WOMEN
7,8,Ansade,Maud,FRA,203.00,16. 20.00,10. 34.00,8. 40.00,5. 51.00,10. 34.00,22. (9.00),14. 24.00,2007,boulder,WOMEN
8,9,Lind,Angelica,SWE,168.00,10. 34.00,23. 8.00,27. (4.00),7. 43.00,26. 5.00,6. 47.00,11. 31.00,2007,boulder,WOMEN
9,10,Hodann,Anja,SWE,166.00,17. 18.00,19. 14.00,9. 37.00,,15. 22.00,4. 55.00,16. 20.00,2007,boulder,WOMEN
10,11,Berry,Samantha,AUS,164.00,,14. 24.00,18. 16.00,,6. 47.00,9. 37.00,8. 40.00,2007,boulder,WOMEN
11,12,Harmand,Ludivine,FRA,154.00,,22. 9.00,25. 6.00,8. 40.00,13. 26.00,5. 51.00,15. 22.00,2007,boulder,WOMEN
