,Rank,Name,Name.1,Nation,Points,Puurs 28.09.2007,Qinghai 11.08.2007,Val Daone 21.07.2007,Chamonix 11.07.2007,Trento 01.05.2007,Tarnow 13.04.2007,2007,event,gender
0,1,Ruyga,Tatiana,RUS,405.00,3. 65.00,1. 100.00,2. 80.00,2. 80.00,2. 80.00,4. (55.00),2007,speed,WOMEN
1,2,Tuzhylina,Svitlana,UKR,363.00,1. 100.00,,5. 51.00,1. 100.00,6. 47.00,3. 65.00,2007,speed,WOMEN
2,3,Stenkovaya,Anna,RUS,360.00,2. 80.00,2. 80.00,8. (40.00),4. 55.00,3. 65.00,2. 80.00,2007,speed,WOMEN
3,4,Yurina,Valentina,RUS,310.00,4. 55.00,3. 65.00,1. 100.00,6. 47.00,7. 43.00,8. (40.00),2007,speed,WOMEN
4,5,Ropek,Edyta,POL,291.00,9. (37.00),7. 43.00,3. 65.00,7. 43.00,8. 40.00,1. 100.00,2007,speed,WOMEN
5,6,Da Silva,Rosmery,VEN,253.00,5. 51.00,,9. 37.00,10. 34.00,1. 100.00,11. 31.00,2007,speed,WOMEN
6,7,Rodriguez,Francis,VEN,181.00,17. 18.00,,7. 43.00,15. 22.00,4. 55.00,7. 43.00,2007,speed,WOMEN
7,8,Blanco,Lucelia,VEN,176.00,7. 43.00,,10. 34.00,9. 37.00,10. 34.00,12. 28.00,2007,speed,WOMEN
8,9,Piratinskaya,Mayya,RUS,175.00,11. 31.00,19. (14.00),6. 47.00,13. 26.00,9. 37.00,10. 34.00,2007,speed,WOMEN
9,10,Ryepko,Olena,UKR,157.00,,,4. 55.00,,5. 51.00,5. 51.00,2007,speed,WOMEN
10,11,Chereshneva,Yana,RUS,106.00,6. 47.00,11. 31.00,,12. 28.00,,,2007,speed,WOMEN
11,12,Li,Chunhua,CHN,91.00,,5. 51.00,,8. 40.00,,,2007,speed,WOMEN
12,13,He,Cuifang,CHN,86.00,,4. 55.00,,11. 31.00,,,2007,speed,WOMEN
13,14,Karesova,Eliska,CZE,78.00,,,,14. 24.00,12. 28.00,13. 26.00,2007,speed,WOMEN
14,15,Terenteva,Galina,RUS,65.00,,,,3. 65.00,,,2007,speed,WOMEN
15,16,Alekseeva,Kseniia,RUS,51.00,,,,5. 51.00,,,2007,speed,WOMEN
16,17,Bezhko,Olga,UKR,47.00,,,,,,6. 47.00,2007,speed,WOMEN
17,17,He,CuiLian,CHN,47.00,,6. 47.00,,,,,2007,speed,WOMEN
18,19,Iskakova,Aliya,KAZ,40.00,13. 26.00,,,19. 14.00,,,2007,speed,WOMEN
19,19,Neliwati,Evi,INA,40.00,8. 40.00,,,,,,2007,speed,WOMEN
20,19,Saurwein,Katharina,AUT,40.00,16. 20.00,16. 20.00,,,,,2007,speed,WOMEN
21,19,Zhang,Dan,CHN,40.00,,8. 40.00,,,,,2007,speed,WOMEN
22,23,Savchenko,Ganna,UKR,37.00,,,,,,9. 37.00,2007,speed,WOMEN
23,23,peng,huanmiao,CHN,37.00,,9. 37.00,,,,,2007,speed,WOMEN
24,25,Cheng,Lai-Sho,HKG,34.00,,10. 34.00,,,,,2007,speed,WOMEN
25,25,Zijlstra,Vera,NED,34.00,10. 34.00,,,,,,2007,speed,WOMEN
26,27,Zampar,Cassandra,ITA,31.00,,,,,11. 31.00,,2007,speed,WOMEN
27,28,Graftiaux,Chloé,BEL,28.00,12. 28.00,,,,,,2007,speed,WOMEN
28,28,Li,Xuqing,CHN,28.00,,12. 28.00,,,,,2007,speed,WOMEN
29,30,Soltaninejad,Sajedeh,IRI,26.00,,13. 26.00,,,,,2007,speed,WOMEN
30,31,Gros,Natalija,SLO,24.00,14. 24.00,,,,,,2007,speed,WOMEN
31,31,Lenartowicz,Marta,POL,24.00,,,,,,14. 24.00,2007,speed,WOMEN
32,31,Malamid,Evgeniia,RUS,24.00,,14. 24.00,,,,,2007,speed,WOMEN
33,34,Bacher,Barbara,AUT,22.00,15. 22.00,,,,,,2007,speed,WOMEN
34,34,Caprez,Nina,SUI,22.00,,15. 22.00,,,,,2007,speed,WOMEN
35,34,Szczepaniec,Agnieszka,POL,22.00,,,,,,15. 22.00,2007,speed,WOMEN
36,37,Hrozova,Lucie,CZE,20.00,,,,,,16. 20.00,2007,speed,WOMEN
37,37,Khudyakova,Anna,RUS,20.00,,,,16. 20.00,,,2007,speed,WOMEN
38,39,Karami,Azam,IRI,18.00,,17. 18.00,,,,,2007,speed,WOMEN
39,39,Korolkova,Ekaterina,RUS,18.00,,,,17. 18.00,,,2007,speed,WOMEN
40,39,Prokopiuk,Monika,POL,18.00,,,,,,17. 18.00,2007,speed,WOMEN
